date,Country_Region,Confirmed,Deaths,daily_deaths,daily_confirmed,daily_confirmed_7day_ma,daily_deaths_7day_ma,cur_implied_cfr_as_of_2020-09-07,total_implied_cfr_as_of_2020-09-07,population
2020-09-21,India,5487580,87882,0.0,0.0,79620.57142857142,1015.1428571428572,0.012059274746459943,0.020531153236760302,1366417754
2020-09-21,Brazil,4558040,137272,377.0,13411.0,30347.142857142862,752.2857142857142,0.021985454363273517,0.033095182644075384,211049527
2020-09-21,Russia,1105048,19420,71.0,6090.0,5801.428571428572,121.0,0.02424710866826978,0.018903297272357383,145872256
2020-09-21,Colombia,770435,24397,189.0,5359.0,6934.714285714284,182.0,0.022447756986291718,0.0363132732403758,50339443
2020-09-21,Peru,768895,31369,0.0,6030.0,5610.857142857143,94.14285714285714,0.015393240055126017,0.0454638343017231,32510453
2020-09-21,Mexico,700580,73697,204.0,2917.0,4123.428571428572,378.28571428571433,0.06977785975915045,0.1156015052336516,127575529
2020-09-21,Spain,671468,30663,168.0,31428.0,11105.428571428569,116.42857142857143,0.013000271171300506,0.05834470239692208,46937060
2020-09-21,South Africa,661936,15992,39.0,725.0,1598.142857142857,70.42857142857143,0.04001298595893191,0.025012434270413317,58558270
2020-09-21,Argentina,640147,13482,429.0,8782.0,10671.57142857143,259.2857142857143,0.02582821038251366,0.027626652896372388,44780677
2020-09-21,France,496851,31346,89.0,29237.0,10140.142857142857,55.42857142857143,0.008051797127915664,0.0853709685326303,67012883
2020-09-21,Chile,447468,12298,12.0,1194.0,1576.428571428571,40.714285714285715,0.02271278291361173,0.028985985471652754,18952038
2020-09-21,Iran,425481,24478,177.0,3341.0,2976.142857142857,166.42857142857142,0.08567436387704072,0.06295619968622206,82913906
2020-09-21,United Kingdom,401122,41877,11.0,4378.0,3938.142857142857,21.571428571428577,0.010509465478841873,0.11881651633844137,67530172
2020-09-21,Bangladesh,350621,4979,40.0,1703.0,1612.7142857142858,31.42857142857143,0.015317134303418509,0.01520960169110976,163046161
2020-09-21,Saudi Arabia,330246,4512,27.0,492.0,569.7142857142858,29.57142857142857,0.03641801548205489,0.01403613558309691,34268528
2020-09-21,Pakistan,306886,6424,4.0,582.0,637.4285714285714,5.0,0.010342789598108748,0.021468220416865788,216565318
2020-09-21,Turkey,304610,7574,68.0,1743.0,1676.0,65.0,0.03999648382559775,0.026905001261060924,83429615
2020-09-21,Italy,299506,35724,17.0,1350.0,1535.0,14.285714285714285,0.01044932079414838,0.12814221763085398,60359546
2020-09-21,Philippines,290190,4999,15.0,3447.0,3471.714285714286,52.714285714285715,0.020605316059861517,0.0209402371746807,108116615
2020-09-21,Germany,275560,9390,0.0,1595.0,1762.571428571429,4.857142857142857,0.00385312783318223,0.037023018144827426,83019213
2020-09-21,Indonesia,248852,9677,124.0,4176.0,3904.142857142857,119.42857142857143,0.03766953543910242,0.049124570407484684,270625568
2020-09-21,Israel,190929,1273,17.0,3027.0,4365.857142857143,19.571428571428573,0.0078830772771736,0.009501772718790819,8519377
2020-09-21,Ukraine,182900,3652,26.0,2781.0,3174.4285714285716,54.14285714285714,0.0219176497802452,0.02582305690688992,43993638
2020-09-21,Canada,147583,9279,12.0,1833.0,1069.2857142857142,7.142857142857142,0.014806040864672786,0.06909415838266503,37411047
2020-09-21,Bolivia,130986,7654,37.0,310.0,481.0,37.142857142857146,0.05193767479025171,0.06294200848656294,11513100
