date,Country_Region,Confirmed,Deaths,daily_deaths,daily_confirmed,daily_confirmed_7day_ma,daily_deaths_7day_ma
2020-01-22,Colombia,0,0,0.0,0.0,0.0,0.0
2020-01-23,Colombia,0,0,0.0,0.0,0.0,0.0
2020-01-24,Colombia,0,0,0.0,0.0,0.0,0.0
2020-01-25,Colombia,0,0,0.0,0.0,0.0,0.0
2020-01-26,Colombia,0,0,0.0,0.0,0.0,0.0
2020-01-27,Colombia,0,0,0.0,0.0,0.0,0.0
2020-01-28,Colombia,0,0,0.0,0.0,0.0,0.0
2020-01-29,Colombia,0,0,0.0,0.0,0.0,0.0
2020-01-30,Colombia,0,0,0.0,0.0,0.0,0.0
2020-01-31,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-01,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-02,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-03,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-04,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-05,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-06,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-07,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-08,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-09,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-10,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-11,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-12,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-13,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-14,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-15,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-16,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-17,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-18,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-19,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-20,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-21,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-22,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-23,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-24,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-25,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-26,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-27,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-28,Colombia,0,0,0.0,0.0,0.0,0.0
2020-02-29,Colombia,0,0,0.0,0.0,0.0,0.0
2020-03-01,Colombia,0,0,0.0,0.0,0.0,0.0
2020-03-02,Colombia,0,0,0.0,0.0,0.0,0.0
2020-03-03,Colombia,0,0,0.0,0.0,0.0,0.0
2020-03-04,Colombia,0,0,0.0,0.0,0.0,0.0
2020-03-05,Colombia,0,0,0.0,0.0,0.0,0.0
2020-03-06,Colombia,1,0,0.0,1.0,0.14285714285714285,0.0
2020-03-07,Colombia,1,0,0.0,0.0,0.14285714285714285,0.0
2020-03-08,Colombia,1,0,0.0,0.0,0.14285714285714285,0.0
2020-03-09,Colombia,1,0,0.0,0.0,0.14285714285714285,0.0
2020-03-10,Colombia,3,0,0.0,2.0,0.42857142857142855,0.0
2020-03-11,Colombia,9,0,0.0,6.0,1.2857142857142858,0.0
2020-03-12,Colombia,9,0,0.0,0.0,1.2857142857142858,0.0
2020-03-13,Colombia,13,0,0.0,4.0,1.7142857142857142,0.0
2020-03-14,Colombia,22,0,0.0,9.0,3.0,0.0
2020-03-15,Colombia,34,0,0.0,12.0,4.714285714285714,0.0
2020-03-16,Colombia,57,0,0.0,23.0,8.0,0.0
2020-03-17,Colombia,75,0,0.0,18.0,10.285714285714286,0.0
2020-03-18,Colombia,102,0,0.0,27.0,13.285714285714286,0.0
2020-03-19,Colombia,108,0,0.0,6.0,14.142857142857142,0.0
2020-03-20,Colombia,158,0,0.0,50.0,20.714285714285715,0.0
2020-03-21,Colombia,196,0,0.0,38.0,24.857142857142858,0.0
2020-03-22,Colombia,231,2,2.0,35.0,28.142857142857142,0.2857142857142857
2020-03-23,Colombia,277,3,1.0,46.0,31.428571428571427,0.42857142857142855
2020-03-24,Colombia,378,3,0.0,101.0,43.285714285714285,0.42857142857142855
2020-03-25,Colombia,470,4,1.0,92.0,52.57142857142857,0.5714285714285714
2020-03-26,Colombia,491,6,2.0,21.0,54.714285714285715,0.8571428571428571
2020-03-27,Colombia,539,6,0.0,48.0,54.42857142857143,0.8571428571428571
2020-03-28,Colombia,608,6,0.0,69.0,58.857142857142854,0.8571428571428571
2020-03-29,Colombia,702,10,4.0,94.0,67.28571428571429,1.1428571428571428
2020-03-30,Colombia,798,12,2.0,96.0,74.42857142857143,1.2857142857142858
2020-03-31,Colombia,906,16,4.0,108.0,75.42857142857143,1.8571428571428572
2020-04-01,Colombia,1065,17,1.0,159.0,85.0,1.8571428571428572
2020-04-02,Colombia,1161,19,2.0,96.0,95.71428571428571,1.8571428571428572
2020-04-03,Colombia,1267,25,6.0,106.0,104.0,2.7142857142857144
2020-04-04,Colombia,1406,32,7.0,139.0,114.0,3.7142857142857144
2020-04-05,Colombia,1485,35,3.0,79.0,111.85714285714286,3.5714285714285716
2020-04-06,Colombia,1579,46,11.0,94.0,111.57142857142857,4.857142857142857
2020-04-07,Colombia,1780,50,4.0,201.0,124.85714285714286,4.857142857142857
2020-04-08,Colombia,2054,54,4.0,274.0,141.28571428571428,5.285714285714286
2020-04-09,Colombia,2223,69,15.0,169.0,151.71428571428572,7.142857142857143
2020-04-10,Colombia,2473,80,11.0,250.0,172.28571428571428,7.857142857142857
2020-04-11,Colombia,2709,100,20.0,236.0,186.14285714285714,9.714285714285714
2020-04-12,Colombia,2776,109,9.0,67.0,184.42857142857142,10.571428571428571
2020-04-13,Colombia,2852,112,3.0,76.0,181.85714285714286,9.428571428571429
2020-04-14,Colombia,2979,127,15.0,127.0,171.28571428571428,11.0
2020-04-15,Colombia,3105,131,4.0,126.0,150.14285714285714,11.0
2020-04-16,Colombia,3233,144,13.0,128.0,144.28571428571428,10.714285714285714
2020-04-17,Colombia,3439,153,9.0,206.0,138.0,10.428571428571429
2020-04-18,Colombia,3621,166,13.0,182.0,130.28571428571428,9.428571428571429
2020-04-19,Colombia,3792,179,13.0,171.0,145.14285714285714,10.0
2020-04-20,Colombia,3977,189,10.0,185.0,160.71428571428572,11.0
2020-04-21,Colombia,4149,196,7.0,172.0,167.14285714285714,9.857142857142858
2020-04-22,Colombia,4356,206,10.0,207.0,178.71428571428572,10.714285714285714
2020-04-23,Colombia,4561,215,9.0,205.0,189.71428571428572,10.142857142857142
2020-04-24,Colombia,4881,225,10.0,320.0,206.0,10.285714285714286
2020-04-25,Colombia,5142,233,8.0,261.0,217.28571428571428,9.571428571428571
2020-04-26,Colombia,5379,244,11.0,237.0,226.71428571428572,9.285714285714286
2020-04-27,Colombia,5597,253,9.0,218.0,231.42857142857142,9.142857142857142
2020-04-28,Colombia,5949,269,16.0,352.0,257.14285714285717,10.428571428571429
2020-04-29,Colombia,6207,278,9.0,258.0,264.42857142857144,10.285714285714286
2020-04-30,Colombia,6507,293,15.0,300.0,278.0,11.142857142857142
2020-05-01,Colombia,7006,314,21.0,499.0,303.57142857142856,12.714285714285714
2020-05-02,Colombia,7285,324,10.0,279.0,306.14285714285717,13.0
2020-05-03,Colombia,7668,340,16.0,383.0,327.0,13.714285714285714
2020-05-04,Colombia,7973,358,18.0,305.0,339.42857142857144,15.0
2020-05-05,Colombia,8613,378,20.0,640.0,380.57142857142856,15.571428571428571
2020-05-06,Colombia,8959,397,19.0,346.0,393.14285714285717,17.0
2020-05-07,Colombia,9456,407,10.0,497.0,421.2857142857143,16.285714285714285
2020-05-08,Colombia,10051,428,21.0,595.0,435.0,16.285714285714285
2020-05-09,Colombia,10495,445,17.0,444.0,458.57142857142856,17.285714285714285
2020-05-10,Colombia,11063,463,18.0,568.0,485.0,17.571428571428573
2020-05-11,Colombia,11613,479,16.0,550.0,520.0,17.285714285714285
2020-05-12,Colombia,12272,493,14.0,659.0,522.7142857142857,16.428571428571427
2020-05-13,Colombia,12930,509,16.0,658.0,567.2857142857143,16.0
2020-05-14,Colombia,13610,525,16.0,680.0,593.4285714285714,16.857142857142858
2020-05-15,Colombia,14216,546,21.0,606.0,595.0,16.857142857142858
