date,Province_State,Country_Region,Combined_Key,Confirmed,Deaths,daily_deaths,daily_confirmed,daily_confirmed_7day_ma,daily_deaths_7day_ma
2020-01-22,Texas,US,"Tarrant, Texas, US",0,0,,,0.0,0.0
2020-01-23,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-01-24,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-01-25,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-01-26,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-01-27,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-01-28,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-01-29,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-01-30,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-01-31,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-01,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-02,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-03,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-04,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-05,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-06,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-07,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-08,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-09,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-10,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-11,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-12,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-13,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-14,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-15,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-16,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-17,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-18,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-19,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-20,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-21,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-22,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-23,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-24,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-25,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-26,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-27,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-28,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-02-29,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-03-01,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-03-02,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-03-03,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-03-04,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-03-05,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-03-06,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-03-07,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-03-08,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-03-09,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-03-10,Texas,US,"Tarrant, Texas, US",0,0,0.0,0.0,0.0,0.0
2020-03-11,Texas,US,"Tarrant, Texas, US",1,0,0.0,1.0,0.14285714285714285,0.0
2020-03-12,Texas,US,"Tarrant, Texas, US",1,0,0.0,0.0,0.14285714285714285,0.0
2020-03-13,Texas,US,"Tarrant, Texas, US",3,0,0.0,2.0,0.42857142857142855,0.0
2020-03-14,Texas,US,"Tarrant, Texas, US",3,0,0.0,0.0,0.42857142857142855,0.0
2020-03-15,Texas,US,"Tarrant, Texas, US",4,0,0.0,1.0,0.5714285714285714,0.0
2020-03-16,Texas,US,"Tarrant, Texas, US",5,0,0.0,1.0,0.7142857142857143,0.0
2020-03-17,Texas,US,"Tarrant, Texas, US",6,0,0.0,1.0,0.8571428571428571,0.0
2020-03-18,Texas,US,"Tarrant, Texas, US",8,1,1.0,2.0,1.0,0.14285714285714285
2020-03-19,Texas,US,"Tarrant, Texas, US",19,1,0.0,11.0,2.5714285714285716,0.14285714285714285
2020-03-20,Texas,US,"Tarrant, Texas, US",29,1,0.0,10.0,3.7142857142857144,0.14285714285714285
2020-03-21,Texas,US,"Tarrant, Texas, US",42,1,0.0,13.0,5.571428571428571,0.14285714285714285
2020-03-22,Texas,US,"Tarrant, Texas, US",47,1,0.0,5.0,6.142857142857143,0.14285714285714285
2020-03-23,Texas,US,"Tarrant, Texas, US",57,1,0.0,10.0,7.428571428571429,0.14285714285714285
2020-03-24,Texas,US,"Tarrant, Texas, US",71,1,0.0,14.0,9.285714285714286,0.14285714285714285
2020-03-25,Texas,US,"Tarrant, Texas, US",90,1,0.0,19.0,11.714285714285714,0.0
2020-03-26,Texas,US,"Tarrant, Texas, US",100,1,0.0,10.0,11.571428571428571,0.0
2020-03-27,Texas,US,"Tarrant, Texas, US",114,1,0.0,14.0,12.142857142857142,0.0
2020-03-28,Texas,US,"Tarrant, Texas, US",128,1,0.0,14.0,12.285714285714286,0.0
2020-03-29,Texas,US,"Tarrant, Texas, US",139,1,0.0,11.0,13.142857142857142,0.0
2020-03-30,Texas,US,"Tarrant, Texas, US",238,1,0.0,99.0,25.857142857142858,0.0
2020-03-31,Texas,US,"Tarrant, Texas, US",273,1,0.0,35.0,28.857142857142858,0.0
2020-04-01,Texas,US,"Tarrant, Texas, US",288,3,2.0,15.0,28.285714285714285,0.2857142857142857
2020-04-02,Texas,US,"Tarrant, Texas, US",325,6,3.0,37.0,32.142857142857146,0.7142857142857143
2020-04-03,Texas,US,"Tarrant, Texas, US",383,7,1.0,58.0,38.42857142857143,0.8571428571428571
2020-04-04,Texas,US,"Tarrant, Texas, US",404,9,2.0,21.0,39.42857142857143,1.1428571428571428
2020-04-05,Texas,US,"Tarrant, Texas, US",418,11,2.0,14.0,39.857142857142854,1.4285714285714286
2020-04-06,Texas,US,"Tarrant, Texas, US",452,13,2.0,34.0,30.571428571428573,1.7142857142857142
2020-04-07,Texas,US,"Tarrant, Texas, US",517,18,5.0,65.0,34.857142857142854,2.4285714285714284
2020-04-08,Texas,US,"Tarrant, Texas, US",588,19,1.0,71.0,42.857142857142854,2.2857142857142856
2020-04-09,Texas,US,"Tarrant, Texas, US",637,20,1.0,49.0,44.57142857142857,2.0
2020-04-10,Texas,US,"Tarrant, Texas, US",705,21,1.0,68.0,46.0,2.0
