date,state,population,positivity_rate_7day_avg_original,positivity_rate_7day_avg_adjusted
2021-01-16,USA,331875705,0.11111,0.106357
2021-01-16,KY,4467673,0.266027,0.266027
2021-01-16,MS,2976149,0.262442,0.262442
2021-01-16,UT,3205958,0.213335,0.213335
2021-01-16,OK,3956971,0.209503,0.209503
2021-01-16,TN,6833174,0.182739,0.182739
2021-01-16,GA,10617423,0.179408,0.179408
2021-01-16,AR,3017825,0.178624,0.178624
2021-01-16,TX,28995881,0.170896,0.170896
2021-01-16,VA,8535519,0.157265,0.157265
2021-01-16,OH,11689100,0.149021,0.149021
2021-01-16,AZ,7278717,0.144672,0.144672
2021-01-16,SC,5148714,0.141474,0.141474
2021-01-16,NV,3080156,0.128693,0.128693
2021-01-16,NM,2096829,0.128486,0.128486
2021-01-16,MO,6137428,0.127677,0.127677
2021-01-16,ID,1787065,0.416438,0.126092
2021-01-16,LA,4648794,0.120626,0.120626
2021-01-16,PA,12801989,0.3561,0.116117
2021-01-16,CA,39512223,0.113934,0.113934
2021-01-16,FL,21477737,0.112212,0.112212
2021-01-16,AL,4903185,0.33466,0.108646
2021-01-16,WY,578759,0.108409,0.108409
2021-01-16,WA,7614893,0.102106,0.102106
2021-01-16,NC,10488084,0.101555,0.101555
2021-01-16,KS,2913314,0.280972,0.100461
2021-01-16,NJ,8882190,0.0970887,0.0970887
2021-01-16,WI,5822434,0.0968936,0.0968936
2021-01-16,NH,1359711,0.0962443,0.0962443
2021-01-16,NE,1934408,0.0886498,0.0886498
2021-01-16,IN,6732219,0.0877408,0.0877408
2021-01-16,SD,884659,0.320048,0.0854673
2021-01-16,IA,3155070,0.343354,0.0841381
2021-01-16,MT,1068778,0.0781337,0.0781337
2021-01-16,DE,973764,0.0769714,0.0769714
2021-01-16,WV,1792147,0.0752828,0.0752828
2021-01-16,CT,3565287,0.0667826,0.0667826
2021-01-16,MI,9986857,0.0657309,0.0657309
2021-01-16,NY,19453561,0.0653842,0.0653842
2021-01-16,ME,1344212,0.0639737,0.0639737
2021-01-16,MD,6045680,0.063934,0.063934
2021-01-16,IL,12671821,0.0633196,0.0633196
2021-01-16,OR,4217737,0.0632682,0.0632682
2021-01-16,MA,6949503,0.0618518,0.0618518
2021-01-16,CO,5758736,0.0613494,0.0613494
2021-01-16,RI,1059361,0.0533576,0.0533576
2021-01-16,MN,5639632,0.0530305,0.0530305
2021-01-16,ND,762062,0.0452978,0.0452978
2021-01-16,DC,705749,0.0418259,0.0418259
2021-01-16,AK,731545,0.0309556,0.0309556
2021-01-16,HI,1415872,0.0270488,0.0270488
2021-01-16,VT,623989,0.0255693,0.0255693
2021-01-16,GU,165718,0.0392257,0.0392257
2021-01-16,MP,55194,1,0.00538223
2021-01-16,PR,3193694,1,1
2021-01-16,VI,104914,0.0504386,0.0107206
