date,state,population,new_infected_mean,perc_current_infected_mean,perc_total_infected_mean
2021-01-31,USA,331875705,251825,0.01445,0.274992
2021-01-31,SC,5148714,8246.98,0.0259954,0.30699
2021-01-31,TX,28995881,32345.2,0.0244908,0.304516
2021-01-31,OK,3956971,4584.57,0.0226822,0.344988
2021-01-31,KY,4467673,5053.79,0.0216849,0.27831
2021-01-31,AR,3017825,2883.15,0.0211336,0.348579
2021-01-31,AZ,7278717,6746.82,0.0202602,0.365213
2021-01-31,NC,10488084,10559.3,0.0199746,0.239913
2021-01-31,GA,10617423,10794.7,0.0198845,0.316415
2021-01-31,NJ,8882190,9926.84,0.0184136,0.36901
2021-01-31,VA,8535519,9368.53,0.0183859,0.212989
2021-01-31,MS,2976149,2528.26,0.0174047,0.37749
2021-01-31,NY,19453561,19677.7,0.0166716,0.328021
2021-01-31,FL,21477737,19416.5,0.0161219,0.276177
2021-01-31,AL,4903185,3338.02,0.0159424,0.320227
2021-01-31,DE,973764,951.047,0.0154706,0.264865
2021-01-31,TN,6833174,5797.18,0.015263,0.367228
2021-01-31,LA,4648794,3152.92,0.0145362,0.315642
2021-01-31,PA,12801989,10336.7,0.0142493,0.234557
2021-01-31,RI,1059361,757.411,0.0138803,0.322333
2021-01-31,CA,39512223,25029.7,0.0130862,0.25564
2021-01-31,UT,3205958,2304.43,0.0129437,0.306012
2021-01-31,OH,11689100,7790.41,0.0127671,0.26096
2021-01-31,CT,3565287,2565.66,0.0126768,0.249926
2021-01-31,MA,6949503,4696.05,0.0126303,0.252727
2021-01-31,KS,2913314,1876.55,0.0126047,0.317548
2021-01-31,WV,1792147,1125.28,0.0123291,0.196424
2021-01-31,NV,3080156,1758.69,0.0114243,0.31457
2021-01-31,NH,1359711,906.063,0.0112795,0.153879
2021-01-31,IN,6732219,3618.58,0.0102686,0.29998
2021-01-31,MT,1068778,605.626,0.0101853,0.294324
2021-01-31,NM,2096829,994.336,0.00934725,0.261622
2021-01-31,NE,1934408,1079.83,0.00891109,0.323992
2021-01-31,CO,5758736,3202.58,0.00873473,0.221306
2021-01-31,ID,1787065,886.891,0.00872179,0.31675
2021-01-31,MD,6045680,2844.84,0.00866256,0.199696
2021-01-31,DC,705749,335.119,0.0084427,0.195435
2021-01-31,WI,5822434,2492.2,0.0083469,0.332952
2021-01-31,IL,12671821,5745.97,0.00811716,0.294075
2021-01-31,IA,3155070,1282.13,0.00717633,0.294379
2021-01-31,WA,7614893,2980.16,0.00715378,0.142428
2021-01-31,MO,6137428,2109.2,0.00714843,0.26325
2021-01-31,ME,1344212,471.027,0.00709663,0.0869641
2021-01-31,VT,623989,235.528,0.00676998,0.0540982
2021-01-31,SD,884659,399.886,0.00646333,0.423904
2021-01-31,AK,731545,312.118,0.00614315,0.184913
2021-01-31,MN,5639632,1971.28,0.00590693,0.255758
2021-01-31,WY,578759,142.714,0.00582046,0.283375
2021-01-31,MI,9986857,3024.31,0.00567713,0.222488
2021-01-31,OR,4217737,1270.62,0.00542629,0.100534
2021-01-31,ND,762062,136.582,0.00388654,0.37613
2021-01-31,HI,1415872,152.371,0.00222154,0.0538706
2021-01-31,GU,165718,26.7256,0.00245917,0.231887
2021-01-31,MP,55194,0.229644,7.69016e-05,0.00819806
2021-01-31,PR,3193694,963.095,0.00542882,0.134865
2021-01-31,VI,104914,22.2783,0.00278282,0.0704616
