date,total_cases,total_deaths,total_tests,current_hospitalized,daily_positive_7day_ma,daily_deaths_7day_ma,daily_tests_7day_ma,positivity_rate_orig_7day_ma,positivity_rate_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,rt_mean,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-02-05,0,0,0,,,,,,,,,,,62.7925,41.8617,94.1888,62.7925,41.8617,94.1888,1.89205e-07,1.26137e-07,2.83808e-07,62.7925,41.8617,94.1888,1.89205e-07,1.26137e-07,2.83808e-07
2020-02-06,0,0,0,,,,,,,,,,,147.465,98.3103,221.198,210.258,140.172,315.387,6.33544e-07,4.22363e-07,9.50317e-07,210.258,140.172,315.387,6.33544e-07,4.22363e-07,9.50317e-07
2020-02-07,0,0,0,,,,,,,,,,,188.793,125.862,283.19,399.051,266.034,598.577,1.20241e-06,8.01608e-07,1.80362e-06,399.051,266.034,598.577,1.20241e-06,8.01608e-07,1.80362e-06
2020-02-08,0,0,0,,,,,,,,,,,255.188,170.125,382.781,654.239,436.159,981.358,1.97134e-06,1.31422e-06,2.95701e-06,654.239,436.159,981.358,1.97134e-06,1.31422e-06,2.95701e-06
2020-02-09,0,0,0,,,,,,,,,,,513.57,342.38,770.355,1167.81,778.539,1751.71,3.51881e-06,2.34588e-06,5.27822e-06,1167.81,778.539,1751.71,3.51881e-06,2.34588e-06,5.27822e-06
2020-02-10,0,0,0,,,,,,,,,,,617.773,411.849,926.659,1785.58,1190.39,2678.37,5.38027e-06,3.58685e-06,8.07041e-06,1785.58,1190.39,2678.37,5.38027e-06,3.58685e-06,8.07041e-06
2020-02-11,0,0,0,,,,,,,,,,,765.377,510.251,1148.07,2550.96,1700.64,3826.44,7.68649e-06,5.12433e-06,1.15297e-05,2550.96,1700.64,3826.44,7.68649e-06,5.12433e-06,1.15297e-05
2020-02-12,0,0,0,,,,,,,,,,,929.813,619.876,1394.72,3480.77,2320.52,5221.16,1.04882e-05,6.99212e-06,1.57323e-05,3480.77,2320.52,5221.16,1.04882e-05,6.99212e-06,1.57323e-05
2020-02-13,0,0,0,,,,,,,,,,,1160.15,773.432,1740.22,4640.92,3093.95,6961.38,1.39839e-05,9.32261e-06,2.09759e-05,4640.92,3093.95,6961.38,1.39839e-05,9.32261e-06,2.09759e-05
2020-02-14,0,0,0,,,,,,,,,,,1449.95,966.635,2174.93,6090.87,4060.58,9136.31,1.83529e-05,1.22353e-05,2.75293e-05,6090.87,4060.58,9136.31,1.83529e-05,1.22353e-05,2.75293e-05
2020-02-15,0,0,0,,,,,,,,,,3.49186,1809.8,1206.53,2714.69,7900.67,5267.11,11851,2.38061e-05,1.58707e-05,3.57092e-05,7900.67,5267.11,11851,2.38061e-05,1.58707e-05,3.57092e-05
2020-02-16,0,0,0,,,,,,,,,,3.23969,2278.82,1519.21,3418.23,10179.5,6786.33,15269.2,3.06726e-05,2.04484e-05,4.60089e-05,10179.5,6786.33,15269.2,3.06726e-05,2.04484e-05,4.60089e-05
2020-02-17,0,0,0,,,,,,,,,,3.04494,2888.41,1925.61,4332.61,13067.9,8711.93,19601.8,3.93759e-05,2.62506e-05,5.90638e-05,13067.9,8711.93,19601.8,3.93759e-05,2.62506e-05,5.90638e-05
2020-02-18,0,0,0,,,,,,,,,,3.09435,3637.13,2424.75,5455.7,16705,11136.7,25057.5,5.03352e-05,3.35568e-05,7.55028e-05,16705,11136.7,25057.5,5.03352e-05,3.35568e-05,7.55028e-05
2020-02-19,0,0,0,,,,,,,,,,3.12015,4581.62,3054.41,6872.43,21286.6,14191.1,31930,6.41404e-05,4.27603e-05,9.62106e-05,21286.6,14191.1,31930,6.41404e-05,4.27603e-05,9.62106e-05
2020-02-20,0,0,0,,,,,,,,,,3.1312,5760.67,3840.45,8641,26984.5,17989.7,40476.8,8.13091e-05,5.42061e-05,0.000121964,27047.3,18031.5,40571,8.14983e-05,5.43322e-05,0.000122247
2020-02-21,0,0,0,,,,,,,,,,3.11939,7221.83,4814.55,10832.7,34058.9,22705.9,51088.3,0.000102625,6.84169e-05,0.000153938,34269.1,22846.1,51403.7,0.000103259,6.88393e-05,0.000154888
2020-02-22,0,0,0,,,,,,,,,,3.10113,8983.48,5988.99,13475.2,42853.6,28569,64280.4,0.000129125,8.60836e-05,0.000193688,43252.6,28835.1,64878.9,0.000130328,8.68852e-05,0.000195492
2020-02-23,0,0,0,,,,,,,,,,3.07826,11110.5,7406.97,16665.7,53708.8,35805.9,80563.3,0.000161834,0.000107889,0.000242751,54363.1,36242.1,81544.6,0.000163806,0.000109204,0.000245708
2020-02-24,0,0,0,,,,,,,,,,3.05233,13853.6,9235.72,20780.4,67048.9,44699.2,100573,0.00020203,0.000134687,0.000303045,68216.7,45477.8,102325,0.000205549,0.000137033,0.000308323
2020-02-25,0,0,0,,,,,,,,,,3.0301,17323.7,11549.2,25985.6,83754.8,55836.5,125632,0.000252368,0.000168245,0.000378552,85540.4,57026.9,128311,0.000257748,0.000171832,0.000386622
2020-02-26,0,0,0,,,,,,,,,,3.01336,21664.1,14442.7,32496.1,104654,69769,156980,0.00031534,0.000210226,0.000473009,107204,71469.7,160807,0.000323026,0.000215351,0.000484539
2020-02-27,0,0,0,,,,,,,,,,2.99361,26964.2,17976.1,40446.2,130688,87125.3,196032,0.000393786,0.000262524,0.000590678,134169,89445.8,201253,0.000404274,0.000269516,0.000606411
2020-02-28,0,0,0,,,,,,,,,,2.95875,33480.9,22320.6,50221.3,163009,108672,244513,0.000491174,0.000327449,0.00073676,167650,111766,251474,0.000505158,0.000336772,0.000757736
