date,actual_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-13,,,,,,,
2020-02-14,,,,,,,
2020-02-15,,,,,,,
2020-02-16,,,,,,,
2020-02-17,,,,,,,
2020-02-18,,,,,,,
2020-02-19,,,,,,,
2020-02-20,,,,,,,
2020-02-21,,,,,,,
2020-02-22,,,,,,,
2020-02-23,,,,,,,
2020-02-24,,,,,,,
2020-02-25,,,,,,,
2020-02-26,,,,,,,
2020-02-27,,,,,,,
2020-02-28,,,,,,,
2020-02-29,,,,,,,
2020-03-01,,,,,,,
2020-03-02,,,,,,,
2020-03-03,,,,,,,
2020-03-04,,,,,,,
2020-03-05,,,,,,,
2020-03-06,,,,,,,
2020-03-07,,,,,,,
2020-03-08,,,,,,,
2020-03-09,,,,,,,
2020-03-10,,,,,,,
2020-03-11,,,,,,,
2020-03-12,4,,,,,,
2020-03-13,0,,,,,,
2020-03-14,1,,,,,,
2020-03-15,0,,,,,,
2020-03-16,1,,,,,,
2020-03-17,5,,,,,,
2020-03-18,2,,,,,,
2020-03-19,5,,,,,,
2020-03-20,2,,,,,,
2020-03-21,4,,,,,,
2020-03-22,3,,,,,,
2020-03-23,0,,,,,,
2020-03-24,13,,,,,,
2020-03-25,13,,,,,,
2020-03-26,12,,,,,,
2020-03-27,13,,,,,,
2020-03-28,23,,,,,,
2020-03-29,22,,,,,,
2020-03-30,10,,,,,,
2020-03-31,20,,,,,,
2020-04-01,18,,,,,,
2020-04-02,32,,,,,,
2020-04-03,34,,,,,,
2020-04-04,39,,,,,,
2020-04-05,,40,30,58,316,306,334
2020-04-06,,40,27,59,355,332,393
2020-04-07,,39,25,59,394,357,452
2020-04-08,,37,22,59,431,379,511
2020-04-09,,35,19,59,466,399,570
2020-04-10,,33,17,58,499,416,628
2020-04-11,,31,15,55,530,431,683
2020-04-12,,28,14,51,558,445,734
2020-04-13,,25,12,48,583,457,782
2020-04-14,,23,11,44,607,468,826
2020-04-15,,21,9,40,627,477,867
2020-04-16,,19,8,37,646,485,904
2020-04-17,,17,7,34,663,493,938
2020-04-18,,15,6,30,678,499,968
2020-04-19,,13,6,27,692,505,995
2020-04-20,,12,5,24,704,510,1020
2020-04-21,,11,5,22,714,515,1042
2020-04-22,,10,4,19,724,519,1061
2020-04-23,,9,4,17,732,523,1078
2020-04-24,,8,4,15,740,527,1094
2020-04-25,,7,3,13,747,530,1107
2020-04-26,,6,3,12,753,532,1119
2020-04-27,,6,3,10,759,535,1129
2020-04-28,,5,2,9,764,537,1139
2020-04-29,,4,2,8,768,539,1147
2020-04-30,,4,2,7,772,541,1154
2020-05-01,,4,2,7,776,543,1161
2020-05-02,,3,2,6,779,545,1167
2020-05-03,,3,2,5,782,546,1173
2020-05-04,,3,1,5,785,547,1178
2020-05-05,,3,1,5,787,548,1183
2020-05-06,,2,1,4,790,549,1187
2020-05-07,,2,1,4,792,550,1191
2020-05-08,,2,1,4,794,551,1195
2020-05-09,,2,1,4,796,552,1199
2020-05-10,,2,1,4,797,553,1203
2020-05-11,,1,1,3,799,554,1206
2020-05-12,,1,1,3,800,555,1209
2020-05-13,,1,1,3,801,556,1212
2020-05-14,,1,1,3,803,557,1215
2020-05-15,,1,1,3,804,558,1218
2020-05-16,,1,1,3,805,559,1221
2020-05-17,,1,1,3,807,560,1224
2020-05-18,,1,1,3,808,561,1227
2020-05-19,,1,1,3,809,562,1230
2020-05-20,,1,1,3,810,563,1233
2020-05-21,,1,1,3,812,564,1236
2020-05-22,,1,1,3,813,565,1239
2020-05-23,,1,1,2,814,566,1242
2020-05-24,,1,0,2,815,566,1244
2020-05-25,,1,0,2,816,566,1246
2020-05-26,,1,0,2,817,566,1248
2020-05-27,,0,0,2,817,566,1250
2020-05-28,,0,0,2,817,566,1252
2020-05-29,,0,0,2,818,566,1254
2020-05-30,,0,0,2,818,566,1256
2020-05-31,,0,0,2,818,566,1258
2020-06-01,,0,0,2,819,566,1260
2020-06-02,,0,0,2,819,566,1262
2020-06-03,,0,0,2,819,566,1264
2020-06-04,,0,0,2,819,566,1266
2020-06-05,,0,0,2,820,566,1268
2020-06-06,,0,0,2,820,566,1270
2020-06-07,,0,0,2,820,566,1272
2020-06-08,,0,0,2,821,566,1274
2020-06-09,,0,0,2,821,566,1276
2020-06-10,,0,0,2,821,566,1278
2020-06-11,,0,0,2,821,566,1280
2020-06-12,,0,0,2,822,566,1282
2020-06-13,,0,0,1,822,566,1283
2020-06-14,,0,0,1,822,566,1284
2020-06-15,,0,0,1,822,566,1285
2020-06-16,,0,0,1,822,566,1286
2020-06-17,,0,0,1,822,566,1287
2020-06-18,,0,0,1,823,566,1288
2020-06-19,,0,0,1,823,566,1289
2020-06-20,,0,0,1,823,566,1290
2020-06-21,,0,0,1,823,566,1291
2020-06-22,,0,0,1,823,566,1292
2020-06-23,,0,0,1,823,566,1293
2020-06-24,,0,0,1,823,566,1294
2020-06-25,,0,0,1,823,566,1295
2020-06-26,,0,0,1,824,566,1296
2020-06-27,,0,0,1,824,566,1297
2020-06-28,,0,0,1,824,566,1298
2020-06-29,,0,0,1,824,566,1299
2020-06-30,,0,0,1,824,566,1300
