date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-23,,,,,,,,
2020-02-24,,,,,,,,
2020-02-25,,,,,,,,
2020-02-26,,,,,,,,
2020-02-27,,,,,,,,
2020-02-28,,,,,,,,
2020-02-29,,,,,,,,
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,,,,,,,,
2020-03-16,,,,,,,,
2020-03-17,,,,,,,,
2020-03-18,,,,,,,,
2020-03-19,1,1,,,,,,
2020-03-20,0,1,,,,,,
2020-03-21,1,2,,,,,,
2020-03-22,1,3,,,,,,
2020-03-23,0,3,,,,,,
2020-03-24,0,3,,,,,,
2020-03-25,1,4,,,,,,
2020-03-26,0,4,,,,,,
2020-03-27,1,5,,,,,,
2020-03-28,0,5,,,,,,
2020-03-29,5,10,,,,,,
2020-03-30,5,15,,,,,,
2020-03-31,3,18,,,,,,
2020-04-01,13,31,,,,,,
2020-04-02,5,36,,,,,,
2020-04-03,6,42,,,,,,
2020-04-04,11,53,,,,,,
2020-04-05,,,12,8,15,65,61,68
2020-04-06,,,13,9,17,77,70,85
2020-04-07,,,14,9,20,91,79,105
2020-04-08,,,15,9,22,106,88,127
2020-04-09,,,15,9,25,121,97,152
2020-04-10,,,16,8,27,137,105,179
2020-04-11,,,16,8,29,153,113,208
2020-04-12,,,16,7,30,168,120,238
2020-04-13,,,15,6,31,183,126,269
2020-04-14,,,14,6,31,198,131,301
2020-04-15,,,14,5,31,211,136,332
2020-04-16,,,13,5,29,224,141,361
2020-04-17,,,12,4,28,236,145,389
2020-04-18,,,11,4,27,247,149,416
2020-04-19,,,10,3,25,258,152,441
2020-04-20,,,9,3,23,267,155,464
2020-04-21,,,8,3,22,275,158,486
2020-04-22,,,8,3,20,283,161,506
2020-04-23,,,7,2,19,290,163,525
2020-04-24,,,6,2,17,296,165,541
2020-04-25,,,6,2,15,302,167,556
2020-04-26,,,5,2,14,307,169,570
2020-04-27,,,5,2,12,311,171,581
2020-04-28,,,4,2,11,315,173,592
2020-04-29,,,4,2,10,319,175,602
2020-04-30,,,3,1,9,322,176,610
2020-05-01,,,3,1,8,325,177,618
2020-05-02,,,3,1,7,328,178,625
2020-05-03,,,2,1,6,331,179,631
2020-05-04,,,2,1,5,333,180,637
2020-05-05,,,2,1,5,335,181,642
2020-05-06,,,2,1,4,337,182,646
2020-05-07,,,2,1,4,339,183,650
2020-05-08,,,2,1,3,340,184,653
2020-05-09,,,1,1,3,342,185,657
2020-05-10,,,1,1,3,343,186,660
2020-05-11,,,1,1,2,344,187,662
2020-05-12,,,1,1,2,345,188,664
2020-05-13,,,1,1,2,347,189,666
2020-05-14,,,1,1,2,348,190,668
2020-05-15,,,1,1,2,349,191,670
2020-05-16,,,1,1,2,350,192,672
2020-05-17,,,1,1,1,351,193,674
2020-05-18,,,1,1,1,352,194,675
2020-05-19,,,1,1,1,353,195,676
2020-05-20,,,1,1,1,354,196,677
2020-05-21,,,1,1,1,355,197,678
2020-05-22,,,1,1,1,356,198,679
2020-05-23,,,1,1,1,357,199,680
2020-05-24,,,1,1,1,358,200,681
2020-05-25,,,1,1,1,359,201,682
2020-05-26,,,1,0,1,360,201,683
2020-05-27,,,1,0,1,360,201,684
2020-05-28,,,0,0,1,361,201,685
2020-05-29,,,0,0,1,361,201,686
2020-05-30,,,0,0,1,361,201,687
2020-05-31,,,0,0,1,361,201,688
2020-06-01,,,0,0,0,361,201,688
2020-06-02,,,0,0,0,361,201,688
2020-06-03,,,0,0,0,361,201,688
2020-06-04,,,0,0,0,361,201,688
2020-06-05,,,0,0,0,361,201,688
2020-06-06,,,0,0,0,361,201,688
2020-06-07,,,0,0,0,361,201,688
2020-06-08,,,0,0,0,361,201,688
2020-06-09,,,0,0,0,361,201,688
2020-06-10,,,0,0,0,361,201,688
2020-06-11,,,0,0,0,361,201,688
2020-06-12,,,0,0,0,361,201,688
2020-06-13,,,0,0,0,361,201,688
2020-06-14,,,0,0,0,361,201,688
2020-06-15,,,0,0,0,361,201,688
2020-06-16,,,0,0,0,361,201,688
2020-06-17,,,0,0,0,361,201,688
2020-06-18,,,0,0,0,361,201,688
2020-06-19,,,0,0,0,361,201,688
2020-06-20,,,0,0,0,361,201,688
2020-06-21,,,0,0,0,361,201,688
2020-06-22,,,0,0,0,361,201,688
2020-06-23,,,0,0,0,361,201,688
2020-06-24,,,0,0,0,361,201,688
2020-06-25,,,0,0,0,361,201,688
2020-06-26,,,0,0,0,361,201,688
2020-06-27,,,0,0,0,361,201,688
2020-06-28,,,0,0,0,361,201,688
2020-06-29,,,0,0,0,361,201,688
2020-06-30,,,0,0,0,361,201,688
