date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-24,,,,,,,,
2020-02-25,,,,,,,,
2020-02-26,,,,,,,,
2020-02-27,,,,,,,,
2020-02-28,,,,,,,,
2020-02-29,,,,,,,,
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,,,,,,,,
2020-03-16,,,,,,,,
2020-03-17,,,,,,,,
2020-03-18,,,,,,,,
2020-03-19,,,,,,,,
2020-03-20,1,1,,,,,,
2020-03-21,0,1,,,,,,
2020-03-22,0,1,,,,,,
2020-03-23,1,2,,,,,,
2020-03-24,0,2,,,,,,
2020-03-25,0,2,,,,,,
2020-03-26,1,3,,,,,,
2020-03-27,0,3,,,,,,
2020-03-28,1,4,,,,,,
2020-03-29,1,5,,,,,,
2020-03-30,4,9,,,,,,
2020-03-31,0,9,,,,,,
2020-04-01,2,11,,,,,,
2020-04-02,1,12,,,,,,
2020-04-03,3,15,,,,,,
2020-04-04,6,21,,,,,,
2020-04-05,1,22,,,,,,
2020-04-06,,,5,3,6,27,25,28
2020-04-07,,,5,3,6,32,28,34
2020-04-08,,,5,3,7,37,31,41
2020-04-09,,,5,3,7,42,34,48
2020-04-10,,,5,3,8,47,37,56
2020-04-11,,,5,3,8,52,40,64
2020-04-12,,,5,2,8,57,42,72
2020-04-13,,,5,2,8,61,44,80
2020-04-14,,,4,2,8,66,46,88
2020-04-15,,,4,2,8,70,48,96
2020-04-16,,,4,2,7,74,50,103
2020-04-17,,,4,1,7,78,51,110
2020-04-18,,,4,1,7,81,52,117
2020-04-19,,,3,1,7,85,53,124
2020-04-20,,,3,1,6,88,54,130
2020-04-21,,,3,1,6,91,55,136
2020-04-22,,,3,1,6,93,56,142
2020-04-23,,,3,1,6,96,57,148
2020-04-24,,,2,1,6,98,58,154
2020-04-25,,,2,1,5,101,59,159
2020-04-26,,,2,1,5,103,60,164
2020-04-27,,,2,1,5,105,61,169
2020-04-28,,,2,1,5,107,62,174
2020-04-29,,,2,1,5,109,63,179
2020-04-30,,,2,1,4,111,64,183
2020-05-01,,,2,1,4,113,65,187
2020-05-02,,,2,1,4,115,66,191
2020-05-03,,,2,1,4,116,67,195
2020-05-04,,,2,1,4,118,68,199
2020-05-05,,,2,1,4,120,69,203
2020-05-06,,,2,1,4,121,70,207
2020-05-07,,,2,1,4,123,71,211
2020-05-08,,,2,1,3,124,72,214
2020-05-09,,,2,1,3,126,73,217
2020-05-10,,,2,1,3,127,74,220
2020-05-11,,,1,1,3,129,75,223
2020-05-12,,,1,1,3,130,76,226
2020-05-13,,,1,1,3,132,77,229
2020-05-14,,,1,1,3,133,78,232
2020-05-15,,,1,1,3,135,79,235
2020-05-16,,,1,1,3,136,80,238
2020-05-17,,,1,1,3,137,81,241
2020-05-18,,,1,1,3,139,82,244
2020-05-19,,,1,1,3,140,83,247
2020-05-20,,,1,1,3,141,84,250
2020-05-21,,,1,1,3,143,85,253
2020-05-22,,,1,1,2,144,86,255
2020-05-23,,,1,1,2,145,87,257
2020-05-24,,,1,0,2,146,87,259
2020-05-25,,,1,0,2,147,87,261
2020-05-26,,,1,0,2,148,87,263
2020-05-27,,,1,0,2,149,87,265
2020-05-28,,,1,0,2,150,87,267
2020-05-29,,,1,0,2,151,87,269
2020-05-30,,,1,0,2,152,87,271
2020-05-31,,,1,0,2,153,87,273
2020-06-01,,,1,0,2,154,87,275
2020-06-02,,,1,0,2,154,87,277
2020-06-03,,,1,0,2,155,87,279
2020-06-04,,,1,0,2,156,87,281
2020-06-05,,,1,0,2,157,87,283
2020-06-06,,,1,0,2,158,87,285
2020-06-07,,,1,0,2,159,87,287
2020-06-08,,,1,0,2,160,87,289
2020-06-09,,,1,0,2,161,87,291
2020-06-10,,,1,0,2,162,87,293
2020-06-11,,,1,0,2,163,87,295
2020-06-12,,,1,0,2,163,87,297
2020-06-13,,,1,0,2,164,87,299
2020-06-14,,,1,0,2,165,87,301
2020-06-15,,,1,0,2,166,87,303
2020-06-16,,,1,0,2,166,87,305
2020-06-17,,,1,0,2,167,87,307
2020-06-18,,,1,0,2,168,87,309
2020-06-19,,,1,0,2,168,87,311
2020-06-20,,,1,0,2,169,87,313
2020-06-21,,,1,0,1,170,87,314
2020-06-22,,,1,0,1,170,87,315
2020-06-23,,,1,0,1,171,87,316
2020-06-24,,,1,0,1,171,87,317
2020-06-25,,,1,0,1,172,87,318
2020-06-26,,,1,0,1,172,87,319
2020-06-27,,,0,0,1,173,87,320
2020-06-28,,,0,0,1,173,87,321
2020-06-29,,,0,0,1,173,87,322
2020-06-30,,,0,0,1,174,87,323
