date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,,,,,,,,
2020-03-16,,,,,,,,
2020-03-17,,,,,,,,
2020-03-18,,,,,,,,
2020-03-19,,,,,,,,
2020-03-20,,,,,,,,
2020-03-21,,,,,,,,
2020-03-22,,,,,,,,
2020-03-23,,,,,,,,
2020-03-24,,,,,,,,
2020-03-25,,,,,,,,
2020-03-26,,,,,,,,
2020-03-27,,,,,,,,
2020-03-28,,,,,,,,
2020-03-29,3,3,,,,,,
2020-03-30,1,4,,,,,,
2020-03-31,4,8,,,,,,
2020-04-01,2,10,,,,,,
2020-04-02,2,12,,,,,,
2020-04-03,2,14,,,,,,
2020-04-04,3,17,,,,,,
2020-04-05,8,25,,,,,,
2020-04-06,2,27,,,,,,
2020-04-07,,,4,4,6,31,31,33
2020-04-08,,,5,4,7,36,35,40
2020-04-09,,,5,4,7,41,39,47
2020-04-10,,,5,3,8,45,42,55
2020-04-11,,,5,3,8,50,45,63
2020-04-12,,,5,3,8,55,48,71
2020-04-13,,,5,3,8,59,51,79
2020-04-14,,,4,3,8,64,54,87
2020-04-15,,,4,3,8,68,57,95
2020-04-16,,,4,3,8,73,60,103
2020-04-17,,,4,3,7,77,63,110
2020-04-18,,,4,2,7,81,65,118
2020-04-19,,,4,2,7,85,67,124
2020-04-20,,,4,2,7,89,69,132
2020-04-21,,,4,2,6,92,71,138
2020-04-22,,,4,2,6,96,73,144
2020-04-23,,,4,2,6,100,75,150
2020-04-24,,,3,2,6,103,77,156
2020-04-25,,,3,1,6,106,78,162
2020-04-26,,,3,1,6,110,79,168
2020-04-27,,,3,1,5,113,80,173
2020-04-28,,,3,1,5,116,81,178
2020-04-29,,,3,1,5,119,82,183
2020-04-30,,,3,1,5,122,83,188
2020-05-01,,,3,1,5,125,84,193
2020-05-02,,,3,1,5,128,85,198
2020-05-03,,,3,1,5,131,86,203
2020-05-04,,,3,1,5,133,87,208
2020-05-05,,,3,1,5,136,88,213
2020-05-06,,,3,1,5,139,89,218
2020-05-07,,,3,1,5,141,90,223
2020-05-08,,,3,1,5,144,91,228
2020-05-09,,,3,1,5,147,92,233
2020-05-10,,,3,1,5,149,93,238
2020-05-11,,,3,1,5,152,94,243
2020-05-12,,,3,1,5,155,95,248
2020-05-13,,,2,1,5,157,96,253
2020-05-14,,,2,1,5,160,97,258
2020-05-15,,,2,1,5,162,98,263
2020-05-16,,,2,1,5,164,99,268
2020-05-17,,,2,1,5,166,100,273
2020-05-18,,,2,1,5,168,101,278
2020-05-19,,,2,1,5,170,102,283
2020-05-20,,,2,1,4,173,103,287
2020-05-21,,,2,1,4,175,104,291
2020-05-22,,,2,1,4,177,105,295
2020-05-23,,,2,1,4,179,106,299
2020-05-24,,,2,1,4,181,107,303
2020-05-25,,,2,1,4,183,108,307
2020-05-26,,,2,1,4,185,109,311
2020-05-27,,,2,1,4,186,110,315
2020-05-28,,,2,1,4,188,111,319
2020-05-29,,,2,0,4,190,111,323
2020-05-30,,,2,0,4,191,111,327
2020-05-31,,,2,0,4,193,111,331
2020-06-01,,,2,0,4,195,111,335
2020-06-02,,,2,0,4,196,111,339
2020-06-03,,,1,0,4,198,111,343
2020-06-04,,,1,0,4,199,111,347
2020-06-05,,,1,0,3,201,111,350
2020-06-06,,,1,0,3,202,111,353
2020-06-07,,,1,0,3,204,111,356
2020-06-08,,,1,0,3,205,111,359
2020-06-09,,,1,0,3,206,111,362
2020-06-10,,,1,0,3,207,111,365
2020-06-11,,,1,0,3,208,111,368
2020-06-12,,,1,0,3,210,111,371
2020-06-13,,,1,0,3,211,111,374
2020-06-14,,,1,0,3,212,111,377
2020-06-15,,,1,0,3,213,111,380
2020-06-16,,,1,0,3,214,111,383
2020-06-17,,,1,0,3,215,111,386
2020-06-18,,,1,0,3,217,111,389
2020-06-19,,,1,0,3,218,111,392
2020-06-20,,,1,0,2,218,111,394
2020-06-21,,,1,0,2,219,111,396
2020-06-22,,,1,0,2,220,111,398
2020-06-23,,,1,0,2,221,111,400
2020-06-24,,,1,0,2,221,111,402
2020-06-25,,,1,0,2,222,111,404
2020-06-26,,,1,0,2,222,111,406
2020-06-27,,,0,0,2,223,111,408
2020-06-28,,,0,0,2,223,111,410
2020-06-29,,,0,0,2,224,111,412
2020-06-30,,,0,0,2,224,111,414
