date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,,,,,,,,
2020-03-16,,,,,,,,
2020-03-17,,,,,,,,
2020-03-18,,,,,,,,
2020-03-19,,,,,,,,
2020-03-20,,,,,,,,
2020-03-21,,,,,,,,
2020-03-22,,,,,,,,
2020-03-23,2,2,,,,,,
2020-03-24,0,2,,,,,,
2020-03-25,1,3,,,,,,
2020-03-26,0,3,,,,,,
2020-03-27,3,6,,,,,,
2020-03-28,0,6,,,,,,
2020-03-29,1,7,,,,,,
2020-03-30,6,13,,,,,,
2020-03-31,10,23,,,,,,
2020-04-01,1,24,,,,,,
2020-04-02,8,32,,,,,,
2020-04-03,5,37,,,,,,
2020-04-04,6,43,,,,,,
2020-04-05,1,44,,,,,,
2020-04-06,21,65,,,,,,
2020-04-07,,,10,8,12,75,73,77
2020-04-08,,,10,7,13,84,80,90
2020-04-09,,,10,7,14,94,87,104
2020-04-10,,,10,7,15,104,94,119
2020-04-11,,,10,7,16,114,101,135
2020-04-12,,,9,6,16,123,107,151
2020-04-13,,,9,6,16,133,113,167
2020-04-14,,,9,5,16,141,118,183
2020-04-15,,,9,5,15,150,123,198
2020-04-16,,,8,4,15,158,127,213
2020-04-17,,,8,3,14,166,130,227
2020-04-18,,,8,3,13,173,133,240
2020-04-19,,,7,3,12,181,136,252
2020-04-20,,,7,2,11,188,138,264
2020-04-21,,,7,2,10,194,140,274
2020-04-22,,,6,2,10,201,142,284
2020-04-23,,,6,2,10,207,143,294
2020-04-24,,,6,1,9,213,144,303
2020-04-25,,,6,1,9,218,145,312
2020-04-26,,,6,1,9,224,146,321
2020-04-27,,,5,1,9,229,147,330
2020-04-28,,,5,1,8,234,148,338
2020-04-29,,,5,1,8,239,149,346
2020-04-30,,,5,1,8,244,150,354
2020-05-01,,,5,1,8,249,151,362
2020-05-02,,,5,1,8,253,152,370
2020-05-03,,,4,1,8,258,153,378
2020-05-04,,,4,1,7,262,154,386
2020-05-05,,,4,0,7,267,154,392
2020-05-06,,,4,0,7,271,154,400
2020-05-07,,,4,0,7,275,154,406
2020-05-08,,,4,0,7,279,154,414
2020-05-09,,,4,0,7,283,154,420
2020-05-10,,,4,0,7,287,154,428
2020-05-11,,,4,0,7,290,154,434
2020-05-12,,,4,0,6,294,154,441
2020-05-13,,,3,0,6,297,154,447
2020-05-14,,,3,0,6,301,154,453
2020-05-15,,,3,0,6,304,154,459
2020-05-16,,,3,0,6,307,154,465
2020-05-17,,,3,0,6,311,154,471
2020-05-18,,,3,0,6,314,154,477
2020-05-19,,,3,0,6,317,154,483
2020-05-20,,,3,0,6,320,154,489
2020-05-21,,,3,0,6,323,154,495
2020-05-22,,,3,0,5,326,154,500
2020-05-23,,,3,0,5,329,154,505
2020-05-24,,,3,0,5,332,154,510
2020-05-25,,,3,0,5,335,154,515
2020-05-26,,,3,0,5,337,154,520
2020-05-27,,,3,0,5,340,154,525
2020-05-28,,,3,0,5,343,154,530
2020-05-29,,,3,0,5,345,154,535
2020-05-30,,,3,0,5,348,154,540
2020-05-31,,,3,0,5,350,154,545
2020-06-01,,,2,0,5,353,154,550
2020-06-02,,,2,0,4,355,154,554
2020-06-03,,,2,0,4,357,154,558
2020-06-04,,,2,0,4,359,154,562
2020-06-05,,,2,0,4,361,154,566
2020-06-06,,,2,0,4,363,154,570
2020-06-07,,,2,0,4,366,154,574
2020-06-08,,,2,0,4,368,154,578
2020-06-09,,,2,0,4,370,154,582
2020-06-10,,,2,0,4,371,154,586
2020-06-11,,,2,0,4,373,154,590
2020-06-12,,,2,0,4,375,154,594
2020-06-13,,,2,0,4,377,154,598
2020-06-14,,,2,0,3,378,154,601
2020-06-15,,,1,0,3,380,154,604
2020-06-16,,,1,0,3,381,154,607
2020-06-17,,,1,0,3,383,154,610
2020-06-18,,,1,0,3,384,154,613
2020-06-19,,,1,0,3,386,154,616
2020-06-20,,,1,0,3,387,154,619
2020-06-21,,,1,0,3,389,154,622
2020-06-22,,,1,0,3,390,154,625
2020-06-23,,,1,0,3,392,154,628
2020-06-24,,,1,0,3,393,154,631
2020-06-25,,,1,0,3,394,154,634
2020-06-26,,,1,0,2,395,154,636
2020-06-27,,,1,0,2,396,154,638
2020-06-28,,,1,0,2,397,154,640
2020-06-29,,,1,0,2,398,154,642
2020-06-30,,,1,0,2,399,154,644
