date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-11,,,,,,,,
2020-02-12,,,,,,,,
2020-02-13,,,,,,,,
2020-02-14,,,,,,,,
2020-02-15,,,,,,,,
2020-02-16,,,,,,,,
2020-02-17,,,,,,,,
2020-02-18,,,,,,,,
2020-02-19,,,,,,,,
2020-02-20,,,,,,,,
2020-02-21,,,,,,,,
2020-02-22,,,,,,,,
2020-02-23,,,,,,,,
2020-02-24,,,,,,,,
2020-02-25,,,,,,,,
2020-02-26,,,,,,,,
2020-02-27,,,,,,,,
2020-02-28,,,,,,,,
2020-02-29,,,,,,,,
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,1,1,,,,,,
2020-03-04,1,2,,,,,,
2020-03-05,1,3,,,,,,
2020-03-06,2,5,,,,,,
2020-03-07,5,10,,,,,,
2020-03-08,7,17,,,,,,
2020-03-09,11,28,,,,,,
2020-03-10,7,35,,,,,,
2020-03-11,19,54,,,,,,
2020-03-12,1,55,,,,,,
2020-03-13,78,133,,,,,,
2020-03-14,62,195,,,,,,
2020-03-15,94,289,,,,,,
2020-03-16,53,342,,,,,,
2020-03-17,191,533,,,,,,
2020-03-18,90,623,,,,,,
2020-03-19,207,830,,,,,,
2020-03-20,213,1043,,,,,,
2020-03-21,332,1375,,,,,,
2020-03-22,397,1772,,,,,,
2020-03-23,539,2311,,,,,,
2020-03-24,497,2808,,,,,,
2020-03-25,839,3647,,,,,,
2020-03-26,718,4365,,,,,,
2020-03-27,773,5138,,,,,,
2020-03-28,844,5982,,,,,,
2020-03-29,821,6803,,,,,,
2020-03-30,913,7716,,,,,,
2020-03-31,748,8464,,,,,,
2020-04-01,923,9387,,,,,,
2020-04-02,961,10348,,,,,,
2020-04-03,850,11198,,,,,,
2020-04-04,749,11947,,,,,,
2020-04-05,694,12641,,,,,,
2020-04-06,700,13341,,,,,,
2020-04-07,,,753,549,998,14094,13890,14339
2020-04-08,,,711,494,988,14805,14384,15326
2020-04-09,,,662,439,968,15466,14824,16294
2020-04-10,,,609,372,945,16075,15195,17239
2020-04-11,,,555,310,914,16630,15505,18153
2020-04-12,,,503,256,871,17133,15761,19024
2020-04-13,,,453,209,822,17586,15970,19846
2020-04-14,,,407,170,802,17993,16140,20648
2020-04-15,,,365,138,763,18358,16279,21411
2020-04-16,,,326,116,722,18684,16394,22133
2020-04-17,,,292,97,692,18976,16491,22824
2020-04-18,,,261,81,675,19237,16572,23499
2020-04-19,,,234,66,657,19471,16638,24156
2020-04-20,,,209,54,610,19680,16692,24766
2020-04-21,,,188,44,564,19868,16736,25330
2020-04-22,,,169,36,521,20037,16772,25851
2020-04-23,,,152,30,481,20189,16803,26332
2020-04-24,,,137,25,444,20326,16828,26776
2020-04-25,,,124,21,411,20450,16849,27186
2020-04-26,,,112,17,384,20562,16866,27571
2020-04-27,,,102,14,360,20664,16880,27932
2020-04-28,,,93,12,338,20756,16892,28269
2020-04-29,,,84,11,316,20841,16904,28584
2020-04-30,,,77,10,296,20918,16914,28880
2020-05-01,,,70,9,276,20988,16923,29156
2020-05-02,,,65,8,259,21053,16931,29415
2020-05-03,,,59,7,242,21112,16938,29658
2020-05-04,,,55,7,227,21166,16945,29884
2020-05-05,,,50,6,213,21217,16952,30097
2020-05-06,,,46,5,199,21263,16957,30296
2020-05-07,,,43,5,186,21306,16962,30482
2020-05-08,,,40,5,175,21345,16967,30657
2020-05-09,,,37,4,163,21382,16971,30820
2020-05-10,,,34,4,153,21417,16975,30973
2020-05-11,,,32,4,143,21449,16979,31116
2020-05-12,,,30,4,134,21478,16983,31250
2020-05-13,,,28,3,126,21506,16986,31376
2020-05-14,,,26,3,118,21532,16990,31495
2020-05-15,,,24,3,111,21557,16992,31606
2020-05-16,,,23,3,104,21580,16996,31710
2020-05-17,,,22,3,98,21601,16998,31808
2020-05-18,,,20,3,92,21621,17002,31901
2020-05-19,,,19,3,86,21641,17004,31987
2020-05-20,,,18,3,82,21658,17008,32069
2020-05-21,,,17,3,76,21675,17010,32145
2020-05-22,,,16,3,72,21691,17014,32217
2020-05-23,,,15,3,68,21707,17016,32284
2020-05-24,,,14,3,64,21721,17020,32348
2020-05-25,,,14,2,60,21735,17022,32408
2020-05-26,,,13,2,57,21748,17024,32465
2020-05-27,,,12,2,54,21760,17026,32518
2020-05-28,,,12,2,50,21772,17028,32568
2020-05-29,,,11,2,48,21783,17030,32616
2020-05-30,,,11,2,45,21794,17032,32660
2020-05-31,,,10,2,42,21804,17034,32702
2020-06-01,,,10,2,40,21814,17036,32742
2020-06-02,,,9,2,38,21823,17038,32780
2020-06-03,,,9,2,36,21832,17040,32816
2020-06-04,,,9,2,34,21841,17042,32850
2020-06-05,,,8,2,32,21849,17044,32881
2020-06-06,,,8,2,30,21857,17046,32911
2020-06-07,,,8,2,29,21865,17048,32940
2020-06-08,,,7,2,27,21872,17050,32967
2020-06-09,,,7,2,26,21879,17052,32993
2020-06-10,,,7,2,24,21886,17054,33017
2020-06-11,,,6,2,23,21892,17056,33040
2020-06-12,,,6,2,22,21898,17058,33062
2020-06-13,,,6,1,21,21904,17058,33083
2020-06-14,,,6,1,20,21910,17060,33103
2020-06-15,,,5,1,19,21915,17060,33122
2020-06-16,,,5,1,18,21920,17062,33140
2020-06-17,,,5,1,17,21926,17062,33157
2020-06-18,,,5,1,16,21930,17064,33173
2020-06-19,,,5,1,15,21935,17064,33188
2020-06-20,,,4,1,15,21939,17066,33202
2020-06-21,,,4,1,14,21944,17066,33216
2020-06-22,,,4,1,13,21948,17068,33230
2020-06-23,,,4,1,13,21952,17068,33242
2020-06-24,,,4,1,12,21956,17070,33254
2020-06-25,,,4,1,11,21959,17070,33266
2020-06-26,,,3,1,11,21963,17072,33276
2020-06-27,,,3,1,10,21966,17072,33286
2020-06-28,,,3,1,10,21969,17074,33296
2020-06-29,,,3,1,9,21972,17074,33306
2020-06-30,,,3,1,9,21975,17076,33314
