date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-01,0,0,,,,,,
2020-02-02,0,0,,,,,,
2020-02-03,0,0,,,,,,
2020-02-04,0,0,,,,,,
2020-02-05,0,0,,,,,,
2020-02-06,0,0,,,,,,
2020-02-07,0,0,,,,,,
2020-02-08,0,0,,,,,,
2020-02-09,0,0,,,,,,
2020-02-10,0,0,,,,,,
2020-02-11,0,0,,,,,,
2020-02-12,0,0,,,,,,
2020-02-13,0,0,,,,,,
2020-02-14,0,0,,,,,,
2020-02-15,0,0,,,,,,
2020-02-16,0,0,,,,,,
2020-02-17,0,0,,,,,,
2020-02-18,0,0,,,,,,
2020-02-19,0,0,,,,,,
2020-02-20,0,0,,,,,,
2020-02-21,0,0,,,,,,
2020-02-22,0,0,,,,,,
2020-02-23,0,0,,,,,,
2020-02-24,0,0,,,,,,
2020-02-25,0,0,,,,,,
2020-02-26,0,0,,,,,,
2020-02-27,0,0,,,,,,
2020-02-28,4,4,,,,,,
2020-02-29,1,5,,,,,,
2020-03-01,3,8,,,,,,
2020-03-02,3,11,,,,,,
2020-03-03,3,14,,,,,,
2020-03-04,2,16,,,,,,
2020-03-05,4,20,,,,,,
2020-03-06,6,26,,,,,,
2020-03-07,1,27,,,,,,
2020-03-08,4,31,,,,,,
2020-03-09,4,35,,,,,,
2020-03-10,2,37,,,,,,
2020-03-11,6,43,,,,,,
2020-03-12,8,51,,,,,,
2020-03-13,4,55,,,,,,
2020-03-14,8,63,,,,,,
2020-03-15,13,76,,,,,,
2020-03-16,21,97,,,,,,
2020-03-17,22,119,,,,,,
2020-03-18,23,142,,,,,,
2020-03-19,43,185,,,,,,
2020-03-20,62,247,,,,,,
2020-03-21,50,297,,,,,,
2020-03-22,129,426,,,,,,
2020-03-23,83,509,,,,,,
2020-03-24,197,706,,,,,,
2020-03-25,225,931,,,,,,
2020-03-26,277,1208,,,,,,
2020-03-27,366,1574,,,,,,
2020-03-28,427,2001,,,,,,
2020-03-29,466,2467,,,,,,
2020-03-30,516,2983,,,,,,
2020-03-31,820,3803,,,,,,
2020-04-01,943,4746,,,,,,
2020-04-02,1089,5835,,,,,,
2020-04-03,1186,7021,,,,,,
2020-04-04,1352,8373,,,,,,
2020-04-05,1169,9542,,,,,,
2020-04-06,1161,10703,,,,,,
2020-04-07,1925,12628,,,,,,
2020-04-08,1867,14495,,,,,,
2020-04-09,1904,16399,,,,,,
2020-04-10,,,1855,1367,2459,18254,17766,18858
2020-04-11,,,1850,1336,2522,20106,19100,21382
2020-04-12,,,1817,1271,2564,21928,20371,23948
2020-04-13,,,1763,1198,2609,23692,21565,26557
2020-04-14,,,1699,1128,2594,25394,22693,29155
2020-04-15,,,1626,1053,2547,27023,23745,31705
2020-04-16,,,1558,976,2499,28581,24723,34205
2020-04-17,,,1490,909,2441,30069,25625,36648
2020-04-18,,,1423,837,2356,31495,26463,39010
2020-04-19,,,1354,780,2239,32856,27241,41251
2020-04-20,,,1296,722,2135,34148,27959,43392
2020-04-21,,,1235,666,2042,35381,28625,45433
2020-04-22,,,1168,614,1978,36547,29239,47415
2020-04-23,,,1113,570,1909,37661,29807,49328
2020-04-24,,,1057,527,1841,38719,30333,51170
2020-04-25,,,1005,488,1774,39722,30817,52947
2020-04-26,,,955,451,1709,40675,31269,54659
2020-04-27,,,908,420,1643,41583,31687,56304
2020-04-28,,,864,386,1585,42444,32074,57890
2020-04-29,,,824,359,1522,43260,32433,59421
2020-04-30,,,782,336,1459,44041,32767,60885
2020-05-01,,,743,314,1398,44776,33079,62281
2020-05-02,,,704,289,1338,45486,33369,63621
2020-05-03,,,674,268,1286,46161,33634,64907
2020-05-04,,,642,249,1244,46798,33883,66155
2020-05-05,,,613,233,1197,47410,34113,67356
2020-05-06,,,583,218,1155,47991,34333,68515
2020-05-07,,,554,202,1118,48549,34535,69634
2020-05-08,,,534,190,1077,49085,34725,70712
2020-05-09,,,509,178,1044,49595,34899,71759
2020-05-10,,,486,166,1008,50087,35064,72770
