date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-15,,,,,,,,
2020-02-16,,,,,,,,
2020-02-17,,,,,,,,
2020-02-18,,,,,,,,
2020-02-19,,,,,,,,
2020-02-20,,,,,,,,
2020-02-21,,,,,,,,
2020-02-22,,,,,,,,
2020-02-23,,,,,,,,
2020-02-24,,,,,,,,
2020-02-25,,,,,,,,
2020-02-26,,,,,,,,
2020-02-27,,,,,,,,
2020-02-28,,,,,,,,
2020-02-29,,,,,,,,
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,2,2,,,,,,
2020-03-12,0,2,,,,,,
2020-03-13,0,2,,,,,,
2020-03-14,1,3,,,,,,
2020-03-15,1,4,,,,,,
2020-03-16,0,4,,,,,,
2020-03-17,2,6,,,,,,
2020-03-18,1,7,,,,,,
2020-03-19,1,8,,,,,,
2020-03-20,2,10,,,,,,
2020-03-21,2,12,,,,,,
2020-03-22,1,13,,,,,,
2020-03-23,1,14,,,,,,
2020-03-24,4,18,,,,,,
2020-03-25,4,22,,,,,,
2020-03-26,6,28,,,,,,
2020-03-27,6,34,,,,,,
2020-03-28,20,54,,,,,,
2020-03-29,2,56,,,,,,
2020-03-30,7,63,,,,,,
2020-03-31,14,77,,,,,,
2020-04-01,10,87,,,,,,
2020-04-02,41,128,,,,,,
2020-04-03,35,163,,,,,,
2020-04-04,28,191,,,,,,
2020-04-05,27,218,,,,,,
2020-04-06,18,236,,,,,,
2020-04-07,60,296,,,,,,
2020-04-08,13,309,,,,,,
2020-04-09,45,354,,,,,,
2020-04-10,,,38,28,47,392,382,401
2020-04-11,,,38,26,49,429,408,450
2020-04-12,,,37,24,51,467,432,501
2020-04-13,,,37,23,51,504,455,552
2020-04-14,,,36,21,51,540,476,604
2020-04-15,,,35,20,51,575,496,655
2020-04-16,,,34,18,51,609,514,706
2020-04-17,,,33,17,50,642,530,756
2020-04-18,,,31,15,50,673,545,806
2020-04-19,,,30,14,50,703,559,856
2020-04-20,,,29,13,49,732,572,906
2020-04-21,,,28,12,48,760,584,954
2020-04-22,,,26,11,47,786,595,1001
2020-04-23,,,25,10,45,811,605,1046
2020-04-24,,,24,9,44,835,614,1090
2020-04-25,,,23,9,43,858,623,1134
2020-04-26,,,22,8,42,880,631,1176
2020-04-27,,,21,7,40,900,638,1216
2020-04-28,,,20,7,39,920,645,1256
2020-04-29,,,19,6,38,939,651,1294
2020-04-30,,,18,6,37,957,656,1331
2020-05-01,,,17,5,36,974,662,1367
2020-05-02,,,16,5,35,990,666,1402
2020-05-03,,,16,5,34,1006,671,1436
2020-05-04,,,15,4,33,1021,675,1470
2020-05-05,,,14,4,32,1035,679,1502
2020-05-06,,,14,4,31,1049,683,1533
2020-05-07,,,13,3,30,1062,686,1563
2020-05-08,,,12,3,30,1074,689,1593
2020-05-09,,,12,3,29,1086,692,1622
2020-05-10,,,11,3,28,1098,695,1650
2020-05-11,,,11,3,27,1109,698,1678
2020-05-12,,,11,2,26,1119,700,1704
2020-05-13,,,10,2,26,1129,702,1730
2020-05-14,,,10,2,25,1139,704,1755
2020-05-15,,,9,2,24,1148,706,1779
2020-05-16,,,9,2,24,1157,708,1803
2020-05-17,,,9,2,23,1166,710,1826
2020-05-18,,,8,2,22,1174,712,1848
2020-05-19,,,8,2,22,1182,714,1870
2020-05-20,,,8,1,21,1190,714,1891
2020-05-21,,,7,1,20,1197,716,1912
2020-05-22,,,7,1,20,1204,716,1932
2020-05-23,,,7,1,19,1211,718,1951
2020-05-24,,,7,1,19,1218,718,1970
2020-05-25,,,6,1,18,1224,720,1988
2020-05-26,,,6,1,18,1230,720,2006
2020-05-27,,,6,1,17,1236,722,2023
2020-05-28,,,6,1,17,1241,722,2040
2020-05-29,,,5,1,16,1247,724,2056
2020-05-30,,,5,1,16,1252,724,2072
2020-05-31,,,5,1,15,1257,726,2087
2020-06-01,,,5,1,15,1262,726,2102
2020-06-02,,,5,1,15,1267,728,2117
2020-06-03,,,5,1,14,1271,728,2131
2020-06-04,,,4,1,14,1276,730,2145
2020-06-05,,,4,1,13,1280,730,2158
2020-06-06,,,4,1,13,1284,732,2171
2020-06-07,,,4,1,13,1288,732,2184
2020-06-08,,,4,1,12,1292,734,2196
2020-06-09,,,4,0,12,1296,734,2208
2020-06-10,,,4,0,12,1299,734,2220
2020-06-11,,,3,0,11,1303,734,2231
2020-06-12,,,3,0,11,1306,734,2242
2020-06-13,,,3,0,11,1309,734,2253
2020-06-14,,,3,0,10,1312,734,2263
2020-06-15,,,3,0,10,1315,734,2273
2020-06-16,,,3,0,10,1318,734,2283
2020-06-17,,,3,0,9,1320,734,2292
2020-06-18,,,3,0,9,1323,734,2301
2020-06-19,,,2,0,9,1326,734,2310
2020-06-20,,,2,0,9,1328,734,2319
2020-06-21,,,2,0,8,1330,734,2327
2020-06-22,,,2,0,8,1333,734,2335
2020-06-23,,,2,0,8,1335,734,2343
2020-06-24,,,2,0,8,1337,734,2351
2020-06-25,,,2,0,7,1339,734,2358
2020-06-26,,,2,0,7,1341,734,2366
2020-06-27,,,2,0,7,1342,734,2372
2020-06-28,,,2,0,7,1344,734,2380
2020-06-29,,,2,0,7,1346,734,2386
2020-06-30,,,2,0,6,1347,734,2392
2020-07-01,,,2,0,6,1349,734,2398
2020-07-02,,,1,0,6,1350,734,2404
2020-07-03,,,1,0,6,1352,734,2410
2020-07-04,,,1,0,6,1353,734,2416
2020-07-05,,,1,0,5,1354,734,2422
2020-07-06,,,1,0,5,1356,734,2426
2020-07-07,,,1,0,5,1357,734,2432
2020-07-08,,,1,0,5,1358,734,2436
2020-07-09,,,1,0,5,1359,734,2442
2020-07-10,,,1,0,5,1360,734,2446
2020-07-11,,,1,0,4,1361,734,2450
2020-07-12,,,1,0,4,1362,734,2454
2020-07-13,,,1,0,4,1363,734,2458
2020-07-14,,,1,0,4,1363,734,2462
2020-07-15,,,1,0,4,1364,734,2466
2020-07-16,,,1,0,4,1365,734,2470
2020-07-17,,,1,0,4,1366,734,2474
2020-07-18,,,1,0,3,1366,734,2478
2020-07-19,,,1,0,3,1367,734,2480
2020-07-20,,,1,0,3,1368,734,2484
2020-07-21,,,1,0,3,1368,734,2486
2020-07-22,,,1,0,3,1369,734,2490
2020-07-23,,,1,0,3,1369,734,2492
2020-07-24,,,1,0,3,1370,734,2496
2020-07-25,,,0,0,3,1370,734,2498
2020-07-26,,,0,0,3,1371,734,2502
2020-07-27,,,0,0,2,1371,734,2504
2020-07-28,,,0,0,2,1371,734,2506
2020-07-29,,,0,0,2,1372,734,2508
2020-07-30,,,0,0,2,1372,734,2510
2020-07-31,,,0,0,2,1372,734,2512
2020-08-01,,,0,0,2,1373,734,2514
2020-08-02,,,0,0,2,1373,734,2516
2020-08-03,,,0,0,2,1373,734,2518
2020-08-04,,,0,0,2,1373,734,2520
