date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-19,,,,,,,,
2020-02-20,,,,,,,,
2020-02-21,,,,,,,,
2020-02-22,,,,,,,,
2020-02-23,,,,,,,,
2020-02-24,,,,,,,,
2020-02-25,,,,,,,,
2020-02-26,,,,,,,,
2020-02-27,,,,,,,,
2020-02-28,,,,,,,,
2020-02-29,,,,,,,,
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,1,1,,,,,,
2020-03-15,0,1,,,,,,
2020-03-16,0,1,,,,,,
2020-03-17,0,1,,,,,,
2020-03-18,0,1,,,,,,
2020-03-19,0,1,,,,,,
2020-03-20,0,1,,,,,,
2020-03-21,0,1,,,,,,
2020-03-22,1,2,,,,,,
2020-03-23,1,3,,,,,,
2020-03-24,1,4,,,,,,
2020-03-25,1,5,,,,,,
2020-03-26,1,6,,,,,,
2020-03-27,3,9,,,,,,
2020-03-28,0,9,,,,,,
2020-03-29,2,11,,,,,,
2020-03-30,0,11,,,,,,
2020-03-31,4,15,,,,,,
2020-04-01,0,15,,,,,,
2020-04-02,2,17,,,,,,
2020-04-03,3,20,,,,,,
2020-04-04,2,22,,,,,,
2020-04-05,6,28,,,,,,
2020-04-06,2,30,,,,,,
2020-04-07,6,36,,,,,,
2020-04-08,4,40,,,,,,
2020-04-09,3,43,,,,,,
2020-04-10,,,7,4,10,50,47,53
2020-04-11,,,7,4,10,57,51,63
2020-04-12,,,7,3,11,64,54,74
2020-04-13,,,7,3,12,71,57,86
2020-04-14,,,7,3,12,78,60,98
2020-04-15,,,7,3,12,85,63,110
2020-04-16,,,7,3,12,92,66,122
2020-04-17,,,7,2,12,99,68,134
2020-04-18,,,7,2,12,105,70,146
2020-04-19,,,6,2,12,112,72,158
2020-04-20,,,6,2,12,118,74,170
2020-04-21,,,6,2,12,124,76,182
2020-04-22,,,6,2,12,129,78,194
2020-04-23,,,5,2,11,134,80,205
2020-04-24,,,5,2,11,140,82,216
2020-04-25,,,5,1,11,144,83,227
2020-04-26,,,5,1,11,149,84,238
2020-04-27,,,4,1,10,154,85,248
2020-04-28,,,4,1,10,158,86,258
2020-04-29,,,4,1,10,162,87,268
2020-04-30,,,4,1,9,166,88,278
2020-05-01,,,4,1,9,169,89,286
2020-05-02,,,3,1,9,173,90,296
2020-05-03,,,3,1,9,176,91,304
2020-05-04,,,3,1,8,179,92,313
2020-05-05,,,3,1,8,182,93,321
2020-05-06,,,3,1,8,185,94,329
2020-05-07,,,3,1,8,188,95,337
2020-05-08,,,3,1,7,191,96,344
2020-05-09,,,3,1,7,193,97,351
2020-05-10,,,2,1,7,196,98,358
2020-05-11,,,2,0,7,198,98,365
2020-05-12,,,2,0,6,200,98,371
2020-05-13,,,2,0,6,202,98,378
2020-05-14,,,2,0,6,205,98,384
2020-05-15,,,2,0,6,207,98,390
2020-05-16,,,2,0,6,208,98,396
2020-05-17,,,2,0,6,210,98,402
2020-05-18,,,2,0,5,212,98,407
2020-05-19,,,2,0,5,214,98,412
2020-05-20,,,2,0,5,215,98,417
2020-05-21,,,2,0,5,217,98,422
2020-05-22,,,1,0,5,218,98,427
2020-05-23,,,1,0,5,220,98,432
2020-05-24,,,1,0,5,221,98,437
2020-05-25,,,1,0,4,222,98,442
2020-05-26,,,1,0,4,223,98,446
2020-05-27,,,1,0,4,225,98,450
2020-05-28,,,1,0,4,226,98,454
2020-05-29,,,1,0,4,227,98,458
2020-05-30,,,1,0,4,228,98,462
2020-05-31,,,1,0,4,229,98,466
2020-06-01,,,1,0,4,230,98,470
2020-06-02,,,1,0,4,230,98,474
2020-06-03,,,1,0,4,231,98,478
2020-06-04,,,1,0,3,232,98,481
2020-06-05,,,1,0,3,233,98,484
2020-06-06,,,1,0,3,234,98,488
2020-06-07,,,1,0,3,234,98,491
2020-06-08,,,1,0,3,235,98,494
2020-06-09,,,1,0,3,236,98,497
2020-06-10,,,1,0,3,236,98,500
2020-06-11,,,1,0,3,237,98,503
2020-06-12,,,1,0,3,237,98,506
2020-06-13,,,1,0,3,238,98,509
2020-06-14,,,1,0,3,238,98,512
2020-06-15,,,0,0,3,239,98,515
2020-06-16,,,0,0,2,239,98,517
2020-06-17,,,0,0,2,240,98,519
2020-06-18,,,0,0,2,240,98,521
2020-06-19,,,0,0,2,241,98,523
2020-06-20,,,0,0,2,241,98,525
2020-06-21,,,0,0,2,241,98,527
2020-06-22,,,0,0,2,242,98,529
2020-06-23,,,0,0,2,242,98,531
2020-06-24,,,0,0,2,242,98,533
2020-06-25,,,0,0,2,243,98,535
2020-06-26,,,0,0,2,243,98,537
2020-06-27,,,0,0,2,243,98,539
2020-06-28,,,0,0,2,243,98,541
2020-06-29,,,0,0,2,244,98,543
2020-06-30,,,0,0,2,244,98,545
2020-07-01,,,0,0,2,244,98,547
2020-07-02,,,0,0,1,244,98,548
2020-07-03,,,0,0,1,244,98,550
2020-07-04,,,0,0,1,245,98,551
2020-07-05,,,0,0,1,245,98,552
2020-07-06,,,0,0,1,245,98,553
2020-07-07,,,0,0,1,245,98,554
2020-07-08,,,0,0,1,245,98,555
2020-07-09,,,0,0,1,245,98,556
2020-07-10,,,0,0,1,245,98,557
2020-07-11,,,0,0,1,245,98,558
2020-07-12,,,0,0,1,246,98,559
2020-07-13,,,0,0,1,246,98,560
2020-07-14,,,0,0,1,246,98,561
2020-07-15,,,0,0,1,246,98,562
2020-07-16,,,0,0,1,246,98,563
2020-07-17,,,0,0,1,246,98,564
2020-07-18,,,0,0,1,246,98,565
2020-07-19,,,0,0,1,246,98,566
2020-07-20,,,0,0,1,246,98,567
2020-07-21,,,0,0,1,246,98,568
2020-07-22,,,0,0,1,246,98,569
2020-07-23,,,0,0,1,246,98,570
