date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,,,,,,,,
2020-03-16,,,,,,,,
2020-03-17,,,,,,,,
2020-03-18,,,,,,,,
2020-03-19,,,,,,,,
2020-03-20,,,,,,,,
2020-03-21,,,,,,,,
2020-03-22,,,,,,,,
2020-03-23,,,,,,,,
2020-03-24,,,,,,,,
2020-03-25,,,,,,,,
2020-03-26,,,,,,,,
2020-03-27,,,,,,,,
2020-03-28,,,,,,,,
2020-03-29,,,,,,,,
2020-03-30,,,,,,,,
2020-03-31,,,,,,,,
2020-04-01,1,1,,,,,,
2020-04-02,0,1,,,,,,
2020-04-03,2,3,,,,,,
2020-04-04,0,3,,,,,,
2020-04-05,1,4,,,,,,
2020-04-06,1,5,,,,,,
2020-04-07,0,5,,,,,,
2020-04-08,0,5,,,,,,
2020-04-09,1,6,,,,,,
2020-04-10,0,6,,,,,,
2020-04-11,2,8,,,,,,
2020-04-12,1,9,,,,,,
2020-04-13,0,9,,,,,,
2020-04-14,,,1,0,2,10,9,11
2020-04-15,,,1,0,2,11,9,13
2020-04-16,,,1,0,2,12,9,15
2020-04-17,,,1,0,2,13,9,17
2020-04-18,,,1,0,2,14,9,19
2020-04-19,,,1,0,2,16,9,21
2020-04-20,,,1,0,2,17,9,23
2020-04-21,,,1,0,2,18,9,25
2020-04-22,,,1,0,2,20,9,27
2020-04-23,,,1,0,2,21,9,29
2020-04-24,,,1,1,2,22,10,31
2020-04-25,,,1,0,2,24,10,33
2020-04-26,,,1,1,2,25,11,35
2020-04-27,,,1,1,2,27,11,37
2020-04-28,,,1,1,2,28,12,39
2020-04-29,,,1,1,2,30,13,41
2020-04-30,,,1,1,2,31,14,44
2020-05-01,,,1,1,2,32,15,46
2020-05-02,,,1,1,3,34,16,49
2020-05-03,,,1,1,3,35,17,52
2020-05-04,,,1,0,3,37,17,55
2020-05-05,,,1,0,3,38,17,58
2020-05-06,,,1,0,3,39,17,61
2020-05-07,,,1,0,3,41,17,64
2020-05-08,,,1,0,3,42,17,67
2020-05-09,,,1,0,3,43,17,70
2020-05-10,,,1,0,3,45,17,73
2020-05-11,,,1,0,3,46,17,76
2020-05-12,,,1,0,3,47,17,79
2020-05-13,,,1,0,3,49,17,82
2020-05-14,,,1,0,3,50,17,85
2020-05-15,,,1,0,3,52,17,88
2020-05-16,,,1,0,3,53,17,91
2020-05-17,,,1,0,3,54,17,94
2020-05-18,,,1,0,3,56,17,97
2020-05-19,,,1,0,3,57,17,100
2020-05-20,,,1,0,3,58,17,103
2020-05-21,,,1,0,3,60,17,106
2020-05-22,,,1,0,3,61,17,109
2020-05-23,,,1,0,3,62,17,112
2020-05-24,,,1,0,3,63,17,115
2020-05-25,,,1,0,3,64,17,118
2020-05-26,,,1,0,3,65,17,121
2020-05-27,,,1,0,3,67,17,124
2020-05-28,,,1,0,2,68,17,126
2020-05-29,,,1,0,2,69,17,128
2020-05-30,,,1,0,2,70,17,131
2020-05-31,,,1,0,2,71,17,133
2020-06-01,,,1,0,2,72,17,135
2020-06-02,,,1,0,2,73,17,137
2020-06-03,,,1,0,2,74,17,140
2020-06-04,,,1,0,2,75,17,142
2020-06-05,,,1,0,2,76,17,144
2020-06-06,,,1,0,2,77,17,146
2020-06-07,,,1,0,2,79,17,149
2020-06-08,,,1,0,2,80,17,151
2020-06-09,,,1,0,2,81,17,153
2020-06-10,,,1,0,2,82,17,155
2020-06-11,,,1,0,2,82,17,158
2020-06-12,,,1,0,2,83,17,160
2020-06-13,,,1,0,2,84,17,162
2020-06-14,,,1,0,2,85,17,164
2020-06-15,,,1,0,2,85,17,167
2020-06-16,,,1,0,2,86,17,169
2020-06-17,,,1,0,2,87,17,171
2020-06-18,,,1,0,2,87,17,173
