country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
France,,852,548,1101
United Kingdom,,790,602,1033
Italy,,470,357,578
Spain,,421,302,589
Belgium,,373,306,444
Germany,,207,148,254
Brazil,,186,157,208
Netherlands,,109,78,144
Iran,,108,83,131
Sweden,,101,78,138
Turkey,,97,79,116
Canada,,89,72,115
India,,46,39,51
Switzerland,,45,32,59
Mexico,,42,38,45
Indonesia,,36,26,46
Ireland,,36,24,48
Portugal,,31,25,36
Romania,,27,21,34
Philippines,,27,16,37
Poland,,20,15,26
Austria,,19,14,24
Russia,,18,15,22
Denmark,,13,9,18
Hungary,,13,8,17
Czechia,,11,9,12
Norway,,8,5,12
Finland,,7,4,9
Bulgaria,,5,3,6
Greece,,5,3,6
Luxembourg,,4,3,5
Slovenia,,4,2,6
Croatia,,4,2,4
Lithuania,,3,2,4
Estonia,,3,2,3
Cyprus,,2,1,2
Latvia,,1,1,2
Malta,,1,1,1
Slovakia,,1,1,1
