date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,,,,,,,,
2020-03-16,,,,,,,,
2020-03-17,,,,,,,,
2020-03-18,,,,,,,,
2020-03-19,,,,,,,,
2020-03-20,,,,,,,,
2020-03-21,,,,,,,,
2020-03-22,,,,,,,,
2020-03-23,,,,,,,,
2020-03-24,,,,,,,,
2020-03-25,1,1,,,,,,
2020-03-26,0,1,,,,,,
2020-03-27,0,1,,,,,,
2020-03-28,0,1,,,,,,
2020-03-29,2,3,,,,,,
2020-03-30,0,3,,,,,,
2020-03-31,1,4,,,,,,
2020-04-01,1,5,,,,,,
2020-04-02,6,11,,,,,,
2020-04-03,1,12,,,,,,
2020-04-04,1,13,,,,,,
2020-04-05,2,15,,,,,,
2020-04-06,4,19,,,,,,
2020-04-07,2,21,,,,,,
2020-04-08,3,24,,,,,,
2020-04-09,0,24,,,,,,
2020-04-10,0,24,,,,,,
2020-04-11,0,24,,,,,,
2020-04-12,1,25,,,,,,
2020-04-13,3,28,,,,,,
2020-04-14,3,31,,,,,,
2020-04-15,4,35,,,,,,
2020-04-16,1,36,,,,,,
2020-04-17,,,2,2,3,38,38,39
2020-04-18,,,2,2,3,41,39,42
2020-04-19,,,2,2,3,43,41,45
2020-04-20,,,2,2,3,45,43,48
2020-04-21,,,2,2,3,47,44,51
2020-04-22,,,2,1,3,50,46,54
2020-04-23,,,2,1,3,52,47,57
2020-04-24,,,2,1,3,54,48,60
2020-04-25,,,2,1,3,56,50,64
2020-04-26,,,2,1,3,58,51,67
2020-04-27,,,2,1,3,60,52,70
2020-04-28,,,2,1,3,62,54,73
2020-04-29,,,2,1,3,64,55,77
2020-04-30,,,2,1,3,66,56,80
2020-05-01,,,2,1,3,68,57,84
2020-05-02,,,2,1,3,70,58,87
2020-05-03,,,2,1,3,72,59,90
2020-05-04,,,2,1,3,74,60,94
2020-05-05,,,2,1,4,76,61,97
2020-05-06,,,2,1,4,78,63,101
2020-05-07,,,2,1,4,80,64,105
2020-05-08,,,2,1,4,82,65,108
2020-05-09,,,2,1,4,83,65,112
2020-05-10,,,2,1,4,85,66,115
2020-05-11,,,2,1,4,87,67,119
2020-05-12,,,2,1,4,89,68,123
2020-05-13,,,2,1,4,91,69,126
2020-05-14,,,2,1,4,92,70,130
2020-05-15,,,2,1,4,94,71,134
2020-05-16,,,2,1,4,96,72,138
2020-05-17,,,2,1,4,97,73,141
2020-05-18,,,2,1,4,99,73,145
2020-05-19,,,2,1,4,101,74,149
2020-05-20,,,2,1,4,102,75,153
2020-05-21,,,2,1,4,104,76,157
2020-05-22,,,2,1,4,106,77,160
2020-05-23,,,2,1,4,107,77,164
2020-05-24,,,2,1,4,109,78,168
2020-05-25,,,2,1,4,110,79,172
2020-05-26,,,2,1,4,112,80,176
2020-05-27,,,2,1,4,113,80,180
2020-05-28,,,1,1,4,115,81,184
2020-05-29,,,1,1,4,116,82,187
2020-05-30,,,1,1,4,118,82,191
2020-05-31,,,1,1,4,119,83,195
2020-06-01,,,1,1,4,120,84,199
2020-06-02,,,1,1,4,122,84,203
2020-06-03,,,1,1,4,123,85,207
2020-06-04,,,1,1,4,125,85,210
2020-06-05,,,1,1,4,126,86,214
2020-06-06,,,1,1,4,127,87,218
2020-06-07,,,1,1,4,129,87,222
2020-06-08,,,1,1,4,130,88,226
2020-06-09,,,1,1,4,131,88,230
2020-06-10,,,1,1,4,132,89,233
2020-06-11,,,1,1,4,134,89,237
2020-06-12,,,1,1,4,135,90,241
2020-06-13,,,1,0,4,136,90,245
2020-06-14,,,1,0,4,137,91,248
2020-06-15,,,1,0,4,138,91,252
2020-06-16,,,1,0,4,140,92,256
2020-06-17,,,1,0,4,141,92,260
2020-06-18,,,1,0,4,142,93,263
2020-06-19,,,1,0,4,143,93,267
2020-06-20,,,1,0,4,144,94,271
2020-06-21,,,1,0,4,145,94,274
2020-06-22,,,1,0,4,146,94,278
2020-06-23,,,1,0,4,148,95,282
2020-06-24,,,1,0,4,149,95,285
2020-06-25,,,1,0,4,150,96,289
2020-06-26,,,1,0,4,151,96,293
2020-06-27,,,1,0,4,152,97,297
2020-06-28,,,1,0,4,154,97,301
2020-06-29,,,1,0,4,155,97,304
2020-06-30,,,1,0,4,156,98,308
2020-07-01,,,1,0,4,158,98,312
2020-07-02,,,1,0,4,159,99,316
2020-07-03,,,1,0,4,160,99,320
2020-07-04,,,1,0,4,162,100,324
2020-07-05,,,1,0,4,163,100,328
2020-07-06,,,1,0,5,164,100,333
2020-07-07,,,1,0,5,166,101,338
2020-07-08,,,1,0,5,167,101,343
2020-07-09,,,2,0,5,169,102,348
2020-07-10,,,2,0,5,170,102,353
2020-07-11,,,2,0,5,172,102,358
2020-07-12,,,2,0,6,174,103,364
2020-07-13,,,2,0,6,175,103,370
2020-07-14,,,2,0,6,177,103,376
2020-07-15,,,2,0,6,179,104,382
2020-07-16,,,2,0,6,180,104,388
2020-07-17,,,2,0,7,182,104,395
2020-07-18,,,2,0,7,184,105,402
2020-07-19,,,2,0,7,186,105,409
2020-07-20,,,2,0,7,188,105,416
2020-07-21,,,2,0,8,189,105,424
2020-07-22,,,2,0,8,191,106,432
2020-07-23,,,2,0,8,193,106,440
2020-07-24,,,2,0,8,195,106,448
2020-07-25,,,2,0,9,197,106,457
2020-07-26,,,2,0,9,199,106,466
2020-07-27,,,2,0,9,202,107,475
2020-07-28,,,2,0,10,204,107,485
2020-07-29,,,2,0,10,206,107,495
2020-07-30,,,2,0,10,208,107,505
2020-07-31,,,2,0,11,211,107,516
2020-08-01,,,2,0,11,213,107,527
2020-08-02,,,2,0,11,216,107,538
2020-08-03,,,3,0,12,218,108,550
2020-08-04,,,3,0,12,221,108,562
