date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-02-26,,,,,,,,
2020-02-27,,,,,,,,
2020-02-28,,,,,,,,
2020-02-29,,,,,,,,
2020-03-01,,,,,,,,
2020-03-02,,,,,,,,
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,,,,,,,,
2020-03-16,,,,,,,,
2020-03-17,,,,,,,,
2020-03-18,,,,,,,,
2020-03-19,,,,,,,,
2020-03-20,,,,,,,,
2020-03-21,1,1,,,,,,
2020-03-22,0,1,,,,,,
2020-03-23,1,2,,,,,,
2020-03-24,0,2,,,,,,
2020-03-25,0,2,,,,,,
2020-03-26,0,2,,,,,,
2020-03-27,1,3,,,,,,
2020-03-28,0,3,,,,,,
2020-03-29,0,3,,,,,,
2020-03-30,3,6,,,,,,
2020-03-31,2,8,,,,,,
2020-04-01,3,11,,,,,,
2020-04-02,1,12,,,,,,
2020-04-03,3,15,,,,,,
2020-04-04,3,18,,,,,,
2020-04-05,2,20,,,,,,
2020-04-06,1,21,,,,,,
2020-04-07,2,23,,,,,,
2020-04-08,1,24,,,,,,
2020-04-09,9,33,,,,,,
2020-04-10,6,39,,,,,,
2020-04-11,3,42,,,,,,
2020-04-12,2,44,,,,,,
2020-04-13,1,45,,,,,,
2020-04-14,0,45,,,,,,
2020-04-15,6,51,,,,,,
2020-04-16,5,56,,,,,,
2020-04-17,2,58,,,,,,
2020-04-18,2,60,,,,,,
2020-04-19,2,62,,,,,,
2020-04-20,1,63,,,,,,
2020-04-21,0,63,,,,,,
2020-04-22,0,63,,,,,,
2020-04-23,,,2,1,5,65,64,68
2020-04-24,,,2,1,5,68,65,72
2020-04-25,,,2,1,4,70,67,76
2020-04-26,,,2,1,4,72,68,80
2020-04-27,,,2,1,4,75,69,84
2020-04-28,,,2,1,4,77,71,87
2020-04-29,,,2,1,4,79,72,91
2020-04-30,,,2,1,4,81,73,95
2020-05-01,,,2,1,4,83,74,99
2020-05-02,,,2,1,4,85,75,103
2020-05-03,,,2,1,4,87,76,106
2020-05-04,,,2,0,4,89,77,110
2020-05-05,,,2,0,4,91,78,114
2020-05-06,,,2,0,4,92,79,117
2020-05-07,,,2,0,4,94,80,121
2020-05-08,,,2,0,4,96,81,124
2020-05-09,,,2,0,4,98,82,128
2020-05-10,,,2,0,4,99,83,131
2020-05-11,,,2,0,4,101,83,134
2020-05-12,,,2,0,4,102,84,138
2020-05-13,,,2,0,4,104,85,141
2020-05-14,,,2,0,4,105,86,145
2020-05-15,,,1,0,4,107,86,148
2020-05-16,,,1,0,4,108,87,151
2020-05-17,,,1,0,4,110,88,155
2020-05-18,,,1,0,4,111,88,158
2020-05-19,,,1,0,4,113,89,161
2020-05-20,,,1,0,4,114,90,165
2020-05-21,,,1,0,4,115,90,168
2020-05-22,,,1,0,4,117,91,171
2020-05-23,,,1,0,4,118,92,174
2020-05-24,,,1,0,4,119,92,178
2020-05-25,,,1,0,4,120,93,181
2020-05-26,,,1,0,4,122,93,184
2020-05-27,,,1,0,4,123,94,187
2020-05-28,,,1,0,4,124,94,190
2020-05-29,,,1,0,4,125,95,193
2020-05-30,,,1,0,4,126,95,197
2020-05-31,,,1,0,4,127,96,200
2020-06-01,,,1,0,4,128,96,203
2020-06-02,,,1,0,4,129,97,206
