date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-19,,,,,,,,,49,25,75
2020-02-20,,,,,,,,,97,50,150
2020-02-21,,,,,,,,,146,75,225
2020-02-22,,,,,,,,,195,100,300
2020-02-23,,,,,,,,,243,125,375
2020-02-24,,,,,,,,,292,150,450
2020-02-25,,,,,,,,,340,175,525
2020-02-26,,,,,,,,,389,200,600
2020-02-27,,,,,,,,,438,225,675
2020-02-28,,,,,,,,,547,284,840
2020-02-29,,,,,,,,,657,344,1004
2020-03-01,,,,,,,,,770,406,1173
2020-03-02,,,,,,,,,890,473,1352
2020-03-03,,,,,,,,,1027,549,1551
2020-03-04,,,,,,,,,1188,641,1782
2020-03-05,,,,,,,,,1367,744,2035
2020-03-06,,,,,,,,,1561,856,2304
2020-03-07,,,,,,,,,1770,978,2592
2020-03-08,,,,,,,,,1996,1113,2902
2020-03-09,,,,,,,,,2242,1262,3233
2020-03-10,,,,,,,,,2506,1426,3592
2020-03-11,,,,,,,,,2785,1606,3967
2020-03-12,,,,,,,,,3075,1800,4354
2020-03-13,,,,,,,,,3375,2007,4752
2020-03-14,1,1,,,,,,,3681,2221,5161
2020-03-15,0,1,,,,,,,3992,2441,5585
2020-03-16,0,1,,,,,,,4302,2667,6008
2020-03-17,0,1,,,,,,,4610,2895,6420
2020-03-18,1,2,,,,,,,4913,3123,6827
2020-03-19,2,4,,,,,,,5208,3350,7219
2020-03-20,0,4,,,,,,,5496,3572,7602
2020-03-21,4,8,,,,,,,5774,3786,7974
2020-03-22,0,8,,,,,,,6042,3993,8330
2020-03-23,0,8,,,,,,,6302,4192,8672
2020-03-24,0,8,,,,,,,6552,4380,9001
2020-03-25,0,8,,,,,,,6793,4557,9319
2020-03-26,1,9,,,,,,,7026,4725,9629
2020-03-27,6,15,,,,,,,7250,4884,9930
2020-03-28,3,18,,,,,,,7468,5036,10224
2020-03-29,3,21,,,,,,,7678,5181,10510
2020-03-30,1,22,,,,,,,7882,5318,10792
2020-03-31,1,23,,,,,,,8079,5448,11069
2020-04-01,6,29,,,,,,,8270,5570,11343
2020-04-02,1,30,,,,,,,8456,5684,11611
2020-04-03,1,31,,,,,,,8637,5792,11873
2020-04-04,0,31,,,,,,,8813,5894,12130
2020-04-05,5,36,,,,,,,8984,5990,12382
2020-04-06,5,41,,,,,,,9150,6081,12631
2020-04-07,3,44,,,,,,,9312,6167,12876
2020-04-08,2,46,,,,,,,9471,6250,13120
2020-04-09,6,52,,,,,,,9625,6329,13362
2020-04-10,2,54,,,,,,,9776,6404,13602
2020-04-11,8,62,,,,,,,9923,6475,13838
2020-04-12,4,66,,,,,,,10067,6544,14071
2020-04-13,1,67,,,,,,,10208,6609,14301
2020-04-14,0,67,,,,,,,10346,6671,14530
2020-04-15,2,69,,,,,,,10481,6731,14755
2020-04-16,0,69,,,,,,,10613,6789,14978
2020-04-17,3,72,,,,,,,10742,6844,15197
2020-04-18,0,72,,,,,,,10869,6897,15412
2020-04-19,1,73,,,,,,,10993,6949,15625
2020-04-20,2,75,,,,,,,11115,6998,15834
2020-04-21,3,78,,,,,,,11234,7047,16039
2020-04-22,2,80,,,,,,,11351,7093,16242
2020-04-23,3,83,,,,,,,11466,7138,16441
2020-04-24,,,2,1,3,85,84,86,11578,7182,16638
2020-04-25,,,2,1,3,87,85,89,11689,7224,16831
2020-04-26,,,2,1,3,88,86,91,11797,7266,17021
2020-04-27,,,2,0,3,90,87,94,11904,7306,17208
2020-04-28,,,2,0,3,92,88,96,12008,7345,17392
2020-04-29,,,2,0,3,93,89,99,12110,7383,17573
2020-04-30,,,2,0,3,95,89,101,12211,7420,17752
2020-05-01,,,2,0,3,97,90,104,12309,7456,17927
2020-05-02,,,2,0,3,98,91,106,12406,7491,18099
2020-05-03,,,1,0,3,100,92,108,12501,7526,18269
2020-05-04,,,1,0,3,101,92,111,12594,7559,18435
2020-05-05,,,1,0,3,102,93,113,12686,7592,18599
2020-05-06,,,1,0,3,104,94,115,12775,7624,18760
2020-05-07,,,1,0,3,105,94,118,12863,7655,18918
2020-05-08,,,1,0,3,107,95,120,12950,7686,19073
2020-05-09,,,1,0,3,108,95,122,13034,7716,19226
2020-05-10,,,1,0,3,109,96,124,13117,7745,19376
2020-05-11,,,1,0,3,110,96,126,13198,7773,19523
2020-05-12,,,1,0,3,112,97,128,13278,7801,19667
2020-05-13,,,1,0,3,113,97,130,13356,7828,19809
2020-05-14,,,1,0,3,114,98,133,13433,7855,19948
2020-05-15,,,1,0,2,115,98,135,13508,7881,20084
2020-05-16,,,1,0,2,116,99,136,13581,7906,20217
2020-05-17,,,1,0,2,117,99,138,13653,7930,20348
2020-05-18,,,1,0,2,118,100,140,13723,7955,20477
2020-05-19,,,1,0,2,119,100,142,13792,7978,20602
2020-05-20,,,1,0,2,120,100,144,13859,8001,20725
2020-05-21,,,1,0,2,122,101,146,13925,8023,20845
2020-05-22,,,1,0,2,123,101,148,13989,8045,20963
2020-05-23,,,1,0,2,124,102,149,14052,8066,21078
2020-05-24,,,1,0,2,124,102,151,14113,8087,21191
2020-05-25,,,1,0,2,125,102,153,14173,8107,21301
2020-05-26,,,1,0,2,126,103,154,14231,8126,21408
2020-05-27,,,1,0,2,127,103,156,14288,8145,21513
2020-05-28,,,1,0,2,128,103,158,14343,8163,21615
2020-05-29,,,1,0,2,129,104,159,14397,8181,21714
2020-05-30,,,1,0,2,130,104,161,14450,8198,21811
2020-05-31,,,1,0,2,131,104,162,14501,8215,21906
2020-06-01,,,1,0,2,132,104,164,14554,8232,22013
2020-06-02,,,1,0,2,132,105,165,14606,8249,22117
2020-06-03,,,1,0,2,133,105,167,14657,8265,22219
2020-06-04,,,1,0,2,134,105,168,14706,8281,22319
2020-06-05,,,1,0,2,135,106,170,14755,8296,22419
2020-06-06,,,1,0,2,135,106,171,14803,8311,22520
2020-06-07,,,1,0,2,136,106,172,14850,8326,22622
2020-06-08,,,1,0,2,137,106,174,14896,8340,22722
2020-06-09,,,1,0,2,138,107,175,14942,8353,22822
2020-06-10,,,1,0,2,138,107,176,14985,8366,22920
2020-06-11,,,1,0,2,139,107,177,15028,8378,23019
2020-06-12,,,1,0,2,140,107,179,15070,8390,23117
2020-06-13,,,1,0,2,140,107,180,15111,8402,23215
2020-06-14,,,1,0,2,141,108,181,15151,8413,23312
2020-06-15,,,1,0,2,142,108,182,15189,8423,23409
2020-06-16,,,1,0,2,142,108,183,15226,8433,23505
2020-06-17,,,1,0,2,143,108,184,15262,8442,23601
2020-06-18,,,1,0,2,143,108,185,15297,8451,23696
2020-06-19,,,1,0,2,144,109,186,15330,8459,23790
2020-06-20,,,1,0,2,144,109,187,15363,8467,23883
2020-06-21,,,1,0,2,145,109,188,15394,8474,23975
2020-06-22,,,1,0,2,145,109,189,15423,8481,24066
2020-06-23,,,1,0,2,146,109,190,15451,8487,24156
2020-06-24,,,1,0,2,147,110,191,15478,8492,24245
2020-06-25,,,1,0,2,147,110,192,15504,8497,24333
2020-06-26,,,0,0,2,148,110,193,15529,8502,24420
2020-06-27,,,0,0,2,148,110,194,15552,8506,24506
2020-06-28,,,0,0,2,148,110,195,15575,8510,24591
2020-06-29,,,0,0,2,149,110,196,15597,8513,24675
2020-06-30,,,0,0,1,149,110,197,15618,8517,24758
2020-07-01,,,0,0,1,150,111,198,15639,8520,24840
2020-07-02,,,0,0,1,150,111,199,15658,8522,24921
2020-07-03,,,0,0,1,151,111,200,15677,8525,25001
2020-07-04,,,0,0,1,151,111,201,15695,8527,25081
2020-07-05,,,0,0,1,152,111,202,15713,8529,25159
2020-07-06,,,0,0,1,152,111,203,15729,8531,25237
