date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-19,,,,,,,,,123,50,150,123,50,150,123,50,150
2020-02-20,,,,,,,,,123,50,150,247,100,300,247,100,300
2020-02-21,,,,,,,,,123,50,150,370,150,450,370,150,450
2020-02-22,,,,,,,,,123,50,150,494,200,600,494,200,600
2020-02-23,,,,,,,,,123,50,150,617,250,750,617,250,750
2020-02-24,,,,,,,,,123,50,150,740,300,900,740,300,900
2020-02-25,,,,,,,,,123,50,150,864,350,1050,864,350,1050
2020-02-26,,,,,,,,,123,50,150,987,400,1200,987,400,1200
2020-02-27,,,,,,,,,123,50,150,1111,450,1350,1111,450,1350
2020-02-28,,,,,,,,,380,189,530,1491,639,1880,1491,639,1880
2020-02-29,,,,,,,,,378,188,524,1869,828,2403,1869,828,2403
2020-03-01,,,,,,,,,403,207,562,2272,1035,2964,2272,1035,2964
2020-03-02,,,,,,,,,454,244,639,2727,1280,3603,2727,1280,3603
2020-03-03,,,,,,,,,560,321,797,3286,1602,4400,3286,1602,4400
2020-03-04,,,,,,,,,721,425,1035,4007,2027,5435,4007,2027,5435
2020-03-05,,,,,,,,,841,496,1215,4725,2474,6500,4848,2524,6650
2020-03-06,,,,,,,,,942,588,1307,5543,3012,7656,5790,3112,7956
2020-03-07,,,,,,,,,1055,707,1423,6475,3670,8928,6845,3820,9378
2020-03-08,,,,,,,,,1179,816,1552,7530,4436,10330,8024,4636,10930
2020-03-09,,,,,,,,,1313,935,1683,8720,5321,11863,9337,5571,12613
2020-03-10,,,,,,,,,1420,1057,1765,10017,6329,13477,10758,6629,14377
2020-03-11,,,,,,,,,1493,1171,1863,11387,7451,15189,12251,7801,16239
2020-03-12,,,,,,,,,1541,1225,1929,12805,8626,16968,13792,9026,18168
2020-03-13,,,,,,,,,1568,1240,1928,14250,9816,18745,15360,10266,20095
2020-03-14,1,1,,,,,,,1578,1247,1934,15448,10874,20150,16939,11514,22029
2020-03-15,1,2,,,,,,,1569,1245,1898,16639,11931,21524,18508,12759,23927
2020-03-16,1,3,,,,,,,1543,1232,1896,17778,12956,22858,20050,13992,25822
2020-03-17,1,4,,,,,,,1505,1213,1870,18828,13925,24089,21555,15205,27692
2020-03-18,0,4,,,,,,,1461,1184,1806,19730,14787,25098,23017,16389,29497
2020-03-19,2,6,,,,,,,1417,1161,1743,20426,15523,25805,24433,17551,31240
2020-03-20,3,9,,,,,,,1371,1132,1671,20956,16159,26261,25805,18683,32910
2020-03-21,4,13,,,,,,,1326,1103,1604,21341,16673,26559,27131,19786,34514
2020-03-22,0,13,,,,,,,1282,1055,1535,21567,17021,26670,28412,20841,36048
2020-03-23,11,24,,,,,,,1238,1009,1478,21627,17214,26596,29651,21850,37526
2020-03-24,8,32,,,,,,,1197,961,1428,21510,17240,26340,30848,22812,38953
2020-03-25,2,34,,,,,,,1158,918,1398,21248,17102,25974,32005,23731,40350
2020-03-26,7,41,,,,,,,1120,877,1376,20874,16807,25487,33125,24609,41726
2020-03-27,11,52,,,,,,,1084,832,1359,20418,16414,24917,34210,25441,43084
2020-03-28,13,65,,,,,,,1050,788,1341,19899,15963,24330,35260,26230,44425
2020-03-29,7,72,,,,,,,1018,743,1316,19339,15459,23711,36277,26974,45740
2020-03-30,5,77,,,,,,,987,703,1306,18756,14917,23119,37264,27677,47046
2020-03-31,13,90,,,,,,,957,667,1289,18171,14352,22512,38221,28344,48334
2020-04-01,14,104,,,,,,,929,637,1275,17595,13776,21917,39150,28982,49608
2020-04-02,19,123,,,,,,,902,609,1260,17036,13202,21370,40053,29591,50867
2020-04-03,16,139,,,,,,,877,581,1249,16497,12622,20877,40930,30173,52116
2020-04-04,22,161,,,,,,,853,554,1236,15978,12044,20442,41782,30727,53351
2020-04-05,18,179,,,,,,,829,525,1224,15481,11466,20061,42612,31253,54575
2020-04-06,8,187,,,,,,,807,500,1211,15007,10911,19737,43419,31753,55785
2020-04-07,16,203,,,,,,,786,472,1200,14554,10374,19460,44205,32225,56985
2020-04-08,15,218,,,,,,,766,446,1196,14123,9859,19228,44971,32672,58181
2020-04-09,19,237,,,,,,,746,424,1186,13712,9365,19016,45717,33096,59366
2020-04-10,10,247,,,,,,,728,403,1174,13319,8891,18814,46445,33500,60539
2020-04-11,13,260,,,,,,,710,385,1166,12945,8443,18622,47154,33885,61705
2020-04-12,13,273,,,,,,,693,367,1153,12587,8023,18434,47847,34253,62858
2020-04-13,12,285,,,,,,,676,350,1141,12246,7629,18259,48523,34604,63998
2020-04-14,14,299,,,,,,,660,334,1129,11919,7261,18082,49183,34938,65127
2020-04-15,10,309,,,,,,,645,319,1118,11607,6913,17910,49828,35257,66244
2020-04-16,12,321,,,,,,,630,305,1110,11308,6580,17745,50458,35563,67353
2020-04-17,15,336,,,,,,,616,292,1103,11022,6264,17589,51074,35856,68456
2020-04-18,10,346,,,,,,,602,284,1096,10747,5966,17435,51677,36140,69551
2020-04-19,9,355,,,,,,,589,270,1088,10483,5683,17288,52266,36411,70639
2020-04-20,9,364,,,,,,,576,258,1081,10230,5416,17145,52842,36670,71719
2020-04-21,6,370,,,,,,,564,249,1069,9987,5165,17003,53406,36919,72787
2020-04-22,14,384,,,,,,,552,239,1056,9753,4933,16859,53958,37159,73843
2020-04-23,10,394,,,,,,,540,232,1044,9528,4719,16706,54499,37391,74886
2020-04-24,9,403,,,,,,,529,224,1031,9311,4519,16551,55028,37616,75917
2020-04-25,,,9,5,13,412,408,416,518,217,1019,9102,4333,16397,55546,37834,76936
2020-04-26,,,9,5,13,420,414,428,508,211,1008,8900,4159,16238,56054,38045,77943
2020-04-27,,,8,5,13,429,419,441,497,205,996,8705,3997,16081,56552,38250,78938
2020-04-28,,,8,5,13,437,424,453,487,199,984,8516,3846,15924,57039,38450,79922
2020-04-29,,,8,4,12,445,429,465,478,193,972,8333,3705,15767,57517,38643,80893
2020-04-30,,,8,4,12,452,434,477,468,188,960,8157,3574,15609,57985,38832,81852
2020-05-01,,,7,4,12,460,438,489,459,182,948,7985,3451,15447,58444,39014,82800
2020-05-02,,,7,4,12,467,442,500,450,177,936,7819,3336,15280,58893,39192,83735
2020-05-03,,,7,3,12,474,446,512,441,173,924,7658,3225,15108,59334,39365,84659
2020-05-04,,,7,3,12,481,450,523,432,168,912,7501,3123,14932,59767,39534,85571
2020-05-05,,,7,3,12,488,453,535,424,164,901,7348,3028,14752,60190,39698,86471
2020-05-06,,,7,3,12,495,457,546,416,160,889,7200,2939,14573,60606,39859,87359
2020-05-07,,,6,3,12,501,460,557,407,156,878,7055,2856,14394,61013,40015,88236
