date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-03-03,,,,,,,,,63,50,75,63,50,75,63,50,75
2020-03-04,,,,,,,,,63,50,75,126,100,150,126,100,150
2020-03-05,,,,,,,,,63,50,75,189,150,225,189,150,225
2020-03-06,,,,,,,,,63,50,75,252,200,300,252,200,300
2020-03-07,,,,,,,,,63,50,75,315,250,375,315,250,375
2020-03-08,,,,,,,,,63,50,75,377,300,450,377,300,450
2020-03-09,,,,,,,,,63,50,75,440,350,525,440,350,525
2020-03-10,,,,,,,,,63,50,75,503,400,600,503,400,600
2020-03-11,,,,,,,,,63,50,75,566,450,675,566,450,675
2020-03-12,,,,,,,,,126,99,150,693,549,825,693,549,825
2020-03-13,,,,,,,,,124,98,148,817,647,972,817,647,972
2020-03-14,,,,,,,,,126,100,148,942,747,1120,942,747,1120
2020-03-15,,,,,,,,,130,104,152,1072,851,1271,1072,851,1271
2020-03-16,,,,,,,,,139,112,162,1211,964,1432,1211,964,1432
2020-03-17,,,,,,,,,155,125,178,1366,1090,1610,1366,1090,1610
2020-03-18,,,,,,,,,164,134,188,1467,1175,1723,1530,1225,1798
2020-03-19,,,,,,,,,169,140,193,1574,1265,1840,1700,1365,1990
2020-03-20,,,,,,,,,174,146,198,1685,1362,1962,1874,1512,2187
2020-03-21,,,,,,,,,179,151,202,1802,1463,2088,2053,1663,2388
2020-03-22,,,,,,,,,185,158,208,1924,1572,2221,2238,1822,2596
2020-03-23,,,,,,,,,191,165,214,2052,1687,2360,2429,1987,2810
2020-03-24,,,,,,,,,195,170,221,2184,1808,2505,2625,2158,3030
2020-03-25,,,,,,,,,199,175,226,2320,1934,2656,2824,2334,3256
2020-03-26,,,,,,,,,202,180,231,2460,2064,2811,3026,2514,3486
2020-03-27,1,1,,,,,,,205,184,237,2538,2149,2898,3231,2698,3723
2020-03-28,0,1,,,,,,,208,186,242,2622,2237,2993,3439,2885,3965
2020-03-29,2,3,,,,,,,211,187,248,2708,2325,3093,3650,3072,4212
2020-03-30,0,3,,,,,,,213,188,252,2792,2409,3194,3864,3261,4464
2020-03-31,2,5,,,,,,,215,189,257,2868,2486,3288,4079,3451,4720
2020-04-01,0,5,,,,,,,217,190,261,2930,2551,3371,4296,3641,4981
2020-04-02,2,7,,,,,,,219,190,265,2985,2606,3449,4515,3832,5246
2020-04-03,2,9,,,,,,,220,190,269,3036,2656,3525,4735,4022,5514
2020-04-04,1,10,,,,,,,222,190,272,3083,2701,3600,4957,4213,5786
2020-04-05,0,10,,,,,,,223,189,276,3127,2738,3673,5180,4402,6061
2020-04-06,0,10,,,,,,,224,187,279,3165,2767,3744,5403,4590,6340
2020-04-07,2,12,,,,,,,224,184,281,3198,2787,3811,5628,4775,6621
2020-04-08,2,14,,,,,,,225,182,284,3228,2799,3875,5853,4958,6904
2020-04-09,2,16,,,,,,,226,180,286,3255,2804,3935,6078,5139,7190
2020-04-10,1,17,,,,,,,226,178,288,3279,2803,3992,6304,5317,7478
2020-04-11,2,19,,,,,,,226,176,290,3299,2795,4045,6530,5494,7767
2020-04-12,0,19,,,,,,,226,174,292,3317,2784,4094,6756,5669,8059
2020-04-13,0,19,,,,,,,226,172,293,3332,2769,4140,6983,5842,8351
2020-04-14,1,20,,,,,,,226,170,294,3345,2750,4182,7209,6012,8645
2020-04-15,4,24,,,,,,,226,168,296,3355,2729,4220,7434,6180,8940
2020-04-16,3,27,,,,,,,225,165,296,3364,2705,4256,7660,6346,9236
2020-04-17,2,29,,,,,,,225,163,297,3370,2678,4287,7885,6510,9533
2020-04-18,3,32,,,,,,,225,161,298,3374,2649,4316,8109,6672,9830
2020-04-19,2,34,,,,,,,224,159,298,3376,2618,4341,8333,6831,10127
2020-04-20,1,35,,,,,,,223,157,298,3377,2586,4364,8557,6989,10425
2020-04-21,1,36,,,,,,,222,155,298,3376,2554,4383,8779,7145,10722
2020-04-22,3,39,,,,,,,222,153,298,3373,2523,4400,9001,7298,11020
2020-04-23,5,44,,,,,,,221,151,298,3368,2491,4413,9221,7450,11317
2020-04-24,3,47,,,,,,,220,149,297,3362,2460,4424,9441,7599,11614
2020-04-25,0,47,,,,,,,218,146,297,3355,2428,4433,9659,7746,11910
2020-04-26,,,2,1,3,49,48,50,217,144,296,3346,2396,4438,9876,7891,12205
2020-04-27,,,2,1,3,51,50,53,216,142,295,3336,2364,4442,10093,8033,12500
2020-04-28,,,2,1,3,54,52,56,215,140,294,3325,2332,4443,10307,8174,12793
2020-04-29,,,2,1,3,56,54,59,213,138,293,3312,2299,4441,10521,8312,13086
