country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
US,,54878,155552,87867,305225,2020-04-16,4591,1.9
US,NY,22269,39296,30040,53806,2020-04-16,3215,2.9
US,NJ,5938,15395,9611,24713,2020-04-22,397,11.1
US,MA,2899,11540,6423,20789,2020-04-19,302,1.1
US,MI,3315,10131,5406,20389,2020-04-22,238,0.8
US,IL,1933,8168,3336,16380,2020-04-08,154,1.5
US,CA,1725,7246,3130,17664,2020-04-22,139,2.2
US,PA,1816,6244,3081,16021,2020-04-21,266,4.2
US,CT,1924,6036,3315,10562,2020-04-20,204,1.7
US,LA,1729,5559,2851,9656,2020-04-14,129,2.9
US,MD,910,4349,1781,9554,2020-04-20,121,1.5
US,GA,916,3724,1531,14649,2020-04-07,100,4.8
US,FL,1075,3654,1672,9885,2020-04-23,94,2.4
US,CO,688,3352,1347,6459,2020-04-24,122,9.2
US,OH,728,3294,1384,8261,2020-04-22,53,2.1
US,IN,813,2949,1340,6982,2020-04-21,58,1.3
US,TX,651,2096,1070,6065,2020-04-23,48,2.2
US,VA,449,2062,840,5350,2020-04-09,43,2.0
US,AZ,275,1695,655,3637,2020-08-04,23,11.5
US,MN,272,1536,547,3991,2020-04-26,28,0.6
US,NC,324,1505,653,4382,2020-04-21,27,0.9
US,WA,749,1407,922,2843,2020-04-06,45,1.8
US,MO,283,1120,493,2934,2020-04-14,26,6.0
US,IA,118,1017,408,2086,2020-08-03,15,2.5
US,RI,226,971,500,2361,2020-04-17,31,1.2
US,KY,208,959,369,2350,2020-04-07,20,3.7
US,MS,227,932,402,2267,2020-04-21,14,1.7
US,AL,219,844,456,1879,2020-04-21,20,0.9
US,OK,195,804,392,2015,2020-04-21,21,7.0
US,DC,178,726,329,1479,2020-04-22,15,0.7
US,NV,206,711,354,1443,2020-04-07,26,8.0
US,SC,174,681,293,1829,2020-04-22,16,0.9
US,DE,120,635,261,1410,2020-04-25,12,0.8
US,WI,272,619,422,1172,2020-04-05,20,1.8
US,KS,121,532,230,1518,2020-04-11,13,5.0
US,NM,99,469,200,995,2020-04-22,13,1.0
US,TN,181,448,311,661,2020-04-14,15,1.8
US,PR,84,343,149,951,2020-04-09,9,4.0
US,OR,92,325,146,961,2020-04-09,11,0.6
US,NH,60,285,119,774,2020-04-09,8,0.4
US,WV,34,252,96,732,2020-04-20,6,1.5
US,NE,56,235,144,348,2020-04-23,9,0.5
US,ME,50,233,152,361,2020-04-23,5,0.7
US,UT,41,216,90,619,2020-04-14,5,
US,AR,51,187,118,441,2020-04-16,4,0.7
US,ID,56,177,115,365,2020-04-15,6,
US,VT,46,133,80,305,2020-04-16,4,
US,SD,11,97,41,268,2020-04-07,2,1.0
US,MT,14,72,42,153,2020-03-30,4,
US,WY,7,63,52,95,2020-04-22,4,
US,ND,17,62,41,109,2020-04-21,4,1.0
US,HI,14,55,44,97,2020-04-22,2,1.0
US,MP,2,35,26,68,2020-05-01,1,
US,AK,9,32,27,52,2020-04-04,2,
US,GU,5,27,16,65,2020-04-11,1,
US,VI,4,17,14,24,2020-04-26,1,
US,AS,0,,,,,,
