date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-17,,,,,,,,,111,50,150,111,50,150,111,50,150
2020-02-18,,,,,,,,,111,50,150,223,100,300,223,100,300
2020-02-19,,,,,,,,,111,50,150,334,150,450,334,150,450
2020-02-20,,,,,,,,,111,50,150,446,200,600,446,200,600
2020-02-21,,,,,,,,,111,50,150,557,250,750,557,250,750
2020-02-22,,,,,,,,,111,50,150,669,300,900,669,300,900
2020-02-23,,,,,,,,,111,50,150,780,350,1050,780,350,1050
2020-02-24,,,,,,,,,111,50,150,892,400,1200,892,400,1200
2020-02-25,,,,,,,,,111,50,150,1003,450,1350,1003,450,1350
2020-02-26,,,,,,,,,307,149,420,1310,599,1770,1310,599,1770
2020-02-27,,,,,,,,,306,149,419,1617,749,2189,1617,749,2189
2020-02-28,,,,,,,,,323,159,442,1939,908,2631,1939,908,2631
2020-02-29,,,,,,,,,356,178,489,2296,1087,3120,2296,1087,3120
2020-03-01,,,,,,,,,426,219,587,2722,1306,3706,2722,1306,3706
2020-03-02,,,,,,,,,535,282,739,3257,1588,4445,3257,1588,4445
2020-03-03,,,,,,,,,621,333,860,3767,1872,5155,3878,1922,5305
2020-03-04,,,,,,,,,697,380,967,4353,2203,5971,4576,2303,6271
2020-03-05,,,,,,,,,789,439,1096,5030,2592,6917,5365,2742,7367
2020-03-06,,,,,,,,,901,513,1253,5819,3055,8019,6265,3255,8619
2020-03-07,,,,,,,,,1041,607,1452,6749,3613,9320,7306,3863,10070
2020-03-08,,,,,,,,,1191,710,1666,7828,4273,10835,8497,4573,11735
2020-03-09,,,,,,,,,1346,821,1887,9063,5045,12572,9843,5395,13622
2020-03-10,,,,,,,,,1516,948,2127,10467,5943,14548,11359,6343,15748
