date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-16,,,,,,,,,102,100,100,102,100,100,102,100,100
2020-02-17,,,,,,,,,102,100,100,205,200,200,205,200,200
2020-02-18,,,,,,,,,102,100,100,307,300,300,307,300,300
2020-02-19,,,,,,,,,102,100,100,410,400,400,410,400,400
2020-02-20,,,,,,,,,102,100,100,512,500,500,512,500,500
2020-02-21,,,,,,,,,102,100,100,614,600,600,614,600,600
2020-02-22,,,,,,,,,102,100,100,717,700,700,717,700,700
2020-02-23,,,,,,,,,102,100,100,819,800,800,819,800,800
2020-02-24,,,,,,,,,102,100,100,922,900,900,922,900,900
2020-02-25,,,,,,,,,270,259,299,1191,1159,1199,1191,1159,1199
2020-02-26,,,,,,,,,269,258,298,1460,1418,1497,1460,1418,1497
2020-02-27,,,,,,,,,281,270,317,1741,1689,1814,1741,1689,1814
2020-02-28,,,,,,,,,308,295,355,2049,1984,2169,2049,1984,2169
2020-02-29,,,,,,,,,362,345,434,2412,2330,2602,2412,2330,2602
2020-03-01,,,,,,,,,447,424,557,2859,2755,3159,2859,2755,3159
2020-03-02,,,,,,,,,514,485,655,3270,3140,3714,3373,3240,3814
2020-03-03,,,,,,,,,570,537,745,3738,3577,4358,3943,3777,4558
2020-03-04,,,,,,,,,637,597,854,4272,4074,5112,4580,4374,5412
2020-03-05,,,,,,,,,716,667,989,4886,4642,6000,5296,5042,6400
2020-03-06,,,,,,,,,816,755,1159,5600,5298,7059,6112,5798,7559
2020-03-07,,,,,,,,,921,848,1340,6418,6046,8299,7033,6646,8899
2020-03-08,,,,,,,,,1029,941,1530,7345,6888,9729,8062,7588,10429
2020-03-09,,,,,,,,,1146,1040,1738,8388,7828,11367,9207,8628,12167
2020-03-10,,,,,,,,,1275,1148,1972,9561,8877,13238,10483,9777,14138
2020-03-11,1,1,,,,,,,1422,1268,2232,10713,9885,15170,11905,11045,16369
2020-03-12,0,1,,,,,,,1581,1396,2512,12026,11023,17384,13486,12442,18880
2020-03-13,1,2,,,,,,,1752,1530,2775,13496,12283,19842,15238,13973,21655
2020-03-14,0,2,,,,,,,1934,1669,2981,15122,13658,22468,17172,15642,24636
2020-03-15,0,2,,,,,,,2129,1814,3172,16889,15127,25206,19301,17457,27808
2020-03-16,0,2,,,,,,,2337,1964,3462,18779,16667,28111,21638,19422,31270
2020-03-17,1,3,,,,,,,2555,2115,3840,20820,18297,31296,24193,21537,35109
2020-03-18,0,3,,,,,,,2780,2264,4198,23030,20024,34749,26973,23802,39306
2020-03-19,1,4,,,,,,,3005,2410,4536,25398,21837,38430,29978,26212,43841
2020-03-20,0,4,,,,,,,3227,2520,4809,27910,23690,42250,33205,28733,48650
2020-03-21,0,4,,,,,,,3441,2639,5049,30535,25573,46140,36646,31372,53698
2020-03-22,3,7,,,,,,,3640,2713,5223,33254,27439,50022,40287,34085,58921
2020-03-23,3,10,,,,,,,3819,2765,5382,36044,29263,53874,44106,36851,64302
2020-03-24,0,10,,,,,,,3972,2827,5440,38871,31051,57576,48078,39679,69742
2020-03-25,2,12,,,,,,,4096,2827,5490,41692,32730,61094,52175,42507,75231
2020-03-26,8,20,,,,,,,4190,2826,5610,44460,34288,64472,56365,45333,80841
2020-03-27,0,20,,,,,,,4253,2848,5786,47132,35739,67747,60618,48182,86627
2020-03-28,4,24,,,,,,,4289,2797,5951,49670,37006,70923,64907,50979,92578
2020-03-29,3,27,,,,,,,4300,2689,6029,52036,38026,73971,69207,53669,98607
2020-03-30,5,32,,,,,,,4291,2639,6029,54198,38851,76828,73499,56309,104635
2020-03-31,3,35,,,,,,,4266,2574,6036,56127,39461,79402,77765,58883,110671
2020-04-01,23,58,,,,,,,4228,2499,6066,57800,39845,81627,81993,61382,116736
2020-04-02,14,72,,,,,,,4181,2391,6049,59201,39971,83478,86174,63774,122784
2020-04-03,0,72,,,,,,,4127,2307,6062,60323,39868,85004,90301,66081,128845
2020-04-04,14,86,,,,,,,4067,2221,6063,61163,39570,86258,94368,68303,134908
2020-04-05,13,99,,,,,,,4004,2124,6119,61726,39055,87329,98372,70428,141026
2020-04-06,37,136,,,,,,,3939,2040,6132,62024,38382,88238,102311,72468,147158
2020-04-07,14,150,,,,,,,3872,1944,6111,62077,37561,88967,106183,74413,153268
2020-04-08,28,178,,,,,,,3805,1854,6085,61910,36587,89611,109988,76267,159352
2020-04-09,48,226,,,,,,,3738,1775,5994,61552,35535,90115,113726,78043,165345
2020-04-10,20,246,,,,,,,3672,1682,5958,61034,34391,90463,117399,79725,171303
2020-04-11,42,288,,,,,,,3608,1602,5933,60388,33146,90609,121006,81328,177236
2020-04-12,43,331,,,,,,,3544,1507,5953,59643,31856,90611,124550,82836,183188
2020-04-13,27,358,,,,,,,3482,1426,5976,58825,30593,90558,128032,84262,189164
2020-04-14,35,393,,,,,,,3422,1354,5996,57955,29307,90525,131454,85616,195159
2020-04-15,12,405,,,,,,,3363,1279,6016,57052,28012,90504,134817,86896,201174
2020-04-16,43,448,,,,,,,3306,1215,6003,56130,26728,90442,138123,88111,207177
2020-04-17,38,486,,,,,,,3251,1154,5964,55201,25491,90358,141375,89265,213141
2020-04-18,35,521,,,,,,,3198,1100,5920,54272,24284,90216,144573,90366,219060
2020-04-19,38,559,,,,,,,3147,1054,5876,53351,23117,90029,147719,91420,224936
2020-04-20,33,592,,,,,,,3097,994,5866,52444,21987,89775,150816,92415,230801
2020-04-21,53,645,,,,,,,3049,942,5872,51555,20888,89516,153865,93357,236673
2020-04-22,36,681,,,,,,,3003,894,5876,50685,19839,89281,156868,94252,242549
2020-04-23,40,721,,,,,,,2958,856,5885,49838,18841,89082,159826,95109,248434
2020-04-24,59,780,,,,,,,2915,817,5861,49014,17883,88949,162740,95926,254294
2020-04-25,45,825,,,,,,,2873,776,5872,48214,16977,88863,165613,96702,260166
2020-04-26,56,881,,,,,,,2832,736,5853,47439,16111,88783,168446,97439,266018
2020-04-27,,,40,21,61,921,902,942,2793,698,5868,46689,15301,88698,171239,98137,271885
2020-04-28,,,39,20,61,960,922,1003,2756,668,5880,45962,14543,88601,173995,98806,277764
2020-04-29,,,39,19,61,999,942,1064,2719,636,5887,45260,13826,88492,176714,99443,283651
2020-04-30,,,38,18,61,1037,961,1124,2684,604,5868,44581,13151,88344,179398,100047,289518
2020-05-01,,,37,17,60,1074,979,1184,2650,573,5866,43924,12510,88206,182047,100621,295383
2020-05-02,,,37,17,60,1111,996,1244,2617,544,5849,43289,11900,88092,184664,101165,301232
2020-05-03,,,36,16,60,1147,1012,1303,2585,520,5873,42676,11319,88044,187248,101686,307104
2020-05-04,,,35,15,60,1183,1027,1362,2553,494,5882,42082,10760,88051,189802,102181,312986
2020-05-05,,,35,14,60,1218,1041,1422,2523,470,5860,41509,10236,88045,192325,102651,318846
2020-05-06,,,34,13,60,1252,1055,1482,2494,447,5868,40954,9742,88040,194819,103099,324713
2020-05-07,,,34,12,61,1286,1068,1542,2466,426,5874,40417,9273,88038,197285,103525,330586
2020-05-08,,,33,12,60,1319,1080,1602,2438,406,5883,39897,8822,88036,199723,103932,336469
2020-05-09,,,33,11,60,1351,1092,1662,2411,386,5888,39394,8392,88063,202134,104319,342356
2020-05-10,,,32,11,60,1383,1103,1721,2385,369,5893,38907,7985,88083,204520,104688,348248
2020-05-11,,,32,10,59,1415,1114,1780,2360,352,5899,38434,7601,88129,206880,105041,354147
2020-05-12,,,31,10,59,1446,1124,1838,2335,336,5906,37976,7240,88168,209215,105377,360052
2020-05-13,,,31,9,59,1476,1133,1897,2311,321,5912,37532,6892,88200,211527,105699,365964
2020-05-14,,,30,9,59,1507,1142,1956,2288,306,5909,37101,6562,88223,213815,106006,371873
2020-05-15,,,30,8,59,1536,1151,2015,2265,293,5920,36683,6251,88275,216080,106299,377792
2020-05-16,,,29,8,59,1565,1159,2073,2243,280,5926,36276,5958,88335,218324,106579,383718
2020-05-17,,,29,7,59,1594,1167,2132,2222,268,5932,35881,5681,88418,220545,106847,389649
2020-05-18,,,28,7,59,1622,1175,2191,2200,256,5937,35497,5418,88482,222746,107104,395586
2020-05-19,,,28,7,59,1650,1182,2249,2180,245,5943,35124,5168,88543,224926,107349,401528
2020-05-20,,,28,6,59,1678,1188,2308,2160,234,5948,34760,4932,88630,227085,107584,407475
2020-05-21,,,27,6,59,1705,1195,2367,2140,225,5952,34406,4710,88715,229225,107809,413427
2020-05-22,,,27,6,59,1732,1201,2426,2121,215,5957,34061,4499,88798,231346,108025,419384
2020-05-23,,,27,5,59,1759,1207,2485,2102,206,5962,33725,4299,88877,233448,108231,425345
2020-05-24,,,26,5,59,1785,1212,2543,2084,198,5967,33397,4111,88956,235532,108430,431312
2020-05-25,,,26,5,59,1811,1217,2601,2066,189,5991,33077,3931,89055,237597,108619,437303
2020-05-26,,,26,4,59,1836,1222,2660,2048,182,5973,32765,3760,89129,239645,108801,443276
2020-05-27,,,25,4,59,1862,1227,2718,2030,174,5978,32460,3598,89201,241676,108976,449253
2020-05-28,,,25,4,59,1887,1232,2777,2013,167,5982,32162,3444,89270,243689,109143,455234
2020-05-29,,,25,4,59,1911,1236,2836,1997,160,5985,31871,3298,89346,245686,109304,461219
2020-05-30,,,24,4,59,1936,1240,2895,1980,154,5989,31586,3159,89415,247666,109458,467207
2020-05-31,,,24,3,59,1960,1244,2954,1964,147,5992,31307,3026,89481,249631,109606,473199
2020-06-01,,,24,3,59,1984,1248,3013,1949,141,5996,31034,2900,89545,251579,109747,479194
2020-06-02,,,24,3,59,2007,1251,3072,1933,135,5999,30767,2779,89607,253512,109883,485192
2020-06-03,,,23,3,60,2031,1255,3131,1918,130,6002,30505,2664,89666,255430,110013,491193
2020-06-04,,,23,3,60,2054,1258,3190,1903,124,6004,30248,2553,89722,257333,110138,497197
2020-06-05,,,23,3,60,2077,1261,3249,1888,119,6007,29996,2448,89777,259221,110257,503204
2020-06-06,,,23,2,60,2099,1264,3308,1873,114,6015,29748,2346,89835,261094,110372,509219
2020-06-07,,,22,2,60,2122,1267,3367,1859,109,6010,29505,2249,89884,262953,110481,515229
2020-06-08,,,22,2,60,2144,1269,3427,1845,104,6013,29267,2155,89929,264798,110585,521241
2020-06-09,,,22,2,60,2166,1272,3486,1831,99,6014,29032,2065,89952,266629,110685,527255
2020-06-10,,,22,2,60,2188,1275,3545,1817,95,6016,28802,1979,89995,268447,110781,533270
2020-06-11,,,22,2,60,2209,1277,3605,1804,90,6018,28575,1895,90035,270250,110872,539288
2020-06-12,,,21,2,60,2231,1279,3664,1790,86,6019,28352,1814,90073,272041,110958,545306
2020-06-13,,,21,2,60,2252,1281,3724,1777,82,6020,28132,1736,90108,273818,111041,551326
2020-06-14,,,21,2,60,2273,1283,3784,1764,78,6022,27916,1660,90141,275582,111119,557347
2020-06-15,,,21,1,60,2294,1285,3843,1751,74,6022,27703,1587,90171,277334,111193,563369
2020-06-16,,,21,1,60,2315,1287,3903,1739,70,6023,27493,1516,90198,279072,111264,569392
2020-06-17,,,20,1,60,2335,1289,3963,1726,66,6024,27286,1447,90223,280798,111330,575415
2020-06-18,,,20,1,60,2355,1291,4023,1713,62,6020,27081,1379,90242,282512,111393,581434
2020-06-19,,,20,1,60,2376,1293,4082,1701,59,6024,26880,1314,90261,284213,111452,587457
2020-06-20,,,20,1,60,2396,1294,4142,1689,55,6024,26681,1250,90277,285902,111508,593480
2020-06-21,,,20,1,60,2415,1296,4202,1677,51,6023,26484,1187,90285,287579,111559,599503
2020-06-22,,,20,1,60,2435,1297,4262,1665,48,6023,26290,1126,90298,289243,111608,605526
2020-06-23,,,19,1,60,2455,1299,4322,1653,44,6023,26098,1067,90308,290897,111653,611548
2020-06-24,,,19,1,60,2474,1300,4382,1641,41,6022,25909,1008,90316,292538,111694,617570
2020-06-25,,,19,1,61,2493,1301,4442,1631,38,6022,25722,952,90322,294168,111733,623592
2020-06-26,,,19,1,61,2512,1303,4502,1620,36,6022,25538,897,90326,295788,111769,629613
2020-06-27,,,19,1,61,2531,1304,4562,1609,33,6022,25357,844,90328,297398,111803,635634
2020-06-28,,,19,1,61,2550,1305,4622,1599,31,6021,25178,793,90329,298997,111835,641655
2020-06-29,,,19,1,61,2568,1306,4682,1589,29,6021,25003,744,90329,300585,111864,647676
2020-06-30,,,18,1,61,2587,1307,4742,1579,27,6010,24831,697,90317,302164,111891,653685
2020-07-01,,,18,1,61,2605,1308,4803,1569,25,6020,24661,652,90313,303733,111917,659705
2020-07-02,,,18,0,61,2623,1309,4863,1560,23,6019,24495,610,90309,305293,111941,665723
2020-07-03,,,18,0,61,2641,1310,4923,1551,22,6019,24333,569,90308,306844,111963,671742
2020-07-04,,,18,0,61,2659,1311,4983,1542,20,6019,24173,531,90304,308386,111983,677760
2020-07-05,,,18,0,61,2677,1312,5043,1533,19,6019,24017,495,90298,309919,112003,683778
2020-07-06,,,18,0,61,2695,1312,5103,1524,17,6018,23864,461,90293,311443,112021,689796
2020-07-07,,,18,0,61,2712,1313,5164,1516,16,6018,23715,429,90288,312958,112037,695814
2020-07-08,,,17,0,61,2730,1314,5224,1507,15,6018,23569,400,90283,314466,112053,701831
2020-07-09,,,17,0,61,2747,1315,5284,1499,14,6024,23427,373,90285,315965,112067,707854
2020-07-10,,,17,0,61,2764,1315,5344,1491,13,6017,23288,348,90279,317457,112081,713870
2020-07-11,,,17,0,61,2781,1316,5405,1484,12,6016,23152,324,90274,318941,112094,719886
2020-07-12,,,17,0,61,2798,1316,5465,1476,11,6003,23019,302,90255,320417,112105,725889
2020-07-13,,,17,0,61,2815,1317,5525,1469,10,6015,22889,281,90249,321885,112116,731904
2020-07-14,,,17,0,61,2831,1317,5585,1461,10,6015,22761,262,90243,323347,112127,737919
2020-07-15,,,17,0,61,2848,1318,5645,1454,9,6015,22637,244,90248,324801,112136,743933
2020-07-16,,,16,0,61,2864,1318,5706,1447,8,6015,22515,228,90243,326248,112145,749947
2020-07-17,,,16,0,61,2881,1319,5766,1440,8,6014,22395,212,90238,327688,112153,755961
2020-07-18,,,16,0,61,2897,1319,5826,1434,7,6014,22278,198,90232,329122,112161,761974
2020-07-19,,,16,0,61,2913,1319,5886,1427,7,6014,22163,184,90227,330549,112168,767987
