date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-03-01,,,,,,,,,130,100,150,130,100,150,130,100,150
2020-03-02,,,,,,,,,130,100,150,261,200,300,261,200,300
2020-03-03,,,,,,,,,130,100,150,391,300,450,391,300,450
2020-03-04,,,,,,,,,130,100,150,521,400,600,521,400,600
2020-03-05,,,,,,,,,130,100,150,652,500,750,652,500,750
2020-03-06,,,,,,,,,130,100,150,782,600,900,782,600,900
2020-03-07,,,,,,,,,130,100,150,912,700,1050,912,700,1050
2020-03-08,,,,,,,,,130,100,150,1043,800,1200,1043,800,1200
2020-03-09,,,,,,,,,130,100,150,1173,900,1350,1173,900,1350
2020-03-10,,,,,,,,,373,254,504,1546,1154,1854,1546,1154,1854
2020-03-11,,,,,,,,,367,252,484,1913,1407,2338,1913,1407,2338
2020-03-12,,,,,,,,,381,262,502,2294,1669,2840,2294,1669,2840
2020-03-13,,,,,,,,,414,282,544,2708,1952,3383,2708,1952,3383
2020-03-14,,,,,,,,,483,326,639,3191,2278,4021,3191,2278,4021
2020-03-15,,,,,,,,,585,397,763,3777,2676,4784,3777,2676,4784
2020-03-16,,,,,,,,,647,461,824,4294,3037,5458,4424,3137,5608
2020-03-17,,,,,,,,,686,504,870,4849,3442,6178,5110,3642,6478
2020-03-18,,,,,,,,,726,555,910,5445,3897,6937,5836,4197,7387
2020-03-19,,,,,,,,,768,605,958,6083,4403,7744,6604,4803,8344
2020-03-20,,,,,,,,,818,649,1015,6770,4952,8609,7422,5452,9359
2020-03-21,,,,,,,,,856,685,1061,7495,5537,9519,8278,6137,10419
2020-03-22,,,,,,,,,882,715,1092,8247,6153,10461,9159,6853,11511
2020-03-23,,,,,,,,,901,737,1113,9017,6790,11424,10060,7590,12624
2020-03-24,,,,,,,,,917,760,1133,9804,7451,12406,10977,8351,13756
2020-03-25,1,1,,,,,,,933,780,1139,10364,7977,13040,11910,9131,14894
2020-03-26,0,1,,,,,,,947,800,1138,10944,8525,13694,12857,9932,16032
2020-03-27,3,4,,,,,,,957,815,1146,11519,9078,14338,13814,10748,17177
2020-03-28,0,4,,,,,,,964,831,1144,12069,9627,14938,14777,11579,18320
2020-03-29,6,10,,,,,,,969,840,1142,12555,10141,15441,15746,12419,19462
2020-03-30,0,10,,,,,,,973,847,1139,12943,10590,15817,16719,13267,20601
2020-03-31,13,23,,,,,,,978,851,1135,13273,10981,16127,17697,14118,21735
2020-04-01,4,27,,,,,,,981,848,1134,13568,11324,16392,18678,14967,22869
2020-04-02,5,32,,,,,,,983,845,1136,13825,11614,16618,19661,15812,24004
2020-04-03,6,38,,,,,,,984,843,1139,14041,11852,16799,20645,16655,25143
2020-04-04,6,44,,,,,,,985,828,1146,14209,12031,16930,21630,17483,26288
2020-04-05,1,45,,,,,,,986,818,1158,14339,12164,17027,22616,18302,27446
2020-04-06,4,49,,,,,,,987,802,1172,14444,12251,17107,23603,19104,28618
2020-04-07,15,64,,,,,,,987,788,1191,14530,12302,17185,24590,19893,29808
2020-04-08,2,66,,,,,,,987,772,1207,14600,12314,17259,25577,20665,31014
2020-04-09,4,70,,,,,,,986,753,1213,14653,12287,17334,26563,21419,32227
