date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-24,,,,,,,,,175,50,250,175,50,250,175,50,250
2020-02-25,,,,,,,,,175,50,250,350,100,500,350,100,500
2020-02-26,,,,,,,,,175,50,250,525,150,750,525,150,750
2020-02-27,,,,,,,,,175,50,250,700,200,1000,700,200,1000
2020-02-28,,,,,,,,,175,50,250,875,250,1250,875,250,1250
2020-02-29,,,,,,,,,175,50,250,1050,300,1500,1050,300,1500
2020-03-01,,,,,,,,,175,50,250,1225,350,1750,1225,350,1750
2020-03-02,,,,,,,,,175,50,250,1399,400,2000,1399,400,2000
2020-03-03,,,,,,,,,175,50,250,1574,450,2250,1574,450,2250
2020-03-04,,,,,,,,,420,139,600,1995,589,2850,1995,589,2850
2020-03-05,,,,,,,,,419,139,598,2414,729,3448,2414,729,3448
2020-03-06,,,,,,,,,435,147,621,2848,876,4068,2848,876,4068
2020-03-07,,,,,,,,,468,162,667,3316,1039,4735,3316,1039,4735
2020-03-08,,,,,,,,,536,195,764,3852,1235,5499,3852,1235,5499
2020-03-09,,,,,,,,,642,246,915,4494,1481,6413,4494,1481,6413
2020-03-10,,,,,,,,,723,286,1029,5043,1717,7192,5218,1767,7442
2020-03-11,,,,,,,,,789,322,1122,5657,1989,8064,6007,2089,8564
2020-03-12,,,,,,,,,863,365,1226,6345,2304,9039,6870,2454,9789
2020-03-13,,,,,,,,,948,417,1345,7118,2672,10134,7818,2872,11134
2020-03-14,,,,,,,,,1054,484,1494,7997,3107,11378,8872,3357,12628
2020-03-15,,,,,,,,,1164,556,1648,8986,3614,12775,10036,3914,14275
2020-03-16,,,,,,,,,1274,632,1801,10085,4197,14325,11309,4547,16075
2020-03-17,,,,,,,,,1388,717,1960,11298,4864,16034,12697,5264,18034
2020-03-18,,,,,,,,,1512,813,2131,12635,5628,17915,14209,6078,20165
2020-03-19,1,1,,,,,,,1650,925,2322,13864,6414,19637,15859,7004,22487
2020-03-20,0,1,,,,,,,1799,1051,2527,15244,7326,21565,17658,8055,25013
2020-03-21,0,1,,,,,,,1956,1190,2743,16765,8369,23687,19613,9246,27755
2020-03-22,0,1,,,,,,,2123,1345,2971,18420,9552,25991,21736,10592,30725
2020-03-23,0,1,,,,,,,2301,1520,3214,20185,10877,28441,24037,12112,33939
2020-03-24,0,1,,,,,,,2494,1716,3477,22036,12347,31003,26531,13828,37415
2020-03-25,2,3,,,,,,,2701,1935,3758,24014,13996,33731,29232,15764,41173
2020-03-26,0,3,,,,,,,2923,2180,4058,26148,15854,36668,32155,17944,45231
2020-03-27,1,4,,,,,,,3160,2451,4378,28445,17941,39820,35315,20396,49609
2020-03-28,0,4,,,,,,,3413,2624,4720,30910,20147,43194,38727,23020,54328
2020-03-29,4,8,,,,,,,3683,2757,5085,33539,22420,46785,42411,25777,59412
2020-03-30,1,9,,,,,,,3973,2895,5475,36348,24759,50612,46383,28673,64886
2020-03-31,8,17,,,,,,,4281,3038,5891,39355,27165,54702,50664,31712,70777
2020-04-01,7,24,,,,,,,4608,3186,6334,42575,29634,59076,55272,34898,77110
2020-04-02,6,30,,,,,,,4954,3339,6804,46017,32159,63749,60226,38238,83914
2020-04-03,4,34,,,,,,,5319,3497,7303,49686,34731,68731,65545,41735,91217
2020-04-04,9,43,,,,,,,5703,3660,7833,53590,37340,74037,71248,45395,99049
2020-04-05,2,45,,,,,,,6102,3828,8387,57737,39978,79681,77350,49224,107436
2020-04-06,2,47,,,,,,,6515,4004,8975,62130,42637,85685,83866,53229,116410
2020-04-07,11,58,,,,,,,6938,4184,9584,66766,45301,92055,90804,57413,125994
2020-04-08,5,63,,,,,,,7365,4370,10217,71637,47955,98796,98168,61784,136211
2020-04-09,13,76,,,,,,,7789,4561,10864,76725,50581,105902,105957,66345,147074
2020-04-10,18,94,,,,,,,8203,4757,11522,82005,53158,113366,114160,71102,158596
2020-04-11,12,106,,,,,,,8598,4958,12234,87443,55664,121221,122757,76060,170829
2020-04-12,24,130,,,,,,,8966,5161,12913,92996,58202,129415,131724,81222,183742
2020-04-13,18,148,,,,,,,9301,5366,13600,98613,60811,137930,141024,86589,197342
2020-04-14,22,170,,,,,,,9596,5569,14261,104237,63485,146716,150620,92158,211602
2020-04-15,28,198,,,,,,,9847,5767,14872,109803,66213,155697,160467,97925,226473
2020-04-16,34,232,,,,,,,10053,5939,15410,115248,68966,164773,170520,103865,241882
2020-04-17,41,273,,,,,,,10210,6001,15855,120504,71628,173823,180730,109867,257737
2020-04-18,40,313,,,,,,,10319,6119,16253,125504,74251,182773,191049,115987,273989
2020-04-19,48,361,,,,,,,10382,6068,16679,130183,76659,191619,201431,122055,290668
2020-04-20,44,405,,,,,,,10402,5954,16939,134483,78785,200171,211833,128010,307606
2020-04-21,51,456,,,,,,,10382,5875,17077,138349,80656,208272,222215,133885,324682
2020-04-22,57,513,,,,,,,10329,5785,17230,141741,82257,215919,232544,139671,341912
2020-04-23,42,555,,,,,,,10250,5667,17269,144625,83554,222970,242794,145338,359181
2020-04-24,60,615,,,,,,,10148,5567,17305,146985,84561,229411,252942,150906,376485
2020-04-25,66,681,,,,,,,10030,5417,17273,148813,85221,235162,262972,156324,393757
2020-04-26,66,747,,,,,,,9901,5217,17129,150115,85480,240057,272873,161541,410886
2020-04-27,47,794,,,,,,,9762,5054,17094,150911,85373,244238,282635,166596,427980
2020-04-28,73,867,,,,,,,9617,4858,17059,151228,84865,247698,292252,171454,445039
2020-04-29,105,972,,,,,,,9469,4675,16800,151101,83971,250237,301721,176130,461838
2020-04-30,101,1073,,,,,,,9318,4511,16992,150572,82715,252358,311039,180641,478830
2020-05-01,96,1169,,,,,,,9167,4355,16945,149686,81131,253893,320206,184996,495775
2020-05-02,53,1222,,,,,,,9016,4197,16766,148492,79327,254804,329222,189194,512540
2020-05-03,58,1280,,,,,,,8866,4086,16764,147039,77293,255316,338088,193280,529304
2020-05-04,76,1356,,,,,,,8718,3978,16538,145376,75203,255174,346807,197259,545842
2020-05-05,95,1451,,,,,,,8573,3856,16496,143547,73105,254732,355379,201115,562337
2020-05-06,,,95,55,141,1546,1506,1592,8429,3713,16369,141594,70944,254024,363809,204829,578706
2020-05-07,,,97,57,147,1643,1563,1739,8289,3608,16245,139553,68766,253039,372097,208438,594951
2020-05-08,,,99,58,152,1742,1622,1891,8151,3504,16170,137455,66603,251940,380249,211942,611120
2020-05-09,,,101,59,157,1842,1682,2047,8017,3388,16095,135324,64424,250730,388266,215331,627215
2020-05-10,,,102,60,161,1944,1742,2208,7886,3245,15942,133179,62252,249400,396152,218577,643156
2020-05-11,,,103,60,165,2047,1803,2372,7758,3125,15791,131036,60160,248061,403909,221702,658947
2020-05-12,,,103,59,167,2150,1862,2539,7633,3006,15768,128907,58112,246735,411542,224708,674714
2020-05-13,,,103,58,169,2252,1920,2707,7511,2888,15619,126801,56142,245294,419053,227597,690333
2020-05-14,,,102,57,171,2355,1978,2877,7392,2774,15544,124724,54241,244039,426445,230371,705877
2020-05-15,,,102,56,171,2457,2035,3048,7276,2666,15392,122681,52396,242438,433721,233038,721268
2020-05-16,,,101,55,172,2558,2090,3219,7163,2561,15306,120678,50603,240799,440884,235600,736573
2020-05-17,,,100,54,171,2657,2145,3390,7053,2475,15300,118715,48881,239333,447937,238075,751873
2020-05-18,,,99,52,170,2756,2197,3559,6946,2402,15293,116794,47197,237862,454883,240477,767165
2020-05-19,,,97,50,171,2854,2247,3730,6841,2306,15237,114917,45525,236561,461724,242784,782402
2020-05-20,,,96,48,170,2950,2296,3900,6739,2215,15235,113084,43884,235299,468463,244999,797636
2020-05-21,,,95,46,168,3044,2343,4067,6640,2128,15224,111294,42298,234154,475103,247128,812860
2020-05-22,,,93,45,170,3137,2388,4237,6543,2045,15213,109549,40735,233122,481646,249173,828072
2020-05-23,,,92,43,169,3229,2432,4406,6449,1964,15202,107846,39195,232154,488095,251138,843274
2020-05-24,,,90,42,168,3319,2474,4573,6356,1887,15084,106185,37694,231144,494451,253026,858358
