date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-16,,,,,,,,,128,50,250,128,50,250,128,50,250
2020-02-17,,,,,,,,,128,50,250,255,100,500,255,100,500
2020-02-18,,,,,,,,,128,50,250,383,150,750,383,150,750
2020-02-19,,,,,,,,,128,50,250,511,200,1000,511,200,1000
2020-02-20,,,,,,,,,128,50,250,638,250,1250,638,250,1250
2020-02-21,,,,,,,,,128,50,250,766,300,1500,766,300,1500
2020-02-22,,,,,,,,,128,50,250,894,350,1750,894,350,1750
2020-02-23,,,,,,,,,128,50,250,1021,400,2000,1021,400,2000
2020-02-24,,,,,,,,,128,50,250,1149,450,2250,1149,450,2250
2020-02-25,,,,,,,,,314,139,600,1463,589,2850,1463,589,2850
2020-02-26,,,,,,,,,313,139,598,1777,729,3448,1777,729,3448
2020-02-27,,,,,,,,,326,147,621,2103,876,4068,2103,876,4068
2020-02-28,,,,,,,,,353,162,667,2455,1039,4735,2455,1039,4735
2020-02-29,,,,,,,,,408,195,764,2863,1235,5499,2863,1235,5499
2020-03-01,,,,,,,,,494,246,915,3357,1481,6414,3357,1481,6414
2020-03-02,,,,,,,,,560,286,1030,3790,1718,7193,3918,1768,7443
2020-03-03,,,,,,,,,615,322,1122,4278,1990,8065,4533,2090,8565
2020-03-04,,,,,,,,,679,365,1226,4829,2306,9041,5212,2456,9791
2020-03-05,,,,,,,,,754,418,1346,5455,2674,10136,5966,2874,11136
2020-03-06,,,,,,,,,847,485,1494,6175,3110,11379,6813,3360,12629
2020-03-07,,,,,,,,,945,557,1647,6992,3617,12776,7758,3917,14276
2020-03-08,,,,,,,,,1046,633,1800,7910,4200,14325,8804,4550,16075
2020-03-09,,,,,,,,,1153,717,1958,8935,4867,16033,9956,5267,18033
2020-03-10,,,,,,,,,1271,813,2129,10078,5631,17912,11228,6081,20162
2020-03-11,1,1,,,,,,,1405,924,2318,11169,6416,19630,12632,7006,22479
2020-03-12,0,1,,,,,,,1552,1048,2521,12407,7325,21552,14184,8055,25000
2020-03-13,0,1,,,,,,,1710,1185,2734,13791,8364,23666,15894,9240,27734
2020-03-14,1,2,,,,,,,1880,1336,2959,15318,9537,25957,17774,10577,30692
2020-03-15,0,2,,,,,,,2066,1503,3196,16976,10845,28389,19840,12080,33888
2020-03-16,0,2,,,,,,,2268,1687,3449,18750,12286,30923,22108,13767,37336
2020-03-17,0,2,,,,,,,2487,1888,3716,20677,13888,33609,24595,15656,41052
2020-03-18,0,2,,,,,,,2721,2104,4018,22783,15670,36505,27316,17761,45069
2020-03-19,1,3,,,,,,,2968,2332,4335,25072,17637,39613,30284,20093,49404
2020-03-20,0,3,,,,,,,3226,2566,4663,27544,19785,42931,33510,22660,54066
2020-03-21,0,3,,,,,,,3489,2708,5061,30186,22008,46498,36999,25368,59127
2020-03-22,1,4,,,,,,,3752,2831,5485,32993,24283,50336,40752,28200,64612
2020-03-23,2,6,,,,,,,4007,2952,5873,35954,26601,54409,44758,31152,70484
2020-03-24,1,7,,,,,,,4243,3068,6154,39045,28953,58605,49002,34220,76638
2020-03-25,2,9,,,,,,,4455,3168,6341,42229,31307,62817,53457,37389,82978
2020-03-26,10,19,,,,,,,4634,3263,6504,45458,33646,67003,58091,40653,89482
2020-03-27,3,22,,,,,,,4775,3348,6603,48682,35946,71085,62866,44002,96084
2020-03-28,14,36,,,,,,,4871,3462,6661,51843,38223,75011,67736,47464,102745
2020-03-29,10,46,,,,,,,4919,3520,6863,54882,40408,78916,72656,50985,109608
2020-03-30,8,54,,,,,,,4920,3551,6995,57736,42456,82715,77576,54536,116602
2020-03-31,17,71,,,,,,,4877,3555,6930,60345,44324,86196,82453,58092,123532
2020-04-01,14,85,,,,,,,4799,3499,6694,62657,45935,89174,87252,61591,130225
2020-04-02,13,98,,,,,,,4695,3417,6387,64631,47247,91543,91948,65009,136612
2020-04-03,22,120,,,,,,,4575,3341,6274,66238,48256,93482,96522,68350,142885
2020-04-04,17,137,,,,,,,4445,3232,6025,67457,48922,94844,100967,71582,148909
2020-04-05,21,158,,,,,,,4311,3087,5748,68279,49301,95531,105278,74670,154657
2020-04-06,16,174,,,,,,,4176,2925,5667,68703,49395,95712,109454,77596,160323
2020-04-07,36,210,,,,,,,4041,2792,5432,68737,49236,95271,113495,80389,165755
2020-04-08,25,235,,,,,,,3909,2654,5347,68403,48822,94463,117405,83043,171101
2020-04-09,28,263,,,,,,,3781,2526,5239,67729,48181,93362,121185,85570,176339
2020-04-10,24,287,,,,,,,3656,2415,5146,66751,47332,92004,124842,87986,181485
2020-04-11,33,320,,,,,,,3537,2284,5065,65513,46268,90466,128379,90271,186549
2020-04-12,14,334,,,,,,,3422,2163,4975,64064,44969,88780,131800,92434,191524
2020-04-13,31,365,,,,,,,3311,2034,4911,62456,43483,86827,135111,94469,196434
2020-04-14,41,406,,,,,,,3205,1937,4847,60741,41870,84678,138316,96407,201280
2020-04-15,38,444,,,,,,,3104,1812,4817,58967,40126,82565,141420,98219,206097
2020-04-16,42,486,,,,,,,3007,1690,4810,57175,38318,80682,144427,99910,210906
2020-04-17,44,530,,,,,,,2914,1578,4759,55394,36479,79053,147342,101488,215664
2020-04-18,41,571,,,,,,,2825,1498,4716,53645,34636,77495,150167,102987,220380
2020-04-19,39,610,,,,,,,2741,1412,4671,51940,32816,76141,152908,104399,225050
2020-04-20,77,687,,,,,,,2659,1317,4656,50288,31046,75049,155567,105716,229706
2020-04-21,43,730,,,,,,,2581,1235,4642,48694,29355,74025,158148,106952,234347
2020-04-22,39,769,,,,,,,2507,1165,4613,47160,27728,73206,160655,108117,238960
2020-04-23,25,794,,,,,,,2436,1100,4608,45686,26173,72467,163091,109217,243568
2020-04-24,220,1014,,,,,,,2367,1038,4600,44273,24685,71828,165458,110256,248167
2020-04-25,49,1063,,,,,,,2302,981,4584,42918,23251,71266,167760,111237,252750
2020-04-26,24,1087,,,,,,,2239,928,4568,41620,21895,70769,169999,112166,257317
2020-04-27,15,1102,,,,,,,2179,878,4543,40377,20609,70337,172177,113044,261860
