date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-12,,,,,,,,,138,50,250,138,50,250,138,50,250
2020-02-13,,,,,,,,,138,50,250,276,100,500,276,100,500
2020-02-14,,,,,,,,,138,50,250,414,150,750,414,150,750
2020-02-15,,,,,,,,,138,50,250,552,200,1000,552,200,1000
2020-02-16,,,,,,,,,138,50,250,689,250,1250,689,250,1250
2020-02-17,,,,,,,,,138,50,250,827,300,1500,827,300,1500
2020-02-18,,,,,,,,,138,50,250,965,350,1750,965,350,1750
2020-02-19,,,,,,,,,138,50,250,1103,400,2000,1103,400,2000
2020-02-20,,,,,,,,,138,50,250,1241,450,2250,1241,450,2250
2020-02-21,,,,,,,,,335,139,600,1575,589,2850,1575,589,2850
2020-02-22,,,,,,,,,333,139,598,1909,729,3448,1909,729,3448
2020-02-23,,,,,,,,,347,146,621,2255,876,4069,2255,876,4069
2020-02-24,,,,,,,,,374,162,668,2629,1038,4736,2629,1038,4736
2020-02-25,,,,,,,,,431,194,765,3060,1233,5500,3060,1233,5500
2020-02-26,,,,,,,,,519,245,916,3579,1478,6416,3579,1478,6416
2020-02-27,,,,,,,,,587,284,1030,4028,1713,7196,4166,1763,7446
2020-02-28,,,,,,,,,643,319,1123,4533,1983,8068,4808,2083,8568
2020-02-29,,,,,,,,,706,361,1228,5101,2295,9046,5515,2445,9796
2020-03-01,,,,,,,,,781,412,1347,5744,2658,10143,6296,2858,11143
2020-03-02,,,,,,,,,874,477,1496,6480,3085,11388,7169,3335,12638
2020-03-03,,,,,,,,,971,545,1650,7313,3581,12787,8140,3881,14287
2020-03-04,,,,,,,,,1069,617,1802,8244,4148,14339,9209,4498,16089
2020-03-05,,,,,,,,,1173,695,1961,9279,4794,16050,10382,5194,18050
2020-03-06,,,,,,,,,1287,782,2131,10428,5527,17930,11669,5977,20180
2020-03-07,,,,,,,,,1414,882,2319,11507,6269,19649,13083,6859,22499
2020-03-08,2,2,,,,,,,1552,990,2519,12726,7120,21569,14635,7849,25017
2020-03-09,0,2,,,,,,,1699,1106,2727,14078,8080,23676,16333,8956,27744
2020-03-10,0,2,,,,,,,1855,1231,2942,15559,9149,25950,18188,10188,30686
2020-03-11,0,2,,,,,,,2021,1364,3165,17149,10318,28351,20209,11552,33850
2020-03-12,0,2,,,,,,,2200,1506,3394,18830,11579,30829,22409,13058,37244
2020-03-13,0,2,,,,,,,2389,1655,3635,20633,12949,33433,24798,14713,40878
2020-03-14,1,3,,,,,,,2587,1808,3915,22577,14438,36225,27385,16522,44793
2020-03-15,1,4,,,,,,,2791,1964,4196,24661,16041,39193,30176,18486,48989
2020-03-16,1,5,,,,,,,2998,2121,4447,26878,17749,42293,33174,20608,53435
2020-03-17,1,6,,,,,,,3205,2277,4713,29209,19549,45510,36378,22885,58147
2020-03-18,1,7,,,,,,,3409,2428,5016,31647,21432,48876,39787,25313,63163
2020-03-19,2,9,,,,,,,3604,2573,5231,34182,23388,52305,43391,27887,68394
2020-03-20,1,10,,,,,,,3788,2682,5416,36797,25376,55760,47179,30570,73809
2020-03-21,3,13,,,,,,,3956,2756,5513,39466,27349,59142,51135,33326,79322
2020-03-22,0,13,,,,,,,4107,2896,5692,42159,29364,62516,55242,36223,85014
2020-03-23,5,18,,,,,,,4238,2977,5765,44845,31351,65762,59480,39200,90779
2020-03-24,0,18,,,,,,,4347,3080,5941,47494,33324,68976,63827,42281,96720
2020-03-25,5,23,,,,,,,4435,3133,6005,50074,35227,72039,68262,45415,102725
2020-03-26,6,29,,,,,,,4502,3193,6016,52555,37056,74890,72764,48608,108740
2020-03-27,6,35,,,,,,,4550,3234,6020,54905,38784,77517,77314,51843,114760
2020-03-28,19,54,,,,,,,4581,3273,5990,57097,40403,79871,81895,55117,120749
2020-03-29,2,56,,,,,,,4598,3316,6092,59108,41911,82048,86493,58433,126841
2020-03-30,7,63,,,,,,,4603,3327,6009,60920,43273,83861,91095,61760,132849
2020-03-31,22,85,,,,,,,4598,3333,6052,62520,44486,85466,95694,65094,138900
2020-04-01,2,87,,,,,,,4586,3351,5998,63901,45560,86751,100280,68445,144898
2020-04-02,77,164,,,,,,,4568,3354,5905,65061,46485,87640,104848,71799,150802
2020-04-03,6,170,,,,,,,4545,3363,5906,66002,47274,88315,109393,75162,156708
2020-04-04,25,195,,,,,,,4518,3355,5863,66733,47948,88762,113911,78518,162571
2020-04-05,26,221,,,,,,,4489,3315,5914,67265,48506,89163,118400,81833,168484
2020-04-06,15,236,,,,,,,4457,3273,5892,67616,48883,89363,122858,85107,174376
2020-04-07,47,283,,,,,,,4424,3241,5805,67803,49147,89402,127282,88348,180180
2020-04-08,26,309,,,,,,,4391,3189,5798,67846,49256,89258,131673,91537,185978
2020-04-09,45,354,,,,,,,4356,3098,5810,67767,49220,89063,136029,94635,191787
2020-04-10,36,390,,,,,,,4322,3007,5838,67586,49034,88885,140351,97643,197624
2020-04-11,48,438,,,,,,,4287,2945,5834,67323,48745,88698,144638,100588,203458
2020-04-12,23,461,,,,,,,4253,2820,5841,66996,48292,88550,148891,103409,209299
2020-04-13,38,499,,,,,,,4220,2740,5866,66618,47716,88324,153110,106150,215165
2020-04-14,72,571,,,,,,,4187,2665,5887,66202,47055,88202,157297,108815,221051
2020-04-15,25,596,,,,,,,4154,2568,5900,65758,46290,88050,161452,111384,226950
2020-04-16,72,668,,,,,,,4123,2481,5916,65295,45420,87968,165575,113865,232865
2020-04-17,57,725,,,,,,,4093,2395,5930,64820,44461,87993,169667,116261,238795
2020-04-18,23,748,,,,,,,4063,2296,5944,64338,43395,88031,173731,118558,244739
2020-04-19,26,774,,,,,,,4035,2217,5956,63854,42256,88124,177765,120775,250695
2020-04-20,48,822,,,,,,,4007,2125,5968,63372,41066,88178,181773,122900,256662
2020-04-21,45,867,,,,,,,3980,2030,5979,62895,39823,88265,185753,124931,262640
2020-04-22,26,893,,,,,,,3955,1941,5998,62425,38523,88458,189708,126872,268638
2020-04-23,94,987,,,,,,,3930,1862,6022,61965,37196,88682,193637,128734,274660
2020-04-24,59,1046,,,,,,,3906,1781,6036,61514,35880,88908,197543,130515,280695
2020-04-25,9,1055,,,,,,,3882,1712,6040,61074,34585,89111,201425,132228,286735
2020-04-26,20,1075,,,,,,,3860,1646,6066,60647,33286,89343,205284,133874,292800
2020-04-27,13,1088,,,,,,,3838,1584,6092,60231,32050,89593,209122,135459,298891
2020-04-28,83,1171,,,,,,,3816,1526,6117,59828,30835,89844,212938,136985,305008
2020-04-29,47,1218,,,,,,,3795,1470,6143,59436,29640,90100,216734,138456,311151
2020-04-30,50,1268,,,,,,,3775,1417,6169,59057,28488,90370,220509,139873,317319
2020-05-01,46,1314,,,,,,,3755,1359,6195,58689,27367,90649,224264,141233,323514
2020-05-02,50,1364,,,,,,,3736,1311,6207,58333,26283,90926,228000,142544,329720
