date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-18,,,,,,,,,67,50,100,67,50,100,67,50,100
2020-02-19,,,,,,,,,67,50,100,133,100,200,133,100,200
2020-02-20,,,,,,,,,67,50,100,200,150,300,200,150,300
2020-02-21,,,,,,,,,67,50,100,266,200,400,266,200,400
2020-02-22,,,,,,,,,67,50,100,333,250,500,333,250,500
2020-02-23,,,,,,,,,67,50,100,399,300,600,399,300,600
2020-02-24,,,,,,,,,67,50,100,466,350,700,466,350,700
2020-02-25,,,,,,,,,67,50,100,532,400,800,532,400,800
2020-02-26,,,,,,,,,67,50,100,599,450,900,599,450,900
2020-02-27,,,,,,,,,132,99,200,730,549,1100,730,549,1100
2020-02-28,,,,,,,,,131,99,200,861,649,1300,861,649,1300
2020-02-29,,,,,,,,,134,101,204,995,751,1503,995,751,1503
2020-03-01,,,,,,,,,140,106,213,1134,857,1715,1134,857,1715
2020-03-02,,,,,,,,,152,115,232,1287,973,1947,1287,973,1947
2020-03-03,,,,,,,,,172,130,262,1459,1103,2208,1459,1103,2208
2020-03-04,,,,,,,,,186,141,284,1578,1195,2391,1644,1245,2491
2020-03-05,,,,,,,,,196,149,299,1708,1294,2590,1841,1394,2790
2020-03-06,,,,,,,,,207,156,314,1848,1401,2804,2047,1551,3104
2020-03-07,,,,,,,,,218,164,330,1999,1516,3034,2265,1716,3434
2020-03-08,,,,,,,,,231,174,350,2163,1640,3283,2496,1890,3783
2020-03-09,,,,,,,,,244,184,369,2341,1775,3552,2740,2075,4152
2020-03-10,,,,,,,,,257,193,387,2531,1918,3838,2997,2268,4538
2020-03-11,,,,,,,,,268,201,403,2733,2069,4141,3265,2469,4941
2020-03-12,,,,,,,,,280,209,419,2946,2228,4460,3545,2678,5360
2020-03-13,1,1,,,,,,,292,217,436,3107,2346,4695,3837,2896,5795
2020-03-14,0,1,,,,,,,304,225,453,3280,2472,4949,4141,3122,6248
2020-03-15,0,1,,,,,,,317,234,469,3463,2605,5214,4458,3356,6716
2020-03-16,0,1,,,,,,,328,241,484,3652,2740,5485,4786,3598,7200
2020-03-17,0,1,,,,,,,340,249,498,3840,2874,5751,5126,3847,7697
2020-03-18,0,1,,,,,,,351,256,511,4019,3000,6000,5478,4104,8208
2020-03-19,0,1,,,,,,,362,263,523,4195,3122,6239,5840,4368,8730
2020-03-20,0,1,,,,,,,373,270,533,4371,3244,6473,6212,4639,9262
2020-03-21,1,2,,,,,,,382,277,540,4547,3364,6699,6594,4916,9802
2020-03-22,0,2,,,,,,,391,283,546,4720,3483,6914,6985,5199,10347
2020-03-23,0,2,,,,,,,399,289,549,4888,3597,7113,7384,5488,10896
2020-03-24,0,2,,,,,,,405,293,568,5049,3707,7312,7789,5782,11463
2020-03-25,1,3,,,,,,,411,298,585,5203,3813,7510,8200,6081,12048
2020-03-26,0,3,,,,,,,416,303,598,5351,3915,7705,8616,6384,12646
2020-03-27,1,4,,,,,,,419,307,610,5491,4013,7896,9035,6691,13255
2020-03-28,0,4,,,,,,,422,310,617,5621,4105,8077,9458,7001,13871
2020-03-29,3,7,,,,,,,424,312,618,5741,4192,8242,9882,7314,14489
2020-03-30,1,8,,,,,,,426,312,610,5850,4271,8383,10308,7627,15099
2020-03-31,1,9,,,,,,,427,312,609,5948,4341,8508,10734,7939,15707
2020-04-01,1,10,,,,,,,427,312,610,6035,4404,8620,11161,8252,16317
2020-04-02,2,12,,,,,,,427,311,609,6111,4459,8718,11588,8563,16925
2020-04-03,6,18,,,,,,,427,310,604,6175,4506,8799,12015,8874,17529
2020-04-04,3,21,,,,,,,426,309,593,6229,4544,8860,12441,9184,18121
2020-04-05,1,22,,,,,,,426,308,586,6273,4576,8906,12867,9492,18707
2020-04-06,3,25,,,,,,,425,306,584,6306,4599,8943,13292,9799,19290
2020-04-07,4,29,,,,,,,424,306,577,6332,4616,8972,13715,10105,19867
2020-04-08,5,34,,,,,,,423,302,570,6349,4625,8974,14138,10408,20437
2020-04-09,8,42,,,,,,,422,297,567,6360,4623,8956,14560,10705,21003
2020-04-10,0,42,,,,,,,420,292,563,6364,4613,8921,14980,10998,21566
2020-04-11,13,55,,,,,,,419,290,561,6364,4596,8872,15399,11288,22126
2020-04-12,1,56,,,,,,,418,287,562,6360,4573,8816,15818,11575,22687
2020-04-13,6,62,,,,,,,417,284,558,6352,4545,8756,16234,11860,23244
2020-04-14,7,69,,,,,,,416,278,562,6342,4511,8708,16650,12139,23806
2020-04-15,2,71,,,,,,,414,274,565,6330,4474,8664,17065,12413,24371
2020-04-16,9,80,,,,,,,413,269,568,6316,4430,8622,17478,12682,24938
2020-04-17,2,82,,,,,,,412,264,576,6301,4383,8589,17890,12947,25514
2020-04-18,3,85,,,,,,,411,259,585,6285,4332,8570,18301,13207,26098
2020-04-19,8,93,,,,,,,410,255,594,6269,4278,8571,18710,13462,26692
2020-04-20,9,102,,,,,,,409,250,603,6252,4220,8588,19119,13713,27295
2020-04-21,7,109,,,,,,,407,246,614,6235,4160,8618,19526,13959,27908
2020-04-22,3,112,,,,,,,406,242,624,6217,4096,8665,19932,14202,28531
2020-04-23,1,113,,,,,,,405,237,635,6200,4031,8730,20338,14440,29166
2020-04-24,5,118,,,,,,,404,233,647,6182,3967,8810,20742,14673,29812
2020-04-25,2,120,,,,,,,403,229,660,6165,3904,8907,21145,14902,30472
2020-04-26,1,121,,,,,,,402,224,670,6147,3839,9016,21547,15127,31142
2020-04-27,5,126,,,,,,,401,220,683,6130,3771,9137,21948,15347,31824
2020-04-28,1,127,,,,,,,400,215,692,6114,3702,9271,22348,15562,32515
2020-04-29,7,134,,,,,,,399,210,704,6097,3634,9412,22747,15773,33218
2020-04-30,0,134,,,,,,,398,206,714,6080,3566,9562,23145,15980,33932
2020-05-01,6,140,,,,,,,397,202,728,6064,3499,9722,23542,16182,34660
2020-05-02,2,142,,,,,,,396,197,738,6048,3432,9883,23938,16380,35397
2020-05-03,2,144,,,,,,,395,194,749,6032,3367,10047,24332,16574,36145
2020-05-04,12,156,,,,,,,412,198,809,6034,3310,10262,24744,16772,36953
2020-05-05,5,161,,,,,,,414,196,831,6040,3255,10489,25159,16968,37784
2020-05-06,3,164,,,,,,,418,193,857,6050,3202,10733,25576,17162,38640
2020-05-07,1,165,,,,,,,421,190,885,6065,3151,10994,25998,17353,39525
2020-05-08,3,168,,,,,,,427,188,922,6087,3101,11282,26424,17541,40447
2020-05-09,,,4,2,6,172,170,174,435,185,970,6117,3053,11604,26859,17727,41416
2020-05-10,,,4,2,6,176,173,180,442,183,1013,6156,3008,11958,27301,17910,42429
2020-05-11,,,4,2,6,180,175,186,448,180,1055,6201,2964,12343,27748,18091,43484
2020-05-12,,,4,2,7,185,178,192,454,178,1094,6254,2922,12755,28202,18269,44578
2020-05-13,,,4,2,7,189,180,199,460,175,1136,6314,2882,13199,28662,18444,45713
2020-05-14,,,4,2,7,193,183,205,467,171,1182,6382,2842,13677,29129,18616,46895
2020-05-15,,,4,2,7,197,185,211,474,167,1226,6459,2804,14189,29603,18784,48120
