date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-19,,,,,,,,,156,50,250,156,50,250,156,50,250
2020-02-20,,,,,,,,,156,50,250,311,100,500,311,100,500
2020-02-21,,,,,,,,,156,50,250,467,150,750,467,150,750
2020-02-22,,,,,,,,,156,50,250,622,200,1000,622,200,1000
2020-02-23,,,,,,,,,156,50,250,778,250,1250,778,250,1250
2020-02-24,,,,,,,,,156,50,250,933,300,1500,933,300,1500
2020-02-25,,,,,,,,,156,50,250,1089,350,1750,1089,350,1750
2020-02-26,,,,,,,,,156,50,250,1244,400,2000,1244,400,2000
2020-02-27,,,,,,,,,156,50,250,1400,450,2250,1400,450,2250
2020-02-28,,,,,,,,,397,149,644,1797,599,2894,1797,599,2894
2020-02-29,,,,,,,,,395,148,640,2193,748,3533,2193,748,3533
2020-03-01,,,,,,,,,413,158,667,2605,906,4199,2605,906,4199
2020-03-02,,,,,,,,,449,177,723,3055,1083,4922,3055,1083,4922
2020-03-03,,,,,,,,,525,216,841,3579,1300,5762,3579,1300,5762
2020-03-04,,,,,,,,,642,278,1022,4222,1578,6783,4222,1578,6783
2020-03-05,,,,,,,,,731,326,1155,4797,1855,7688,4953,1905,7938
2020-03-06,,,,,,,,,806,371,1271,5447,2176,8708,5758,2276,9208
2020-03-07,,,,,,,,,891,425,1397,6183,2552,9854,6649,2702,10604
2020-03-08,,,,,,,,,991,492,1533,7018,2994,11137,7640,3194,12137
2020-03-09,,,,,,,,,1113,576,1698,7975,3521,12585,8753,3771,13835
2020-03-10,,,,,,,,,1235,666,1869,9054,4138,14203,9988,4438,15703
2020-03-11,,,,,,,,,1353,760,2048,10251,4848,16000,11340,5198,17750
2020-03-12,,,,,,,,,1470,862,2157,11566,5661,17907,12811,6061,19907
2020-03-13,,,,,,,,,1591,977,2282,13002,6588,19938,14402,7038,22188
2020-03-14,1,1,,,,,,,1716,1105,2418,14321,7544,21712,16118,8143,24606
2020-03-15,0,1,,,,,,,1839,1242,2544,15765,8637,23617,17957,9385,27150
2020-03-16,0,1,,,,,,,1953,1370,2649,17305,9849,25599,19911,10755,29798
2020-03-17,1,2,,,,,,,2059,1484,2750,18915,11157,27626,21970,12240,32548
2020-03-18,0,2,,,,,,,2155,1587,2828,20545,12527,29614,24125,13828,35375
2020-03-19,2,4,,,,,,,2242,1664,2944,22145,13914,31536,26366,15492,38319
2020-03-20,0,4,,,,,,,2318,1722,3030,23731,15309,33411,28684,17214,41348
2020-03-21,0,4,,,,,,,2381,1765,3135,25307,16703,35275,31066,18980,44482
2020-03-22,2,6,,,,,,,2433,1806,3191,26849,18084,37069,33498,20786,47672
2020-03-23,1,7,,,,,,,2474,1852,3235,28332,19444,38770,35972,22638,50906
2020-03-24,1,8,,,,,,,2505,1888,3283,29724,20755,40355,38477,24527,54189
2020-03-25,8,16,,,,,,,2528,1912,3339,31018,22002,41825,41005,26440,57527
2020-03-26,3,19,,,,,,,2544,1930,3391,32209,23172,43168,43550,28370,60917
2020-03-27,8,27,,,,,,,2554,1968,3416,33293,24277,44427,46104,30338,64333
2020-03-28,4,31,,,,,,,2558,1987,3391,34260,25287,45536,48662,32326,67723
2020-03-29,16,47,,,,,,,2558,1990,3341,35101,26172,46459,51219,34316,71064
2020-03-30,0,47,,,,,,,2554,1996,3291,35816,26926,47206,53773,36312,74355
2020-03-31,22,69,,,,,,,2547,2007,3279,36409,27563,47836,56320,38319,77633
2020-04-01,0,69,,,,,,,2537,2011,3236,36888,28090,48322,58857,40331,80869
2020-04-02,11,80,,,,,,,2526,2000,3205,37259,28504,48698,61383,42332,84073
2020-04-03,17,97,,,,,,,2513,2003,3202,37530,28843,48957,63896,44336,87275
2020-04-04,14,111,,,,,,,2499,2000,3181,37711,29121,49108,66396,46336,90456
2020-04-05,29,140,,,,,,,2484,1984,3141,37814,29340,49114,68880,48320,93596
