date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-24,,,,,,,,,100,50,150,100,50,150,100,50,150
2020-02-25,,,,,,,,,100,50,150,200,100,300,200,100,300
2020-02-26,,,,,,,,,100,50,150,300,150,450,300,150,450
2020-02-27,,,,,,,,,100,50,150,400,200,600,400,200,600
2020-02-28,,,,,,,,,100,50,150,499,250,750,499,250,750
2020-02-29,,,,,,,,,100,50,150,599,300,900,599,300,900
2020-03-01,,,,,,,,,100,50,150,699,350,1050,699,350,1050
2020-03-02,,,,,,,,,100,50,150,799,400,1200,799,400,1200
2020-03-03,,,,,,,,,100,50,150,899,450,1350,899,450,1350
2020-03-04,,,,,,,,,265,139,390,1164,589,1740,1164,589,1740
2020-03-05,,,,,,,,,263,139,388,1427,729,2128,1427,729,2128
2020-03-06,,,,,,,,,275,147,406,1702,876,2533,1702,876,2533
2020-03-07,,,,,,,,,301,162,441,2003,1039,2974,2003,1039,2974
2020-03-08,,,,,,,,,354,195,516,2358,1234,3490,2358,1234,3490
2020-03-09,,,,,,,,,437,245,631,2794,1480,4120,2794,1480,4120
2020-03-10,,,,,,,,,498,285,717,3192,1716,4687,3292,1766,4837
2020-03-11,,,,,,,,,548,321,785,3640,1987,5321,3840,2087,5621
2020-03-12,,,,,,,,,605,363,860,4145,2301,6030,4445,2451,6480
2020-03-13,,,,,,,,,669,414,943,4714,2666,6822,5114,2866,7422
2020-03-14,,,,,,,,,746,479,1038,5361,3095,7710,5860,3345,8460
2020-03-15,,,,,,,,,820,542,1108,6081,3587,8667,6680,3887,9567
2020-03-16,,,,,,,,,885,608,1174,6866,4146,9691,7565,4496,10741
2020-03-17,,,,,,,,,947,663,1253,7713,4759,10793,8512,5159,11993
2020-03-18,,,,,,,,,1006,699,1333,8619,5409,11975,9518,5859,13325
2020-03-19,1,1,,,,,,,1065,758,1377,9419,6027,12962,10583,6617,14702
2020-03-20,1,2,,,,,,,1118,821,1422,10274,6709,13996,11701,7438,16123
2020-03-21,1,3,,,,,,,1164,864,1469,11163,7426,15060,12865,8303,17592
2020-03-22,0,3,,,,,,,1203,899,1529,12065,8163,16148,14068,9202,19121
2020-03-23,1,4,,,,,,,1237,932,1563,12948,8900,17194,15306,10135,20683
2020-03-24,3,7,,,,,,,1267,963,1599,13779,9618,18162,16573,11099,22282
2020-03-25,1,8,,,,,,,1293,991,1620,14573,10323,19064,17865,12090,23901
2020-03-26,1,9,,,,,,,1314,1011,1646,15340,11013,19925,19180,13101,25546
2020-03-27,0,9,,,,,,,1332,1036,1636,16067,11687,20702,20512,14138,27181
2020-03-28,1,10,,,,,,,1347,1048,1669,16745,12320,21428,21859,15186,28850
2020-03-29,3,13,,,,,,,1360,1062,1670,17359,12903,22060,23219,16248,30520
2020-03-30,0,13,,,,,,,1371,1074,1682,17910,13435,22634,24590,17323,32201
2020-03-31,2,15,,,,,,,1380,1089,1690,18405,13916,23150,25970,18412,33891
2020-04-01,3,18,,,,,,,1388,1105,1703,18846,14358,23600,27358,19517,35593
2020-04-02,4,22,,,,,,,1394,1115,1709,19234,14774,23977,28753,20633,37302
2020-04-03,3,25,,,,,,,1400,1123,1706,19569,15139,24306,30152,21757,39008
2020-04-04,8,33,,,,,,,1404,1133,1716,19856,15452,24600,31557,22891,40723
2020-04-05,11,44,,,,,,,1408,1136,1724,20100,15724,24855,32965,24027,42446
2020-04-06,3,47,,,,,,,1412,1140,1731,20308,15965,25057,34377,25168,44177
2020-04-07,18,65,,,,,,,1415,1148,1745,20486,16181,25239,35792,26317,45922
2020-04-08,21,86,,,,,,,1417,1143,1758,20636,16361,25399,37208,27461,47680
2020-04-09,7,93,,,,,,,1418,1136,1770,20761,16507,25549,38627,28597,49449
2020-04-10,6,99,,,,,,,1419,1129,1785,20866,16625,25688,40046,29727,51233
2020-04-11,17,116,,,,,,,1421,1113,1798,20955,16702,25850,41467,30840,53031
2020-04-12,2,118,,,,,,,1422,1101,1805,21029,16755,25986,42888,31942,54836
2020-04-13,5,123,,,,,,,1422,1091,1815,21091,16784,26132,44310,33033,56651
2020-04-14,26,149,,,,,,,1424,1073,1830,21144,16783,26280,45735,34106,58480
2020-04-15,4,153,,,,,,,1426,1060,1841,21190,16754,26430,47161,35167,60321
2020-04-16,16,169,,,,,,,1427,1050,1852,21230,16700,26580,48588,36217,62172
2020-04-17,15,184,,,,,,,1429,1038,1872,21264,16622,26743,50017,37256,64044
2020-04-18,13,197,,,,,,,1430,1023,1888,21295,16522,26925,51447,38279,65932
2020-04-19,2,199,,,,,,,1432,1008,1904,21323,16396,27113,52879,39288,67835
