date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-24,,,,,,,,,91,25,125,91,25,125,91,25,125
2020-02-25,,,,,,,,,91,25,125,182,50,250,182,50,250
2020-02-26,,,,,,,,,91,25,125,273,75,375,273,75,375
2020-02-27,,,,,,,,,91,25,125,364,100,500,364,100,500
2020-02-28,,,,,,,,,91,25,125,455,125,625,455,125,625
2020-02-29,,,,,,,,,91,25,125,546,150,750,546,150,750
2020-03-01,,,,,,,,,91,25,125,638,175,875,638,175,875
2020-03-02,,,,,,,,,91,25,125,729,200,1000,729,200,1000
2020-03-03,,,,,,,,,91,25,125,820,225,1125,820,225,1125
2020-03-04,,,,,,,,,224,74,320,1044,299,1445,1044,299,1445
2020-03-05,,,,,,,,,223,74,318,1267,374,1762,1267,374,1762
2020-03-06,,,,,,,,,232,79,330,1499,454,2092,1499,454,2092
2020-03-07,,,,,,,,,251,89,357,1750,543,2448,1750,543,2448
2020-03-08,,,,,,,,,289,109,412,2039,653,2860,2039,653,2860
2020-03-09,,,,,,,,,349,140,507,2388,794,3367,2388,794,3367
2020-03-10,,,,,,,,,393,166,575,2690,935,3817,2781,960,3942
2020-03-11,,,,,,,,,428,189,621,3027,1100,4312,3209,1150,4562
2020-03-12,,,,,,,,,467,218,667,3403,1294,4853,3676,1369,5228
2020-03-13,,,,,,,,,511,255,718,3823,1524,5446,4187,1624,5946
2020-03-14,,,,,,,,,563,300,794,4295,1800,6114,4750,1925,6739
2020-03-15,,,,,,,,,614,350,858,4817,2125,6846,5364,2275,7596
2020-03-16,,,,,,,,,659,402,897,5385,2503,7618,6023,2678,8493
2020-03-17,,,,,,,,,703,454,954,5997,2933,8446,6726,3133,9446
2020-03-18,,,,,,,,,746,505,1005,6653,3414,9326,7472,3639,10451
2020-03-19,1,1,,,,,,,790,552,1055,7218,3891,10061,8262,4191,11505
2020-03-20,0,1,,,,,,,832,595,1091,7827,4411,10835,9094,4786,12596
2020-03-21,0,1,,,,,,,870,633,1131,8465,4965,11636,9965,5420,13727
2020-03-22,0,1,,,,,,,906,672,1167,9120,5548,12446,10870,6092,14893
2020-03-23,0,1,,,,,,,938,705,1211,9769,6144,13244,11808,6797,16103
2020-03-24,0,1,,,,,,,969,733,1244,10389,6736,13981,12776,7530,17347
2020-03-25,2,3,,,,,,,997,764,1273,10993,7334,14679,13774,8295,18620
2020-03-26,3,6,,,,,,,1024,788,1290,11588,7933,15348,14797,9083,19910
2020-03-27,2,8,,,,,,,1048,811,1322,12170,8525,16004,15846,9894,21231
2020-03-28,5,13,,,,,,,1071,830,1352,12730,9100,16637,16917,10725,22582
2020-03-29,1,14,,,,,,,1093,849,1381,13260,9649,17225,18010,11574,23963
2020-03-30,2,16,,,,,,,1114,867,1401,13760,10166,17768,19124,12441,25364
2020-03-31,4,20,,,,,,,1134,883,1427,14234,10646,18298,20257,13325,26791
2020-04-01,2,22,,,,,,,1152,901,1450,14684,11093,18794,21410,14227,28240
2020-04-02,4,26,,,,,,,1171,920,1473,15108,11508,19262,22580,15148,29712
2020-04-03,3,29,,,,,,,1188,936,1497,15506,11893,19704,23769,16084,31208
2020-04-04,6,35,,,,,,,1205,949,1524,15880,12247,20136,24974,17034,32732
2020-04-05,8,43,,,,,,,1222,960,1545,16231,12574,20550,26196,17994,34276
2020-04-06,8,51,,,,,,,1238,972,1565,16564,12875,20949,27434,18967,35841
2020-04-07,9,60,,,,,,,1254,986,1590,16880,13156,21328,28688,19953,37430
2020-04-08,7,67,,,,,,,1270,1001,1610,17182,13424,21694,29958,20955,39040
2020-04-09,9,76,,,,,,,1286,1012,1637,17470,13672,22057,31244,21968,40676
2020-04-10,6,82,,,,,,,1301,1022,1661,17748,13906,22428,32545,22990,42337
2020-04-11,11,93,,,,,,,1316,1029,1679,18015,14124,22786,33861,24019,44016
2020-04-12,3,96,,,,,,,1331,1034,1707,18275,14329,23141,35192,25054,45723
2020-04-13,2,98,,,,,,,1345,1042,1732,18527,14522,23491,36537,26097,47454
2020-04-14,13,111,,,,,,,1360,1042,1761,18773,14697,23851,37897,27139,49215
2020-04-15,11,122,,,,,,,1375,1045,1790,19015,14859,24215,39272,28184,51005
2020-04-16,7,129,,,,,,,1390,1053,1820,19253,15011,24585,40663,29238,52824
2020-04-17,11,140,,,,,,,1406,1055,1853,19488,15145,24965,42068,30294,54676
2020-04-18,12,152,,,,,,,1421,1054,1883,19720,15264,25351,43489,31348,56559
2020-04-19,7,159,,,,,,,1436,1056,1914,19951,15370,25741,44925,32405,58472
2020-04-20,10,169,,,,,,,1451,1048,1938,20180,15459,26133,46376,33453,60409
2020-04-21,14,183,,,,,,,1466,1044,1965,20408,15531,26534,47842,34498,62374
2020-04-22,10,193,,,,,,,1482,1042,1994,20636,15587,26938,49324,35540,64367
2020-04-23,8,201,,,,,,,1497,1034,2027,20863,15619,27354,50822,36575,66394
2020-04-24,8,209,,,,,,,1513,1030,2065,21090,15637,27782,52334,37605,68458
2020-04-25,12,221,,,,,,,1528,1027,2104,21318,15642,28224,53863,38632,70561
2020-04-26,6,227,,,,,,,1544,1026,2141,21546,15640,28686,55407,39659,72702
2020-04-27,2,229,,,,,,,1560,1027,2179,21776,15633,29158,56968,40687,74880
2020-04-28,10,239,,,,,,,1577,1027,2218,22008,15618,29644,58545,41715,77097
2020-04-29,11,250,,,,,,,1594,1025,2257,22242,15600,30139,60139,42740,79354
2020-04-30,11,261,,,,,,,1613,1020,2292,22480,15575,30641,61752,43760,81645
2020-05-01,20,281,,,,,,,1633,1018,2330,22722,15540,31152,63384,44779,83975
2020-05-02,10,291,,,,,,,1654,1013,2372,22971,15499,31671,65039,45793,86347
2020-05-03,12,303,,,,,,,1679,1014,2413,23229,15459,32200,66718,46807,88759
2020-05-04,7,310,,,,,,,1707,1014,2470,23500,15417,32757,68425,47822,91228
