date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-16,,,,,,,,,37,25,75,37,25,75,37,25,75
2020-02-17,,,,,,,,,37,25,75,74,50,150,74,50,150
2020-02-18,,,,,,,,,37,25,75,111,75,225,111,75,225
2020-02-19,,,,,,,,,37,25,75,148,100,300,148,100,300
2020-02-20,,,,,,,,,37,25,75,185,125,375,185,125,375
2020-02-21,,,,,,,,,37,25,75,222,150,450,222,150,450
2020-02-22,,,,,,,,,37,25,75,259,175,525,259,175,525
2020-02-23,,,,,,,,,37,25,75,296,200,600,296,200,600
2020-02-24,,,,,,,,,37,25,75,333,225,675,333,225,675
2020-02-25,,,,,,,,,69,45,120,402,270,795,402,270,795
2020-02-26,,,,,,,,,69,44,120,471,314,915,471,314,915
2020-02-27,,,,,,,,,70,45,121,541,360,1035,541,360,1035
2020-02-28,,,,,,,,,73,46,123,614,407,1157,614,407,1157
2020-02-29,,,,,,,,,79,50,127,693,457,1284,693,457,1284
2020-03-01,,,,,,,,,88,54,135,781,512,1418,781,512,1418
2020-03-02,,,,,,,,,95,58,140,839,545,1483,876,570,1558
2020-03-03,,,,,,,,,100,60,143,901,581,1550,975,631,1700
2020-03-04,,,,,,,,,104,63,146,969,620,1621,1080,695,1846
2020-03-05,,,,,,,,,109,66,150,1041,661,1695,1189,761,1995
2020-03-06,,,,,,,,,115,69,161,1120,706,1781,1305,831,2156
2020-03-07,,,,,,,,,121,73,170,1204,754,1875,1426,904,2325
2020-03-08,,,,,,,,,126,76,177,1293,806,1976,1552,981,2501
2020-03-09,,,,,,,,,131,80,186,1388,862,2086,1683,1062,2686
2020-03-10,,,,,,,,,136,84,195,1486,921,2206,1819,1146,2881
2020-03-11,1,1,,,,,,,140,88,203,1557,965,2288,1959,1235,3083
2020-03-12,0,1,,,,,,,145,92,206,1633,1012,2375,2104,1327,3289
2020-03-13,0,1,,,,,,,149,96,213,1712,1063,2467,2253,1423,3502
2020-03-14,1,2,,,,,,,153,100,218,1792,1116,2563,2406,1524,3720
2020-03-15,0,2,,,,,,,157,104,221,1870,1170,2656,2563,1628,3940
2020-03-16,0,2,,,,,,,161,108,225,1943,1223,2746,2724,1736,4164
2020-03-17,0,2,,,,,,,165,111,226,2013,1277,2832,2889,1848,4389
2020-03-18,0,2,,,,,,,168,115,227,2081,1332,2916,3057,1963,4616
2020-03-19,1,3,,,,,,,172,119,227,2149,1388,2997,3228,2083,4842
2020-03-20,0,3,,,,,,,175,123,226,2214,1445,3073,3403,2207,5068
2020-03-21,0,3,,,,,,,178,127,226,2277,1503,3139,3581,2334,5294
2020-03-22,0,3,,,,,,,181,131,227,2336,1561,3196,3762,2465,5520
2020-03-23,0,3,,,,,,,184,134,229,2394,1619,3248,3946,2600,5748
2020-03-24,0,3,,,,,,,187,138,231,2450,1677,3293,4133,2739,5979
2020-03-25,0,3,,,,,,,190,142,233,2504,1735,3331,4323,2881,6212
2020-03-26,0,3,,,,,,,192,145,237,2556,1792,3365,4515,3027,6448
2020-03-27,0,3,,,,,,,195,149,241,2606,1849,3400,4710,3177,6688
2020-03-28,4,7,,,,,,,197,151,244,2655,1904,3430,4908,3328,6932
2020-03-29,1,8,,,,,,,200,154,247,2701,1958,3460,5108,3483,7179
2020-03-30,0,8,,,,,,,202,156,252,2746,2011,3490,5310,3639,7430
2020-03-31,0,8,,,,,,,204,158,256,2790,2061,3522,5514,3797,7685
2020-04-01,2,10,,,,,,,206,160,260,2832,2109,3556,5720,3957,7945
2020-04-02,0,10,,,,,,,208,162,263,2872,2156,3592,5929,4120,8207
2020-04-03,4,14,,,,,,,210,164,267,2911,2200,3632,6139,4284,8474
2020-04-04,3,17,,,,,,,212,165,271,2948,2242,3676,6352,4449,8744
2020-04-05,3,20,,,,,,,214,166,274,2984,2282,3724,6566,4616,9017
2020-04-06,2,22,,,,,,,216,168,278,3019,2319,3776,6781,4785,9295
2020-04-07,1,23,,,,,,,217,169,282,3052,2353,3829,6999,4954,9577
