date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-23,,,,,,,,,97,50,150,97,50,150,97,50,150
2020-02-24,,,,,,,,,97,50,150,195,100,300,195,100,300
2020-02-25,,,,,,,,,97,50,150,292,150,450,292,150,450
2020-02-26,,,,,,,,,97,50,150,389,200,600,389,200,600
2020-02-27,,,,,,,,,97,50,150,486,250,750,486,250,750
2020-02-28,,,,,,,,,97,50,150,584,300,900,584,300,900
2020-02-29,,,,,,,,,97,50,150,681,350,1050,681,350,1050
2020-03-01,,,,,,,,,97,50,150,778,400,1200,778,400,1200
2020-03-02,,,,,,,,,97,50,150,875,450,1350,875,450,1350
2020-03-03,,,,,,,,,281,148,424,1157,598,1774,1157,598,1774
2020-03-04,,,,,,,,,279,147,418,1436,746,2191,1436,746,2191
2020-03-05,,,,,,,,,294,156,438,1730,902,2628,1730,902,2628
2020-03-06,,,,,,,,,326,174,481,2056,1076,3109,2056,1076,3109
2020-03-07,,,,,,,,,391,211,571,2447,1288,3680,2447,1288,3680
2020-03-08,,,,,,,,,491,269,720,2938,1558,4399,2938,1558,4399
2020-03-09,,,,,,,,,563,314,822,3404,1823,5071,3502,1873,5221
2020-03-10,,,,,,,,,620,354,879,3927,2127,5800,4122,2227,6100
2020-03-11,,,,,,,,,684,400,966,4515,2478,6615,4806,2628,7065
2020-03-12,,,,,,,,,755,457,1048,5172,2885,7513,5561,3085,8113
2020-03-13,,,,,,,,,835,525,1135,5911,3361,8498,6397,3611,9248
2020-03-14,,,,,,,,,904,595,1187,6717,3906,9535,7301,4206,10435
2020-03-15,,,,,,,,,958,662,1238,7578,4519,10623,8259,4869,11673
2020-03-16,,,,,,,,,1001,731,1262,8482,5200,11734,9260,5600,12934
2020-03-17,,,,,,,,,1037,787,1309,9422,5938,12892,10298,6388,14242
2020-03-18,,,,,,,,,1067,828,1360,10208,6618,13829,11365,7217,15602
2020-03-19,,,,,,,,,1089,851,1391,11018,7322,14802,12454,8068,16993
2020-03-20,3,3,,,,,,,1100,865,1396,11823,8031,15760,13553,8934,18388
2020-03-21,1,4,,,,,,,1103,876,1376,12601,8734,16655,14657,9811,19763
2020-03-22,0,4,,,,,,,1101,877,1368,13310,9399,17452,15758,10688,21131
2020-03-23,1,5,,,,,,,1096,884,1375,13915,10013,18106,16853,11572,22505
2020-03-24,0,5,,,,,,,1087,879,1347,14439,10577,18630,17940,12451,23851
2020-03-25,2,7,,,,,,,1076,878,1320,14894,11102,19072,19016,13330,25171
2020-03-26,3,10,,,,,,,1062,869,1296,15272,11571,19401,20078,14199,26466
2020-03-27,4,14,,,,,,,1047,851,1273,15564,11966,19627,21126,15051,27739
2020-03-28,3,17,,,,,,,1031,847,1252,15760,12287,19744,22157,15899,28991
2020-03-29,1,18,,,,,,,1015,841,1229,15871,12534,19785,23172,16740,30219
2020-03-30,2,20,,,,,,,998,831,1207,15911,12703,19754,24169,17572,31426
2020-03-31,5,25,,,,,,,981,818,1181,15890,12789,19673,25150,18390,32606
2020-04-01,2,27,,,,,,,964,800,1164,15816,12802,19528,26114,19191,33770
2020-04-02,11,38,,,,,,,946,779,1146,15695,12753,19314,27060,19970,34915
2020-04-03,13,51,,,,,,,930,759,1125,15536,12661,19047,27990,20730,36039
2020-04-04,3,54,,,,,,,913,741,1104,15350,12536,18755,28903,21471,37143
2020-04-05,20,74,,,,,,,897,719,1085,15143,12379,18465,29800,22190,38228
2020-04-06,4,78,,,,,,,881,701,1072,14923,12204,18169,30680,22892,39299
2020-04-07,14,92,,,,,,,865,678,1060,14692,11998,17854,31546,23570,40359
2020-04-08,8,100,,,,,,,850,655,1049,14455,11775,17556,32395,24226,41407
2020-04-09,11,111,,,,,,,835,634,1044,14214,11531,17280,33231,24861,42451
2020-04-10,17,128,,,,,,,821,614,1035,13973,11276,17020,34052,25476,43486
2020-04-11,9,137,,,,,,,807,595,1032,13733,11019,16779,34858,26071,44518
2020-04-12,7,144,,,,,,,793,576,1029,13495,10748,16556,35652,26647,45547
2020-04-13,10,154,,,,,,,780,558,1026,13260,10464,16353,36432,27205,46572
2020-04-14,16,170,,,,,,,767,540,1021,13030,10173,16166,37199,27746,47592
2020-04-15,13,183,,,,,,,755,523,1015,12804,9879,16000,37954,28269,48606
2020-04-16,14,197,,,,,,,743,507,1011,12583,9585,15847,38697,28776,49617
2020-04-17,9,206,,,,,,,731,491,1004,12368,9297,15705,39428,29268,50620
2020-04-18,6,212,,,,,,,720,477,998,12158,9015,15578,40148,29745,51617
2020-04-19,8,220,,,,,,,708,461,994,11953,8735,15468,40856,30206,52610
2020-04-20,10,230,,,,,,,697,445,990,11754,8461,15372,41553,30652,53599
2020-04-21,14,244,,,,,,,687,433,986,11559,8193,15286,42240,31085,54585
2020-04-22,4,248,,,,,,,676,420,984,11371,7935,15210,42916,31505,55568
2020-04-23,10,258,,,,,,,666,407,977,11186,7686,15138,43582,31913,56544
2020-04-24,5,263,,,,,,,656,395,972,11007,7447,15066,44238,32309,57516
2020-04-25,3,266,,,,,,,646,383,972,10832,7216,15002,44884,32692,58488
2020-04-26,6,272,,,,,,,636,371,970,10662,6993,14940,45520,33064,59457
2020-04-27,9,281,,,,,,,627,361,967,10495,6777,14878,46147,33425,60424
2020-04-28,19,300,,,,,,,618,349,961,10333,6568,14813,46765,33774,61385
2020-04-29,8,308,,,,,,,608,339,956,10174,6367,14749,47373,34114,62340
2020-04-30,8,316,,,,,,,599,328,955,10018,6172,14689,47973,34442,63294
2020-05-01,11,327,,,,,,,591,319,954,9866,5985,14631,48563,34762,64247
2020-05-02,7,334,,,,,,,582,311,952,9717,5805,14580,49145,35073,65199
2020-05-03,5,339,,,,,,,573,302,951,9571,5630,14533,49718,35375,66149
2020-05-04,1,340,,,,,,,565,293,949,9427,5462,14488,50283,35669,67098
2020-05-05,13,353,,,,,,,556,285,947,9286,5302,14446,50840,35955,68045
2020-05-06,9,362,,,,,,,548,277,946,9148,5146,14406,51388,36232,68990
2020-05-07,12,374,,,,,,,540,269,942,9012,4996,14364,51928,36502,69932
2020-05-08,10,384,,,,,,,532,262,940,8878,4850,14327,52460,36764,70871
2020-05-09,14,398,,,,,,,524,254,938,8746,4710,14293,52984,37019,71809
