country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
Brazil,,11653,87635,27128,220169,2020-08-04,1153,2.2
United Kingdom,,32141,50265,36352,85328,2020-04-29,4421,3.9
Italy,,30739,39435,34067,49168,2020-03-27,919,4.3
Spain,,26744,31928,28403,39162,2020-04-02,961,6.9
France,,26646,31643,27586,45171,2020-04-15,1440,3.5
India,,2294,20236,5239,57750,2020-08-04,394,4.8
Mexico,,3573,17383,6489,33691,2020-05-07,257,1.7
Canada,,5115,16313,8444,28074,2020-04-16,251,1.3
Germany,,7661,12276,8656,22722,2020-04-15,510,2.4
Belgium,,8707,10577,9182,13957,2020-04-10,496,6.1
Iran,,6685,10536,7576,17927,2020-04-04,158,3.2
Netherlands,,5475,8037,6136,12107,2020-04-07,234,9.4
Sweden,,3256,7316,5160,12747,2020-04-21,185,2.7
Russia,,2009,7094,3913,14085,2020-04-29,105,1.1
Turkey,,3841,5403,4468,8072,2020-04-19,127,2.2
Romania,,982,3221,1876,5276,2020-05-08,35,1.4
Poland,,811,2383,1112,5254,2020-04-24,40,2.0
Switzerland,,1845,2241,1966,3007,2020-04-04,75,4.8
Ireland,,1467,2187,1640,3855,2020-04-24,220,5.7
Portugal,,1144,1999,1464,3137,2020-04-03,37,3.3
Indonesia,,991,1751,1211,2798,2020-04-14,60,1.3
Philippines,,726,1593,881,2657,2020-04-12,50,2.1
Hungary,,421,1031,529,2471,2020-04-24,23,1.5
Denmark,,533,823,645,1171,2020-04-04,22,3.8
Austria,,620,822,692,1131,2020-04-08,30,10.0
Finland,,271,670,351,1415,2020-04-21,43,2.0
Czechia,,282,411,354,496,2020-04-14,18,4.5
Bulgaria,,93,373,196,766,2020-04-29,6,2.0
Norway,,224,288,249,363,2020-04-20,16,1.4
Croatia,,91,274,145,520,2020-04-19,8,2.0
Greece,,151,215,182,263,2020-04-03,10,
Slovenia,,102,139,113,184,2020-04-07,6,
Luxembourg,,101,135,115,165,2020-04-11,8,
Estonia,,61,100,85,115,2020-04-02,6,2.0
Lithuania,,50,79,64,97,2020-04-10,6,
Slovakia,,26,41,31,56,2020-04-15,4,
Latvia,,18,38,34,43,2020-04-21,4,
Cyprus,,16,24,21,28,2020-03-30,2,
Malta,,5,9,8,10,2020-05-05,1,
