date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-23,,,,,,,,,176,50,250,176,50,250,176,50,250
2020-02-24,,,,,,,,,176,50,250,352,100,500,352,100,500
2020-02-25,,,,,,,,,176,50,250,528,150,750,528,150,750
2020-02-26,,,,,,,,,176,50,250,705,200,1000,705,200,1000
2020-02-27,,,,,,,,,176,50,250,881,250,1250,881,250,1250
2020-02-28,,,,,,,,,176,50,250,1057,300,1500,1057,300,1500
2020-02-29,,,,,,,,,176,50,250,1233,350,1750,1233,350,1750
2020-03-01,,,,,,,,,176,50,250,1409,400,2000,1409,400,2000
2020-03-02,,,,,,,,,176,50,250,1585,450,2250,1585,450,2250
2020-03-03,,,,,,,,,576,188,876,2162,638,3126,2162,638,3126
2020-03-04,,,,,,,,,574,188,869,2735,826,3995,2735,826,3995
2020-03-05,,,,,,,,,617,206,938,3352,1033,4933,3352,1033,4933
2020-03-06,,,,,,,,,705,243,1079,4057,1277,6011,4057,1277,6011
2020-03-07,,,,,,,,,887,321,1373,4944,1598,7384,4944,1598,7384
2020-03-08,,,,,,,,,1172,443,1825,6116,2041,9208,6116,2041,9208
2020-03-09,,,,,,,,,1403,546,2182,7343,2537,11140,7519,2587,11390
2020-03-10,,,,,,,,,1622,652,2541,8788,3140,13430,9141,3240,13930
2020-03-11,,,,,,,,,1899,794,2976,10512,3884,16156,11040,4034,16906
2020-03-12,,,,,,,,,2248,980,3522,12584,4814,19427,13289,5014,20427
2020-03-13,,,,,,,,,2687,1219,4221,15094,5984,23397,15975,6234,24647
2020-03-14,,,,,,,,,3154,1489,4918,18072,7423,28065,19129,7723,29565
2020-03-15,,,,,,,,,3644,1793,5619,21540,9167,33433,22773,9517,35183
2020-03-16,,,,,,,,,4182,2150,6392,25546,11267,39574,26955,11667,41574
2020-03-17,,,,,,,,,4777,2573,7146,30146,13790,46470,31732,14240,48720
2020-03-18,,,,,,,,,5424,3064,7948,34994,16666,53541,37156,17304,56667
2020-03-19,2,2,,,,,,,6091,3613,8652,40512,20091,61324,43247,20918,65318
2020-03-20,1,3,,,,,,,6752,4329,9311,46647,24214,69697,49999,25247,74629
2020-03-21,1,4,,,,,,,7394,5051,9892,53336,29022,78509,57393,30299,84520
2020-03-22,4,8,,,,,,,8003,5779,10425,60452,34480,87562,65396,36078,94945
2020-03-23,2,10,,,,,,,8559,6259,10944,67839,40296,96680,73955,42337,105888
2020-03-24,2,12,,,,,,,9037,6758,11584,75473,46507,106082,82992,49095,117472
2020-03-25,7,19,,,,,,,9416,7046,12143,83267,52902,115685,92408,56142,129614
2020-03-26,2,21,,,,,,,9693,7295,12422,91061,59403,125130,102101,63438,142036
2020-03-27,6,27,,,,,,,9872,7499,12716,98684,65923,134324,111972,70938,154751
2020-03-28,6,33,,,,,,,9964,7577,12630,105961,72280,142733,121936,78515,167380
2020-03-29,1,34,,,,,,,9981,7641,12528,112788,78432,150343,131917,86156,179908
2020-03-30,2,36,,,,,,,9936,7636,12375,119080,84276,157099,141853,93793,192282
2020-03-31,33,69,,,,,,,9840,7643,12225,124738,89769,162932,151693,101437,204506
2020-04-01,16,85,,,,,,,9703,7592,11959,129664,94788,167746,161396,109029,216465
2020-04-02,27,112,,,,,,,9534,7498,11827,133774,99222,171624,170930,116527,228291
2020-04-03,19,131,,,,,,,9342,7371,11654,137025,102980,174627,180272,123898,239945
2020-04-04,34,165,,,,,,,9131,7166,11389,139404,105817,176705,189403,131065,251334
2020-04-05,24,189,,,,,,,8908,6973,11077,140918,107739,177890,198311,138039,262410
2020-04-06,17,206,,,,,,,8676,6799,10710,141591,108759,178176,206986,144838,273120
2020-04-07,71,277,,,,,,,8439,6557,10402,141470,109058,177634,215425,151395,283521
2020-04-08,49,326,,,,,,,8200,6306,10088,140634,108606,176137,223626,157702,293608
2020-04-09,54,380,,,,,,,7962,6063,9779,139180,107623,173773,231588,163766,303387
2020-04-10,68,448,,,,,,,7726,5802,9608,137213,106130,170959,239314,169568,312994
2020-04-11,46,494,,,,,,,7493,5558,9459,134834,104189,167702,246807,175127,322452
2020-04-12,60,554,,,,,,,7265,5305,9306,132135,101917,164379,254071,180432,331758
2020-04-13,48,602,,,,,,,7042,5095,9176,129196,99371,161027,261113,185528,340934
2020-04-14,69,671,,,,,,,6825,4879,8950,126085,96614,157602,267938,190407,349883
2020-04-15,197,868,,,,,,,6614,4614,8855,122860,93585,154232,274553,195022,358738
2020-04-16,103,971,,,,,,,6410,4385,8709,119568,90378,150982,280963,199407,367446
2020-04-17,65,1036,,,,,,,6213,4161,8588,116246,87041,147743,287176,203569,376034
2020-04-18,50,1086,,,,,,,6022,3920,8504,112926,83591,144593,293198,207490,384537
2020-04-19,41,1127,,,,,,,5838,3726,8454,109633,80150,141658,299035,211216,392991
2020-04-20,204,1331,,,,,,,5660,3520,8409,106384,76698,138991,304695,214737,401400
2020-04-21,92,1423,,,,,,,5488,3332,8368,103197,73231,136649,310183,218069,409768
2020-04-22,121,1544,,,,,,,5322,3147,8279,100080,69821,134526,315505,221217,418047
2020-04-23,95,1639,,,,,,,5163,3004,8196,97042,66518,132635,320668,224221,426243
2020-04-24,128,1767,,,,,,,5008,2834,8118,94088,63289,130974,325676,227055,434360
2020-04-25,98,1865,,,,,,,4859,2677,8068,91221,60164,129434,330535,229733,442427
2020-04-26,59,1924,,,,,,,4715,2542,8006,88443,57148,127982,335249,232275,450433
2020-04-27,88,2012,,,,,,,4575,2411,7939,85753,54254,126614,339825,234687,458372
2020-04-28,75,2087,,,,,,,4441,2291,7862,83153,51450,125299,344266,236978,466233
2020-04-29,82,2169,,,,,,,4312,2159,7750,80640,48730,124100,348578,239138,473983
2020-04-30,88,2257,,,,,,,4187,2050,7685,78213,46166,122930,352766,241188,481667
2020-05-01,82,2339,,,,,,,4067,1954,7655,75869,43735,121876,356832,243143,489322
