date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-17,,,,,,,,,185,50,250,185,50,250,185,50,250
2020-02-18,,,,,,,,,185,50,250,370,100,500,370,100,500
2020-02-19,,,,,,,,,185,50,250,555,150,750,555,150,750
2020-02-20,,,,,,,,,185,50,250,740,200,1000,740,200,1000
2020-02-21,,,,,,,,,185,50,250,925,250,1250,925,250,1250
2020-02-22,,,,,,,,,185,50,250,1110,300,1500,1110,300,1500
2020-02-23,,,,,,,,,185,50,250,1295,350,1750,1295,350,1750
2020-02-24,,,,,,,,,185,50,250,1480,400,2000,1480,400,2000
2020-02-25,,,,,,,,,185,50,250,1665,450,2250,1665,450,2250
2020-02-26,,,,,,,,,529,169,750,2194,619,3000,2194,619,3000
2020-02-27,,,,,,,,,527,169,748,2720,789,3747,2720,789,3747
2020-02-28,,,,,,,,,557,183,795,3277,973,4542,3277,973,4542
2020-02-29,,,,,,,,,619,211,892,3897,1184,5434,3897,1184,5434
2020-03-01,,,,,,,,,748,270,1092,4645,1455,6525,4645,1455,6525
2020-03-02,,,,,,,,,947,363,1403,5592,1818,7927,5592,1818,7927
2020-03-03,,,,,,,,,1102,440,1649,6509,2208,9326,6694,2258,9576
2020-03-04,,,,,,,,,1235,517,1847,7559,2675,10923,7929,2775,11423
2020-03-05,,,,,,,,,1393,617,2048,8767,3242,12720,9322,3392,13470
2020-03-06,,,,,,,,,1576,746,2364,10158,3939,14834,10898,4139,15834
2020-03-07,,,,,,,,,1793,915,2659,11766,4805,17243,12691,5055,18493
2020-03-08,,,,,,,,,1999,1104,2885,13580,5859,19877,14689,6159,21377
2020-03-09,,,,,,,,,2180,1316,3063,15575,7126,22689,16870,7476,24439
2020-03-10,,,,,,,,,2344,1517,3221,17734,8594,25659,19214,8994,27659
2020-03-11,,,,,,,,,2492,1715,3445,20041,10259,28853,21706,10709,31103
2020-03-12,1,1,,,,,,,2619,1890,3501,22131,11979,31605,24325,12599,34604
2020-03-13,0,1,,,,,,,2714,1996,3568,24318,13807,34425,27039,14596,38172
2020-03-14,0,1,,,,,,,2767,2071,3646,26528,15694,37275,29805,16667,41817
2020-03-15,0,1,,,,,,,2780,2070,3709,28688,17553,40093,32585,18737,45526
2020-03-16,2,3,,,,,,,2759,2029,3725,30699,19311,42725,35344,20767,49250
2020-03-17,0,3,,,,,,,2709,1970,3733,32460,20919,45056,38053,22738,52983
2020-03-18,1,4,,,,,,,2636,1920,3665,33995,22400,47072,40689,24659,56648
2020-03-19,2,6,,,,,,,2547,1855,3541,35307,23738,48766,43236,26514,60188
2020-03-20,0,6,,,,,,,2448,1797,3428,36362,24918,50146,45684,28311,63616
2020-03-21,2,8,,,,,,,2344,1706,3249,37130,25878,51031,48028,30018,66865
2020-03-22,8,16,,,,,,,2240,1614,3072,37577,26578,51444,50268,31633,69936
2020-03-23,5,21,,,,,,,2137,1540,2973,37715,27014,51532,52405,33174,72908
2020-03-24,7,28,,,,,,,2037,1470,2808,37572,27168,51277,54442,34644,75715
2020-03-25,2,30,,,,,,,1940,1407,2629,37168,27057,50686,56382,36051,78344
2020-03-26,19,49,,,,,,,1848,1341,2495,36524,26683,49735,58230,37393,80838
2020-03-27,9,58,,,,,,,1760,1268,2332,35665,26062,48566,59990,38662,83170
2020-03-28,10,68,,,,,,,1678,1197,2203,34629,25263,47200,61667,39859,85372
2020-03-29,18,86,,,,,,,1600,1131,2102,33462,24323,45656,63267,40991,87473
2020-03-30,22,108,,,,,,,1526,1078,2014,32208,23331,43961,64793,42069,89486
2020-03-31,20,128,,,,,,,1457,1024,1944,30906,22326,42181,66250,43093,91430
2020-04-01,18,146,,,,,,,1392,970,1871,29589,21325,40319,67642,44063,93301
2020-04-02,12,158,,,,,,,1331,914,1810,28285,20319,38463,68974,44978,95111
2020-04-03,10,168,,,,,,,1274,866,1755,27012,19330,36677,70248,45844,96865
2020-04-04,18,186,,,,,,,1220,819,1699,25784,18351,34949,71468,46663,98564
2020-04-05,18,204,,,,,,,1170,767,1646,24610,17412,33345,72638,47431,100209
2020-04-06,16,220,,,,,,,1123,722,1595,23493,16521,31868,73761,48154,101804
2020-04-07,23,243,,,,,,,1078,691,1545,22434,15671,30440,74839,48845,103348
2020-04-08,30,273,,,,,,,1036,649,1502,21433,14850,29134,75875,49494,104849
2020-04-09,22,295,,,,,,,997,609,1464,20490,14053,27969,76872,50104,106313
