date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-29,,,,,,,,,67,50,75,67,50,75,67,50,75
2020-03-01,,,,,,,,,67,50,75,135,100,150,135,100,150
2020-03-02,,,,,,,,,67,50,75,202,150,225,202,150,225
2020-03-03,,,,,,,,,67,50,75,269,200,300,269,200,300
2020-03-04,,,,,,,,,67,50,75,337,250,375,337,250,375
2020-03-05,,,,,,,,,67,50,75,404,300,450,404,300,450
2020-03-06,,,,,,,,,67,50,75,471,350,525,471,350,525
2020-03-07,,,,,,,,,67,50,75,538,400,600,538,400,600
2020-03-08,,,,,,,,,67,50,75,606,450,675,606,450,675
2020-03-09,,,,,,,,,171,128,221,777,578,896,777,578,896
2020-03-10,,,,,,,,,170,127,219,947,705,1114,947,705,1114
2020-03-11,,,,,,,,,176,132,229,1123,837,1343,1123,837,1343
2020-03-12,,,,,,,,,190,143,251,1313,981,1593,1313,981,1593
2020-03-13,,,,,,,,,220,166,296,1533,1147,1888,1533,1147,1888
2020-03-14,,,,,,,,,264,201,362,1797,1348,2249,1797,1348,2249
2020-03-15,,,,,,,,,295,226,407,2025,1525,2581,2093,1575,2656
2020-03-16,,,,,,,,,318,246,432,2276,1722,2938,2410,1822,3088
2020-03-17,,,,,,,,,341,268,457,2550,1940,3319,2752,2090,3544
2020-03-18,,,,,,,,,367,287,481,2850,2178,3724,3119,2378,4024
2020-03-19,,,,,,,,,398,309,525,3180,2438,4173,3516,2688,4548
2020-03-20,,,,,,,,,425,330,556,3538,2718,4653,3941,3018,5103
2020-03-21,,,,,,,,,448,347,583,3918,3016,5161,4389,3366,5686
2020-03-22,,,,,,,,,469,364,601,4320,3330,5686,4858,3730,6286
2020-03-23,,,,,,,,,488,381,621,4741,3662,6232,5346,4112,6907
2020-03-24,1,1,,,,,,,508,398,644,5077,3933,6654,5854,4511,7550
2020-03-25,1,2,,,,,,,527,416,669,5435,4222,7105,6381,4927,8218
2020-03-26,1,3,,,,,,,544,434,685,5802,4524,7561,6925,5361,8903
2020-03-27,0,3,,,,,,,560,451,699,6172,4832,8009,7485,5813,9601
2020-03-28,1,4,,,,,,,575,466,713,6527,5132,8426,8060,6279,10314
2020-03-29,4,8,,,,,,,589,480,720,6852,5411,8784,8649,6759,11033
2020-03-30,0,8,,,,,,,603,496,730,7160,5680,9107,9252,7255,11763
2020-03-31,2,10,,,,,,,617,510,742,7459,5944,9417,9869,7766,12504
2020-04-01,6,16,,,,,,,630,523,748,7747,6198,9709,10498,8289,13252
2020-04-02,5,21,,,,,,,642,539,759,8022,6450,9987,11140,8829,14011
2020-04-03,4,25,,,,,,,654,553,771,8279,6695,10234,11795,9383,14781
2020-04-04,4,29,,,,,,,666,568,782,8520,6933,10460,12461,9951,15563
2020-04-05,5,34,,,,,,,678,580,794,8750,7165,10671,13140,10531,16356
2020-04-06,4,38,,,,,,,690,592,805,8972,7393,10875,13830,11124,17161
2020-04-07,3,41,,,,,,,702,603,819,9185,7615,11072,14532,11727,17979
2020-04-08,0,41,,,,,,,713,612,834,9391,7828,11263,15245,12339,18812
2020-04-09,3,44,,,,,,,725,624,847,9589,8036,11441,15970,12963,19659
2020-04-10,3,47,,,,,,,737,629,864,9781,8231,11620,16707,13593,20522
2020-04-11,5,52,,,,,,,748,635,882,9969,8415,11803,17455,14228,21404
2020-04-12,7,59,,,,,,,760,641,900,10155,8591,11991,18215,14870,22304
2020-04-13,6,65,,,,,,,772,646,917,10337,8758,12188,18986,15517,23221
2020-04-14,8,73,,,,,,,783,651,932,10518,8913,12390,19770,16169,24152
2020-04-15,6,79,,,,,,,795,656,953,10696,9060,12601,20565,16826,25105
2020-04-16,4,83,,,,,,,807,658,971,10874,9194,12824,21372,17484,26075
2020-04-17,4,87,,,,,,,819,660,990,11051,9314,13055,22192,18144,27065
2020-04-18,5,92,,,,,,,832,663,1010,11229,9424,13295,23023,18807,28075
2020-04-19,5,97,,,,,,,844,665,1032,11406,9521,13545,23868,19473,29107
2020-04-20,6,103,,,,,,,857,667,1055,11585,9609,13806,24724,20141,30161
2020-04-21,6,109,,,,,,,869,662,1076,11764,9679,14076,25594,20803,31237
2020-04-22,5,114,,,,,,,882,661,1100,11944,9737,14357,26476,21464,32336
2020-04-23,7,121,,,,,,,895,662,1124,12126,9787,14647,27371,22127,33459
2020-04-24,6,127,,,,,,,908,663,1148,12310,9826,14948,28280,22790,34606
2020-04-25,9,136,,,,,,,922,661,1172,12495,9857,15256,29201,23451,35778
2020-04-26,3,139,,,,,,,935,658,1197,12681,9881,15572,30136,24110,36975
2020-04-27,5,144,,,,,,,948,662,1222,12870,9902,15893,31084,24773,38197
2020-04-28,8,152,,,,,,,962,662,1248,13060,9918,16224,32046,25436,39444
2020-04-29,5,157,,,,,,,975,659,1273,13252,9926,16564,33021,26095,40716
2020-04-30,5,162,,,,,,,989,656,1299,13445,9926,16910,34010,26752,42015
2020-05-01,7,169,,,,,,,1003,654,1325,13641,9922,17265,35013,27407,43340
2020-05-02,7,176,,,,,,,1017,652,1352,13838,9914,17626,36030,28059,44691
2020-05-03,8,184,,,,,,,1031,649,1379,14037,9900,17995,37060,28708,46069
2020-05-04,7,191,,,,,,,1045,645,1407,14237,9880,18369,38105,29354,47475
2020-05-05,9,200,,,,,,,1059,642,1436,14440,9854,18750,39164,29996,48911
2020-05-06,9,209,,,,,,,1074,638,1465,14645,9830,19140,40239,30634,50376
2020-05-07,10,219,,,,,,,1090,634,1496,14852,9803,19536,41328,31268,51871
2020-05-08,10,229,,,,,,,1106,632,1530,15063,9773,19942,42435,31900,53400
2020-05-09,10,239,,,,,,,1124,631,1563,15278,9742,20356,43558,32532,54962
2020-05-10,7,246,,,,,,,1143,631,1595,15499,9712,20779,44701,33164,56557
2020-05-11,9,255,,,,,,,1164,632,1632,15728,9686,21214,45865,33796,58188
2020-05-12,9,264,,,,,,,1187,633,1678,15967,9656,21670,47052,34430,59866
2020-05-13,,,9,6,12,273,270,276,1214,638,1730,16219,9632,22152,48266,35068,61595
2020-05-14,,,9,6,12,282,277,287,1244,644,1795,16488,9617,22674,49509,35713,63390
2020-05-15,,,9,6,12,291,284,298,1276,657,1865,16775,9618,23240,50786,36371,65254
2020-05-16,,,9,6,12,300,291,310,1312,666,1950,17084,9630,23864,52097,37037,67203
2020-05-17,,,9,6,12,310,297,322,1350,679,2036,17418,9658,24548,53447,37717,69239
2020-05-18,,,10,6,13,319,304,334,1390,689,2135,17777,9698,25305,54838,38407,71374
2020-05-19,,,10,6,13,329,311,347,1432,697,2248,18165,9749,26146,56270,39104,73621
2020-05-20,,,10,6,13,339,317,359,1477,705,2367,18582,9813,27077,57747,39809,75987
2020-05-21,,,10,6,13,349,324,372,1523,713,2493,19031,9888,28104,59269,40522,78479
2020-05-22,,,10,6,14,359,331,385,1571,712,2627,19512,9966,29235,60840,41235,81106
2020-05-23,,,10,6,14,369,337,399,1621,721,2768,20026,10056,30473,62460,41956,83873
2020-05-24,,,10,6,14,379,344,412,1672,723,2916,20575,10148,31827,64133,42680,86789
2020-05-25,,,10,6,14,389,350,426,1726,726,3073,21158,10242,33304,65859,43406,89861
2020-05-26,,,10,6,15,400,357,440,1782,729,3237,21776,10339,34910,67640,44136,93097
2020-05-27,,,11,6,15,410,363,455,1839,727,3411,22428,10433,36642,69479,44863,96507
2020-05-28,,,11,6,15,421,370,470,1899,725,3593,23113,10520,38505,71379,45589,100100
2020-05-29,,,11,6,16,432,376,485,1961,725,3784,23831,10601,40494,73340,46315,103884
2020-05-30,,,11,6,16,443,382,500,2026,727,3986,24580,10670,42615,75365,47042,107869
2020-05-31,,,11,6,16,455,389,516,2092,728,4198,25360,10733,44864,77458,47771,112067
2020-06-01,,,12,6,17,466,395,532,2162,732,4420,26172,10785,47248,79619,48503,116486
2020-06-02,,,12,6,17,478,401,548,2233,732,4653,27015,10828,49766,81852,49235,121139
2020-06-03,,,12,6,18,490,408,565,2307,730,4897,27890,10862,52416,84160,49966,126036
2020-06-04,,,12,6,18,502,414,583,2384,730,5156,28797,10886,55205,86543,50696,131191
2020-06-05,,,13,6,19,515,421,601,2463,731,5422,29737,10905,58133,89006,51427,136612
2020-06-06,,,13,6,20,528,427,620,2543,735,5697,30709,10928,61203,91549,52163,142308
2020-06-07,,,13,6,20,541,434,640,2625,740,5980,31714,10947,64415,94175,52904,148288
2020-06-08,,,14,6,21,554,441,661,2708,742,6266,32750,10966,67765,96882,53646,154553
2020-06-09,,,14,6,22,568,448,683,2789,741,6549,33812,10981,71242,99671,54387,161102
2020-06-10,,,14,6,23,583,455,706,2865,738,6820,34896,10990,74824,102536,55126,167921
2020-06-11,,,15,7,25,598,462,730,2935,736,7064,35992,10998,78478,105471,55862,174985
2020-06-12,,,15,7,26,613,469,755,2993,734,7269,37086,11007,82154,108465,56597,182253
2020-06-13,,,16,7,27,629,476,782,3039,736,7426,38164,11019,85796,111504,57334,189679
2020-06-14,,,16,7,29,645,483,810,3073,735,7535,39211,11027,89345,114576,58069,197214
2020-06-15,,,17,7,30,662,491,840,3097,733,7610,40216,11031,92757,117674,58803,204823
2020-06-16,,,17,7,32,680,498,871,3117,730,7665,41171,11030,96002,120791,59534,212487
2020-06-17,,,18,7,33,698,505,904,3135,727,7713,42073,11026,99062,123926,60261,220200
2020-06-18,,,19,7,35,716,512,938,3152,724,7756,42918,11020,101920,127078,60986,227955
2020-06-19,,,19,7,37,735,520,975,3167,721,7793,43701,11011,104558,130244,61708,235748
2020-06-20,,,20,7,39,755,527,1013,3180,717,7825,44419,10998,106961,133425,62425,243573
2020-06-21,,,20,7,41,776,534,1054,3193,714,7854,45069,10976,109119,136618,63140,251427
2020-06-22,,,21,7,43,797,541,1096,3206,710,7883,45649,10946,111022,139824,63850,259309
2020-06-23,,,22,7,45,818,549,1141,3218,707,7911,46160,10911,112667,143042,64558,267219
2020-06-24,,,23,7,48,841,556,1189,3231,705,7939,46602,10876,114056,146273,65264,275157
2020-06-25,,,23,7,50,864,563,1238,3243,701,7965,46979,10839,115202,149516,65966,283122
2020-06-26,,,24,7,53,888,571,1291,3255,697,7991,47299,10801,116129,152770,66663,291113
2020-06-27,,,25,7,55,913,578,1345,3266,693,8016,47572,10760,116876,156037,67357,299129
2020-06-28,,,26,7,58,939,585,1403,3278,689,8042,47811,10712,117491,159315,68047,307170
2020-06-29,,,26,7,61,965,593,1463,3290,685,8067,48028,10663,118023,162605,68732,315236
2020-06-30,,,27,7,63,992,600,1526,3302,681,8092,48233,10611,118505,165907,69414,323327
2020-07-01,,,28,7,66,1020,608,1591,3313,679,8116,48429,10559,118956,169220,70093,331443
2020-07-02,,,29,7,68,1048,615,1659,3325,676,8140,48619,10508,119383,172545,70770,339582
2020-07-03,,,29,7,70,1078,622,1729,3337,672,8164,48804,10456,119791,175882,71443,347746
2020-07-04,,,30,7,72,1107,630,1800,3348,668,8187,48985,10404,120185,179230,72112,355932
2020-07-05,,,30,7,74,1137,637,1874,3360,665,8210,49165,10351,120569,182589,72777,364142
2020-07-06,,,30,7,75,1168,644,1948,3371,661,8233,49343,10298,120948,185961,73438,372374
2020-07-07,,,31,7,76,1199,652,2023,3383,657,8255,49519,10245,121320,189343,74096,380629
2020-07-08,,,31,7,77,1230,659,2100,3394,653,8277,49695,10191,121687,192737,74749,388906
2020-07-09,,,31,7,77,1261,666,2177,3405,649,8299,49869,10135,122047,196142,75399,397204
2020-07-10,,,31,7,78,1292,674,2254,3416,646,8320,50043,10079,122402,199558,76045,405524
2020-07-11,,,32,7,78,1324,681,2332,3428,642,8341,50216,10024,122752,202986,76688,413864
2020-07-12,,,32,7,79,1356,688,2410,3439,638,8362,50388,9969,123098,206425,77327,422226
2020-07-13,,,32,7,79,1388,695,2489,3450,634,8382,50560,9914,123438,209875,77962,430607
2020-07-14,,,32,7,79,1420,702,2567,3461,631,8402,50731,9860,123773,213336,78593,439009
2020-07-15,,,32,7,80,1452,709,2647,3472,627,8421,50901,9806,124102,216807,79221,447429
2020-07-16,,,32,7,80,1484,716,2726,3483,624,8441,51070,9751,124427,220290,79845,455869
2020-07-17,,,32,7,80,1517,723,2806,3494,620,8459,51239,9694,124746,223784,80465,464328
2020-07-18,,,33,6,80,1549,730,2885,3504,616,8478,51407,9638,125060,227288,81082,472805
2020-07-19,,,33,6,81,1582,737,2966,3515,613,8496,51573,9583,125369,230803,81695,481300
2020-07-20,,,33,6,81,1615,744,3046,3526,609,8513,51740,9527,125672,234329,82305,489813
2020-07-21,,,33,6,81,1648,751,3127,3536,606,8530,51905,9472,125969,237865,82911,498343
2020-07-22,,,33,6,81,1681,758,3208,3547,602,8547,52069,9417,126261,241412,83513,506889
2020-07-23,,,33,6,82,1714,765,3289,3557,599,8563,52233,9362,126547,244970,84112,515452
2020-07-24,,,33,6,82,1747,771,3370,3568,595,8579,52395,9308,126828,248537,84708,524031
2020-07-25,,,33,6,82,1781,778,3452,3578,592,8595,52557,9254,127103,252115,85300,532626
2020-07-26,,,33,6,82,1814,785,3534,3588,588,8610,52718,9200,127372,255704,85889,541236
2020-07-27,,,34,6,83,1848,791,3616,3599,585,8625,52878,9147,127635,259302,86474,549860
2020-07-28,,,34,6,83,1881,798,3698,3609,581,8646,53036,9094,127899,262911,87056,558506
2020-07-29,,,34,6,83,1915,805,3781,3619,578,8660,53194,9041,128157,266530,87634,567165
2020-07-30,,,34,6,83,1949,811,3864,3629,575,8674,53351,8988,128410,270159,88209,575839
2020-07-31,,,34,6,84,1983,818,3947,3639,571,8687,53507,8936,128657,273797,88781,584526
2020-08-01,,,34,6,84,2018,824,4030,3648,568,8700,53662,8884,128898,277446,89349,593225
2020-08-02,,,34,6,84,2052,830,4113,3658,564,8712,53816,8832,129132,281104,89914,601937
2020-08-03,,,34,6,84,2086,837,4197,3668,561,8724,53969,8780,129361,284772,90476,610661
2020-08-04,,,35,6,84,2121,843,4281,3677,558,8736,54120,8729,129584,288449,91034,619397
