date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-26,,,,,,,,,87,50,100,87,50,100,87,50,100
2020-02-27,,,,,,,,,87,50,100,173,100,200,173,100,200
2020-02-28,,,,,,,,,87,50,100,260,150,300,260,150,300
2020-02-29,,,,,,,,,87,50,100,347,200,400,347,200,400
2020-03-01,,,,,,,,,87,50,100,433,250,500,433,250,500
2020-03-02,,,,,,,,,87,50,100,520,300,600,520,300,600
2020-03-03,,,,,,,,,87,50,100,607,350,700,607,350,700
2020-03-04,,,,,,,,,87,50,100,693,400,800,693,400,800
2020-03-05,,,,,,,,,87,50,100,780,450,900,780,450,900
2020-03-06,,,,,,,,,273,149,369,1053,599,1269,1053,599,1269
2020-03-07,,,,,,,,,269,149,362,1323,749,1631,1323,749,1631
2020-03-08,,,,,,,,,285,158,388,1608,908,2018,1608,908,2018
2020-03-09,,,,,,,,,318,178,441,1926,1086,2459,1926,1086,2459
2020-03-10,,,,,,,,,387,218,548,2312,1304,3006,2312,1304,3006
2020-03-11,,,,,,,,,490,280,696,2802,1584,3702,2802,1584,3702
2020-03-12,,,,,,,,,560,329,772,3276,1863,4373,3362,1913,4473
2020-03-13,,,,,,,,,612,373,826,3801,2187,5098,3974,2287,5298
2020-03-14,,,,,,,,,669,427,876,4383,2565,5873,4643,2715,6173
2020-03-15,,,,,,,,,729,487,942,5026,3002,6715,5373,3202,7115
2020-03-16,,,,,,,,,795,559,1013,5734,3511,7627,6167,3761,8127
2020-03-17,,,,,,,,,843,627,1072,6490,4089,8599,7011,4389,9199
2020-03-18,,,,,,,,,873,678,1107,7276,4717,9605,7883,5067,10305
2020-03-19,,,,,,,,,888,689,1127,8078,5356,10632,8771,5756,11432
2020-03-20,,,,,,,,,894,691,1149,8885,5998,11680,9665,6448,12580
2020-03-21,1,1,,,,,,,892,678,1143,9504,6527,12454,10557,7127,13722
2020-03-22,0,1,,,,,,,880,665,1131,10115,7042,13223,11438,7792,14853
2020-03-23,0,1,,,,,,,859,651,1125,10690,7535,13959,12297,8443,15977
2020-03-24,2,3,,,,,,,832,639,1079,11204,7996,14597,13130,9083,17055
2020-03-25,2,5,,,,,,,802,615,1038,11619,8394,15087,13931,9698,18093
2020-03-26,3,8,,,,,,,769,596,992,11898,8710,15384,14701,10295,19085
2020-03-27,4,12,,,,,,,736,574,945,12075,8955,15557,15437,10869,20030
2020-03-28,0,12,,,,,,,703,553,911,12166,9134,15642,16140,11422,20940
2020-03-29,3,15,,,,,,,670,530,873,12166,9238,15639,16810,11953,21812
2020-03-30,1,16,,,,,,,637,504,830,12074,9255,15527,17446,12458,22641
2020-03-31,4,20,,,,,,,605,475,785,11885,9171,15299,18052,12933,23426
2020-04-01,6,26,,,,,,,576,447,745,11617,8992,14972,18627,13381,24170
2020-04-02,10,36,,,,,,,547,423,701,11292,8737,14566,19175,13804,24870
2020-04-03,4,40,,,,,,,520,400,662,10924,8448,14101,19695,14205,25532
2020-04-04,4,44,,,,,,,495,377,634,10525,8134,13586,20190,14582,26166
2020-04-05,5,49,,,,,,,472,354,597,10104,7810,13040,20662,14937,26762
2020-04-06,8,57,,,,,,,449,335,569,9673,7480,12478,21111,15272,27330
