date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-26,,,,,,,,,57,25,75,57,25,75,57,25,75
2020-02-27,,,,,,,,,57,25,75,115,50,150,115,50,150
2020-02-28,,,,,,,,,57,25,75,172,75,225,172,75,225
2020-02-29,,,,,,,,,57,25,75,230,100,300,230,100,300
2020-03-01,,,,,,,,,57,25,75,287,125,375,287,125,375
2020-03-02,,,,,,,,,57,25,75,345,150,450,345,150,450
2020-03-03,,,,,,,,,57,25,75,402,175,525,402,175,525
2020-03-04,,,,,,,,,57,25,75,460,200,600,460,200,600
2020-03-05,,,,,,,,,57,25,75,517,225,675,517,225,675
2020-03-06,,,,,,,,,134,73,183,651,298,858,651,298,858
2020-03-07,,,,,,,,,131,73,174,782,372,1032,782,372,1032
2020-03-08,,,,,,,,,133,77,172,915,449,1204,915,449,1204
2020-03-09,,,,,,,,,138,85,175,1053,534,1379,1053,534,1379
2020-03-10,,,,,,,,,151,102,188,1204,636,1567,1204,636,1567
2020-03-11,,,,,,,,,171,127,214,1375,764,1780,1375,764,1780
2020-03-12,,,,,,,,,181,144,228,1499,884,1933,1557,909,2008
2020-03-13,,,,,,,,,185,150,235,1627,1010,2092,1742,1060,2242
2020-03-14,,,,,,,,,187,152,240,1757,1137,2257,1929,1212,2482
2020-03-15,,,,,,,,,189,153,248,1888,1265,2429,2118,1365,2729
2020-03-16,,,,,,,,,191,153,252,2022,1394,2606,2310,1519,2981
2020-03-17,,,,,,,,,192,153,255,2157,1522,2785,2501,1672,3235
2020-03-18,,,,,,,,,189,152,254,2288,1649,2963,2691,1824,3488
2020-03-19,,,,,,,,,186,151,249,2417,1775,3137,2877,1975,3737
2020-03-20,,,,,,,,,182,149,242,2542,1900,3304,3059,2125,3979
2020-03-21,1,1,,,,,,,178,148,233,2586,1975,3354,3237,2274,4212
2020-03-22,0,1,,,,,,,175,146,224,2629,2048,3404,3412,2420,4436
2020-03-23,0,1,,,,,,,171,144,215,2668,2115,3447,3582,2564,4650
2020-03-24,1,2,,,,,,,167,142,209,2696,2172,3480,3749,2706,4859
2020-03-25,2,4,,,,,,,163,138,202,2708,2208,3494,3912,2845,5060
2020-03-26,0,4,,,,,,,159,136,193,2695,2216,3473,4070,2981,5253
2020-03-27,1,5,,,,,,,155,132,186,2669,2204,3432,4226,3114,5439
2020-03-28,2,7,,,,,,,152,129,183,2636,2183,3380,4378,3243,5621
2020-03-29,0,7,,,,,,,149,126,177,2597,2157,3316,4526,3369,5797
2020-03-30,0,7,,,,,,,145,122,172,2553,2126,3240,4671,3492,5969
2020-03-31,1,8,,,,,,,142,117,168,2504,2090,3156,4814,3609,6136
2020-04-01,0,8,,,,,,,140,111,164,2452,2048,3065,4953,3721,6300
2020-04-02,1,9,,,,,,,137,107,161,2400,2003,2972,5090,3828,6460
2020-04-03,0,9,,,,,,,134,103,158,2348,1956,2881,5224,3932,6618
2020-04-04,2,11,,,,,,,132,100,155,2297,1906,2794,5356,4032,6772
2020-04-05,2,13,,,,,,,129,96,153,2248,1854,2714,5485,4128,6925
2020-04-06,2,15,,,,,,,127,92,151,2201,1800,2640,5612,4220,7076
2020-04-07,0,15,,,,,,,125,89,149,2155,1745,2574,5737,4309,7224
2020-04-08,0,15,,,,,,,123,85,147,2111,1688,2513,5860,4395,7371
2020-04-09,1,16,,,,,,,121,82,145,2069,1633,2456,5981,4478,7515
2020-04-10,6,22,,,,,,,119,80,143,2029,1577,2406,6099,4559,7658
2020-04-11,1,23,,,,,,,117,78,142,1990,1523,2361,6216,4638,7799
2020-04-12,0,23,,,,,,,115,77,140,1953,1471,2318,6331,4715,7938
2020-04-13,1,24,,,,,,,113,75,138,1918,1420,2279,6444,4790,8076
2020-04-14,5,29,,,,,,,111,73,136,1884,1372,2243,6555,4864,8211
2020-04-15,1,30,,,,,,,109,72,134,1851,1327,2209,6664,4936,8344
2020-04-16,2,32,,,,,,,108,70,132,1819,1285,2177,6772,5007,8476
2020-04-17,1,33,,,,,,,106,68,130,1788,1246,2146,6878,5075,8606
2020-04-18,0,33,,,,,,,104,66,129,1758,1209,2117,6983,5141,8734
2020-04-19,2,35,,,,,,,103,64,127,1730,1173,2089,7086,5206,8860
2020-04-20,2,37,,,,,,,101,62,125,1702,1140,2061,7187,5268,8985
2020-04-21,1,38,,,,,,,100,60,124,1674,1108,2033,7287,5329,9108
2020-04-22,0,38,,,,,,,98,58,122,1648,1078,2006,7385,5388,9230
2020-04-23,2,40,,,,,,,97,57,120,1622,1049,1979,7482,5445,9350
2020-04-24,0,40,,,,,,,95,55,119,1596,1022,1953,7577,5501,9468
2020-04-25,1,41,,,,,,,94,54,117,1571,996,1926,7671,5555,9584
2020-04-26,0,41,,,,,,,92,53,115,1547,970,1900,7763,5608,9699
2020-04-27,0,41,,,,,,,91,51,114,1523,945,1874,7854,5660,9812
2020-04-28,3,44,,,,,,,89,50,112,1499,920,1849,7943,5711,9924
2020-04-29,1,45,,,,,,,88,49,110,1476,896,1823,8031,5760,10034
2020-04-30,0,45,,,,,,,87,48,109,1454,871,1798,8118,5808,10142
2020-05-01,0,45,,,,,,,85,47,107,1431,848,1774,8203,5855,10249
2020-05-02,1,46,,,,,,,84,45,106,1409,826,1749,8287,5901,10355
2020-05-03,0,46,,,,,,,83,44,105,1387,804,1725,8370,5946,10459
2020-05-04,0,46,,,,,,,81,43,103,1366,784,1701,8452,5990,10561
2020-05-05,0,46,,,,,,,80,43,102,1345,765,1678,8532,6033,10663
2020-05-06,2,48,,,,,,,79,42,101,1324,746,1655,8611,6075,10763
2020-05-07,1,49,,,,,,,78,41,99,1304,729,1632,8689,6117,10861
2020-05-08,0,49,,,,,,,77,40,98,1284,712,1610,8765,6158,10959
2020-05-09,0,49,,,,,,,75,40,97,1264,697,1588,8841,6198,11056
2020-05-10,1,50,,,,,,,74,39,96,1245,682,1567,8915,6238,11151
2020-05-11,0,50,,,,,,,73,38,95,1226,667,1547,8988,6276,11245
2020-05-12,0,50,,,,,,,72,38,94,1207,654,1527,9061,6315,11339
2020-05-13,4,54,,,,,,,71,37,93,1189,641,1508,9132,6352,11432
2020-05-14,,,1,0,1,55,54,55,70,36,92,1171,628,1490,9202,6389,11523
2020-05-15,,,1,0,1,55,54,56,69,36,92,1154,616,1473,9272,6425,11614
2020-05-16,,,1,0,1,56,55,57,68,35,91,1137,605,1456,9340,6461,11705
2020-05-17,,,1,0,1,57,55,58,67,35,90,1120,594,1440,9407,6496,11794
2020-05-18,,,1,0,1,58,56,59,66,34,90,1104,584,1425,9474,6531,11884
2020-05-19,,,1,0,1,58,56,60,65,34,89,1088,574,1412,9539,6565,11972
2020-05-20,,,1,0,1,59,56,61,65,33,89,1072,565,1399,9604,6598,12061
2020-05-21,,,1,0,1,60,57,61,64,33,89,1056,556,1387,9667,6631,12150
2020-05-22,,,1,0,1,60,57,62,63,32,89,1041,546,1377,9730,6664,12238
2020-05-23,,,1,0,1,61,57,63,62,31,88,1026,537,1367,9791,6696,12326
2020-05-24,,,1,0,1,61,58,64,61,31,88,1011,529,1358,9852,6727,12413
