date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-15,,,,,,,,,194,100,300,194,100,300,194,100,300
2020-02-16,,,,,,,,,194,100,300,389,200,600,389,200,600
2020-02-17,,,,,,,,,194,100,300,583,300,900,583,300,900
2020-02-18,,,,,,,,,194,100,300,778,400,1200,778,400,1200
2020-02-19,,,,,,,,,194,100,300,972,500,1500,972,500,1500
2020-02-20,,,,,,,,,194,100,300,1167,600,1800,1167,600,1800
2020-02-21,,,,,,,,,194,100,300,1361,700,2100,1361,700,2100
2020-02-22,,,,,,,,,194,100,300,1556,800,2400,1556,800,2400
2020-02-23,,,,,,,,,194,100,300,1750,900,2700,1750,900,2700
2020-02-24,,,,,,,,,658,339,1067,2408,1239,3767,2408,1239,3767
2020-02-25,,,,,,,,,656,339,1062,3064,1579,4829,3064,1579,4829
2020-02-26,,,,,,,,,709,367,1153,3773,1946,5981,3773,1946,5981
2020-02-27,,,,,,,,,819,423,1339,4592,2369,7319,4592,2369,7319
2020-02-28,,,,,,,,,1045,541,1723,5637,2911,9042,5637,2911,9042
2020-02-29,,,,,,,,,1401,726,2324,7038,3637,11366,7038,3637,11366
2020-03-01,,,,,,,,,1696,881,2814,8540,4418,13880,8734,4518,14180
2020-03-02,,,,,,,,,1989,1034,3291,10335,5353,16870,10723,5553,17470
2020-03-03,,,,,,,,,2370,1235,3904,12510,6489,20474,13093,6789,21374
2020-03-04,,,,,,,,,2862,1497,4683,15177,7886,24856,15955,8286,26056
2020-03-05,,,,,,,,,3494,1837,5658,18477,9624,30214,19449,10124,31714
2020-03-06,,,,,,,,,4198,2224,6699,22481,11749,36613,23648,12349,38413
2020-03-07,,,,,,,,,4982,2665,7899,27268,14314,44211,28629,15014,46311
2020-03-08,,,,,,,,,5892,3191,9401,32965,17406,53312,34521,18206,55712
2020-03-09,,,,,,,,,6962,3833,11062,39733,21139,64074,41483,22039,66774
2020-03-10,1,1,,,,,,,8202,4612,13217,47277,25412,76223,49685,26652,79990
2020-03-11,0,1,,,,,,,9584,5515,15290,56206,30588,90451,59269,32168,95279
2020-03-12,0,1,,,,,,,11085,6575,17650,66581,36797,106948,70354,38743,112929
2020-03-13,0,1,,,,,,,12697,7699,20048,78459,44072,125658,83051,46442,132976
2020-03-14,0,1,,,,,,,14404,8831,22155,91818,52363,146089,97455,55274,155131
2020-03-15,1,2,,,,,,,16170,10015,24348,106587,61652,168113,113625,65289,179479
2020-03-16,0,2,,,,,,,17938,11216,26191,122828,71987,191490,131563,76506,205669
2020-03-17,1,3,,,,,,,19649,12711,27907,140488,83664,216105,151211,89217,233575
2020-03-18,0,3,,,,,,,21256,14164,29520,159374,96592,241721,172467,103382,263094
2020-03-19,6,9,,,,,,,22718,15474,30916,179230,110569,267954,195185,118856,294010
2020-03-20,2,11,,,,,,,24001,16845,31737,199737,125577,294033,219186,135702,325746
2020-03-21,5,16,,,,,,,25077,18002,32752,220616,141355,320086,244263,153704,358498
2020-03-22,4,20,,,,,,,25936,18578,33651,241571,157268,345837,270200,172282,392148
2020-03-23,7,27,,,,,,,26584,19172,34426,262263,173248,370862,296784,191454,426574
2020-03-24,17,44,,,,,,,27038,19667,34554,282339,189082,394354,323822,211122,461128
2020-03-25,18,62,,,,,,,27323,19990,34957,301460,204459,416095,351145,231112,496085
2020-03-26,19,81,,,,,,,27463,20315,35144,319339,219259,435950,378608,251427,531228
2020-03-27,27,108,,,,,,,27479,20469,34703,335733,233153,453003,406086,271897,565931
2020-03-28,32,140,,,,,,,27389,20616,34632,350425,246070,467586,433475,292513,600562
2020-03-29,21,161,,,,,,,27211,20581,34248,363232,257820,479680,460687,313094,634810
