date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-22,,,,,,,,,189,50,250,189,50,250,189,50,250,1.69204437489
2020-02-23,,,,,,,,,189,50,250,378,100,500,378,100,500,1.68816827574
2020-02-24,,,,,,,,,189,50,250,567,150,750,567,150,750,1.68730897208
2020-02-25,,,,,,,,,189,50,250,757,200,1000,757,200,1000,1.68625868291
2020-02-26,,,,,,,,,189,50,250,946,250,1250,946,250,1250,1.68497462597
2020-02-27,,,,,,,,,189,50,250,1135,300,1500,1135,300,1500,1.68340420316
2020-02-28,,,,,,,,,189,50,250,1324,350,1750,1324,350,1750,1.6814825927
2020-02-29,,,,,,,,,189,50,250,1513,400,2000,1513,400,2000,1.67912965755
2020-03-01,,,,,,,,,189,50,250,1702,450,2250,1702,450,2250,1.67624593662
2020-03-02,,,,,,,,,489,159,682,2192,609,2932,2192,609,2932,1.67270740905
2020-03-03,,,,,,,,,487,159,676,2679,769,3607,2679,769,3607,1.66835865254
2020-03-04,,,,,,,,,509,171,706,3187,940,4312,3187,940,4312,1.66300401322
2020-03-05,,,,,,,,,554,194,770,3742,1135,5082,3742,1135,5082,1.65639661089
2020-03-06,,,,,,,,,649,243,904,4390,1379,5985,4390,1379,5985,1.64822571323
2020-03-07,,,,,,,,,795,320,1109,5186,1700,7093,5186,1700,7093,1.63810472212
2020-03-08,,,,,,,,,905,383,1255,5902,2034,8098,6091,2084,8348,1.62556530973
2020-03-09,,,,,,,,,995,444,1392,6708,2428,9239,7086,2528,9739,1.61006817626
2020-03-10,,,,,,,,,1097,521,1581,7616,2899,10570,8183,3049,11320,1.59104542916
2020-03-11,,,,,,,,,1214,616,1771,8641,3466,12090,9398,3666,13090,1.56798765784
2020-03-12,,,,,,,,,1354,740,1957,9806,4156,13797,10752,4406,15047,1.5405718395
2020-03-13,,,,,,,,,1490,873,2145,11107,4979,15691,12241,5279,17191,1.50879385921
2020-03-14,,,,,,,,,1613,1015,2321,12530,5945,17762,13854,6295,19512,1.47304375925
2020-03-15,,,,,,,,,1731,1142,2422,14072,7038,19933,15585,7438,21933,1.43407748503
2020-03-16,,,,,,,,,1846,1250,2558,15729,8239,22240,17432,8689,24490,1.3928979938
