date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-29,,,,,,,,,41,25,75,41,25,75,41,25,75,1.66953748006
2020-03-01,,,,,,,,,41,25,75,82,50,150,82,50,150,1.65798650353
2020-03-02,,,,,,,,,41,25,75,123,75,225,123,75,225,1.65541960248
2020-03-03,,,,,,,,,41,25,75,165,100,300,165,100,300,1.65227745071
2020-03-04,,,,,,,,,41,25,75,206,125,375,206,125,375,1.648427731
2020-03-05,,,,,,,,,41,25,75,247,150,450,247,150,450,1.64370548945
2020-03-06,,,,,,,,,41,25,75,288,175,525,288,175,525,1.63790393157
2020-03-07,,,,,,,,,41,25,75,329,200,600,329,200,600,1.6307623621
2020-03-08,,,,,,,,,41,25,75,370,225,675,370,225,675,1.62195076348
2020-03-09,,,,,,,,,104,64,156,475,289,831,475,289,831,1.61105117562
2020-03-10,,,,,,,,,103,64,153,578,354,983,578,354,983,1.59753783399
2020-03-11,,,,,,,,,107,67,155,685,422,1138,685,422,1138,1.58076170857
2020-03-12,,,,,,,,,115,73,167,800,495,1305,800,495,1305,1.55995099204
2020-03-13,,,,,,,,,133,86,196,933,581,1501,933,581,1501,1.5342454536
2020-03-14,,,,,,,,,160,105,238,1093,687,1739,1093,687,1739,1.5027833719
2020-03-15,,,,,,,,,177,120,263,1229,782,1926,1270,807,2001,1.464845676
2020-03-16,,,,,,,,,189,131,273,1377,889,2124,1459,939,2274,1.42003054327
2020-03-17,,,,,,,,,201,145,280,1537,1009,2329,1661,1084,2554,1.36840185212
2020-03-18,,,,,,,,,213,153,297,1709,1138,2551,1874,1238,2851,1.3105582031
2020-03-19,,,,,,,,,226,161,307,1895,1274,2782,2100,1399,3157,1.24760974413
2020-03-20,,,,,,,,,236,174,313,2089,1424,3020,2336,1574,3470,1.18108936055
2020-03-21,,,,,,,,,241,180,322,2289,1579,3267,2577,1754,3792,1.11283077732
2020-03-22,,,,,,,,,242,184,329,2490,1739,3520,2819,1939,4120,1.04482980822
2020-03-23,,,,,,,,,241,182,335,2690,1897,3779,3061,2122,4454,0.979092470175
2020-03-24,,,,,,,,,239,178,335,2825,2010,3959,3299,2300,4789,0.917473174182
2020-03-25,,,,,,,,,234,174,329,2955,2120,4134,3533,2475,5117,0.861511722371
2020-03-26,3,3,,,,,,,227,168,317,3075,2221,4296,3760,2643,5434,0.812286054205
2020-03-27,0,3,,,,,,,219,161,302,3179,2308,4431,3979,2804,5736,0.770311077294
2020-03-28,1,4,,,,,,,210,155,287,3256,2378,4522,4190,2960,6023,0.735523407784
2020-03-29,1,5,,,,,,,201,150,273,3298,2422,4557,4391,3110,6295,0.707373754151
2020-03-30,1,6,,,,,,,193,145,256,3313,2447,4549,4584,3255,6550,0.685001356889
2020-03-31,2,8,,,,,,,184,140,242,3308,2456,4518,4767,3395,6792,0.667426773692
2020-04-01,1,9,,,,,,,176,134,231,3282,2445,4469,4943,3530,7022,0.653703695986
2020-04-02,0,9,,,,,,,168,128,220,3237,2420,4391,5111,3658,7242,0.643005650585
2020-04-03,0,9,,,,,,,160,119,207,3170,2378,4292,5270,3777,7448,0.634655921404
2020-04-04,1,10,,,,,,,153,115,195,3087,2318,4174,5423,3892,7643,0.628122119262
2020-04-05,0,10,,,,,,,146,109,187,2992,2247,4038,5569,4001,7829,0.622994829322
2020-04-06,0,10,,,,,,,140,102,180,2889,2165,3889,5709,4104,8009,0.61896258655
2020-04-07,3,13,,,,,,,134,97,170,2782,2080,3725,5843,4202,8178,0.615789069296
2020-04-08,2,15,,,,,,,128,92,164,2672,1993,3553,5971,4294,8341,0.613294476463
2020-04-09,3,18,,,,,,,123,87,158,2561,1907,3382,6094,4382,8499,0.611341143086
2020-04-10,6,24,,,,,,,119,83,152,2453,1821,3217,6213,4465,8650,0.609822736152
2020-04-11,1,25,,,,,,,114,79,146,2348,1739,3061,6327,4544,8796,0.60865623949
2020-04-12,2,27,,,,,,,110,74,142,2248,1659,2915,6438,4619,8937,0.607776031107
2020-04-13,0,27,,,,,,,106,71,138,2153,1580,2780,6544,4690,9074,0.607129509073
2020-04-14,6,33,,,,,,,103,68,134,2063,1503,2659,6647,4758,9208,0.606673864288
2020-04-15,6,39,,,,,,,100,65,132,1979,1427,2548,6747,4823,9339,0.606213780068
2020-04-16,2,41,,,,,,,97,61,129,1900,1355,2446,6843,4885,9468,0.605744278392
2020-04-17,0,41,,,,,,,94,58,126,1826,1286,2352,6937,4944,9593,0.605473604825
2020-04-18,2,43,,,,,,,91,56,123,1757,1223,2268,7028,5000,9716,0.605340971118
2020-04-19,1,44,,,,,,,88,53,121,1693,1161,2193,7116,5054,9836,0.605295082574
2020-04-20,1,45,,,,,,,86,51,118,1633,1104,2125,7202,5106,9954,0.605319169317
2020-04-21,3,48,,,,,,,84,49,117,1577,1050,2062,7286,5155,10070,0.605639380984
2020-04-22,3,51,,,,,,,82,47,115,1525,1000,2007,7368,5203,10184,0.605946239373
2020-04-23,3,54,,,,,,,80,45,112,1476,954,1955,7447,5248,10296,0.606236350677
2020-04-24,0,54,,,,,,,78,44,110,1431,911,1907,7525,5293,10405,0.606507226372
2020-04-25,2,56,,,,,,,76,42,108,1388,870,1863,7601,5336,10513,0.606757412378
2020-04-26,0,56,,,,,,,74,41,106,1348,832,1823,7676,5377,10618,0.606986576972
