date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-19,,,,,,,,,89,50,150,89,50,150,89,50,150,1.46206344638
2020-02-20,,,,,,,,,89,50,150,177,100,300,177,100,300,1.46192696511
2020-02-21,,,,,,,,,89,50,150,266,150,450,266,150,450,1.46189675728
2020-02-22,,,,,,,,,89,50,150,355,200,600,355,200,600,1.46185986602
2020-02-23,,,,,,,,,89,50,150,444,250,750,444,250,750,1.46181481387
2020-02-24,,,,,,,,,89,50,150,532,300,900,532,300,900,1.46175979738
2020-02-25,,,,,,,,,89,50,150,621,350,1050,621,350,1050,1.46169261547
2020-02-26,,,,,,,,,89,50,150,710,400,1200,710,400,1200,1.46161058216
2020-02-27,,,,,,,,,89,50,150,799,450,1350,799,450,1350,1.46151042045
2020-02-28,,,,,,,,,213,129,330,1011,579,1680,1011,579,1680,1.46138813314
2020-02-29,,,,,,,,,212,129,329,1223,709,2009,1223,709,2009,1.46123884597
2020-03-01,,,,,,,,,220,135,339,1443,844,2347,1443,844,2347,1.46105661719
2020-03-02,,,,,,,,,237,147,359,1680,992,2706,1680,992,2706,1.46083420666
2020-03-03,,,,,,,,,271,173,401,1951,1165,3107,1951,1165,3107,1.46056279631
2020-03-04,,,,,,,,,325,212,467,2276,1378,3573,2276,1378,3573,1.46023165231
2020-03-05,,,,,,,,,366,243,516,2553,1571,3938,2642,1621,4088,1.45982771725
2020-03-06,,,,,,,,,400,269,553,2864,1790,4340,3042,1890,4640,1.45933511895
2020-03-07,,,,,,,,,437,299,593,3213,2040,4782,3479,2190,5232,1.4587345799
2020-03-08,,,,,,,,,481,335,636,3605,2325,5268,3960,2525,5868,1.45800270807
2020-03-09,,,,,,,,,535,380,690,4052,2655,5808,4496,2905,6558,1.45711114654
2020-03-10,,,,,,,,,592,427,745,4555,3032,6402,5087,3332,7302,1.45602555375
2020-03-11,,,,,,,,,648,474,797,5114,3457,7049,5735,3807,8099,1.45470437922
2020-03-12,,,,,,,,,707,526,849,5732,3933,7747,6442,4333,8947,1.45309738907
2020-03-13,,,,,,,,,770,582,903,6413,4466,8500,7212,4916,9850,1.45114388055
2020-03-14,1,1,,,,,,,841,645,961,7042,4981,9130,8053,5561,10810,1.44877050471
2020-03-15,0,1,,,,,,,917,713,1055,7747,5565,9856,8970,6275,11865,1.44588859327
2020-03-16,0,1,,,,,,,997,786,1194,8524,6216,10711,9967,7061,13058,1.44239087188
2020-03-17,1,2,,,,,,,1081,863,1347,9369,6932,11699,11049,7924,14404,1.43814746889
2020-03-18,0,2,,,,,,,1171,944,1517,10269,7704,12815,12219,8869,15921,1.43300127077
2020-03-19,0,2,,,,,,,1266,1032,1705,11209,8523,14053,13485,9901,17625,1.42676306546
2020-03-20,0,2,,,,,,,1366,1123,1909,12208,9404,15446,14851,11025,19534,1.419207738
2020-03-21,0,2,,,,,,,1470,1219,2076,13279,10354,16970,16321,12244,21609,1.4100741437
2020-03-22,4,6,,,,,,,1578,1317,2213,14419,11371,18590,17899,13562,23822,1.39907284831
2020-03-23,0,6,,,,,,,1688,1417,2347,15627,12454,20301,19587,14979,26169,1.38590643545
2020-03-24,3,9,,,,,,,1800,1516,2474,16891,13590,22085,21387,16495,28642,1.37030455633
2020-03-25,0,9,,,,,,,1911,1586,2585,18211,14749,23924,23298,18082,31226,1.35206980945
2020-03-26,1,10,,,,,,,2021,1653,2680,19584,15928,25807,25319,19736,33905,1.33112473528
2020-03-27,0,10,,,,,,,2126,1712,2776,21003,17115,27734,27445,21448,36681,1.30755060527
2020-03-28,3,13,,,,,,,2225,1766,2822,22458,18299,29654,29670,23215,39503,1.2816143368
2020-03-29,2,15,,,,,,,2316,1819,2914,23933,19472,31607,31986,25034,42417,1.25378154809
2020-03-30,0,15,,,,,,,2399,1865,3000,25414,20624,33552,34385,26900,45416,1.22470782361
2020-03-31,12,27,,,,,,,2471,1921,3121,26888,21759,35480,36855,28821,48537,1.19519659029
2020-04-01,7,34,,,,,,,2532,1969,3210,28338,22866,37343,39387,30791,51747,1.16612067025
2020-04-02,7,41,,,,,,,2583,2002,3296,29750,23924,39122,41970,32793,55042,1.13832123085
2020-04-03,5,46,,,,,,,2624,2024,3351,31109,24916,40768,44593,34818,58393,1.11250894322
2020-04-04,6,52,,,,,,,2656,2064,3378,32399,25857,42237,47250,36882,61770,1.08919075943
2020-04-05,0,52,,,,,,,2681,2088,3374,33610,26726,43535,49930,38971,65144,1.06863642464
2020-04-06,14,66,,,,,,,2699,2110,3365,34731,27520,44687,52630,41082,68508,1.05088832502
2020-04-07,0,66,,,,,,,2712,2130,3378,35755,28233,45718,55342,43213,71886,1.0358077367
2020-04-08,0,66,,,,,,,2720,2150,3361,36675,28867,46605,58062,45363,75247,1.02314060062
2020-04-09,43,109,,,,,,,2725,2163,3343,37488,29444,47363,60786,47527,78589,1.01258203122
2020-04-10,12,121,,,,,,,2726,2180,3340,38194,29971,48024,63512,49707,81929,1.00382456947
2020-04-11,9,130,,,,,,,2725,2175,3331,38792,30435,48579,66237,51883,85260,0.996585987501
2020-04-12,11,141,,,,,,,2721,2160,3312,39288,30829,49068,68958,54044,88571,0.990620571276
2020-04-13,8,149,,,,,,,2716,2153,3285,39688,31163,49439,71674,56198,91855,0.985720369969
2020-04-14,5,154,,,,,,,2710,2142,3283,40000,31439,49722,74385,58340,95138,0.98171176864
2020-04-15,41,195,,,,,,,2703,2132,3315,40233,31650,49916,77088,60472,98453,0.97845060264
2020-04-16,13,208,,,,,,,2696,2106,3308,40396,31787,50014,79783,62578,101760,0.975817324158
2020-04-17,23,231,,,,,,,2687,2071,3317,40501,31855,50034,82471,64649,105076,0.973712744001
2020-04-18,27,258,,,,,,,2679,2034,3319,40557,31865,50003,85150,66684,108395,0.972054421552
2020-04-19,19,277,,,,,,,2671,1982,3358,40571,31784,49982,87821,68667,111752,0.970773622375
2020-04-20,23,300,,,,,,,2663,1945,3369,40553,31641,49977,90483,70613,115121,0.969812741408
2020-04-21,24,324,,,,,,,2654,1900,3407,40508,31431,50019,93138,72513,118527,0.969123113158
2020-04-22,25,349,,,,,,,2647,1852,3431,40443,31153,50072,95784,74366,121958,0.968663160403
2020-04-23,24,373,,,,,,,2639,1799,3445,40362,30801,50157,98423,76165,125403,0.968396855736
2020-04-24,38,411,,,,,,,2632,1742,3491,40269,30380,50305,101055,77907,128894,0.968292482701
2020-04-25,26,437,,,,,,,2625,1683,3532,40168,29883,50497,103680,79591,132425,0.968321686204
2020-04-26,12,449,,,,,,,2619,1627,3564,40062,29335,50729,106299,81219,135989,0.968458797765
2020-04-27,11,460,,,,,,,2613,1569,3613,39954,28744,51031,108912,82788,139601,0.968680412313
2020-04-28,32,492,,,,,,,2607,1523,3656,39845,28114,51402,111520,84312,143257,0.968907371681
2020-04-29,30,522,,,,,,,2602,1469,3705,39737,27441,51824,114122,85782,146962,0.969185839802
2020-04-30,30,552,,,,,,,2598,1418,3761,39632,26728,52270,116720,87200,150722,0.969471829558
2020-05-01,29,581,,,,,,,2593,1369,3807,39529,25991,52769,119313,88569,154528,0.96970987928
2020-05-02,36,617,,,,,,,2589,1321,3849,39431,25241,53301,121902,89891,158377,0.96993060914
2020-05-03,43,660,,,,,,,2586,1273,3907,39338,24480,53889,124488,91165,162283,0.970285225325
2020-05-04,24,684,,,,,,,2583,1231,3966,39249,23729,54497,127070,92396,166248,0.970703179911
2020-05-05,29,713,,,,,,,2580,1189,4010,39167,22973,55138,129650,93586,170258,0.971082306395
2020-05-06,0,713,,,,,,,2578,1156,4046,39090,22228,55776,132228,94742,174303,0.971422038247
2020-05-07,56,769,,,,,,,2575,1127,4104,39019,21503,56449,134803,95869,178406,0.971723175446
2020-05-08,43,812,,,,,,,2573,1094,4158,38953,20798,57162,137377,96964,182564,0.971987653161
2020-05-09,15,827,,,,,,,2572,1050,4213,38893,20107,57883,139948,98014,186777,0.972218297698
2020-05-10,12,839,,,,,,,2570,1007,4276,38838,19430,58628,142519,99022,191052,0.972418608859
2020-05-11,11,850,,,,,,,2569,968,4340,38789,18771,59404,145088,99990,195392,0.972592601711
2020-05-12,42,892,,,,,,,2568,932,4404,38744,18134,60195,147656,100923,199796,0.972744734845
2020-05-13,36,928,,,,,,,2567,895,4471,38704,17506,61010,150223,101819,204266,0.972879949654
2020-05-14,28,956,,,,,,,2567,869,4524,38668,16906,61829,152790,102688,208790,0.973003848069
2020-05-15,22,978,,,,,,,2566,844,4588,38636,16331,62656,155356,103532,213377,0.973123046268
2020-05-16,25,1003,,,,,,,2566,819,4628,38609,15782,63477,157922,104352,218005,0.973245760446
2020-05-17,,,26,16,36,1029,1019,1039,2566,795,4701,38585,15256,64329,160487,105147,222705,
2020-05-18,,,26,16,36,1055,1035,1074,2566,772,4753,38566,14754,65175,163053,105920,227458,
2020-05-19,,,26,15,37,1081,1051,1110,2566,747,4810,38549,14271,66020,165620,106668,232268,
2020-05-20,,,26,15,37,1107,1066,1147,2567,723,4879,38536,13805,66889,168187,107392,237146,
2020-05-21,,,26,14,38,1133,1081,1184,2568,700,4950,38527,13350,67793,170755,108092,242095,
2020-05-22,,,26,14,38,1159,1095,1221,2570,679,5022,38522,12902,68712,173325,108772,247117,
2020-05-23,,,26,13,39,1185,1109,1259,2573,656,5094,38522,12464,69648,175899,109428,252211,
2020-05-24,,,26,13,39,1211,1122,1298,2577,634,5170,38528,12048,70604,178476,110063,257380,
2020-05-25,,,26,12,40,1237,1135,1337,2583,613,5253,38541,11654,71580,181060,110676,262632,
2020-05-26,,,26,12,40,1262,1147,1377,2592,593,5337,38564,11279,72577,183651,111269,267969,
2020-05-27,,,26,11,41,1288,1159,1417,2604,574,5430,38599,10920,73603,186255,111844,273398,
2020-05-28,,,26,11,41,1314,1170,1457,2620,557,5541,38652,10582,74673,188875,112401,278939,
2020-05-29,,,26,11,42,1340,1182,1499,2641,540,5654,38727,10253,75803,191516,112941,284592,
2020-05-30,,,26,10,42,1365,1192,1540,2669,526,5809,38830,9935,77025,194185,113468,290401,
2020-05-31,,,26,10,43,1391,1203,1582,2703,512,5970,38966,9629,78366,196888,113981,296371,
2020-06-01,,,26,10,43,1417,1213,1625,2742,500,6178,39143,9333,79844,199630,114481,302548,
2020-06-02,,,26,9,44,1442,1223,1669,2781,489,6373,39358,9050,81463,202411,114971,308921,
2020-06-03,,,26,9,45,1468,1232,1713,2824,477,6585,39616,8780,83238,205235,115448,315505,
2020-06-04,,,26,8,45,1494,1241,1758,2873,468,6826,39921,8524,85184,208108,115916,322330,
2020-06-05,,,26,8,46,1520,1250,1803,2925,463,7056,40278,8287,87291,211033,116380,329386,
2020-06-06,,,26,8,46,1545,1258,1849,2981,461,7369,40688,8069,89638,214014,116841,336755,
2020-06-07,,,26,8,47,1571,1266,1895,3038,458,7683,41153,7871,92227,217052,117300,344437,
2020-06-08,,,26,7,48,1597,1274,1942,3098,448,8044,41674,7685,95101,220150,117748,352481,
2020-06-09,,,26,7,48,1622,1282,1990,3161,434,8393,42252,7506,98241,223312,118183,360873,
2020-06-10,,,26,7,49,1648,1289,2038,3227,423,8795,42887,7337,101699,226539,118607,369668,
2020-06-11,,,26,7,49,1674,1297,2087,3296,417,9222,43579,7180,105491,229834,119024,378889,
2020-06-12,,,26,7,50,1699,1304,2137,3366,414,9669,44326,7038,109619,233201,119439,388557,
2020-06-13,,,26,6,51,1725,1310,2187,3439,411,10136,45123,6909,114101,236640,119850,398693,
2020-06-14,,,26,6,52,1751,1317,2239,3515,407,10625,45969,6790,118917,240155,120258,409317,
2020-06-15,,,26,6,53,1777,1323,2291,3593,399,11138,46860,6677,124085,243748,120658,420455,
2020-06-16,,,26,6,53,1803,1330,2343,3673,388,11669,47790,6565,129575,247421,121046,432123,
2020-06-17,,,26,5,54,1829,1335,2397,3754,377,12214,48763,6453,135416,251175,121424,444336,
2020-06-18,,,26,5,55,1855,1341,2452,3836,365,12780,49776,6341,141611,255011,121789,457115,
2020-06-19,,,26,5,56,1881,1347,2508,3921,353,13365,50824,6226,148150,258932,122143,470479,
2020-06-20,,,27,5,58,1908,1352,2565,4007,347,13966,51905,6110,155059,262938,122491,484445,
2020-06-21,,,27,5,59,1935,1357,2624,4093,341,14578,53018,5991,162268,267031,122833,499023,
2020-06-22,,,27,5,61,1962,1363,2685,4179,337,15197,54158,5869,169782,271210,123170,514219,
2020-06-23,,,28,5,63,1990,1368,2747,4263,327,15816,55323,5749,177555,275473,123497,530035,
2020-06-24,,,28,4,65,2018,1373,2812,4346,318,16429,56507,5632,185591,279819,123816,546464,
2020-06-25,,,28,4,67,2046,1377,2879,4425,309,17026,57705,5518,193822,284244,124125,563489,
2020-06-26,,,29,4,70,2075,1382,2948,4500,299,17595,58910,5400,202195,288744,124425,581083,
2020-06-27,,,29,4,72,2104,1387,3019,4568,289,18121,60111,5275,210647,293312,124715,599204,
2020-06-28,,,30,4,75,2134,1391,3094,4627,281,18595,61299,5145,219107,297939,124996,617799,
2020-06-29,,,31,4,79,2165,1396,3172,4677,273,19006,62461,5010,227487,302616,125269,636804,
2020-06-30,,,31,4,82,2196,1400,3254,4718,263,19348,63586,4874,235698,307334,125533,656152,
2020-07-01,,,32,4,86,2228,1405,3339,4748,255,19621,64661,4741,243650,312082,125788,675772,
2020-07-02,,,32,4,90,2260,1409,3428,4758,245,19777,65665,4610,251213,316840,126034,695549,
2020-07-03,,,33,4,94,2293,1413,3522,4759,237,19872,66588,4482,258306,321599,126271,715421,
2020-07-04,,,34,4,99,2327,1417,3620,4753,228,19914,67420,4356,264855,326352,126499,735334,
2020-07-05,,,35,4,103,2362,1421,3723,4740,220,19907,68154,4228,270796,331092,126720,755240,
2020-07-06,,,35,4,108,2397,1425,3830,4720,212,19856,68781,4099,276074,335812,126932,775096,
2020-07-07,,,36,3,113,2433,1429,3943,4693,206,19761,69295,3968,280638,340505,127138,794857,
2020-07-08,,,37,3,119,2470,1433,4061,4661,200,19634,69693,3840,284455,345166,127338,814490,
2020-07-09,,,38,3,124,2508,1437,4185,4624,195,19480,69972,3717,287507,349790,127533,833970,
2020-07-10,,,39,3,130,2546,1441,4314,4584,189,19305,70131,3598,289785,354375,127723,853274,
2020-07-11,,,39,3,135,2586,1444,4449,4541,183,19111,70172,3481,291301,358916,127907,872384,
2020-07-12,,,40,3,141,2626,1448,4590,4495,176,18898,70100,3368,292078,363411,128083,891281,
2020-07-13,,,41,3,147,2667,1451,4736,4446,169,18669,69918,3256,292152,367857,128252,909950,
2020-07-14,,,42,3,153,2709,1454,4889,4394,162,18426,69635,3145,291572,372251,128414,928376,
2020-07-15,,,43,3,159,2752,1458,5048,4340,155,18171,69258,3036,290395,376592,128570,946546,
2020-07-16,,,43,3,165,2795,1461,5212,4285,148,17906,68794,2930,288680,380876,128719,964452,
2020-07-17,,,44,3,171,2839,1464,5383,4227,142,17630,68263,2827,286533,385103,128861,982081,
2020-07-18,,,45,2,176,2884,1467,5558,4167,136,17345,67671,2726,284005,389270,128998,999425,
2020-07-19,,,45,2,181,2930,1470,5738,4106,131,17051,67024,2629,281143,393376,129129,1016476,
2020-07-20,,,46,2,185,2976,1473,5923,4043,125,16734,66327,2535,277970,397419,129255,1033209,
2020-07-21,,,46,2,189,3022,1475,6111,3979,121,16425,65586,2444,274539,401398,129376,1049634,
2020-07-22,,,47,2,192,3069,1478,6302,3913,115,16110,64806,2353,270887,405311,129491,1065743,
2020-07-23,,,47,2,194,3116,1481,6496,3847,110,15790,63992,2263,267043,409158,129602,1081532,
2020-07-24,,,47,2,196,3163,1483,6692,3779,105,15465,63147,2173,263027,412937,129707,1096996,
2020-07-25,,,47,2,197,3211,1485,6888,3710,100,15136,62273,2083,258858,416648,129807,1112132,
2020-07-26,,,47,2,198,3258,1488,7086,3641,95,14804,61372,1995,254551,420288,129902,1126935,
2020-07-27,,,47,2,198,3305,1490,7283,3571,91,14469,60448,1910,250122,423859,129993,1141403,
2020-07-28,,,47,2,198,3352,1492,7480,3500,86,14132,59502,1828,245585,427359,130080,1155534,
2020-07-29,,,47,2,197,3399,1494,7677,3428,82,13793,58536,1748,240952,430787,130163,1169327,
2020-07-30,,,46,1,196,3445,1496,7872,3357,78,13454,57552,1671,236234,434144,130241,1182780,
2020-07-31,,,46,1,194,3491,1498,8066,3284,74,13114,56552,1597,231442,437428,130316,1195893,
2020-08-01,,,46,1,193,3537,1500,8258,3212,71,12760,55537,1525,226573,440640,130387,1208653,
2020-08-02,,,45,1,191,3582,1502,8448,3139,68,12423,54509,1457,221651,443780,130455,1221075,
2020-08-03,,,45,1,189,3627,1503,8636,3067,64,12087,53470,1391,216686,446846,130520,1233162,
2020-08-04,,,44,1,186,3671,1505,8822,2994,61,11752,52421,1327,211704,449841,130582,1244913,
