date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-19,,,,,,,,,192,50,250,192,50,250,192,50,250,2.10213564991
2020-02-20,,,,,,,,,192,50,250,385,100,500,385,100,500,2.09878136564
2020-02-21,,,,,,,,,192,50,250,577,150,750,577,150,750,2.0976023326
2020-02-22,,,,,,,,,192,50,250,769,200,1000,769,200,1000,2.09600887975
2020-02-23,,,,,,,,,192,50,250,961,250,1250,961,250,1250,2.09385604952
2020-02-24,,,,,,,,,192,50,250,1154,300,1500,1154,300,1500,2.09094914239
2020-02-25,,,,,,,,,192,50,250,1346,350,1750,1346,350,1750,2.08702760469
2020-02-26,,,,,,,,,192,50,250,1538,400,2000,1538,400,2000,2.08174451766
2020-02-27,,,,,,,,,192,50,250,1731,450,2250,1731,450,2250,2.0746411495
2020-02-28,,,,,,,,,579,189,851,2309,639,3101,2309,639,3101,2.06511658134
2020-02-29,,,,,,,,,575,189,837,2884,829,3938,2884,829,3938,2.05239375964
2020-03-01,,,,,,,,,609,208,896,3493,1038,4834,3493,1038,4834,2.03548637875
2020-03-02,,,,,,,,,679,247,1013,4172,1285,5846,4172,1285,5846,2.0131774905
2020-03-03,,,,,,,,,825,327,1247,4997,1612,7092,4997,1612,7092,1.98403263476
2020-03-04,,,,,,,,,1046,454,1588,6043,2066,8679,6043,2066,8679,1.94648541078
2020-03-05,,,,,,,,,1204,563,1795,7055,2580,10223,7247,2630,10473,1.89903586403
2020-03-06,,,,,,,,,1328,676,1905,8191,3207,11878,8575,3307,12378,1.84056297751
2020-03-07,,,,,,,,,1465,829,2006,9463,3986,13634,10040,4136,14384,1.77067285489
2020-03-08,,,,,,,,,1612,998,2155,10883,4934,15538,11652,5134,16538,1.68995518476
2020-03-09,,,,,,,,,1772,1130,2335,12463,6015,17623,13424,6265,18873,1.60005751651
2020-03-10,,,,,,,,,1899,1290,2443,14170,7255,19815,15324,7555,21315,1.50355949043
2020-03-11,,,,,,,,,1984,1440,2508,15962,8645,22073,17308,8995,23823,1.40369327313
2020-03-12,,,,,,,,,2040,1520,2522,17810,10115,24344,19348,10515,26344,1.30400919202
2020-03-13,,,,,,,,,2072,1589,2650,19690,11654,26744,21420,12104,28994,1.20807278343
2020-03-14,1,1,,,,,,,2086,1590,2689,21197,13055,28582,23506,13695,31683,1.11919115163
2020-03-15,1,2,,,,,,,2076,1584,2631,22699,14450,30375,25583,15280,34313,1.04010736125
2020-03-16,1,3,,,,,,,2045,1555,2626,24134,15797,32105,27627,16835,36938,0.972653760535
2020-03-17,1,4,,,,,,,1999,1513,2578,25454,17063,33671,29626,18348,39516,0.917479679872
2020-03-18,0,4,,,,,,,1945,1474,2506,26573,18210,34930,31571,19823,42022,0.874031698112
2020-03-19,2,6,,,,,,,1888,1443,2430,27415,19200,35773,33458,21267,44451,0.840854499642
2020-03-20,3,9,,,,,,,1829,1412,2327,28040,20049,36305,35287,22680,46778,0.816071126946
2020-03-21,4,13,,,,,,,1769,1376,2243,28480,20749,36643,37056,24056,49020,0.797811514191
2020-03-22,0,13,,,,,,,1708,1347,2165,28724,21267,36802,38764,25403,51185,0.784459130467
2020-03-23,11,24,,,,,,,1649,1313,2061,28761,21582,36709,40413,26717,53246,0.774728021992
2020-03-24,8,32,,,,,,,1591,1270,1990,28580,21722,36363,42005,27987,55235,0.767642546984
2020-03-25,2,34,,,,,,,1536,1233,1918,28217,21666,35838,43541,29221,57153,0.762481218514
2020-03-26,7,41,,,,,,,1483,1186,1838,27715,21413,35167,45024,30408,58990,0.7587173455
2020-03-27,11,52,,,,,,,1432,1138,1766,27108,21031,34411,46456,31546,60755,0.755968675355
2020-03-28,13,65,,,,,,,1383,1092,1699,26419,20534,33459,47839,32639,62453,0.753958340116
2020-03-29,7,72,,,,,,,1337,1061,1637,25670,20005,32407,49176,33700,64089,0.752485799503
2020-03-30,5,77,,,,,,,1293,1012,1584,24886,19433,31360,50469,34713,65673,0.751405643221
2020-03-31,13,90,,,,,,,1251,967,1550,24092,18845,30285,51720,35680,67222,0.7506122664
2020-04-01,14,104,,,,,,,1211,924,1508,23304,18256,29214,52930,36605,68730,0.750028831748
2020-04-02,19,123,,,,,,,1172,884,1468,22532,17666,28176,54103,37489,70197,0.749599326148
2020-04-03,16,139,,,,,,,1136,848,1434,21780,17070,27180,55239,38337,71631,0.749282840228
2020-04-04,22,161,,,,,,,1101,815,1398,21053,16472,26250,56340,39152,73028,0.749049442392
2020-04-05,18,179,,,,,,,1068,779,1373,20353,15876,25381,57408,39932,74401,0.748877196834
2020-04-06,8,187,,,,,,,1037,748,1340,19681,15277,24555,58445,40681,75740,0.748750003465
2020-04-07,16,203,,,,,,,1007,718,1316,19039,14682,23810,59452,41399,77055,0.748656029544
2020-04-08,15,218,,,,,,,978,689,1285,18426,14100,23105,60430,42088,78339,0.748586568308
2020-04-09,19,237,,,,,,,951,663,1262,17841,13530,22448,61381,42752,79601,0.748535206508
2020-04-10,10,247,,,,,,,925,639,1236,17282,12983,21847,62306,43391,80836,0.748492337309
2020-04-11,13,260,,,,,,,900,615,1214,16750,12460,21295,63205,44007,82049,0.748456617517
2020-04-12,13,273,,,,,,,876,594,1194,16242,11961,20790,64081,44601,83242,0.748428916352
2020-04-13,12,285,,,,,,,853,573,1173,15757,11474,20326,64933,45174,84415,0.748408413749
2020-04-14,14,299,,,,,,,830,553,1153,15295,11015,19895,65764,45728,85567,0.748393916448
2020-04-15,10,309,,,,,,,809,534,1130,14854,10582,19475,66573,46263,86697,0.74838945063
2020-04-16,12,321,,,,,,,789,515,1110,14432,10173,19077,67362,46778,87806,0.748389676944
2020-04-17,15,336,,,,,,,769,497,1091,14029,9786,18700,68132,47276,88897,0.748390014562
