date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-23,,,,,,,,,178,50,250,178,50,250,178,50,250,2.37998085018
2020-02-24,,,,,,,,,178,50,250,356,100,500,356,100,500,2.37474874871
2020-02-25,,,,,,,,,178,50,250,535,150,750,535,150,750,2.37359736935
2020-02-26,,,,,,,,,178,50,250,713,200,1000,713,200,1000,2.37219445511
2020-02-27,,,,,,,,,178,50,250,891,250,1250,891,250,1250,2.37048592339
2020-02-28,,,,,,,,,178,50,250,1069,300,1500,1069,300,1500,2.36840646363
2020-02-29,,,,,,,,,178,50,250,1247,350,1750,1247,350,1750,2.36587738351
2020-03-01,,,,,,,,,178,50,250,1425,400,2000,1425,400,2000,2.36280411509
2020-03-02,,,,,,,,,178,50,250,1604,450,2250,1604,450,2250,2.35907335386
2020-03-03,,,,,,,,,581,189,875,2185,639,3125,2185,639,3125,2.35454980819
2020-03-04,,,,,,,,,579,189,868,2764,829,3993,2764,829,3993,2.34907254094
2020-03-05,,,,,,,,,622,208,936,3386,1038,4928,3386,1038,4928,2.34245088353
2020-03-06,,,,,,,,,711,247,1076,4096,1285,6004,4096,1285,6004,2.33445989201
2020-03-07,,,,,,,,,894,327,1367,4990,1613,7371,4990,1613,7371,2.32483528819
2020-03-08,,,,,,,,,1180,455,1816,6170,2068,9186,6170,2068,9186,2.31326779382
2020-03-09,,,,,,,,,1412,564,2172,7404,2583,11107,7582,2633,11357,2.2993967563
2020-03-10,,,,,,,,,1631,680,2519,8857,3213,13376,9213,3313,13876,2.28280308648
2020-03-11,,,,,,,,,1910,837,2968,10588,4001,16094,11123,4151,16844,2.26300200408
2020-03-12,,,,,,,,,2259,1046,3496,12669,4998,19339,13382,5198,20339,2.23943726771
2020-03-13,,,,,,,,,2698,1322,4131,15189,6270,23220,16080,6520,24470,2.21148076148
2020-03-14,,,,,,,,,3165,1642,4885,18176,7863,27855,19245,8163,29355,2.17844419358
2020-03-15,,,,,,,,,3656,2004,5570,21654,9817,33174,22901,10167,34924,2.13961134487
2020-03-16,,,,,,,,,4194,2428,6246,25669,12196,39170,27095,12596,41170,2.09429630321
2020-03-17,,,,,,,,,4788,2896,7054,30279,15042,45973,31882,15492,48223,2.04192370044
2020-03-18,,,,,,,,,5433,3362,7864,35131,18214,52962,37315,18854,56086,1.98211700276
2020-03-19,2,2,,,,,,,6097,3821,8528,40649,21846,60622,43412,22676,64614,1.91478256412
2020-03-20,1,3,,,,,,,6752,4429,9194,46779,26067,68879,50165,27105,73807,1.84019326784
2020-03-21,1,4,,,,,,,7387,5167,9792,53455,30988,77595,57551,32273,83598,1.75908727717
2020-03-22,4,8,,,,,,,7986,5916,10293,60547,36576,86521,65537,38189,93891,1.67277958847
2020-03-23,2,10,,,,,,,8530,6437,10682,67897,42559,95387,74067,44627,104572,1.58323734437
2020-03-24,2,12,,,,,,,8996,6853,11133,75481,48848,104348,83063,51481,115705,1.4930327512
2020-03-25,7,19,,,,,,,9366,7254,11683,83216,55422,113512,92429,58736,127388,1.40510799076
2020-03-26,2,21,,,,,,,9638,7457,12042,90945,62042,122586,102067,66193,139430,1.32237091475
2020-03-27,6,27,,,,,,,9819,7636,12135,98504,68631,131225,111886,73829,151564,1.24723618374
2020-03-28,6,33,,,,,,,9919,7783,12194,105725,75093,139287,121805,81613,163757,1.18126828755
2020-03-29,1,34,,,,,,,9950,7832,12216,112510,81282,146619,131755,89445,175973,1.12504472985
2020-03-30,2,36,,,,,,,9923,7840,12068,118776,87118,153116,141678,97286,188040,1.07826220716
2020-03-31,33,69,,,,,,,9848,7834,12005,124431,92524,158876,151526,105120,200045,1.04000854311
2020-04-01,16,85,,,,,,,9736,7771,11912,129380,97399,163734,161262,112891,211957,1.00907510849
2020-04-02,27,112,,,,,,,9594,7651,11728,133540,101688,167599,170856,120543,223685,0.984208589223
2020-04-03,19,131,,,,,,,9428,7633,11647,136871,105500,170718,180284,128176,235331,0.964263072665
2020-04-04,34,165,,,,,,,9245,7543,11330,139364,108614,172854,189529,135719,246661,0.948264391548
2020-04-05,24,189,,,,,,,9049,7397,11068,141027,110843,174130,198578,143117,257728,0.935418404344
2020-04-06,17,206,,,,,,,8844,7196,10709,141885,112124,174546,207422,150313,268437,0.925092060812
2020-04-07,71,277,,,,,,,8633,7084,10368,141988,112771,174233,216055,157398,278805,0.916785712235
2020-04-08,49,326,,,,,,,8419,6876,10021,141411,112794,173121,224473,164275,288826,0.910105905601
2020-04-09,54,380,,,,,,,8203,6625,9753,140248,112164,171191,232677,170900,298578,0.90474216257
2020-04-10,68,448,,,,,,,7989,6445,9564,138598,111153,168712,240665,177346,308141,0.900448383179
2020-04-11,46,494,,,,,,,7776,6170,9338,136555,109686,165915,248441,183516,317479,0.89702837133
2020-04-12,60,554,,,,,,,7566,5934,9186,134202,107837,162907,256007,189451,326664,0.894324679475
2020-04-13,48,602,,,,,,,7359,5708,9040,131611,105713,159731,263366,195159,335703,0.892210014806
2020-04-14,69,671,,,,,,,7157,5449,8875,128846,103322,156538,270523,200608,344577,0.890580598017
2020-04-15,197,868,,,,,,,6960,5200,8718,125957,100688,153251,277483,205809,353295,0.889351018528
2020-04-16,103,971,,,,,,,6768,4942,8595,122989,97859,149933,284251,210751,361889,0.888450253868
2020-04-17,65,1036,,,,,,,6581,4717,8513,119976,94924,146717,290832,215468,370401,0.887818610868
2020-04-18,50,1086,,,,,,,6399,4476,8427,116947,91768,143497,297230,219944,378828,0.887405407206
2020-04-19,41,1127,,,,,,,6222,4265,8323,113923,88490,140490,303452,224209,387150,0.887167251047
2020-04-20,204,1331,,,,,,,6051,4084,8216,110925,85177,137638,309503,228294,395366,0.887066800427
2020-04-21,92,1423,,,,,,,5884,3908,8146,107965,81888,135075,315387,232202,403511,0.887071897812
2020-04-22,121,1544,,,,,,,5723,3713,8067,105056,78517,132773,321110,235916,411578,0.887154983294
2020-04-23,95,1639,,,,,,,5567,3498,7995,102204,75139,130748,326677,239415,419573,0.887292696123
2020-04-24,128,1767,,,,,,,5414,3327,7916,99415,71841,128911,332091,242742,427489,0.887364908993
2020-04-25,98,1865,,,,,,,5267,3167,7839,96692,68563,127187,337358,245909,435327,0.887443997952
2020-04-26,59,1924,,,,,,,5123,3021,7779,94040,65414,125628,342481,248931,443106,0.887523010983
2020-04-27,88,2012,,,,,,,4984,2860,7706,91458,62340,124148,347465,251791,450812,0.887613107405
2020-04-28,75,2087,,,,,,,4849,2702,7646,88948,59335,122754,352314,254494,458457,0.887737585903
2020-04-29,82,2169,,,,,,,4719,2553,7598,86510,56438,121477,357033,257047,466054,0.887964577515
2020-04-30,88,2257,,,,,,,4592,2396,7545,84142,53634,120303,361625,259443,473598,0.888204703091
2020-05-01,82,2339,,,,,,,4469,2274,7471,81843,50966,119180,366094,261718,481069,0.888413052803
