date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-03-06,,,,,,,,,30,10,40,30,10,40,30,10,40,1.39633173844
2020-03-07,,,,,,,,,30,10,40,60,20,80,60,20,80,1.39328848108
2020-03-08,,,,,,,,,30,10,40,90,30,120,90,30,120,1.39261011624
2020-03-09,,,,,,,,,30,10,40,120,40,160,120,40,160,1.39177916631
2020-03-10,,,,,,,,,30,10,40,151,50,200,151,50,200,1.39076056564
2020-03-11,,,,,,,,,30,10,40,181,60,240,181,60,240,1.38951077911
2020-03-12,,,,,,,,,30,10,40,211,70,280,211,70,280,1.38797553268
2020-03-13,,,,,,,,,30,10,40,241,80,320,241,80,320,1.3860868255
2020-03-14,,,,,,,,,30,10,40,271,90,360,271,90,360,1.38375895944
2020-03-15,,,,,,,,,70,29,96,341,119,456,341,119,456,1.380883233
2020-03-16,,,,,,,,,69,29,96,410,149,551,410,149,551,1.37732086135
2020-03-17,,,,,,,,,72,31,99,482,181,650,482,181,650,1.37289366203
2020-03-18,,,,,,,,,77,35,106,558,217,755,558,217,755,1.36737223002
2020-03-19,,,,,,,,,87,43,120,645,260,875,645,260,875,1.36046201156
2020-03-20,,,,,,,,,103,55,142,748,316,1016,748,316,1016,1.3517893715
2020-03-21,,,,,,,,,114,65,159,832,372,1134,862,382,1174,1.34089303856
2020-03-22,,,,,,,,,123,74,171,924,436,1265,984,456,1345,1.32723131197
2020-03-23,,,,,,,,,132,84,186,1026,511,1411,1116,541,1531,1.31022020932
2020-03-24,,,,,,,,,142,97,201,1138,599,1571,1258,639,1731,1.28931649223
2020-03-25,,,,,,,,,153,109,218,1261,698,1749,1411,748,1949,1.26414376591
2020-03-26,,,,,,,,,164,116,233,1394,804,1941,1575,864,2181,1.23462866436
2020-03-27,,,,,,,,,172,123,241,1536,917,2141,1747,987,2421,1.20108798362
2020-03-28,,,,,,,,,179,131,245,1685,1039,2346,1925,1119,2666,1.16421945201
2020-03-29,,,,,,,,,184,137,249,1839,1166,2555,2110,1256,2915,1.12500162423
2020-03-30,1,1,,,,,,,189,143,251,1958,1280,2710,2299,1400,3165,1.08455666965
2020-03-31,0,1,,,,,,,193,149,255,2082,1399,2869,2492,1549,3420,1.0440314272
2020-04-01,0,1,,,,,,,195,153,255,2205,1521,3026,2687,1703,3675,1.00451806497
2020-04-02,1,2,,,,,,,195,155,252,2324,1641,3172,2882,1858,3927,0.967004535046
2020-04-03,0,2,,,,,,,195,155,252,2432,1753,3305,3077,2014,4179,0.9323349743
2020-04-04,0,2,,,,,,,193,155,249,2522,1853,3411,3270,2169,4427,0.901166072484
2020-04-05,1,3,,,,,,,191,155,248,2599,1943,3500,3460,2325,4674,0.873919245522
2020-04-06,1,4,,,,,,,188,153,239,2664,2022,3568,3648,2478,4912,0.850744500414
2020-04-07,0,4,,,,,,,185,149,237,2717,2086,3618,3833,2628,5148,0.831519993822
2020-04-08,0,4,,,,,,,181,145,233,2756,2135,3650,4014,2774,5381,0.815900678437
2020-04-09,1,5,,,,,,,177,142,227,2780,2168,3659,4192,2916,5607,0.80340422836
2020-04-10,0,5,,,,,,,173,137,219,2790,2190,3645,4365,3054,5825,0.793503659069
2020-04-11,0,5,,,,,,,170,133,212,2788,2200,3617,4535,3188,6037,0.785698770271
2020-04-12,1,6,,,,,,,166,130,204,2775,2199,3575,4700,3318,6241,0.779555727541
2020-04-13,2,8,,,,,,,162,127,201,2752,2189,3526,4862,3446,6441,0.774719469071
2020-04-14,1,9,,,,,,,158,124,197,2721,2169,3472,5020,3570,6637,0.77001916311
2020-04-15,1,10,,,,,,,154,119,193,2682,2140,3410,5174,3690,6830,0.765611007111
2020-04-16,2,12,,,,,,,150,115,188,2638,2103,3343,5325,3806,7017,0.762251719833
2020-04-17,4,16,,,,,,,147,111,184,2589,2059,3275,5471,3917,7201,0.759548227645
2020-04-18,0,16,,,,,,,143,107,179,2538,2011,3201,5614,4025,7379,0.75752828487
2020-04-19,2,18,,,,,,,140,104,174,2484,1959,3126,5754,4129,7553,0.755587858769
2020-04-20,6,24,,,,,,,137,100,171,2430,1904,3050,5890,4230,7723,0.755933306774
2020-04-21,2,26,,,,,,,133,95,169,2375,1846,2980,6024,4325,7892,0.756353434888
2020-04-22,1,27,,,,,,,131,91,167,2321,1788,2911,6154,4416,8059,0.756869442597
2020-04-23,4,31,,,,,,,128,89,165,2268,1731,2843,6282,4505,8224,0.757511467626
2020-04-24,1,32,,,,,,,125,86,163,2216,1675,2780,6407,4592,8387,0.75832272582
2020-04-25,0,32,,,,,,,123,84,162,2165,1622,2723,6530,4676,8548,0.759364992862
2020-04-26,2,34,,,,,,,120,82,160,2115,1570,2671,6650,4758,8708,0.760725189303
2020-04-27,0,34,,,,,,,118,79,159,2068,1519,2626,6768,4838,8866,0.762521908595
2020-04-28,4,38,,,,,,,116,76,158,2021,1468,2583,6884,4914,9023,0.764908898993
2020-04-29,0,38,,,,,,,114,74,157,1977,1419,2543,6998,4989,9180,0.768069571142
2020-04-30,3,41,,,,,,,112,73,156,1936,1372,2506,7110,5062,9335,0.772193375117
2020-05-01,5,46,,,,,,,111,71,156,1896,1328,2474,7221,5134,9491,0.777424819798
2020-05-02,2,48,,,,,,,110,69,156,1859,1286,2445,7330,5204,9646,0.783785813242
2020-05-03,0,48,,,,,,,108,68,156,1824,1246,2423,7439,5272,9802,0.791096756323
2020-05-04,0,48,,,,,,,108,66,158,1792,1209,2407,7546,5339,9960,0.79894937307
2020-05-05,0,48,,,,,,,107,65,159,1763,1174,2396,7653,5404,10119,0.804936103844
2020-05-06,2,50,,,,,,,106,63,161,1735,1142,2388,7759,5467,10279,0.8106503586
2020-05-07,1,51,,,,,,,105,61,164,1710,1112,2384,7864,5529,10443,0.815886204214
2020-05-08,1,52,,,,,,,105,60,166,1687,1084,2385,7969,5589,10608,0.820506550181
2020-05-09,0,52,,,,,,,104,58,169,1666,1056,2390,8073,5648,10776,0.824450385229
2020-05-10,2,54,,,,,,,104,57,171,1647,1029,2399,8177,5706,10946,0.827722691976
2020-05-11,0,54,,,,,,,103,56,173,1630,1003,2412,8280,5762,11119,0.830375032054
2020-05-12,4,58,,,,,,,102,54,174,1614,978,2427,8382,5816,11293,0.832484858462
2020-05-13,0,58,,,,,,,102,53,177,1600,955,2447,8484,5870,11469,0.834138609087
2020-05-14,2,60,,,,,,,101,52,180,1588,932,2470,8585,5922,11649,0.835420315468
2020-05-15,4,64,,,,,,,101,50,183,1576,910,2497,8686,5973,11832,0.836405283296
2020-05-16,0,64,,,,,,,100,49,186,1566,888,2527,8786,6022,12017,0.83715750751
2020-05-17,3,67,,,,,,,100,48,188,1556,866,2560,8886,6070,12205,0.837729426512
2020-05-18,1,68,,,,,,,99,47,191,1546,845,2594,8985,6118,12395,0.838162922467
2020-05-19,0,68,,,,,,,98,45,193,1537,824,2628,9083,6163,12588,0.83932730963
2020-05-20,,,1,0,2,69,68,70,98,44,195,1528,804,2664,9181,6208,12782,
2020-05-21,,,1,0,2,71,69,72,97,43,197,1519,785,2700,9278,6252,12979,
2020-05-22,,,1,0,2,72,70,74,96,42,198,1510,766,2735,9375,6295,13177,
2020-05-23,,,1,0,2,74,71,76,96,41,201,1501,747,2769,9470,6337,13377,
2020-05-24,,,1,0,2,75,72,78,95,40,203,1492,729,2803,9565,6378,13579,
2020-05-25,,,1,0,2,76,73,80,94,39,205,1483,712,2837,9659,6418,13783,
2020-05-26,,,1,0,2,77,74,82,93,38,207,1473,694,2871,9753,6456,13989,
2020-05-27,,,1,0,2,79,74,83,93,37,209,1463,677,2905,9845,6494,14197,
2020-05-28,,,1,0,2,80,75,85,92,36,210,1453,661,2938,9937,6531,14407,
2020-05-29,,,1,0,2,81,76,87,91,35,211,1442,644,2969,10028,6567,14618,
2020-05-30,,,1,0,2,82,76,89,90,34,213,1431,628,2999,10118,6601,14830,
2020-05-31,,,1,0,2,83,77,90,89,33,214,1420,612,3027,10207,6635,15043,
2020-06-01,,,1,0,2,84,77,92,88,32,215,1409,597,3053,10295,6668,15258,
2020-06-02,,,1,0,2,85,78,94,87,31,216,1397,582,3079,10382,6700,15473,
2020-06-03,,,1,0,2,86,79,96,86,30,216,1385,567,3102,10468,6731,15689,
2020-06-04,,,1,0,2,87,79,97,85,29,217,1372,552,3124,10554,6761,15906,
2020-06-05,,,1,0,2,88,80,99,84,28,217,1359,537,3144,10638,6790,16122,
2020-06-06,,,1,0,2,89,80,101,83,28,218,1346,522,3163,10720,6818,16339,
2020-06-07,,,1,0,2,90,81,103,82,27,218,1332,507,3180,10802,6845,16557,
2020-06-08,,,1,0,2,91,81,105,80,26,218,1317,493,3195,10882,6871,16774,
2020-06-09,,,1,0,2,92,82,107,79,25,217,1302,478,3208,10961,6896,16990,
2020-06-10,,,1,0,2,93,82,109,78,24,217,1286,463,3218,11039,6920,17207,
2020-06-11,,,1,0,2,94,82,111,76,23,216,1270,449,3226,11115,6944,17423,
2020-06-12,,,1,0,2,95,83,113,75,22,216,1253,434,3232,11189,6966,17638,
2020-06-13,,,1,0,2,96,83,115,73,21,215,1235,420,3235,11263,6987,17852,
2020-06-14,,,1,0,3,97,84,117,72,20,214,1217,406,3235,11334,7008,18065,
2020-06-15,,,1,0,3,98,84,119,70,19,213,1198,391,3235,11404,7027,18278,
2020-06-16,,,1,0,3,99,85,121,68,18,212,1178,377,3232,11473,7046,18489,
2020-06-17,,,1,0,3,100,85,123,67,17,211,1157,363,3227,11540,7063,18700,
2020-06-18,,,1,0,3,101,85,125,65,16,209,1136,349,3219,11605,7080,18908,
2020-06-19,,,1,0,3,102,86,127,64,15,207,1115,335,3210,11668,7096,19115,
2020-06-20,,,1,0,3,103,86,129,62,14,205,1093,321,3197,11730,7111,19319,
2020-06-21,,,1,0,3,103,86,131,60,14,202,1070,307,3182,11790,7125,19520,
2020-06-22,,,1,0,3,104,87,133,58,13,199,1047,293,3163,11849,7138,19719,
2020-06-23,,,1,0,3,105,87,135,57,12,197,1023,279,3142,11905,7150,19915,
2020-06-24,,,1,0,3,106,87,137,55,11,194,999,265,3119,11960,7162,20108,
2020-06-25,,,1,0,3,107,88,140,53,10,191,975,252,3092,12014,7172,20298,
2020-06-26,,,1,0,3,108,88,142,51,9,187,950,238,3063,12065,7182,20485,
2020-06-27,,,1,0,3,109,88,144,50,8,184,925,225,3031,12114,7191,20669,
2020-06-28,,,1,0,3,109,89,146,48,8,181,900,212,2998,12162,7199,20849,
2020-06-29,,,1,0,3,110,89,148,46,7,179,874,199,2963,12208,7207,21028,
2020-06-30,,,1,0,3,111,89,150,45,6,177,849,186,2927,12253,7214,21204,
2020-07-01,,,1,0,3,112,89,153,43,6,175,824,174,2890,12296,7220,21379,
2020-07-02,,,1,0,3,113,90,155,42,5,173,798,162,2853,12338,7226,21552,
2020-07-03,,,1,0,3,113,90,157,40,5,171,773,151,2814,12378,7231,21722,
2020-07-04,,,1,0,3,114,90,159,39,4,169,749,140,2776,12417,7236,21891,
2020-07-05,,,1,0,3,115,90,161,37,4,167,724,129,2739,12454,7241,22057,
2020-07-06,,,1,0,3,116,90,163,36,4,165,700,119,2701,12491,7245,22221,
2020-07-07,,,1,0,3,116,91,165,35,3,163,677,110,2665,12526,7249,22384,
2020-07-08,,,1,0,3,117,91,168,34,3,161,654,101,2630,12559,7252,22545,
2020-07-09,,,1,0,3,118,91,170,32,3,160,631,93,2596,12592,7255,22704,
2020-07-10,,,1,0,3,118,91,172,31,2,158,609,85,2563,12623,7258,22861,
2020-07-11,,,1,0,3,119,91,174,30,2,156,588,78,2531,12653,7261,23016,
2020-07-12,,,1,0,3,119,91,176,29,2,154,568,71,2501,12682,7263,23169,
2020-07-13,,,1,0,3,120,92,178,28,2,152,548,66,2472,12710,7265,23321,
2020-07-14,,,1,0,2,121,92,180,27,2,149,529,60,2442,12737,7267,23470,
2020-07-15,,,1,0,2,121,92,182,26,1,147,510,55,2412,12763,7269,23616,
2020-07-16,,,1,0,2,122,92,184,25,1,145,492,50,2382,12788,7271,23760,
2020-07-17,,,1,0,2,122,92,186,24,1,142,475,46,2351,12813,7272,23902,
2020-07-18,,,1,0,2,123,92,187,23,1,140,458,42,2320,12836,7274,24041,
2020-07-19,,,0,0,2,123,92,189,23,1,138,442,38,2288,12859,7275,24179,
2020-07-20,,,0,0,2,124,92,191,22,1,135,426,35,2257,12880,7276,24313,
2020-07-21,,,0,0,2,124,92,193,21,1,133,411,32,2225,12902,7277,24446,
2020-07-22,,,0,0,2,125,92,195,20,0,131,396,29,2193,12922,7278,24576,
2020-07-23,,,0,0,2,125,93,196,20,0,129,382,27,2161,12942,7279,24705,
2020-07-24,,,0,0,2,126,93,198,19,0,127,369,24,2128,12961,7280,24831,
2020-07-25,,,0,0,2,126,93,200,18,0,125,356,22,2095,12979,7281,24955,
2020-07-26,,,0,0,2,126,93,201,18,0,123,344,20,2061,12997,7281,25077,
2020-07-27,,,0,0,2,127,93,203,17,0,121,332,18,2028,13014,7282,25197,
2020-07-28,,,0,0,2,127,93,205,17,0,119,320,17,1995,13031,7283,25315,
2020-07-29,,,0,0,2,127,93,206,16,0,117,310,15,1962,13047,7283,25431,
2020-07-30,,,0,0,2,128,93,208,16,0,115,299,14,1929,13062,7284,25545,
2020-07-31,,,0,0,2,128,93,210,15,0,113,289,13,1898,13078,7284,25657,
2020-08-01,,,0,0,2,128,93,211,15,0,111,279,11,1866,13092,7284,25768,
2020-08-02,,,0,0,2,129,93,213,14,0,109,270,10,1835,13106,7285,25876,
2020-08-03,,,0,0,2,129,93,214,14,0,107,261,9,1805,13120,7285,25983,
2020-08-04,,,0,0,2,129,93,216,13,0,105,253,9,1774,13133,7285,26087,
