date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-21,,,,,,,,,52,25,75,52,25,75,52,25,75,1.62792990199
2020-02-22,,,,,,,,,52,25,75,105,50,150,105,50,150,1.62508967483
2020-02-23,,,,,,,,,52,25,75,157,75,225,157,75,225,1.62446328375
2020-02-24,,,,,,,,,52,25,75,210,100,300,210,100,300,1.62369935438
2020-02-25,,,,,,,,,52,25,75,262,125,375,262,125,375,1.62276795561
2020-02-26,,,,,,,,,52,25,75,315,150,450,315,150,450,1.6216327516
2020-02-27,,,,,,,,,52,25,75,367,175,525,367,175,525,1.6202496677
2020-02-28,,,,,,,,,52,25,75,420,200,600,420,200,600,1.61856528447
2020-02-29,,,,,,,,,52,25,75,472,225,675,472,225,675,1.61651489969
2020-03-01,,,,,,,,,132,69,195,604,294,870,604,294,870,1.61402018003
2020-03-02,,,,,,,,,132,69,194,736,363,1063,736,363,1063,1.61098629793
2020-03-03,,,,,,,,,137,73,202,874,436,1265,874,436,1265,1.60729841794
2020-03-04,,,,,,,,,149,80,220,1023,517,1484,1023,517,1484,1.60281736825
2020-03-05,,,,,,,,,174,96,257,1196,613,1741,1196,613,1741,1.59737433825
2020-03-06,,,,,,,,,211,120,313,1408,734,2053,1408,734,2053,1.59076456026
2020-03-07,,,,,,,,,240,139,356,1595,848,2333,1647,873,2408,1.58274032634
2020-03-08,,,,,,,,,263,155,389,1806,979,2647,1911,1029,2797,1.57300464656
2020-03-09,,,,,,,,,290,174,427,2043,1129,2999,2201,1204,3224,1.56120873196
2020-03-10,,,,,,,,,321,197,473,2312,1302,3396,2522,1402,3696,1.54695937973
2020-03-11,,,,,,,,,359,226,529,2618,1503,3849,2881,1628,4224,1.52984520558
2020-03-12,,,,,,,,,396,255,583,2962,1733,4356,3277,1883,4806,1.5094901904
2020-03-13,,,,,,,,,432,284,624,3342,1993,4905,3709,2168,5430,1.48563420657
2020-03-14,,,,,,,,,467,315,658,3756,2283,5488,4176,2483,6088,1.45822206877
2020-03-15,,,,,,,,,503,347,700,4207,2606,6112,4679,2831,6787,1.42746626938
2020-03-16,1,1,,,,,,,539,383,751,4614,2919,6669,5218,3214,7538,1.39385276069
2020-03-17,0,1,,,,,,,575,412,799,5057,3263,7274,5793,3627,8336,1.35808755226
2020-03-18,0,1,,,,,,,608,444,831,5527,3634,7903,6401,4071,9167,1.32101141295
2020-03-19,0,1,,,,,,,638,465,854,6016,4019,8536,7039,4537,10020,1.28351630045
2020-03-20,0,1,,,,,,,665,485,887,6508,4409,9167,7704,5022,10907,1.24648171688
2020-03-21,2,3,,,,,,,690,507,912,6987,4795,9765,8395,5530,11818,1.21073044895
2020-03-22,0,3,,,,,,,713,525,937,7460,5181,10347,9108,6055,12755,1.17699386721
2020-03-23,2,5,,,,,,,732,539,958,7929,5565,10916,9840,6595,13713,1.1458775365
2020-03-24,0,5,,,,,,,749,553,983,8388,5944,11472,10589,7148,14695,1.11782413956
2020-03-25,2,7,,,,,,,763,567,998,8831,6314,11997,11353,7716,15693,1.09308044361
2020-03-26,2,9,,,,,,,776,581,1014,9248,6670,12482,12129,8298,16706,1.07168409094
2020-03-27,4,13,,,,,,,786,594,1023,9638,7009,12923,12915,8892,17729,1.0534844168
2020-03-28,2,15,,,,,,,795,605,1022,10001,7330,13320,13710,9498,18750,1.03819542823
2020-03-29,1,16,,,,,,,803,617,1025,10337,7632,13687,14513,10115,19774,1.02546177567
2020-03-30,2,18,,,,,,,809,628,1031,10644,7912,14017,15323,10744,20804,1.01491574584
2020-03-31,4,22,,,,,,,815,639,1033,10919,8168,14300,16138,11383,21837,1.00621396947
2020-04-01,4,26,,,,,,,819,650,1035,11164,8406,14535,16957,12033,22871,0.999054498286
2020-04-02,5,31,,,,,,,823,658,1035,11379,8620,14739,17780,12691,23905,0.993180613102
2020-04-03,3,34,,,,,,,827,665,1036,11568,8819,14922,18607,13357,24941,0.988377799995
2020-04-04,6,40,,,,,,,830,671,1039,11732,9006,15073,19437,14029,25980,0.984468186504
2020-04-05,4,44,,,,,,,832,678,1039,11874,9177,15201,20269,14707,27019,0.981304646097
2020-04-06,4,48,,,,,,,834,684,1038,11995,9337,15302,21103,15392,28057,0.978765452951
2020-04-07,3,51,,,,,,,836,692,1033,12099,9490,15377,21939,16085,29089,0.976749709385
2020-04-08,0,51,,,,,,,838,698,1035,12187,9634,15429,22776,16783,30123,0.975173509029
2020-04-09,16,67,,,,,,,839,701,1035,12263,9768,15466,23616,17485,31158,0.973966732084
2020-04-10,5,72,,,,,,,841,702,1032,12328,9889,15484,24456,18188,32190,0.973070376056
2020-04-11,8,80,,,,,,,842,702,1029,12383,9998,15491,25298,18890,33219,0.972434350244
2020-04-12,2,82,,,,,,,843,702,1029,12431,10094,15498,26141,19593,34247,0.971741084382
2020-04-13,0,82,,,,,,,844,701,1027,12472,10179,15501,26985,20295,35274,0.971232049922
2020-04-14,15,97,,,,,,,845,697,1026,12507,10248,15496,27830,20992,36299,0.970838853989
2020-04-15,9,106,,,,,,,846,690,1024,12538,10299,15486,28676,21683,37323,0.97060401744
2020-04-16,5,111,,,,,,,847,685,1028,12565,10335,15479,29522,22368,38350,0.970392312596
2020-04-17,5,116,,,,,,,848,674,1036,12590,10350,15480,30370,23042,39385,0.970591771418
2020-04-18,3,119,,,,,,,849,667,1043,12612,10352,15487,31219,23710,40428,0.971095522173
2020-04-19,1,120,,,,,,,850,658,1051,12633,10339,15499,32069,24369,41479,0.971586745655
2020-04-20,3,123,,,,,,,851,650,1061,12652,10311,15521,32921,25019,42539,0.972059704175
2020-04-21,1,124,,,,,,,852,640,1070,12670,10267,15552,33773,25660,43608,0.972510018539
2020-04-22,16,140,,,,,,,854,632,1077,12688,10207,15596,34627,26293,44684,0.972935075641
2020-04-23,10,150,,,,,,,855,624,1089,12705,10133,15650,35482,26917,45773,0.973334433482
2020-04-24,7,157,,,,,,,856,614,1102,12722,10046,15716,36338,27531,46874,0.973710259868
2020-04-25,9,166,,,,,,,857,603,1114,12739,9947,15798,37195,28135,47988,0.974067874344
2020-04-26,8,174,,,,,,,859,591,1127,12756,9835,15896,38054,28726,49114,0.974416504109
2020-04-27,3,177,,,,,,,860,582,1138,12773,9715,16004,38914,29309,50251,0.974770412719
2020-04-28,15,192,,,,,,,861,573,1148,12790,9587,16126,39775,29882,51399,0.975150614556
2020-04-29,39,231,,,,,,,863,564,1157,12808,9454,16257,40638,30447,52556,0.975587444824
2020-04-30,13,244,,,,,,,864,556,1168,12826,9321,16401,41502,31004,53724,0.97612430125
2020-05-01,12,256,,,,,,,866,548,1181,12845,9183,16555,42367,31552,54905,0.976822870533
2020-05-02,11,267,,,,,,,868,540,1196,12865,9049,16715,43235,32092,56100,0.97777000575
2020-05-03,8,275,,,,,,,870,530,1212,12885,8913,16884,44104,32623,57311,0.979085934016
2020-05-04,8,283,,,,,,,872,522,1229,12908,8776,17061,44977,33145,58539,0.980932298613
2020-05-05,13,296,,,,,,,876,513,1242,12932,8639,17243,45853,33659,59781,0.983516203336
2020-05-06,9,305,,,,,,,881,506,1261,12960,8505,17434,46733,34165,61042,0.987082670599
2020-05-07,11,316,,,,,,,887,499,1283,12993,8371,17640,47620,34665,62324,0.991883809906
2020-05-08,4,320,,,,,,,894,494,1309,13032,8241,17860,48514,35159,63633,0.998112946594
2020-05-09,10,330,,,,,,,904,490,1338,13080,8117,18096,49418,35649,64970,1.00580471776
2020-05-10,1,331,,,,,,,915,487,1372,13138,8001,18354,50333,36136,66341,1.01473389532
2020-05-11,15,346,,,,,,,929,483,1409,13208,7893,18637,51262,36620,67750,1.0243809077
2020-05-12,9,355,,,,,,,942,478,1450,13290,7789,18948,52204,37098,69199,1.03165958456
2020-05-13,7,362,,,,,,,956,473,1503,13386,7689,19303,53160,37572,70701,1.03862043903
2020-05-14,9,371,,,,,,,973,467,1559,13496,7592,19704,54133,38040,72260,1.04500136519
2020-05-15,9,380,,,,,,,990,462,1617,13621,7498,20153,55123,38502,73876,1.05062743167
2020-05-16,0,380,,,,,,,1008,460,1680,13764,7410,20651,56131,38963,75555,1.05542017801
2020-05-17,5,385,,,,,,,1027,457,1755,13924,7327,21210,57159,39420,77309,1.05938478946
2020-05-18,6,391,,,,,,,1047,456,1829,14101,7253,21827,58205,39876,79138,1.06258539223
2020-05-19,8,399,,,,,,,1067,452,1906,14296,7183,22504,59273,40329,81043,1.0651187631
2020-05-20,8,407,,,,,,,1089,448,1986,14508,7118,23248,60361,40777,83029,1.06709288981
2020-05-21,9,416,,,,,,,1111,442,2067,14739,7054,24053,61472,41219,85095,1.06861257271
2020-05-22,,,7,4,10,423,420,426,1133,435,2152,14985,6990,24922,62605,41655,87246,
2020-05-23,,,7,4,11,431,425,436,1157,429,2243,15248,6925,25856,63762,42084,89488,
2020-05-24,,,8,4,11,438,430,447,1181,425,2337,15525,6860,26855,64943,42509,91825,
2020-05-25,,,8,4,11,446,434,457,1205,422,2438,15815,6795,27921,66148,42932,94262,
2020-05-26,,,8,4,11,454,439,468,1232,420,2544,16118,6733,29056,67380,43353,96806,
2020-05-27,,,8,4,12,462,443,480,1257,417,2651,16433,6672,30258,68637,43770,99456,
2020-05-28,,,8,4,12,470,448,491,1283,410,2763,16760,6609,31518,69920,44181,102219,
2020-05-29,,,8,4,13,478,453,503,1310,405,2880,17098,6546,32839,71231,44587,105098,
2020-05-30,,,8,4,13,486,457,516,1338,399,2999,17446,6484,34221,72569,44986,108097,
2020-05-31,,,9,4,13,495,462,529,1366,393,3117,17803,6417,35658,73935,45380,111213,
2020-06-01,,,9,4,14,504,467,542,1394,388,3236,18170,6348,37139,75329,45768,114448,
2020-06-02,,,9,4,14,513,472,556,1423,382,3356,18546,6274,38667,76751,46151,117804,
2020-06-03,,,9,4,15,522,476,570,1451,376,3478,18930,6198,40239,78202,46528,121281,
2020-06-04,,,10,4,16,532,481,586,1479,371,3598,19320,6121,41851,79681,46899,124879,
2020-06-05,,,10,4,16,542,486,601,1506,365,3716,19715,6044,43500,81187,47264,128595,
2020-06-06,,,10,4,17,552,490,618,1533,360,3831,20115,5969,45180,82720,47624,132426,
2020-06-07,,,10,4,18,562,495,635,1558,353,3941,20516,5893,46879,84278,47978,136366,
2020-06-08,,,10,4,18,572,499,653,1582,347,4045,20918,5816,48587,85860,48325,140411,
2020-06-09,,,11,4,19,583,504,671,1605,341,4142,21317,5734,50292,87465,48666,144553,
2020-06-10,,,11,4,20,593,509,690,1626,335,4233,21711,5648,51980,89091,49002,148785,
2020-06-11,,,11,4,21,604,513,711,1642,329,4306,22096,5560,53635,90733,49331,153091,
2020-06-12,,,11,4,21,616,517,731,1656,324,4372,22468,5474,55244,92388,49656,157462,
2020-06-13,,,11,4,22,627,522,753,1669,317,4433,22826,5386,56797,94057,49973,161895,
2020-06-14,,,12,4,23,639,526,776,1680,310,4488,23168,5297,58286,95737,50284,166383,
2020-06-15,,,12,4,24,650,530,799,1690,303,4538,23492,5206,59707,97427,50587,170920,
2020-06-16,,,12,4,25,663,535,824,1698,296,4580,23796,5114,61052,99125,50883,175500,
2020-06-17,,,12,4,26,675,539,850,1704,288,4618,24078,5020,62314,100829,51172,180117,
2020-06-18,,,13,4,27,688,543,877,1710,281,4647,24337,4925,63483,102539,51453,184764,
