date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-26,,,,,,,,,74,50,75,74,50,75,74,50,75,3.21952228413
2020-02-27,,,,,,,,,74,50,75,147,100,150,147,100,150,2.4612005393
2020-02-28,,,,,,,,,74,50,75,221,150,225,221,150,225,2.36031479549
2020-02-29,,,,,,,,,74,50,75,294,200,300,294,200,300,2.25266652635
2020-03-01,,,,,,,,,74,50,75,368,250,375,368,250,375,2.13888663955
2020-03-02,,,,,,,,,74,50,75,441,300,450,441,300,450,2.01985956418
2020-03-03,,,,,,,,,74,50,75,515,350,525,515,350,525,1.89687637952
2020-03-04,,,,,,,,,74,50,75,588,400,600,588,400,600,1.77179262364
2020-03-05,,,,,,,,,74,50,75,662,450,675,662,450,675,1.6470880329
2020-03-06,,,,,,,,,185,151,241,847,601,916,847,601,916,1.52572733526
2020-03-07,,,,,,,,,176,145,222,1023,746,1137,1023,746,1137,1.41079328496
2020-03-08,,,,,,,,,175,146,219,1197,892,1356,1197,892,1356,1.30498216697
2020-03-09,,,,,,,,,180,149,227,1378,1042,1583,1378,1042,1583,1.21015281754
2020-03-10,,,,,,,,,196,159,254,1574,1201,1836,1574,1201,1836,1.12711702029
2020-03-11,,,,,,,,,222,174,294,1796,1375,2130,1796,1375,2130,1.05572773
2020-03-12,,,,,,,,,233,181,313,1956,1507,2367,2029,1557,2442,0.995163786987
2020-03-13,,,,,,,,,237,184,319,2119,1641,2611,2266,1741,2761,0.944251766251
2020-03-14,,,,,,,,,240,187,325,2285,1779,2860,2506,1929,3085,0.901716690775
2020-03-15,,,,,,,,,243,189,330,2455,1918,3115,2749,2118,3415,0.866333003343
2020-03-16,,,,,,,,,248,192,338,2630,2060,3377,2997,2310,3752,0.836995373464
2020-03-17,,,,,,,,,252,194,343,2808,2204,3644,3249,2504,4094,0.812740415794
2020-03-18,,,,,,,,,253,195,344,2987,2350,3912,3502,2700,4437,0.79274374974
2020-03-19,,,,,,,,,252,195,342,3166,2495,4178,3755,2895,4778,0.776306949869
2020-03-20,,,,,,,,,251,195,339,3344,2641,4442,4006,3091,5117,0.762841639419
2020-03-21,,,,,,,,,250,195,336,3410,2685,4537,4257,3286,5452,0.751853838312
2020-03-22,8,8,,,,,,,249,194,332,3483,2734,4647,4506,3481,5784,0.742929685586
2020-03-23,2,10,,,,,,,248,194,326,3556,2783,4754,4754,3675,6110,0.735722821452
2020-03-24,6,16,,,,,,,246,193,318,3622,2826,4845,5000,3869,6427,0.729943412712
2020-03-25,1,17,,,,,,,244,192,309,3670,2860,4901,5244,4062,6736,0.725348717207
2020-03-26,2,19,,,,,,,241,191,301,3689,2878,4907,5485,4254,7036,0.721735065238
2020-03-27,1,20,,,,,,,239,190,293,3695,2887,4887,5724,4444,7329,0.718931133319
2020-03-28,5,25,,,,,,,237,189,287,3695,2892,4855,5961,4634,7615,0.716792381982
2020-03-29,0,25,,,,,,,234,188,282,3690,2893,4812,6196,4822,7897,0.715196523711
2020-03-30,3,28,,,,,,,232,187,280,3679,2891,4762,6428,5010,8177,0.714039882625
2020-03-31,2,30,,,,,,,230,185,278,3660,2885,4703,6657,5195,8454,0.713234506845
2020-04-01,2,32,,,,,,,227,184,276,3635,2875,4636,6885,5380,8730,0.71270589787
2020-04-02,4,36,,,,,,,225,182,272,3607,2863,4565,7109,5563,9002,0.712391227702
2020-04-03,0,36,,,,,,,223,181,268,3577,2848,4491,7332,5744,9269,0.712237922864
2020-04-04,3,39,,,,,,,220,179,265,3546,2833,4417,7552,5924,9533,0.712202505119
2020-04-05,0,39,,,,,,,218,178,263,3513,2816,4344,7770,6102,9796,0.712249593095
2020-04-06,0,39,,,,,,,216,176,261,3480,2798,4273,7986,6279,10057,0.712350988628
2020-04-07,4,43,,,,,,,213,175,259,3445,2779,4207,8199,6455,10316,0.712484796177
2020-04-08,3,46,,,,,,,211,173,257,3410,2759,4146,8410,6628,10573,0.71263455064
2020-04-09,0,46,,,,,,,209,171,256,3375,2738,4092,8618,6800,10828,0.712788353637
2020-04-10,1,47,,,,,,,206,170,253,3340,2716,4045,8825,6970,11081,0.71293803638
2020-04-11,3,50,,,,,,,204,168,251,3305,2694,4003,9029,7139,11332,0.713078375894
2020-04-12,1,51,,,,,,,202,166,249,3270,2671,3966,9231,7306,11581,0.713206390716
2020-04-13,9,60,,,,,,,200,165,247,3235,2648,3931,9430,7471,11827,0.71332073495
2020-04-14,0,60,,,,,,,197,163,245,3200,2624,3896,9628,7634,12072,0.713388585202
2020-04-15,5,65,,,,,,,195,161,243,3166,2599,3860,9823,7795,12314,0.713439905437
2020-04-16,4,69,,,,,,,193,159,241,3131,2575,3824,10016,7955,12554,0.71347434984
2020-04-17,4,73,,,,,,,191,157,238,3097,2549,3790,10206,8112,12792,0.713501802515
2020-04-18,0,73,,,,,,,188,155,236,3063,2523,3759,10395,8268,13027,0.713526060572
2020-04-19,0,73,,,,,,,186,153,234,3029,2497,3727,10581,8422,13260,0.713580211674
2020-04-20,10,83,,,,,,,184,152,231,2995,2471,3695,10765,8574,13491,0.713647892737
2020-04-21,0,83,,,,,,,182,150,229,2961,2444,3663,10946,8724,13719,0.713703848236
2020-04-22,11,94,,,,,,,179,148,226,2927,2417,3630,11126,8872,13945,0.713750031489
2020-04-23,1,95,,,,,,,177,146,224,2893,2390,3596,11303,9019,14169,0.713788096396
2020-04-24,3,98,,,,,,,175,144,221,2859,2363,3562,11478,9164,14390,0.713819435054
2020-04-25,1,99,,,,,,,173,142,219,2826,2335,3528,11650,9306,14608,0.713845213669
2020-04-26,1,100,,,,,,,170,140,217,2792,2308,3493,11821,9447,14824,0.713866405663
2020-04-27,3,103,,,,,,,168,138,214,2758,2280,3457,11989,9586,15038,0.713883821456
2020-04-28,3,106,,,,,,,166,136,211,2724,2252,3422,12155,9723,15249,0.713898134852
2020-04-29,1,107,,,,,,,164,135,209,2690,2224,3386,12318,9858,15457,0.713909906194
2020-04-30,4,111,,,,,,,161,133,206,2656,2195,3349,12479,9991,15663,0.71391960268
2020-05-01,2,113,,,,,,,159,131,204,2622,2167,3312,12638,10122,15866,0.713927616324
2020-05-02,1,114,,,,,,,157,129,201,2589,2139,3275,12795,10251,16067,0.713934280184
