date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-26,,,,,,,,,241,100,300,241,100,300,241,100,300,3.61333146631
2020-02-27,,,,,,,,,241,100,300,482,200,600,482,200,600,3.54233791957
2020-02-28,,,,,,,,,241,100,300,723,300,900,723,300,900,3.5272617146
2020-02-29,,,,,,,,,241,100,300,964,400,1200,964,400,1200,3.50913109858
2020-03-01,,,,,,,,,241,100,300,1205,500,1500,1205,500,1500,3.4873858084
2020-03-02,,,,,,,,,241,100,300,1446,600,1800,1446,600,1800,3.46138262352
2020-03-03,,,,,,,,,241,100,300,1687,700,2100,1687,700,2100,3.4303875
2020-03-04,,,,,,,,,241,100,300,1928,800,2400,1928,800,2400,3.39356642924
2020-03-05,,,,,,,,,241,100,300,2169,900,2700,2169,900,2700,3.34997391582
2020-03-06,,,,,,,,,1025,438,1437,3194,1338,4137,3194,1338,4137,3.29853838654
2020-03-07,,,,,,,,,1007,435,1415,4201,1773,5552,4201,1773,5552,3.23804621587
2020-03-08,,,,,,,,,1109,486,1588,5309,2260,7140,5309,2260,7140,3.16713220674
2020-03-09,,,,,,,,,1317,588,1929,6627,2848,9068,6627,2848,9068,3.0842958816
2020-03-10,,,,,,,,,1749,802,2604,8376,3650,11671,8376,3650,11671,2.98797869238
2020-03-11,,,,,,,,,2398,1132,3569,10774,4782,15239,10774,4782,15239,2.87674945675
2020-03-12,,,,,,,,,2871,1399,4235,13404,6082,19173,13645,6182,19473,2.74963708097
2020-03-13,,,,,,,,,3292,1675,4844,16455,7657,23717,16937,7857,24317,2.60660117155
2020-03-14,,,,,,,,,3804,2073,5545,20018,9631,28961,20741,9931,29861,2.44904028134
2020-03-15,,,,,,,,,4390,2580,6353,24167,12111,35014,25131,12511,36214,2.28014350089
2020-03-16,,,,,,,,,5021,3029,7153,28946,15041,41866,30151,15541,43366,2.10486872491
2020-03-17,,,,,,,,,5532,3519,7684,34237,18460,49250,35683,19060,51050,1.9294349629
2020-03-18,,,,,,,,,5920,3870,8049,39916,22231,56999,41603,22931,59099,1.76041489868
2020-03-19,,,,,,,,,6232,4166,8330,45907,26297,65028,47834,27097,67428,1.60369177822
2020-03-20,,,,,,,,,6485,4351,8651,52150,30549,73379,54319,31449,76079,1.463595882
2020-03-21,,,,,,,,,6677,4514,8775,57802,34624,80717,60996,35963,84854,1.34245101568
2020-03-22,5,5,,,,,,,6785,4632,8784,63581,38821,88086,67781,40595,93638,1.2406039145
2020-03-23,3,8,,,,,,,6813,4694,8733,69285,43030,95231,74594,45290,102370,1.15684572266
2020-03-24,5,13,,,,,,,6784,4734,8495,74752,47176,101798,81378,50025,110865,1.08902240603
2020-03-25,8,21,,,,,,,6717,4744,8214,79720,51118,107407,88096,54769,119078,1.03461762469
2020-03-26,5,26,,,,,,,6623,4735,8095,83945,54722,111934,94719,59505,127172,0.991172050632
2020-03-27,11,37,,,,,,,6503,4765,8035,87578,58088,115734,101222,64271,135207,0.956511055764
2020-03-28,9,46,,,,,,,6360,4708,7896,90645,61121,118786,107582,68979,143102,0.928823387771
2020-03-29,10,56,,,,,,,6198,4597,7743,93039,63644,120984,113780,73576,150845,0.906652104493
2020-03-30,27,83,,,,,,,6026,4519,7552,94676,65584,122183,119807,78095,158396,0.888846742518
2020-03-31,37,120,,,,,,,5849,4446,7326,95505,67001,122356,125656,82542,165722,0.874505991041
2020-04-01,26,146,,,,,,,5669,4351,7076,95642,67832,121749,131325,86893,172798,0.862924669523
2020-04-02,48,194,,,,,,,5487,4234,6809,95209,68196,120509,136811,91128,179607,0.853549704822
2020-04-03,29,223,,,,,,,5304,4103,6537,94281,68134,118716,142116,95232,186144,0.845945448309
2020-04-04,29,252,,,,,,,5124,3986,6270,92920,67769,116335,147239,99218,192413,0.839767026642
2020-04-05,41,293,,,,,,,4946,3902,6012,91189,67158,113571,152185,103121,198425,0.834740063138
2020-04-06,53,346,,,,,,,4772,3802,5859,89176,66328,110646,156958,106924,204283,0.830645259953
2020-04-07,56,402,,,,,,,4603,3683,5587,86967,65316,107499,161561,110607,209869,0.827306627436
2020-04-08,44,446,,,,,,,4439,3537,5438,84622,64119,104442,166000,114145,215306,0.824582437747
2020-04-09,58,504,,,,,,,4280,3398,5285,82185,62774,101514,170281,117543,220591,0.822358218744
2020-04-10,105,609,,,,,,,4127,3265,5087,79688,61303,98506,174407,120809,225678,0.82054128592
2020-04-11,43,652,,,,,,,3978,3137,4960,77163,59676,95431,178386,123947,230638,0.819056443709
2020-04-12,52,704,,,,,,,3836,3015,4798,74639,57984,92333,182221,126963,235435,0.817842584023
2020-04-13,56,760,,,,,,,3698,2898,4667,72139,56285,89257,185919,129862,240102,0.816849979409
2020-04-14,60,820,,,,,,,3566,2778,4534,69678,54544,86239,189485,132640,244635,0.816038118474
2020-04-15,64,884,,,,,,,3439,2676,4404,67268,52774,83317,192924,135316,249038,0.81537396783
2020-04-16,0,884,,,,,,,3317,2553,4277,64916,50976,80517,196241,137869,253315,0.814830571714
2020-04-17,160,1044,,,,,,,3200,2410,4200,62629,49152,77908,199441,140280,257514,0.814385920451
2020-04-18,26,1070,,,,,,,3087,2287,4108,60413,47336,75478,202528,142568,261621,0.814022034
2020-04-19,49,1119,,,,,,,2980,2176,4028,58268,45526,73236,205508,144745,265648,0.81372421824
2020-04-20,29,1148,,,,,,,2876,2065,3941,56199,43688,71164,208384,146810,269588,0.813466381264
2020-04-21,0,1148,,,,,,,2776,1968,3862,54202,41854,69168,211160,148778,273450,0.813171453156
2020-04-22,171,1319,,,,,,,2680,1875,3796,52279,40046,67377,213840,150654,277246,0.812765416731
2020-04-23,77,1396,,,,,,,2589,1788,3750,50428,38297,65689,216429,152442,280995,0.812503619235
2020-04-24,47,1443,,,,,,,2501,1707,3683,48649,36605,64087,218930,154149,284678,0.812414305205
2020-04-25,0,1443,,,,,,,2417,1635,3583,46939,34976,62584,221346,155785,288261,0.812380355985
