date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-20,,,,,,,,,30,10,40,30,10,40,30,10,40,1.5620414673
2020-02-21,,,,,,,,,30,10,40,60,20,80,60,20,80,1.55963676711
2020-02-22,,,,,,,,,30,10,40,90,30,120,90,30,120,1.55910580396
2020-02-23,,,,,,,,,30,10,40,120,40,160,120,40,160,1.55845796022
2020-02-24,,,,,,,,,30,10,40,150,50,200,150,50,200,1.55766766361
2020-02-25,,,,,,,,,30,10,40,180,60,240,180,60,240,1.55670380897
2020-02-26,,,,,,,,,30,10,40,210,70,280,210,70,280,1.5555285805
2020-02-27,,,,,,,,,30,10,40,240,80,320,240,80,320,1.55409602465
2020-02-28,,,,,,,,,30,10,40,270,90,360,270,90,360,1.5523503161
2020-02-29,,,,,,,,,74,27,104,344,117,464,344,117,464,1.55022364102
2020-03-01,,,,,,,,,74,27,104,417,145,568,417,145,568,1.54763359533
2020-03-02,,,,,,,,,77,29,109,494,175,676,494,175,676,1.54447995819
2020-03-03,,,,,,,,,83,32,118,577,207,794,577,207,794,1.54064065306
2020-03-04,,,,,,,,,96,39,138,673,247,932,673,247,932,1.5359666587
2020-03-05,,,,,,,,,116,49,169,789,296,1100,789,296,1100,1.53027561303
2020-03-06,,,,,,,,,131,57,192,890,343,1252,920,353,1292,1.52334395162
2020-03-07,,,,,,,,,143,64,211,1003,398,1423,1063,418,1503,1.51489782446
2020-03-08,,,,,,,,,157,73,232,1130,461,1614,1220,491,1734,1.50460407374
2020-03-09,,,,,,,,,173,83,255,1273,534,1828,1393,574,1988,1.49206466679
2020-03-10,,,,,,,,,192,96,282,1435,621,2069,1585,671,2269,1.47682134487
2020-03-11,,,,,,,,,211,111,306,1616,723,2335,1796,783,2575,1.45838083733
2020-03-12,,,,,,,,,229,126,329,1815,839,2624,2024,909,2904,1.43627121472
2020-03-13,,,,,,,,,246,143,350,2031,972,2933,2271,1052,3253,1.41013112336
2020-03-14,,,,,,,,,263,161,366,2264,1124,3259,2534,1214,3619,1.37981389273
2020-03-15,1,1,,,,,,,280,183,379,2470,1280,3534,2814,1398,3998,1.3454690519
2020-03-16,0,1,,,,,,,296,207,397,2693,1459,3827,3110,1605,4394,1.30756571948
2020-03-17,0,1,,,,,,,310,231,413,2926,1661,4131,3420,1836,4807,1.26685184121
2020-03-18,1,2,,,,,,,322,245,424,3165,1874,4437,3742,2082,5230,1.22427592553
2020-03-19,1,3,,,,,,,331,255,436,3401,2090,4735,4074,2337,5666,1.18090456044
2020-03-20,0,3,,,,,,,339,260,447,3624,2301,5013,4413,2598,6113,1.13785039453
2020-03-21,2,5,,,,,,,344,262,450,3837,2506,5271,4757,2860,6563,1.09620596494
2020-03-22,0,5,,,,,,,348,265,455,4041,2707,5515,5104,3125,7017,1.05697440556
2020-03-23,0,5,,,,,,,349,266,461,4233,2900,5744,5453,3391,7478,1.0209946438
2020-03-24,3,8,,,,,,,348,267,458,4408,3084,5947,5801,3659,7935,0.988868431104
2020-03-25,2,10,,,,,,,346,266,456,4563,3254,6121,6147,3925,8390,0.960906726812
2020-03-26,1,11,,,,,,,343,262,452,4695,3405,6267,6490,4188,8842,0.93711797339
2020-03-27,1,12,,,,,,,339,262,440,4805,3541,6378,6830,4451,9281,0.91725081457
2020-03-28,1,13,,,,,,,335,261,434,4894,3659,6462,7165,4712,9714,0.9008796526
2020-03-29,0,13,,,,,,,330,258,429,4961,3756,6524,7494,4971,10143,0.887501772645
2020-03-30,3,16,,,,,,,324,256,423,5005,3830,6568,7819,5228,10565,0.876615999953
2020-03-31,2,18,,,,,,,319,252,415,5027,3875,6586,8137,5480,10979,0.867769857026
2020-04-01,1,19,,,,,,,313,248,402,5029,3892,6574,8450,5729,11380,0.86057848768
2020-04-02,2,21,,,,,,,307,243,393,5014,3890,6543,8757,5972,11772,0.854725504612
2020-04-03,1,22,,,,,,,301,236,382,4984,3870,6488,9057,6208,12154,0.849955225163
2020-04-04,0,22,,,,,,,295,229,368,4939,3840,6409,9352,6438,12521,0.846062361566
2020-04-05,5,27,,,,,,,289,225,360,4884,3803,6319,9641,6664,12881,0.842882155843
2020-04-06,0,27,,,,,,,283,221,352,4819,3759,6217,9924,6885,13233,0.840282039013
2020-04-07,2,29,,,,,,,277,216,347,4748,3710,6102,10201,7102,13579,0.838154958207
2020-04-08,4,33,,,,,,,272,210,342,4671,3653,5986,10473,7313,13921,0.836414156928
2020-04-09,11,44,,,,,,,266,206,336,4591,3593,5867,10739,7519,14257,0.834989112408
2020-04-10,0,44,,,,,,,261,200,331,4509,3530,5746,10999,7719,14587,0.833822360738
2020-04-11,4,48,,,,,,,255,193,327,4425,3461,5632,11254,7913,14913,0.832866995931
2020-04-12,4,52,,,,,,,250,188,322,4340,3388,5520,11505,8101,15234,0.832084682354
2020-04-13,1,53,,,,,,,245,181,318,4256,3311,5409,11750,8282,15551,0.831444062373
2020-04-14,2,55,,,,,,,240,175,315,4172,3230,5302,11990,8458,15866,0.830919472129
2020-04-15,3,58,,,,,,,236,171,313,4089,3148,5200,12226,8629,16179,0.83048990055
2020-04-16,6,64,,,,,,,231,165,312,4007,3065,5110,12457,8794,16490,0.830138142414
2020-04-17,6,70,,,,,,,226,159,309,3927,2981,5027,12683,8954,16799,0.829850107516
2020-04-18,2,72,,,,,,,222,155,306,3848,2900,4951,12905,9109,17104,0.829614256184
2020-04-19,2,74,,,,,,,218,149,304,3771,2820,4886,13123,9258,17407,0.829421137534
2020-04-20,1,75,,,,,,,214,143,302,3696,2737,4828,13337,9402,17709,0.82926301149
2020-04-21,3,78,,,,,,,210,138,300,3622,2654,4776,13546,9540,18009,0.829133539251
2020-04-22,0,78,,,,,,,206,133,298,3551,2571,4728,13752,9673,18307,0.829007929613
2020-04-23,5,83,,,,,,,202,129,296,3481,2489,4682,13954,9802,18602,0.828885507476
2020-04-24,3,86,,,,,,,198,124,294,3413,2408,4640,14152,9927,18896,0.828779141253
2020-04-25,1,87,,,,,,,194,120,292,3347,2328,4602,14346,10048,19188,0.82869325336
2020-04-26,5,92,,,,,,,191,116,290,3282,2252,4566,14537,10165,19478,0.828621054605
2020-04-27,0,92,,,,,,,187,112,286,3220,2176,4530,14724,10278,19764,0.828548713427
2020-04-28,7,99,,,,,,,184,108,283,3158,2103,4495,14908,10386,20046,0.828548747406
2020-04-29,2,101,,,,,,,181,104,281,3099,2032,4461,15089,10491,20327,0.828548798097
2020-04-30,2,103,,,,,,,177,100,279,3041,1962,4427,15266,10591,20605,0.828548873719
2020-05-01,1,104,,,,,,,174,97,277,2984,1895,4392,15440,10689,20881,0.828548986534
2020-05-02,5,109,,,,,,,171,94,275,2928,1830,4357,15612,10784,21155,0.828549154834
2020-05-03,0,109,,,,,,,168,92,272,2874,1767,4324,15780,10876,21427,0.828549405906
2020-05-04,0,109,,,,,,,165,89,270,2822,1707,4290,15945,10965,21697,0.828549780459
2020-05-05,4,113,,,,,,,162,86,268,2770,1650,4256,16107,11052,21964,0.828550339219
2020-05-06,2,115,,,,,,,159,84,266,2720,1596,4221,16266,11136,22229,0.828551172778
2020-05-07,6,121,,,,,,,156,81,263,2670,1544,4186,16422,11217,22492,0.828552416271
2020-05-08,3,124,,,,,,,154,79,261,2622,1494,4151,16576,11297,22753,0.828554271275
2020-05-09,3,127,,,,,,,151,76,259,2575,1446,4115,16727,11374,23011,0.828557038462
2020-05-10,0,127,,,,,,,148,74,256,2529,1400,4079,16875,11448,23267,0.828561166278
2020-05-11,3,130,,,,,,,146,72,254,2484,1356,4043,17021,11521,23520,0.828567323492
2020-05-12,0,130,,,,,,,143,70,252,2439,1313,4008,17164,11591,23771,0.828576507281
2020-05-13,4,134,,,,,,,140,68,249,2396,1273,3974,17304,11660,24020,0.82859020411
2020-05-14,3,137,,,,,,,138,66,247,2353,1236,3939,17442,11727,24266,0.828610628983
2020-05-15,0,137,,,,,,,135,64,244,2311,1199,3905,17578,11791,24509,0.828641080645
2020-05-16,0,137,,,,,,,133,62,242,2270,1165,3870,17711,11854,24751,0.828686467691
2020-05-17,0,137,,,,,,,131,61,239,2230,1131,3835,17841,11916,24989,0.828754085013
2020-05-18,1,138,,,,,,,128,59,237,2190,1098,3799,17970,11975,25226,0.828854753553
2020-05-19,2,140,,,,,,,126,57,234,2151,1067,3763,18095,12033,25459,0.829004479651
2020-05-20,4,144,,,,,,,124,56,232,2113,1037,3727,18219,12089,25691,0.82922684074
2020-05-21,1,145,,,,,,,121,54,229,2075,1008,3691,18341,12144,25919,0.829556348996
2020-05-22,2,147,,,,,,,119,53,227,2038,979,3654,18460,12197,26146,0.830043048817
2020-05-23,0,147,,,,,,,117,51,225,2001,952,3618,18577,12249,26370,0.830758485455
2020-05-24,1,148,,,,,,,115,50,222,1965,925,3582,18692,12300,26592,0.831802772455
2020-05-25,,,1,0,3,149,148,151,113,49,220,1930,900,3545,18805,12349,26811,
2020-05-26,,,1,0,3,151,149,153,111,47,218,1896,875,3509,18917,12396,27028,
2020-05-27,,,1,0,3,152,150,155,110,46,216,1862,851,3473,19026,12443,27244,
2020-05-28,,,1,0,3,153,150,157,108,45,215,1830,828,3439,19134,12488,27458,
2020-05-29,,,1,0,3,154,151,159,107,44,213,1799,805,3405,19241,12532,27670,
2020-05-30,,,1,0,3,156,152,161,105,43,212,1769,784,3373,19346,12576,27882,
2020-05-31,,,1,0,3,157,152,163,105,41,212,1740,763,3344,19451,12617,28094,
2020-06-01,,,1,0,3,158,153,165,104,40,214,1713,742,3318,19555,12658,28307,
2020-06-02,,,1,0,3,159,153,168,103,39,215,1688,722,3296,19657,12697,28521,
2020-06-03,,,1,0,3,160,154,170,102,38,217,1664,702,3279,19760,12736,28737,
2020-06-04,,,1,0,3,162,155,172,101,37,217,1642,683,3264,19861,12773,28954,
2020-06-05,,,1,0,3,163,155,174,101,35,219,1621,664,3254,19962,12808,29172,
