date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-03-03,,,,,,,,,51,40,60,51,40,60,51,40,60,1.43679706345
2020-03-04,,,,,,,,,51,40,60,103,80,120,103,80,120,1.43468568363
2020-03-05,,,,,,,,,51,40,60,154,120,180,154,120,180,1.43421535305
2020-03-06,,,,,,,,,51,40,60,206,160,240,206,160,240,1.43363929418
2020-03-07,,,,,,,,,51,40,60,257,200,300,257,200,300,1.43293318064
2020-03-08,,,,,,,,,51,40,60,308,240,360,308,240,360,1.43206676346
2020-03-09,,,,,,,,,51,40,60,360,280,420,360,280,420,1.43100225394
2020-03-10,,,,,,,,,51,40,60,411,320,480,411,320,480,1.429692195
2020-03-11,,,,,,,,,51,40,60,462,360,540,462,360,540,1.42807666392
2020-03-12,,,,,,,,,123,95,156,585,455,696,585,455,696,1.42607965079
2020-03-13,,,,,,,,,122,95,155,708,551,850,708,551,850,1.42360454825
2020-03-14,,,,,,,,,127,98,161,834,649,1011,834,649,1011,1.42052899043
2020-03-15,,,,,,,,,136,106,175,971,755,1185,971,755,1185,1.41669999811
2020-03-16,,,,,,,,,156,121,203,1127,876,1388,1127,876,1388,1.41193176359
2020-03-17,,,,,,,,,187,144,246,1313,1021,1633,1313,1021,1633,1.40601046404
2020-03-18,,,,,,,,,209,162,276,1471,1143,1848,1523,1183,1908,1.39871238017
2020-03-19,,,,,,,,,227,176,298,1647,1279,2085,1750,1359,2205,1.389840815
2020-03-20,,,,,,,,,247,189,326,1843,1429,2350,1997,1549,2530,1.37928028473
2020-03-21,,,,,,,,,269,202,358,2061,1591,2648,2266,1751,2888,1.36705288887
2020-03-22,,,,,,,,,296,217,393,2305,1768,2980,2562,1968,3280,1.35335053019
2020-03-23,,,,,,,,,323,231,430,2577,1960,3350,2885,2200,3710,1.33852192477
2020-03-24,,,,,,,,,348,244,463,2873,2165,3753,3233,2445,4173,1.32301670673
2020-03-25,,,,,,,,,373,259,493,3194,2384,4185,3606,2704,4665,1.30731162094
2020-03-26,,,,,,,,,398,275,522,3541,2620,4647,4003,2980,5187,1.29184771177
2020-03-27,1,1,,,,,,,425,291,550,3843,2815,5041,4428,3271,5736,1.27699468121
2020-03-28,0,1,,,,,,,452,307,589,4172,3028,5475,4880,3579,6324,1.26304238487
2020-03-29,1,2,,,,,,,479,325,631,4525,3254,5944,5359,3904,6955,1.25020845819
