date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-26,,,,,,,,,144,75,175,144,75,175,144,75,175,3.81387913597
2020-02-27,,,,,,,,,144,75,175,288,150,350,288,150,350,3.75908265825
2020-02-28,,,,,,,,,144,75,175,432,225,525,432,225,525,3.74724314024
2020-02-29,,,,,,,,,144,75,175,575,300,700,575,300,700,3.73289705922
2020-03-01,,,,,,,,,144,75,175,719,375,875,719,375,875,3.71552529197
2020-03-02,,,,,,,,,144,75,175,863,450,1050,863,450,1050,3.69449813794
2020-03-03,,,,,,,,,144,75,175,1007,525,1225,1007,525,1225,3.66904586515
2020-03-04,,,,,,,,,144,75,175,1151,600,1400,1151,600,1400,3.63821809446
2020-03-05,,,,,,,,,144,75,175,1295,675,1575,1295,675,1575,3.60082859135
2020-03-06,,,,,,,,,651,329,887,1946,1004,2462,1946,1004,2462,3.55538397339
2020-03-07,,,,,,,,,641,327,875,2587,1331,3336,2587,1331,3336,3.50000157227
2020-03-08,,,,,,,,,715,368,997,3302,1700,4332,3302,1700,4332,3.43233719495
2020-03-09,,,,,,,,,866,451,1237,4167,2152,5569,4167,2152,5569,3.34957122596
2020-03-10,,,,,,,,,1176,624,1723,5343,2776,7291,5343,2776,7291,3.24853840356
2020-03-11,,,,,,,,,1642,896,2433,6985,3672,9724,6985,3672,9724,3.12611287239
2020-03-12,,,,,,,,,1989,1130,2925,8830,4727,12473,8974,4802,12648,2.97993206259
2020-03-13,,,,,,,,,2306,1377,3331,10992,6030,15628,11280,6180,15978,2.80941090901
2020-03-14,,,,,,,,,2690,1674,3775,13538,7629,19228,13969,7854,19753,2.61676760462
2020-03-15,,,,,,,,,3122,1899,4252,16516,9454,23304,17091,9754,24004,2.40758149963
2020-03-16,,,,,,,,,3572,2168,4843,19944,11547,27971,20663,11922,28846,2.19044154669
2020-03-17,,,,,,,,,3918,2396,5309,23718,13868,33105,24581,14318,34155,1.97560739474
2020-03-18,,,,,,,,,4163,2575,5663,27737,16369,38593,28744,16894,39818,1.77309752279
2020-03-19,,,,,,,,,4347,2716,5851,31940,19010,44268,33091,19610,45668,1.59089465617
2020-03-20,,,,,,,,,4483,2831,6054,36279,21767,50147,37574,22442,51722,1.43384944647
2020-03-21,,,,,,,,,4573,2904,6265,40201,24342,55525,42147,25347,57986,1.30349767763
2020-03-22,6,6,,,,,,,4607,3013,6363,44167,27028,61014,46754,28360,64349,1.19863515506
2020-03-23,0,6,,,,,,,4589,3068,6311,48041,29728,66328,51343,31428,70660,1.11628652189
2020-03-24,0,6,,,,,,,4540,3103,6159,51716,32379,71250,55883,34532,76819,1.05269246712
2020-03-25,0,6,,,,,,,4471,3101,5973,55011,34857,75501,60354,37634,82791,1.004066051
2020-03-26,0,6,,,,,,,4390,3109,5767,57759,37070,78835,64745,40743,88558,0.967037145397
2020-03-27,0,6,,,,,,,4298,3066,5618,60069,39006,81528,69043,43809,94176,0.938829799351
2020-03-28,7,13,,,,,,,4194,3002,5335,61957,40631,83532,73237,46812,99510,0.917267730163
2020-03-29,10,23,,,,,,,4083,2992,5128,63351,41949,84885,77320,49804,104637,0.900696108338
2020-03-30,0,23,,,,,,,3969,2997,5030,64198,43048,85663,81289,52802,109666,0.887878165318
2020-03-31,26,49,,,,,,,3853,2985,4881,64479,43866,85701,85142,55788,114547,0.877896868066
2020-04-01,26,75,,,,,,,3738,2914,4778,64299,44384,85170,88880,58703,119324,0.870073222339
2020-04-02,45,120,,,,,,,3623,2807,4635,63759,44616,84141,92503,61510,123958,0.863902988363
2020-04-03,12,132,,,,,,,3508,2745,4480,62920,44645,82770,96011,64256,128438,0.859009528307
2020-04-04,47,179,,,,,,,3395,2704,4313,61833,44518,81029,99407,66961,132750,0.85510940828
2020-04-05,10,189,,,,,,,3285,2616,4163,60545,44230,78927,102692,69577,136912,0.851987558012
2020-04-06,11,200,,,,,,,3177,2510,4002,59115,43727,76565,105869,72088,140914,0.849479385936
2020-04-07,63,263,,,,,,,3072,2413,3918,57598,43073,74172,108941,74501,144831,0.847457878678
2020-04-08,51,314,,,,,,,2970,2309,3809,56028,42279,71821,111911,76811,148640,0.845824248701
2020-04-09,31,345,,,,,,,2871,2207,3650,54428,41385,69498,114782,79019,152289,0.84450110518
2020-04-10,45,390,,,,,,,2775,2137,3495,52812,40413,67226,117557,81156,155783,0.84342742441
2020-04-11,45,435,,,,,,,2682,2056,3452,51196,39403,65060,120239,83213,159235,0.842554810788
2020-04-12,18,453,,,,,,,2592,1975,3341,49594,38376,63066,122831,85188,162575,0.841844690287
2020-04-13,29,482,,,,,,,2505,1884,3243,48016,37268,61182,125337,87073,165818,0.841266183535
2020-04-14,68,550,,,,,,,2421,1810,3146,46469,36080,59298,127758,88883,168964,0.840794478969
2020-04-15,58,608,,,,,,,2340,1711,3067,44956,34807,57484,130098,90595,172030,0.840409577561
2020-04-16,60,668,,,,,,,2262,1618,3030,43480,33511,55736,132360,92214,175060,0.840095316436
2020-04-17,46,714,,,,,,,2187,1554,2997,42044,32257,54098,134547,93768,178056,0.839838603841
2020-04-18,27,741,,,,,,,2114,1495,2950,40650,31008,52567,136661,95264,181005,0.839628815805
2020-04-19,26,767,,,,,,,2044,1439,2900,39298,29743,51155,138705,96704,183905,0.839457317562
2020-04-20,20,787,,,,,,,1976,1381,2868,37989,28508,49860,140681,98085,186772,0.839299126281
2020-04-21,0,787,,,,,,,1910,1331,2833,36722,27329,48691,142591,99417,189605,0.839087214712
2020-04-22,89,876,,,,,,,1847,1253,2771,35497,26169,47544,144438,100671,192375,0.838832240489
2020-04-23,31,907,,,,,,,1786,1181,2693,34312,25041,46428,146223,101852,195067,0.838732605481
2020-04-24,27,934,,,,,,,1727,1124,2628,33168,23957,45407,147951,102977,197695,0.838703226551
2020-04-25,20,954,,,,,,,1671,1075,2592,32064,22895,44504,149621,104052,200287,0.838685710932
2020-04-26,1,955,,,,,,,1616,1017,2533,30998,21856,43585,151237,105069,202820,0.838685739434
2020-04-27,5,960,,,,,,,1563,963,2470,29968,20845,42714,152800,106033,205289,0.838685781954
2020-04-28,42,1002,,,,,,,1512,912,2409,28975,19872,41880,154312,106946,207698,0.838685845387
2020-04-29,55,1057,,,,,,,1463,864,2380,28016,18927,41115,155774,107810,210078,0.838685940018
2020-04-30,79,1136,,,,,,,1415,815,2331,27091,18030,40378,157189,108625,212408,0.83868608119
2020-05-01,51,1187,,,,,,,1369,774,2260,26198,17185,39609,158558,109400,214668,0.838686291793
2020-05-02,15,1202,,,,,,,1325,734,2226,25336,16366,38838,159883,110134,216893,0.838686605975
2020-05-03,8,1210,,,,,,,1282,696,2196,24504,15567,38084,161165,110831,219089,0.838687074678
