date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-26,,,,,,,,,62,25,125,62,25,125,62,25,125,1.96746690144
2020-02-27,,,,,,,,,62,25,125,124,50,250,124,50,250,1.96708622702
2020-02-28,,,,,,,,,62,25,125,186,75,375,186,75,375,1.9669528356
2020-02-29,,,,,,,,,62,25,125,248,100,500,248,100,500,1.96677267039
2020-03-01,,,,,,,,,62,25,125,310,125,625,310,125,625,1.96652932304
2020-03-02,,,,,,,,,62,25,125,372,150,750,372,150,750,1.96620063575
2020-03-03,,,,,,,,,62,25,125,434,175,875,434,175,875,1.96575669957
2020-03-04,,,,,,,,,62,25,125,496,200,1000,496,200,1000,1.96515717114
2020-03-05,,,,,,,,,62,25,125,558,225,1125,558,225,1125,1.96434769018
2020-03-06,,,,,,,,,171,74,325,730,299,1450,730,299,1450,1.96325512395
2020-03-07,,,,,,,,,171,74,324,900,374,1774,900,374,1774,1.9617813047
2020-03-08,,,,,,,,,180,79,338,1080,454,2112,1080,454,2112,1.95979487207
2020-03-09,,,,,,,,,199,89,368,1279,543,2479,1279,543,2479,1.95712080391
2020-03-10,,,,,,,,,238,109,431,1517,652,2910,1517,652,2910,1.95352724897
2020-03-11,,,,,,,,,300,140,528,1817,793,3437,1817,793,3437,1.94870942
2020-03-12,,,,,,,,,348,166,605,2103,934,3917,2165,959,4042,1.94227065883
2020-03-13,,,,,,,,,390,189,668,2431,1099,4459,2555,1149,4709,1.93370151732
2020-03-14,,,,,,,,,441,218,740,2810,1293,5073,2997,1368,5448,1.92235915414
2020-03-15,,,,,,,,,503,255,828,3251,1523,5776,3499,1623,6276,1.90745216743
2020-03-16,,,,,,,,,579,302,931,3768,1800,6581,4078,1925,7206,1.88804088521
2020-03-17,,,,,,,,,658,353,1043,4364,2128,7498,4736,2278,8248,1.86306920246
2020-03-18,,,,,,,,,736,408,1128,5037,2512,8500,5472,2687,9375,1.83144502926
2020-03-19,,,,,,,,,816,470,1203,5792,2957,9577,6288,3157,10577,1.79217161649
2020-03-20,,,,,,,,,901,543,1268,6630,3476,10720,7188,3701,11845,1.74450409294
2020-03-21,1,1,,,,,,,988,626,1332,7446,4027,11727,8176,4327,13177,1.6880933936
2020-03-22,0,1,,,,,,,1072,718,1431,8347,4670,12834,9248,5045,14607,1.62309796695
2020-03-23,0,1,,,,,,,1147,812,1501,9315,5404,13997,10395,5858,16108,1.55026193961
2020-03-24,0,1,,,,,,,1212,852,1596,10328,6167,15224,11607,6711,17703,1.47095766893
2020-03-25,2,3,,,,,,,1265,904,1692,11355,6962,16485,12872,7615,19394,1.38718625331
2020-03-26,2,5,,,,,,,1302,920,1746,12357,7742,17702,14174,8535,21139,1.30153269396
2020-03-27,2,7,,,,,,,1323,928,1837,13333,8504,18934,15498,9464,22976,1.21706466123
2020-03-28,2,9,,,,,,,1328,913,1872,14270,9227,20139,16825,10377,24848,1.13711568147
2020-03-29,2,11,,,,,,,1318,896,1895,15146,9905,21295,18143,11273,26743,1.06485607863
2020-03-30,2,13,,,,,,,1296,879,1879,15940,10529,22346,19439,12152,28621,1.0026696861
2020-03-31,4,17,,,,,,,1267,862,1853,16628,11089,23268,20707,13015,30473,0.951617878521
2020-04-01,0,17,,,,,,,1234,855,1773,17205,11591,23999,21941,13870,32246,0.911355312579
2020-04-02,2,19,,,,,,,1197,829,1731,17666,12013,24601,23138,14700,33976,0.880540290599
2020-04-03,1,20,,,,,,,1159,813,1660,18009,12356,25059,24297,15514,35636,0.857420850413
2020-04-04,5,25,,,,,,,1120,805,1580,18228,12618,25371,25417,16319,37215,0.840280703495
2020-04-05,2,27,,,,,,,1081,794,1509,18321,12786,25548,26497,17113,38724,0.827656053648
2020-04-06,0,27,,,,,,,1042,771,1443,18292,12840,25561,27539,17885,40167,0.818387264668
2020-04-07,7,34,,,,,,,1004,743,1367,18148,12770,25426,28544,18629,41533,0.811591324412
2020-04-08,6,40,,,,,,,968,726,1296,17904,12645,25126,29511,19356,42829,0.806609809661
2020-04-09,2,42,,,,,,,932,704,1227,17572,12444,24662,30444,20060,44055,0.802957096619
2020-04-10,6,48,,,,,,,898,690,1163,17168,12214,24079,31342,20750,45217,0.800276989542
2020-04-11,1,49,,,,,,,866,654,1118,16710,11941,23360,32208,21405,46335,0.798308909195
2020-04-12,7,56,,,,,,,834,630,1080,16216,11658,22567,33042,22035,47414,0.796862413271
2020-04-13,3,59,,,,,,,804,601,1042,15703,11363,21714,33846,22636,48456,0.795798323187
2020-04-14,5,64,,,,,,,775,570,1007,15182,11054,20842,34621,23207,49462,0.795014870748
2020-04-15,8,72,,,,,,,748,540,983,14662,10732,19971,35369,23747,50444,0.794437578241
2020-04-16,3,75,,,,,,,721,514,962,14149,10391,19161,36090,24262,51406,0.794001661413
2020-04-17,7,82,,,,,,,696,488,924,13648,10050,18355,36786,24750,52330,0.79366590095
2020-04-18,8,90,,,,,,,672,464,899,13160,9701,17593,37457,25215,53229,0.793396352046
2020-04-19,4,94,,,,,,,648,440,877,12689,9336,16890,38106,25655,54105,0.793166658796
2020-04-20,4,98,,,,,,,626,418,857,12234,8960,16238,38732,26074,54961,0.792978627576
2020-04-21,43,141,,,,,,,605,397,844,11797,8586,15639,39336,26472,55805,0.792819142744
2020-04-22,8,149,,,,,,,584,378,828,11377,8220,15100,39921,26850,56633,0.79282463581
2020-04-23,23,172,,,,,,,565,360,809,10974,7855,14613,40485,27211,57441,0.792832829822
2020-04-24,5,177,,,,,,,546,344,797,10588,7494,14184,41031,27555,58238,0.792845052338
2020-04-25,9,186,,,,,,,528,325,780,10217,7130,13801,41559,27881,59018,0.792863282822
2020-04-26,4,190,,,,,,,510,306,768,9862,6782,13450,42070,28187,59785,0.792890472016
2020-04-27,3,193,,,,,,,494,289,754,9522,6441,13124,42563,28477,60538,0.792931016865
2020-04-28,6,199,,,,,,,478,276,741,9195,6116,12823,43041,28753,61279,0.792991465616
2020-04-29,7,206,,,,,,,462,263,727,8883,5809,12543,43504,29017,62005,0.793081562182
2020-04-30,5,211,,,,,,,448,249,713,8583,5518,12274,43951,29266,62718,0.793215787453
2020-05-01,7,218,,,,,,,433,234,699,8295,5238,12011,44385,29500,63416,0.793415621778
2020-05-02,2,220,,,,,,,420,221,685,8019,4971,11772,44805,29722,64101,0.793712838902
2020-05-03,10,230,,,,,,,407,208,672,7754,4715,11545,45212,29930,64773,0.794154241733
2020-05-04,10,240,,,,,,,394,196,660,7500,4471,11328,45606,30127,65432,0.794808339431
2020-05-05,6,246,,,,,,,382,185,648,7256,4238,11119,45988,30312,66080,0.795774473745
2020-05-06,6,252,,,,,,,371,174,637,7023,4014,10911,46359,30486,66716,0.797194667171
2020-05-07,3,255,,,,,,,360,164,627,6799,3801,10710,46720,30651,67342,0.799267652327
2020-05-08,5,260,,,,,,,351,155,618,6585,3595,10519,47070,30806,67960,0.802262561603
2020-05-09,5,265,,,,,,,342,147,611,6380,3398,10333,47412,30954,68571,0.806525808791
2020-05-10,2,267,,,,,,,333,139,606,6186,3212,10159,47745,31093,69176,0.812468344538
2020-05-11,4,271,,,,,,,327,132,602,6002,3038,9994,48072,31226,69778,0.820513509998
2020-05-12,4,275,,,,,,,321,127,602,5829,2876,9841,48393,31354,70379,0.830985634218
2020-05-13,9,284,,,,,,,317,123,601,5668,2723,9701,48709,31477,70979,0.843941089616
2020-05-14,3,287,,,,,,,313,119,600,5519,2579,9573,49023,31596,71578,0.858997204007
2020-05-15,6,293,,,,,,,311,114,601,5383,2445,9462,49334,31711,72179,0.875273953304
2020-05-16,4,297,,,,,,,309,110,604,5258,2321,9367,49643,31822,72782,0.887551903574
2020-05-17,1,298,,,,,,,307,107,606,5145,2207,9287,49950,31929,73387,0.899297333503
2020-05-18,2,300,,,,,,,306,106,617,5044,2105,9231,50255,32035,74004,0.910066268417
2020-05-19,1,301,,,,,,,305,104,625,4954,2013,9196,50560,32140,74628,0.91956227239
2020-05-20,3,304,,,,,,,304,101,632,4877,1929,9180,50865,32242,75259,0.927652134386
2020-05-21,2,306,,,,,,,304,100,644,4809,1856,9186,51169,32342,75902,0.934344159455
2020-05-22,0,306,,,,,,,303,97,648,4752,1789,9208,51472,32440,76550,0.939746381096
2020-05-23,0,306,,,,,,,303,95,661,4705,1729,9251,51775,32536,77210,0.944022097817
2020-05-24,1,307,,,,,,,303,93,670,4666,1675,9310,52078,32629,77880,0.947353614644
2020-05-25,1,308,,,,,,,303,91,681,4635,1626,9385,52380,32720,78561,0.949917891482
2020-05-26,4,312,,,,,,,302,89,695,4611,1583,9478,52682,32810,79255,0.951873107743
2020-05-27,1,313,,,,,,,302,87,706,4592,1543,9582,52984,32897,79960,0.953353239437
2020-05-28,,,2,1,5,315,314,318,302,85,717,4577,1505,9698,53287,32983,80676,
