date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-03-01,,,,,,,,,58,40,70,58,40,70,58,40,70,1.30102188431
2020-03-02,,,,,,,,,58,40,70,117,80,140,117,80,140,1.29803709663
2020-03-03,,,,,,,,,58,40,70,175,120,210,175,120,210,1.29736507924
2020-03-04,,,,,,,,,58,40,70,234,160,280,234,160,280,1.2965384222
2020-03-05,,,,,,,,,58,40,70,292,200,350,292,200,350,1.29551977055
2020-03-06,,,,,,,,,58,40,70,350,240,420,350,240,420,1.294261833
2020-03-07,,,,,,,,,58,40,70,409,280,490,409,280,490,1.29270432642
2020-03-08,,,,,,,,,58,40,70,467,320,560,467,320,560,1.29076987358
2020-03-09,,,,,,,,,58,40,70,525,360,630,525,360,630,1.28835856353
2020-03-10,,,,,,,,,130,95,167,656,455,797,656,455,797,1.28534096253
2020-03-11,,,,,,,,,129,94,166,785,550,963,785,550,963,1.28154970263
2020-03-12,,,,,,,,,133,98,171,918,648,1133,918,648,1133,1.27677064834
2020-03-13,,,,,,,,,141,105,182,1059,753,1315,1059,753,1315,1.270736401
2020-03-14,,,,,,,,,158,119,205,1217,872,1520,1217,872,1520,1.26312768789
2020-03-15,,,,,,,,,184,142,240,1401,1015,1759,1401,1015,1759,1.25359116031
2020-03-16,,,,,,,,,203,158,263,1545,1133,1952,1604,1173,2022,1.24178240449
2020-03-17,,,,,,,,,216,171,276,1703,1265,2157,1820,1345,2297,1.22743596452
2020-03-18,,,,,,,,,230,185,289,1875,1410,2375,2050,1530,2585,1.21044830053
2020-03-19,,,,,,,,,245,199,306,2061,1570,2611,2295,1730,2891,1.19094357352
2020-03-20,,,,,,,,,262,216,330,2265,1746,2870,2557,1946,3220,1.16929236896
