date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-19,,,,,,,,,308,200,400,308,200,400,308,200,400,2.14754905095
2020-02-20,,,,,,,,,308,200,400,617,400,800,617,400,800,2.13748544857
2020-02-21,,,,,,,,,308,200,400,925,600,1200,925,600,1200,2.13528301229
2020-02-22,,,,,,,,,308,200,400,1233,800,1600,1233,800,1600,2.13260511916
2020-02-23,,,,,,,,,308,200,400,1542,1000,2000,1542,1000,2000,2.129352126
2020-02-24,,,,,,,,,308,200,400,1850,1200,2400,1850,1200,2400,2.12540481715
2020-02-25,,,,,,,,,308,200,400,2158,1400,2800,2158,1400,2800,2.12062108924
2020-02-26,,,,,,,,,308,200,400,2467,1600,3200,2467,1600,3200,2.11483225901
2020-02-27,,,,,,,,,308,200,400,2775,1800,3600,2775,1800,3600,2.10783899648
2020-02-28,,,,,,,,,941,599,1298,3716,2399,4898,3716,2399,4898,2.09940688482
2020-02-29,,,,,,,,,934,597,1282,4650,2997,6180,4650,2997,6180,2.0892616003
2020-03-01,,,,,,,,,993,635,1361,5643,3632,7540,5643,3632,7540,2.07708370618
2020-03-02,,,,,,,,,1113,712,1536,6756,4345,9076,6756,4345,9076,2.06250312171
2020-03-03,,,,,,,,,1365,873,1907,8121,5218,10983,8121,5218,10983,2.04509361131
2020-03-04,,,,,,,,,1754,1124,2478,9874,6343,13461,9874,6343,13461,2.02436844031
2020-03-05,,,,,,,,,2052,1326,2895,11618,7469,15955,11926,7669,16355,1.99978011198
2020-03-06,,,,,,,,,2314,1511,3277,13624,8781,18831,14241,9181,19631,1.97073017549
2020-03-07,,,,,,,,,2629,1741,3781,15945,10323,22212,16870,10923,23412,1.93659887269
2020-03-08,,,,,,,,,3005,2021,4302,18641,12144,26114,19874,12944,27714,1.89680600566
