date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-24,,,,,,,,,51,40,60,51,40,60,51,40,60,1.4941077785
2020-02-25,,,,,,,,,51,40,60,103,80,120,103,80,120,1.49406094968
2020-02-26,,,,,,,,,51,40,60,154,120,180,154,120,180,1.49405058195
2020-02-27,,,,,,,,,51,40,60,205,160,240,205,160,240,1.4940379189
2020-02-28,,,,,,,,,51,40,60,256,200,300,256,200,300,1.49402245244
2020-02-29,,,,,,,,,51,40,60,308,240,360,308,240,360,1.49400356197
2020-03-01,,,,,,,,,51,40,60,359,280,420,359,280,420,1.49398048956
2020-03-02,,,,,,,,,51,40,60,410,320,480,410,320,480,1.49395230956
2020-03-03,,,,,,,,,51,40,60,462,360,540,462,360,540,1.49391789144
2020-03-04,,,,,,,,,127,103,156,589,463,696,589,463,696,1.49387585458
2020-03-05,,,,,,,,,126,103,156,715,567,852,715,567,852,1.49382451288
2020-03-06,,,,,,,,,132,108,163,846,675,1014,846,675,1014,1.49376180729
2020-03-07,,,,,,,,,142,117,177,989,793,1191,989,793,1191,1.49368522337
2020-03-08,,,,,,,,,164,138,208,1153,931,1398,1153,931,1398,1.49359169067
2020-03-09,,,,,,,,,199,169,255,1352,1101,1653,1352,1101,1653,1.49347745996
2020-03-10,,,,,,,,,225,194,292,1526,1255,1884,1577,1295,1944,1.49333795332
2020-03-11,,,,,,,,,247,214,323,1721,1430,2146,1824,1510,2266,1.49316758122
2020-03-12,,,,,,,,,272,238,359,1942,1628,2445,2096,1748,2625,1.49295951927
2020-03-13,,,,,,,,,301,267,402,2192,1856,2786,2397,2016,3026,1.49270543554
2020-03-14,,,,,,,,,337,302,456,2478,2119,3182,2734,2319,3482,1.49239515769
2020-03-15,,,,,,,,,375,340,512,2802,2419,3633,3109,2659,3993,1.49201626597
2020-03-16,,,,,,,,,413,378,570,3164,2758,4143,3523,3038,4563,1.49155359527
2020-03-17,,,,,,,,,454,419,632,3566,3138,4715,3977,3458,5195,1.49098862453
2020-03-18,,,,,,,,,498,465,701,4013,3563,5355,4475,3923,5895,1.49029872622
2020-03-19,2,2,,,,,,,548,516,779,4434,3976,5978,5023,4440,6674,1.48945623988
2020-03-20,1,3,,,,,,,602,571,863,4909,4444,6685,5624,5012,7536,1.48842732238
2020-03-21,0,3,,,,,,,659,631,954,5437,4967,7476,6284,5643,8490,1.48717051083
2020-03-22,1,4,,,,,,,721,692,1052,6016,5542,8351,7004,6335,9542,1.48563491122
2020-03-23,2,6,,,,,,,787,745,1158,6638,6150,9302,7791,7081,10699,1.48375789432
2020-03-24,1,7,,,,,,,859,802,1278,7298,6782,10324,8650,7884,11976,1.4814621429
2020-03-25,1,8,,,,,,,936,862,1403,8009,7451,11436,9586,8746,13379,1.47865185823
2020-03-26,1,9,,,,,,,1019,924,1537,8781,8160,12650,10605,9670,14916,1.47520792872
2020-03-27,2,11,,,,,,,1108,988,1679,9617,8910,13970,11713,10659,16594,1.47098196025
2020-03-28,1,12,,,,,,,1202,1055,1828,10519,9698,15396,12916,11714,18422,1.46578941245
2020-03-29,2,14,,,,,,,1303,1123,1986,11484,10518,16926,14218,12837,20407,1.45940293301
2020-03-30,7,21,,,,,,,1409,1193,2149,12518,11371,18563,15627,14031,22556,1.4515486513
2020-03-31,5,26,,,,,,,1519,1264,2317,13624,12257,20310,17147,15295,24872,1.44191077376
2020-04-01,1,27,,,,,,,1634,1336,2487,14804,13173,22165,18781,16632,27359,1.43015242281
2020-04-02,7,34,,,,,,,1751,1408,2658,16057,14116,24121,20532,18040,30016,1.41596039633
2020-04-03,6,40,,,,,,,1870,1479,2825,17379,15080,26168,22402,19520,32841,1.39911399551
2020-04-04,1,41,,,,,,,1988,1550,2939,18765,16058,28243,24390,21070,35779,1.37956209719
2020-04-05,6,47,,,,,,,2103,1620,3078,20209,17047,30367,26493,22691,38856,1.3574773108
2020-04-06,6,53,,,,,,,2215,1688,3133,21703,18043,32447,28707,24379,41988,1.33325793996
2020-04-07,4,57,,,,,,,2321,1755,3297,23238,19053,34586,31028,26135,45285,1.30747315354
2020-04-08,4,61,,,,,,,2421,1813,3459,24800,20064,36767,33449,27948,48743,1.28077721642
2020-04-09,4,65,,,,,,,2514,1859,3552,26377,21061,38915,35963,29808,52294,1.25383118817
2020-04-10,1,66,,,,,,,2599,1904,3634,27956,22042,41013,38561,31712,55928,1.22725789903
2020-04-11,20,86,,,,,,,2676,1950,3728,29524,23003,43062,41237,33663,59656,1.20163029349
2020-04-12,5,91,,,,,,,2745,2004,3773,31067,23953,45007,43982,35667,63428,1.17747234268
2020-04-13,2,93,,,,,,,2807,2057,3802,32571,24887,46823,46789,37725,67230,1.15524724651
2020-04-14,3,96,,,,,,,2863,2104,3910,34025,25797,48585,49652,39829,71140,1.135321412
2020-04-15,15,111,,,,,,,2913,2148,3940,35419,26682,50208,52566,41978,75079,1.11791635764
2020-04-16,17,128,,,,,,,2959,2202,3926,36744,27548,51646,55525,44180,79005,1.10307705613
2020-04-17,7,135,,,,,,,3002,2255,3914,37995,28395,52903,58527,46436,82918,1.09067956005
2020-04-18,8,143,,,,,,,3041,2305,3901,39166,29222,53979,61568,48742,86819,1.0804768461
2020-04-19,25,168,,,,,,,3079,2331,3897,40257,30003,54937,64647,51073,90716,1.07216086439
2020-04-20,8,176,,,,,,,3114,2377,3916,41268,30759,55776,67761,53450,94631,1.06541661357
2020-04-21,25,201,,,,,,,3148,2386,3944,42201,31458,56587,70909,55837,98575,1.05995622726
2020-04-22,11,212,,,,,,,3181,2400,3963,43061,32102,57253,74089,58238,102537,1.05553372812
2020-04-23,25,237,,,,,,,3212,2422,4017,43853,32711,57812,77302,60660,106554,1.05194691961
2020-04-24,16,253,,,,,,,3242,2417,4033,44582,33269,58293,80544,63078,110587,1.04862833883
2020-04-25,16,269,,,,,,,3270,2433,4052,45253,33798,58710,83814,65511,114638,1.04518789093
2020-04-26,12,281,,,,,,,3297,2421,4085,45874,34269,59068,87112,67932,118723,1.04229928666
2020-04-27,11,292,,,,,,,3325,2426,4130,46454,34691,59424,90436,70359,122852,1.03998464735
2020-04-28,20,312,,,,,,,3352,2411,4202,46999,35045,59824,93788,72770,127053,1.0379851783
2020-04-29,31,343,,,,,,,3378,2402,4201,47514,35344,60115,97167,75173,131254,1.03622375116
2020-04-30,42,385,,,,,,,3410,2383,4260,48011,35579,60435,100576,77557,135514,1.03629672697
2020-05-01,32,417,,,,,,,3440,2362,4349,48491,35739,60858,104016,79920,139862,1.03640537323
2020-05-02,23,440,,,,,,,3471,2343,4436,48960,35826,61380,107487,82263,144298,1.03656696472
2020-05-03,17,457,,,,,,,3502,2307,4518,49420,35828,61996,110989,84571,148815,1.03680694733
2020-05-04,19,476,,,,,,,3534,2266,4595,49875,35763,62694,114522,86837,153409,1.03716256823
2020-05-05,38,514,,,,,,,3567,2266,4679,50328,35653,63456,118089,89104,158087,1.0376878377
2020-05-06,50,564,,,,,,,3603,2233,4776,50783,35499,64288,121692,91337,162862,1.03845997078
2020-05-07,21,585,,,,,,,3640,2184,4876,51243,35284,65201,125332,93522,167738,1.03958701472
2020-05-08,14,599,,,,,,,3680,2151,4967,51710,35013,66151,129012,95673,172705,1.04121529187
2020-05-09,37,636,,,,,,,3723,2128,5067,52191,34723,67185,132735,97801,177771,1.04353314104
2020-05-10,23,659,,,,,,,3771,2108,5183,52692,34398,68317,136506,99910,182954,1.04676398855
2020-05-11,47,706,,,,,,,3825,2086,5287,53220,34063,69519,140331,101996,188241,1.0511379972
2020-05-12,31,737,,,,,,,3887,2062,5406,53781,33698,70795,144218,104058,193647,1.05683149874
2020-05-13,24,761,,,,,,,3956,2052,5550,54386,33340,72143,148174,106111,199196,1.06387514182
2020-05-14,9,770,,,,,,,4035,2038,5728,55042,32975,73669,152209,108149,204923,1.0720608746
2020-05-15,64,834,,,,,,,4122,2043,5934,55754,32635,75343,156330,110192,210857,1.08091024415
2020-05-16,0,834,,,,,,,4208,2038,6149,56522,32311,77143,160538,112231,217005,1.08758554014
2020-05-17,39,873,,,,,,,4302,2056,6358,57353,32025,79065,164840,114288,223362,1.0939713146
2020-05-18,30,903,,,,,,,4403,2051,6604,58255,31769,81151,169243,116340,229965,1.09982618666
2020-05-19,36,939,,,,,,,4511,2069,6785,59233,31572,83341,173755,118409,236750,1.10498898956
2020-05-20,46,985,,,,,,,4625,2067,7011,60290,31373,85673,178379,120477,243760,1.10938729889
2020-05-21,32,1017,,,,,,,4742,2076,7314,61429,31216,88212,183121,122554,251073,1.11302562998
2020-05-22,50,1067,,,,,,,4864,2066,7642,62653,31097,90977,187986,124620,258715,1.11596271863
2020-05-23,34,1101,,,,,,,4992,2060,7982,63965,31006,93992,192977,126680,266696,1.11828734726
2020-05-24,32,1133,,,,,,,5124,2060,8343,65367,30939,97268,198102,128741,275038,1.12009863175
2020-05-25,34,1167,,,,,,,5262,2056,8723,66858,30888,100808,203364,130798,283761,1.12149278195
2020-05-26,30,1197,,,,,,,5406,2066,9124,68438,30868,104644,208770,132864,292884,1.12255579711
2020-05-27,28,1225,,,,,,,5554,2066,9542,70106,30872,108780,214324,134930,302426,1.12336051752
2020-05-28,35,1260,,,,,,,5707,2076,9981,71857,30895,113211,220031,137006,312406,1.12396639294
2020-05-29,57,1317,,,,,,,5866,2070,10440,73689,30927,117923,225897,139077,322846,1.12442068815
2020-05-30,,,37,21,51,1354,1338,1368,6035,2077,10926,75602,30962,122915,231932,141154,333771,
2020-05-31,,,38,21,52,1392,1360,1419,6204,2069,11422,77598,30992,128187,238136,143224,345192,
2020-06-01,,,38,21,53,1430,1381,1471,6379,2053,11940,79675,30989,133770,244515,145278,357131,
2020-06-02,,,38,20,53,1468,1402,1524,6560,2048,12481,81831,30986,139647,251074,147326,369612,
2020-06-03,,,39,20,55,1507,1422,1578,6747,2051,13044,84067,30968,145906,257821,149377,382656,
2020-06-04,,,39,20,56,1546,1442,1633,6940,2045,13629,86382,30945,152525,264762,151423,396284,
2020-06-05,,,40,20,57,1586,1463,1690,7138,2039,14232,88779,30908,159443,271900,153462,410516,
2020-06-06,,,41,20,59,1627,1483,1749,7342,2033,14853,91256,30874,166654,279242,155495,425368,
2020-06-07,,,41,19,61,1668,1503,1810,7550,2027,15490,93814,30841,174162,286792,157522,440858,
2020-06-08,,,42,20,63,1710,1523,1873,7763,2013,16141,96453,30794,181960,294555,159536,456998,
2020-06-09,,,43,19,65,1753,1543,1937,7980,2016,16803,99171,30754,190039,302535,161552,473800,
2020-06-10,,,44,19,66,1796,1562,2002,8201,2000,17470,101966,30689,198386,310735,163553,491270,
2020-06-11,,,45,19,69,1841,1582,2070,8424,1985,18140,104835,30608,206984,319159,165539,509409,
2020-06-12,,,46,19,71,1887,1602,2141,8649,1975,18809,107777,30508,215812,327808,167515,528218,
2020-06-13,,,47,19,74,1933,1622,2215,8876,1976,19475,110787,30414,224847,336684,169491,547692,
2020-06-14,,,48,19,77,1981,1641,2291,9106,1972,20137,113857,30309,234059,345790,171464,567829,
2020-06-15,,,49,19,81,2030,1661,2372,9314,1951,20745,116968,30191,243383,355104,173415,588574,
2020-06-16,,,50,19,84,2080,1680,2455,9524,1941,21349,120113,30079,252792,364627,175357,609923,
2020-06-17,,,51,19,88,2131,1700,2542,9734,1922,21949,123287,29953,262260,374361,177279,631871,
2020-06-18,,,53,19,91,2184,1719,2633,9944,1907,22544,126484,29809,271759,384305,179187,654414,
2020-06-19,,,54,19,95,2238,1739,2728,10152,1891,23129,129696,29655,281259,394457,181078,677543,
2020-06-20,,,55,19,99,2293,1758,2827,10355,1874,23702,132912,29490,290729,404812,182953,701244,
2020-06-21,,,57,19,104,2349,1777,2930,10554,1856,24266,136125,29314,300142,415366,184809,725510,
2020-06-22,,,58,19,108,2407,1797,3037,10753,1837,24826,139327,29124,309478,426119,186647,750335,
2020-06-23,,,60,19,113,2467,1816,3149,10949,1818,25383,142513,28928,318720,437068,188465,775717,
2020-06-24,,,61,18,117,2528,1835,3266,11144,1806,25936,145678,28718,327853,448212,190271,801653,
2020-06-25,,,63,18,122,2591,1854,3388,11336,1793,26483,148813,28511,336865,459548,192065,828135,
2020-06-26,,,64,18,127,2655,1872,3515,11525,1780,27023,151915,28305,345749,471074,193845,855157,
2020-06-27,,,66,18,133,2721,1891,3647,11711,1760,27559,154977,28091,354498,482785,195606,882716,
2020-06-28,,,68,18,138,2789,1910,3784,11895,1738,28089,157996,27852,363112,494680,197344,910804,
2020-06-29,,,69,18,143,2858,1928,3927,12075,1711,28613,160966,27592,371588,506755,199056,939417,
2020-06-30,,,71,18,149,2929,1947,4075,12253,1684,29131,163904,27325,379974,519008,200740,968548,
2020-07-01,,,73,18,154,3002,1965,4229,12426,1656,29642,166807,27039,388267,531434,202397,998189,
2020-07-02,,,75,18,160,3077,1983,4389,12596,1633,30144,169669,26751,396462,544031,204031,1028333,
2020-07-03,,,77,17,165,3154,2001,4553,12762,1608,30639,172487,26452,404557,556793,205639,1058971,
2020-07-04,,,78,17,171,3232,2019,4724,12924,1585,31124,175260,26146,412552,569717,207224,1090095,
2020-07-05,,,80,17,176,3312,2037,4900,13082,1562,31600,177987,25834,420451,582799,208787,1121694,
2020-07-06,,,82,17,182,3394,2054,5081,13235,1539,32066,180667,25517,428251,596033,210327,1153760,
2020-07-07,,,84,17,187,3478,2072,5267,13383,1514,32521,183297,25194,435945,609416,211841,1186280,
2020-07-08,,,85,17,192,3563,2089,5458,13526,1489,32964,185874,24864,443526,622942,213330,1219243,
2020-07-09,,,87,17,197,3650,2106,5654,13664,1461,33395,188394,24520,450985,636606,214792,1252637,
2020-07-10,,,89,16,201,3738,2123,5855,13797,1434,33813,190854,24161,458316,650402,216226,1286450,
2020-07-11,,,90,16,206,3829,2140,6061,13924,1406,34218,193252,23787,465511,664326,217632,1320668,
2020-07-12,,,92,16,211,3920,2156,6271,14045,1378,34609,195586,23405,472561,678371,219011,1355277,
2020-07-13,,,93,16,215,4014,2173,6485,14160,1350,34985,197851,23018,479458,692531,220362,1390262,
2020-07-14,,,95,16,220,4109,2189,6704,14269,1323,35347,200045,22629,486191,706800,221685,1425608,
2020-07-15,,,96,15,224,4205,2205,6928,14372,1295,35692,202164,22240,492752,721173,222980,1461299,
2020-07-16,,,98,15,228,4303,2220,7155,14469,1266,36021,204207,21850,499131,735641,224247,1497320,
2020-07-17,,,99,15,232,4402,2236,7387,14559,1240,36334,206169,21457,505321,750200,225488,1533653,
2020-07-18,,,101,15,236,4502,2252,7623,14642,1212,36629,208049,21061,511311,764842,226700,1570281,
2020-07-19,,,102,15,241,4604,2267,7863,14718,1184,36906,209843,20660,517092,779560,227885,1607187,
2020-07-20,,,103,15,245,4708,2282,8107,14788,1156,37165,211549,20254,522657,794348,229041,1644351,
2020-07-21,,,105,14,248,4812,2297,8355,14850,1128,37406,213164,19843,527997,809198,230170,1681756,
2020-07-22,,,106,14,252,4918,2311,8607,14905,1100,37627,214687,19430,533104,824103,231271,1719383,
2020-07-23,,,107,14,256,5025,2325,8862,14953,1073,37829,216113,19014,537969,839055,232344,1757212,
2020-07-24,,,108,13,260,5133,2339,9122,14993,1045,38012,217443,18598,542586,854049,233390,1795223,
2020-07-25,,,109,13,263,5243,2353,9384,15026,1020,38174,218673,18185,546947,869075,234411,1833396,
2020-07-26,,,110,13,267,5353,2366,9650,15052,995,38316,219801,17773,551045,884127,235406,1871712,
2020-07-27,,,112,13,270,5465,2380,9920,15076,972,38438,220832,17367,554874,899203,236379,1910150,
2020-07-28,,,113,13,273,5577,2393,10193,15093,949,38539,221764,16966,558427,914295,237329,1948688,
2020-07-29,,,113,12,276,5691,2406,10469,15102,927,38619,222597,16570,561700,929397,238256,1987307,
2020-07-30,,,114,12,279,5805,2418,10747,15104,901,38679,223329,16177,564687,944501,239158,2025985,
2020-07-31,,,115,12,282,5920,2430,11029,15100,879,38717,223960,15789,567382,959601,240037,2064702,
2020-08-01,,,116,12,285,6036,2442,11314,15093,857,38734,224494,15406,569782,974694,240895,2103435,
2020-08-02,,,117,11,288,6153,2454,11601,15081,836,38730,224933,15030,571884,989775,241731,2142164,
2020-08-03,,,118,11,290,6271,2466,11891,15062,815,38704,225277,14661,573682,1004837,242547,2180868,
2020-08-04,,,118,11,293,6389,2477,12183,15038,795,38658,225528,14300,575175,1019875,243342,2219526,
2020-08-05,,,119,10,295,6508,2488,12477,15008,775,38591,225685,13947,576360,1034883,244118,2258116,
2020-08-06,,,119,10,297,6627,2499,12774,14972,756,38503,225752,13603,577236,1049855,244875,2296618,
2020-08-07,,,120,10,299,6747,2509,13072,14931,737,38394,225731,13267,577801,1064786,245612,2335012,
