date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-29,,,,,,,,,35,25,40,35,25,40,35,25,40,1.44444444444
2020-03-01,,,,,,,,,35,25,40,70,50,80,70,50,80,1.43284900517
2020-03-02,,,,,,,,,35,25,40,105,75,120,105,75,120,1.43025823414
2020-03-03,,,,,,,,,35,25,40,141,100,160,141,100,160,1.42707685852
2020-03-04,,,,,,,,,35,25,40,176,125,200,176,125,200,1.42316321005
2020-03-05,,,,,,,,,35,25,40,211,150,240,211,150,240,1.41833883331
2020-03-06,,,,,,,,,35,25,40,246,175,280,246,175,280,1.41237955701
2020-03-07,,,,,,,,,35,25,40,281,200,320,281,200,320,1.40500715837
2020-03-08,,,,,,,,,35,25,40,316,225,360,316,225,360,1.39588567939
2020-03-09,,,,,,,,,83,59,112,399,284,472,399,284,472,1.38462988081
2020-03-10,,,,,,,,,82,58,110,481,343,581,481,343,581,1.37083618325
2020-03-11,,,,,,,,,84,60,112,565,404,693,565,404,693,1.35414446018
2020-03-12,,,,,,,,,89,65,120,654,469,812,654,469,812,1.33432699281
2020-03-13,,,,,,,,,101,73,137,755,542,949,755,542,949,1.31138027288
2020-03-14,,,,,,,,,118,86,163,872,629,1111,872,629,1111,1.28558141603
2020-03-15,,,,,,,,,129,93,179,966,698,1250,1001,723,1290,1.257481415
2020-03-16,,,,,,,,,137,99,189,1068,772,1398,1138,822,1478,1.22783771779
2020-03-17,,,,,,,,,144,103,198,1177,850,1556,1283,925,1676,1.19751389611
2020-03-18,,,,,,,,,153,107,209,1295,933,1725,1435,1033,1885,1.16737903177
