country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
US,,,107172,186959,128220,280973,2020-04-16,4591,2.1,2020-09-01
US,NY,,30019,32934,30661,37542,2020-04-16,3215,14.3,2020-09-01
US,NJ,,11880,14625,12836,18086,2020-04-30,457,2.6,2020-09-01
US,CA,,4374,13033,6076,23834,2020-04-22,139,1.9,2020-09-01
US,IL,,5621,10620,7432,14314,2020-05-13,191,1.3,2020-09-01
US,MA,,7152,9594,8020,12513,2020-04-19,302,2.6,2020-09-01
US,PA,,5742,9562,6838,13919,2020-05-05,341,1.8,2020-09-01
US,FL,,2566,7196,3506,12251,2020-04-23,94,1.8,2020-09-01
US,MI,,5570,6957,6007,9413,2020-04-22,238,8.1,2020-09-01
US,OH,,2300,6826,3663,10690,2020-04-29,138,1.5,2020-09-01
US,MD,,2641,6189,3524,9798,2020-04-20,121,1.2,2020-09-01
US,CT,,3989,5238,4303,6827,2020-04-20,204,5.8,2020-09-01
US,GA,,2123,5193,3016,9814,2020-04-07,100,1.9,2020-09-01
US,TX,,1744,5186,2710,10040,2020-05-14,63,1.5,2020-09-01
US,IN,,2207,4799,2842,8009,2020-05-06,166,4.3,2020-09-01
US,LA,,2870,4340,3269,7045,2020-04-14,129,1.8,2020-09-01
US,VA,,1428,4030,1937,7386,2020-05-28,57,1.8,2020-09-01
US,MN,,1097,3900,1837,6252,2020-08-10,39,2.6,2020-09-01
US,NC,,999,3860,1819,6422,2020-05-22,47,1.1,2020-09-01
US,AZ,,983,3489,1442,6174,2020-05-08,67,0.8,2020-09-01
US,CO,,1494,3150,1773,6185,2020-04-24,122,1.4,2020-09-01
US,MS,,782,2567,1145,4146,2020-05-06,32,1.5,2020-09-01
US,MO,,791,2504,1215,4216,2020-04-27,47,4.6,2020-09-01
US,AL,,653,2145,1084,3713,2020-05-12,32,,2020-09-01
US,WA,,1135,1974,1273,3619,2020-04-06,45,3.7,2020-09-01
US,WI,,616,1757,924,3150,2020-05-27,22,1.7,2020-09-01
US,RI,,742,1713,1153,2317,2020-04-17,31,1.4,2020-09-01
US,IA,,574,1633,1085,2356,2020-05-20,26,1.1,2020-09-01
US,SC,,501,1601,736,2848,2020-04-29,39,,2020-09-01
US,KY,,450,1183,629,2165,2020-05-19,20,1.2,2020-09-01
US,NM,,375,1119,598,1728,2020-05-24,15,1.4,2020-09-01
US,TN,,388,1061,544,2020,2020-06-02,17,1.1,2020-09-01
US,NV,,431,956,567,1659,2020-04-07,26,0.6,2020-09-01
US,NH,,265,793,365,1467,2020-05-07,22,0.8,2020-09-01
US,DC,,473,741,536,1168,2020-05-08,19,3.7,2020-09-01
US,DE,,375,691,445,1240,2020-05-16,15,4.0,2020-09-01
US,OK,,341,561,406,962,2020-04-21,21,3.5,2020-09-01
US,AR,,142,524,237,927,2020-05-02,8,0.8,2020-09-01
US,UT,,117,473,203,846,2020-05-19,8,1.2,2020-09-01
US,NE,,170,440,276,739,2020-05-20,15,,2020-09-01
US,KS,,226,394,256,893,2020-04-11,13,1.2,2020-09-01
US,OR,,159,248,179,424,2020-04-09,11,1.5,2020-09-01
US,PR,,140,203,162,292,2020-04-09,9,1.5,2020-09-01
US,SD,,62,188,100,396,2020-05-29,5,,2020-09-01
US,ND,,66,183,116,333,2020-05-06,6,2.0,2020-09-01
US,ME,,95,159,118,272,2020-06-02,5,2.0,2020-09-01
US,WV,,78,127,94,208,2020-04-20,6,,2020-09-01
US,ID,,83,104,92,129,2020-04-15,6,,2020-09-01
US,VT,,55,65,60,71,2020-04-16,4,,2020-09-01
US,WY,,17,42,31,56,2020-04-22,4,,2020-09-01
US,MP,,16,21,19,23,2020-06-03,14,,2020-09-01
US,HI,,17,21,19,22,2020-04-27,2,,2020-09-01
US,MT,,17,20,18,24,2020-03-30,4,,2020-09-01
US,AK,,10,12,11,13,2020-04-04,2,,2020-09-01
US,VI,,6,8,7,9,2020-05-12,1,,2020-09-01
US,GU,,5,7,6,8,2020-04-11,1,,2020-09-01
US,AS,,0,,,,,,,2020-09-01
