date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-03-04,,,,,,,,,121,50,150,121,50,150,121,50,150,1.74234267896
2020-03-05,,,,,,,,,121,50,150,242,100,300,242,100,300,1.73552734902
2020-03-06,,,,,,,,,121,50,150,363,150,450,363,150,450,1.73401596173
2020-03-07,,,,,,,,,121,50,150,484,200,600,484,200,600,1.73216801236
2020-03-08,,,,,,,,,121,50,150,604,250,750,604,250,750,1.72990750744
2020-03-09,,,,,,,,,121,50,150,725,300,900,725,300,900,1.72714055774
2020-03-10,,,,,,,,,121,50,150,846,350,1050,846,350,1050,1.72375070824
2020-03-11,,,,,,,,,121,50,150,967,400,1200,967,400,1200,1.71959284996
2020-03-12,,,,,,,,,121,50,150,1088,450,1350,1088,450,1350,1.71448530019
2020-03-13,,,,,,,,,320,149,446,1408,599,1796,1408,599,1796,1.70819968114
2020-03-14,,,,,,,,,318,149,442,1726,749,2238,1726,749,2238,1.70044857311
2020-03-15,,,,,,,,,332,158,467,2058,907,2704,2058,907,2704,1.69087195161
2020-03-16,,,,,,,,,362,177,517,2421,1085,3220,2421,1085,3220,1.6790257475
2020-03-17,,,,,,,,,425,217,620,2846,1303,3840,2846,1303,3840,1.66438009924
2020-03-18,,,,,,,,,522,280,774,3368,1584,4613,3368,1584,4613,1.6463406354
2020-03-19,,,,,,,,,593,330,877,3840,1864,5340,3961,1914,5490,1.62431002669
2020-03-20,,,,,,,,,648,375,948,4367,2190,6137,4609,2290,6437,1.59780081388
2020-03-21,,,,,,,,,710,431,1032,4956,2571,7018,5318,2721,7468,1.5665851502
2020-03-22,,,,,,,,,778,499,1130,5613,3021,7998,6097,3221,8598,1.53082853032
2020-03-23,,,,,,,,,860,571,1251,6352,3543,9098,6956,3793,9848,1.49113628664
2020-03-24,,,,,,,,,935,631,1352,7166,4125,10299,7891,4425,11199,1.44847741656
2020-03-25,,,,,,,,,1000,698,1403,8045,4774,11552,8891,5124,12602,1.4040209472
2020-03-26,,,,,,,,,1059,754,1433,8983,5478,12835,9950,5878,14035,1.35896353779
2020-03-27,,,,,,,,,1116,804,1477,9978,6233,14161,11066,6683,15511,1.31441221237
2020-03-28,2,2,,,,,,,1172,857,1523,10830,6941,15238,12239,7541,17034,1.27133677125
2020-03-29,1,3,,,,,,,1223,888,1577,11736,7680,16372,13462,8429,18610,1.23056475586
2020-03-30,1,4,,,,,,,1267,916,1629,12671,8437,17534,14729,9345,20238,1.19278290435
2020-03-31,4,8,,,,,,,1305,941,1669,13614,9201,18687,16034,10287,21906,1.15852577939
2020-04-01,2,10,,,,,,,1338,976,1701,14526,9959,19768,17372,11263,23607,1.12815119292
2020-04-02,2,12,,,,,,,1367,1018,1726,15371,10698,20720,18739,12282,25333,1.10181281499
2020-04-03,2,14,,,,,,,1393,1054,1745,16171,11422,21588,20132,13336,27077,1.07944708697
2020-04-04,3,17,,,,,,,1416,1068,1758,16939,12114,22398,21548,14404,28835,1.06079219564
2020-04-05,8,25,,,,,,,1435,1081,1775,17664,12764,23142,22982,15486,30609,1.04544327804
2020-04-06,2,27,,,,,,,1451,1093,1809,18337,13357,23820,24434,16579,32418,1.0329268526
2020-04-07,3,30,,,,,,,1466,1113,1803,18943,13899,24373,25900,17692,34220,1.02276850849
2020-04-08,5,35,,,,,,,1479,1134,1812,19487,14401,24833,27378,18826,36032,1.01453729638
2020-04-09,8,43,,,,,,,1490,1154,1828,19978,14857,25258,28869,19981,37859,1.0078653603
2020-04-10,0,43,,,,,,,1500,1174,1842,20418,15276,25666,30368,21155,39701,1.00245014815
2020-04-11,13,56,,,,,,,1508,1192,1858,20810,15664,26048,31876,22348,41558,0.998047672997
2020-04-12,7,63,,,,,,,1515,1210,1864,21153,16017,26389,33392,23559,43422,0.994462789542
2020-04-13,0,63,,,,,,,1521,1227,1867,21451,16357,26679,34913,24786,45288,0.991539625496
2020-04-14,17,80,,,,,,,1527,1244,1873,21710,16685,26923,36439,26030,47161,0.989153393481
2020-04-15,0,80,,,,,,,1531,1248,1886,21936,16992,27140,37970,27279,49046,0.987203815774
2020-04-16,7,87,,,,,,,1534,1250,1888,22133,17266,27327,39505,28529,50934,0.985609988611
2020-04-17,31,118,,,,,,,1537,1251,1889,22303,17499,27491,41042,29781,52823,0.984306404549
2020-04-18,19,137,,,,,,,1539,1261,1895,22449,17706,27641,42581,31043,54717,0.983239865593
2020-04-19,13,150,,,,,,,1541,1268,1897,22574,17907,27780,44122,32312,56614,0.982367070697
2020-04-20,5,155,,,,,,,1542,1271,1903,22681,18098,27908,45664,33584,58517,0.981652713784
2020-04-21,16,171,,,,,,,1542,1271,1906,22772,18275,28005,47206,34855,60423,0.981067971441
2020-04-22,10,181,,,,,,,1542,1269,1909,22848,18432,28111,48747,36125,62331,0.980589291537
2020-04-23,8,189,,,,,,,1541,1267,1909,22910,18565,28209,50288,37392,64240,0.980036212906
2020-04-24,13,202,,,,,,,1539,1251,1909,22959,18662,28290,51827,38644,66149,0.97960916837
2020-04-25,13,215,,,,,,,1537,1249,1909,22996,18737,28357,53365,39893,68057,0.979223023129
2020-04-26,11,226,,,,,,,1535,1238,1903,23023,18783,28403,54900,41132,69960,0.978923727624
2020-04-27,7,233,,,,,,,1532,1234,1902,23040,18807,28441,56431,42367,71862,0.978646261969
2020-04-28,6,239,,,,,,,1528,1229,1900,23047,18809,28475,57960,43596,73762,0.978429629547
2020-04-29,12,251,,,,,,,1525,1224,1898,23045,18790,28499,59485,44821,75659,0.978430598378
2020-04-30,15,266,,,,,,,1521,1214,1894,23035,18756,28507,61005,46035,77552,0.978432043669
2020-05-01,13,279,,,,,,,1516,1205,1889,23017,18710,28507,62521,47240,79440,0.978434199708
2020-05-02,17,296,,,,,,,1511,1193,1883,22991,18653,28501,64033,48434,81323,0.978437415963
2020-05-03,24,320,,,,,,,1506,1177,1878,22957,18568,28484,65538,49611,83201,0.978442213652
2020-05-04,21,341,,,,,,,1500,1166,1872,22916,18465,28459,67038,50778,85072,0.978449370077
2020-05-05,14,355,,,,,,,1494,1149,1867,22868,18343,28422,68532,51927,86939,0.978460044238
2020-05-06,15,370,,,,,,,1487,1129,1864,22814,18202,28380,70019,53057,88802,0.978475963828
2020-05-07,18,388,,,,,,,1480,1112,1860,22752,18044,28331,71500,54169,90662,0.978499703309
2020-05-08,11,399,,,,,,,1473,1091,1856,22685,17868,28278,72973,55261,92518,0.978535096756
2020-05-09,19,418,,,,,,,1465,1072,1851,22611,17689,28220,74438,56333,94369,0.978587849343
2020-05-10,4,422,,,,,,,1458,1053,1846,22531,17493,28157,75896,57386,96214,0.978666439801
2020-05-11,8,430,,,,,,,1449,1034,1840,22446,17289,28094,77345,58421,98054,0.978783445124
2020-05-12,14,444,,,,,,,1441,1015,1834,22355,17070,28026,78786,59437,99888,0.978957469209
2020-05-13,18,462,,,,,,,1432,997,1827,22258,16837,27952,80218,60434,101714,0.979215915703
2020-05-14,6,468,,,,,,,1423,979,1817,22157,16593,27872,81641,61414,103531,0.979598897517
2020-05-15,11,479,,,,,,,1414,962,1809,22050,16340,27787,83056,62376,105339,0.9801645804
2020-05-16,10,489,,,,,,,1406,945,1800,21940,16080,27699,84461,63321,107138,0.980996120178
2020-05-17,10,499,,,,,,,1397,928,1790,21826,15815,27606,85858,64250,108928,0.982209877109
2020-05-18,7,506,,,,,,,1389,915,1782,21709,15553,27510,87247,65165,110710,0.983963431342
2020-05-19,26,532,,,,,,,1382,903,1776,21591,15290,27413,88629,66069,112485,0.98645961218
2020-05-20,6,538,,,,,,,1376,894,1772,21473,15036,27319,90005,66964,114257,0.989939036012
2020-05-21,18,556,,,,,,,1372,886,1774,21358,14793,27229,91377,67850,116030,0.994649574009
2020-05-22,23,579,,,,,,,1370,875,1769,21247,14555,27138,92747,68725,117799,1.0007811246
2020-05-23,18,597,,,,,,,1370,871,1775,21145,14335,27056,94118,69597,119573,1.0083666945
2020-05-24,11,608,,,,,,,1373,866,1790,21052,14130,26995,95491,70463,121363,1.01718222468
2020-05-25,0,608,,,,,,,1378,865,1802,20972,13942,26951,96868,71328,123165,1.0267124508
2020-05-26,26,634,,,,,,,1381,869,1814,20904,13777,26925,98250,72198,124978,1.03390133356
2020-05-27,21,655,,,,,,,1386,869,1835,20850,13630,26926,99636,73067,126813,1.04077841946
2020-05-28,22,677,,,,,,,1393,861,1859,20811,13494,26959,101029,73929,128672,1.04708375617
2020-05-29,16,693,,,,,,,1400,856,1885,20788,13371,27026,102429,74785,130557,1.052643777
2020-05-30,18,711,,,,,,,1408,859,1914,20781,13268,27131,103837,75645,132470,1.05738048534
2020-05-31,7,718,,,,,,,1416,857,1942,20792,13180,27274,105253,76502,134411,1.06129874389
2020-06-01,2,720,,,,,,,1424,848,1972,20818,13101,27455,106677,77351,136383,1.06446180752
2020-06-02,12,732,,,,,,,1432,840,2002,20861,13025,27676,108108,78191,138385,1.06696528942
2020-06-03,10,742,,,,,,,1440,829,2033,20919,12951,27933,109548,79021,140418,1.06891593129
2020-06-04,,,12,8,16,754,750,758,1448,820,2064,20991,12877,28225,110996,79841,142482,
2020-06-05,,,12,8,16,766,758,773,1457,812,2096,21076,12803,28547,112453,80653,144577,
2020-06-06,,,12,7,15,777,766,788,1465,805,2126,21171,12733,28904,113918,81458,146702,
2020-06-07,,,11,7,15,789,773,802,1474,799,2159,21275,12661,29288,115392,82258,148861,
2020-06-08,,,11,7,15,800,781,817,1483,794,2192,21384,12589,29689,116875,83053,151052,
2020-06-09,,,11,7,15,811,788,831,1492,786,2224,21498,12510,30111,118366,83839,153275,
2020-06-10,,,11,7,15,822,796,845,1500,776,2256,21617,12417,30553,119867,84615,155531,
2020-06-11,,,11,7,14,833,803,859,1509,767,2289,21740,12315,31007,121376,85383,157819,
2020-06-12,,,11,6,14,843,809,873,1518,759,2320,21864,12214,31468,122893,86143,160139,
2020-06-13,,,11,6,14,854,816,886,1526,753,2352,21991,12110,31935,124420,86896,162491,
2020-06-14,,,10,6,14,865,823,900,1535,743,2384,22118,11995,32405,125955,87640,164874,
2020-06-15,,,10,6,14,875,830,914,1544,734,2416,22246,11872,32879,127498,88374,167290,
2020-06-16,,,10,6,14,885,836,927,1552,724,2447,22374,11748,33354,129051,89099,169737,
2020-06-17,,,10,6,14,896,843,941,1561,715,2478,22503,11623,33830,130611,89815,172214,
2020-06-18,,,10,6,14,906,849,955,1569,706,2508,22632,11500,34305,132181,90521,174722,
2020-06-19,,,10,6,15,917,856,969,1577,697,2538,22761,11377,34779,133758,91218,177260,
2020-06-20,,,11,6,15,927,862,983,1586,687,2568,22890,11252,35251,135344,91906,179827,
2020-06-21,,,11,6,15,938,869,997,1594,679,2597,23019,11126,35722,136937,92585,182424,
2020-06-22,,,11,6,15,948,875,1012,1602,670,2626,23147,10996,36189,138539,93255,185049,
2020-06-23,,,11,6,15,959,881,1027,1609,661,2655,23273,10863,36652,140148,93916,187703,
2020-06-24,,,11,6,16,970,888,1042,1617,652,2682,23399,10730,37110,141765,94569,190385,
2020-06-25,,,11,6,16,981,894,1057,1621,642,2702,23520,10596,37556,143386,95212,193087,
2020-06-26,,,11,6,16,992,900,1073,1624,632,2722,23635,10461,37989,145010,95844,195808,
2020-06-27,,,11,6,16,1002,906,1088,1627,622,2740,23744,10324,38408,146637,96467,198547,
2020-06-28,,,11,6,16,1013,912,1104,1629,613,2757,23847,10183,38813,148266,97080,201303,
2020-06-29,,,11,5,17,1025,918,1121,1630,603,2771,23942,10043,39200,149897,97683,204074,
2020-06-30,,,11,5,17,1036,924,1137,1630,593,2783,24029,9902,39567,151527,98276,206856,
2020-07-01,,,11,5,17,1047,930,1154,1629,582,2791,24105,9760,39911,153156,98859,209647,
2020-07-02,,,11,5,17,1058,936,1171,1627,572,2797,24171,9617,40230,154783,99432,212443,
2020-07-03,,,11,5,18,1069,941,1188,1624,561,2800,24226,9472,40522,156406,99994,215243,
2020-07-04,,,11,5,18,1081,947,1205,1619,550,2805,24268,9326,40789,158026,100544,218048,
2020-07-05,,,11,5,18,1092,953,1223,1614,539,2809,24296,9177,41030,159640,101083,220856,
2020-07-06,,,12,5,18,1104,958,1241,1608,528,2808,24311,9027,41241,161248,101612,223664,
2020-07-07,,,12,5,19,1115,964,1259,1601,517,2804,24310,8875,41419,162848,102130,226467,
2020-07-08,,,12,5,19,1127,969,1277,1592,506,2797,24292,8719,41561,164441,102636,229264,
2020-07-09,,,12,5,19,1139,975,1296,1583,494,2792,24258,8561,41671,166024,103130,232055,
2020-07-10,,,12,5,19,1151,980,1315,1573,482,2786,24210,8401,41755,167597,103613,234841,
2020-07-11,,,12,5,20,1162,985,1334,1562,471,2781,24148,8239,41814,169158,104084,237622,
2020-07-12,,,12,5,20,1174,990,1353,1550,459,2770,24071,8076,41844,170708,104544,240391,
2020-07-13,,,12,5,20,1186,995,1373,1537,448,2759,23978,7912,41846,172244,104993,243149,
2020-07-14,,,12,5,20,1198,1000,1392,1523,437,2744,23870,7747,41819,173767,105430,245892,
2020-07-15,,,12,4,20,1210,1005,1412,1508,426,2728,23748,7580,41764,175275,105857,248620,
2020-07-16,,,12,4,21,1222,1010,1432,1492,416,2708,23612,7414,41681,176768,106273,251327,
2020-07-17,,,12,4,21,1234,1015,1452,1476,405,2686,23461,7247,41570,178244,106679,254013,
2020-07-18,,,12,4,21,1247,1020,1473,1459,395,2665,23296,7081,41435,179703,107075,256678,
2020-07-19,,,12,4,21,1259,1024,1493,1441,385,2641,23118,6916,41272,181144,107460,259319,
2020-07-20,,,12,4,21,1271,1029,1514,1422,375,2619,22926,6752,41081,182566,107836,261937,
2020-07-21,,,12,4,21,1283,1034,1535,1403,366,2592,22722,6589,40865,183969,108202,264529,
2020-07-22,,,12,4,21,1295,1038,1556,1383,356,2564,22504,6428,40626,185353,108558,267092,
2020-07-23,,,12,4,21,1308,1042,1576,1363,346,2534,22275,6269,40363,186716,108905,269626,
2020-07-24,,,12,4,21,1320,1047,1597,1342,337,2503,22034,6112,40073,188058,109243,272128,
2020-07-25,,,12,4,21,1332,1051,1618,1320,328,2469,21782,5958,39756,189378,109571,274597,
2020-07-26,,,12,4,21,1344,1055,1639,1298,319,2434,21518,5806,39409,190677,109891,277030,
2020-07-27,,,12,4,22,1356,1059,1660,1276,310,2398,21245,5657,39037,191953,110201,279428,
2020-07-28,,,12,3,21,1368,1063,1681,1253,301,2361,20961,5510,38640,193206,110503,281789,
2020-07-29,,,12,3,21,1380,1067,1702,1230,293,2326,20668,5365,38223,194436,110796,284115,
2020-07-30,,,12,3,21,1392,1071,1723,1206,284,2289,20367,5223,37783,195642,111081,286403,
2020-07-31,,,12,3,21,1404,1074,1744,1183,276,2249,20057,5083,37324,196825,111357,288651,
2020-08-01,,,12,3,21,1416,1078,1765,1159,268,2208,19740,4946,36846,197983,111625,290859,
2020-08-02,,,12,3,21,1427,1081,1786,1134,259,2167,19415,4810,36348,199118,111885,293025,
2020-08-03,,,12,3,21,1439,1085,1806,1110,251,2127,19084,4676,35834,200227,112137,295152,
2020-08-04,,,11,3,21,1450,1088,1827,1085,243,2086,18747,4544,35301,201313,112380,297238,
2020-08-05,,,11,3,21,1462,1091,1847,1061,235,2041,18404,4413,34750,202374,112616,299278,
2020-08-06,,,11,3,21,1473,1095,1868,1037,228,1996,18058,4286,34182,203411,112845,301273,
2020-08-07,,,11,3,21,1484,1098,1888,1013,221,1950,17708,4160,33598,204424,113066,303223,
2020-08-08,,,11,3,21,1495,1101,1908,990,214,1905,17356,4038,33000,205414,113281,305128,
2020-08-09,,,11,2,20,1506,1104,1928,966,208,1859,17001,3918,32390,206380,113490,306986,
2020-08-10,,,11,2,20,1517,1107,1948,943,202,1813,16646,3800,31769,207322,113692,308799,
2020-08-11,,,11,2,20,1528,1109,1967,919,196,1767,16289,3686,31138,208242,113888,310565,
2020-08-12,,,10,2,20,1538,1112,1987,897,190,1722,15932,3575,30499,209138,114079,312287,
2020-08-13,,,10,2,20,1548,1115,2006,874,185,1676,15577,3467,29848,210012,114264,313962,
2020-08-14,,,10,2,19,1559,1117,2025,852,179,1633,15222,3362,29192,210864,114443,315595,
2020-08-15,,,10,2,19,1569,1120,2044,830,174,1589,14869,3260,28533,211693,114618,317183,
2020-08-16,,,10,2,19,1578,1122,2062,808,169,1546,14518,3162,27871,212501,114787,318729,
2020-08-17,,,10,2,19,1588,1125,2080,786,164,1503,14170,3067,27207,213288,114952,320232,
2020-08-18,,,10,2,18,1598,1127,2098,765,160,1460,13825,2975,26539,214053,115112,321691,
2020-08-19,,,9,2,18,1607,1129,2116,745,155,1417,13485,2887,25870,214798,115268,323107,
2020-08-20,,,9,2,18,1616,1132,2133,725,151,1377,13149,2803,25205,215523,115420,324483,
2020-08-21,,,9,2,18,1625,1134,2150,706,147,1339,12818,2722,24549,216229,115567,325821,
2020-08-22,,,9,2,17,1634,1136,2167,687,143,1299,12492,2644,23897,216916,115711,327120,
2020-08-23,,,9,2,17,1643,1138,2183,669,140,1261,12171,2569,23254,217585,115851,328381,
2020-08-24,,,8,1,17,1651,1140,2200,651,136,1226,11856,2497,22621,218236,115987,329607,
2020-08-25,,,8,1,16,1660,1142,2216,634,132,1196,11547,2428,22004,218869,116120,330802,
2020-08-26,,,8,1,16,1668,1143,2231,617,129,1166,11244,2361,21403,219486,116250,331968,
2020-08-27,,,8,1,16,1676,1145,2246,600,126,1135,10948,2297,20817,220086,116376,333103,
2020-08-28,,,8,1,15,1683,1147,2261,584,123,1105,10658,2235,20245,220670,116499,334207,
2020-08-29,,,8,1,15,1691,1149,2276,569,120,1077,10375,2176,19690,221239,116619,335284,
2020-08-30,,,7,1,15,1698,1150,2290,553,117,1050,10099,2118,19151,221792,116737,336334,
2020-08-31,,,7,1,14,1706,1152,2304,539,114,1022,9830,2064,18627,222331,116852,337355,
2020-09-01,,,7,1,14,1713,1153,2317,524,112,996,9568,2011,18119,222855,116964,338351,
