date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-03-12,,,,,,,,,10,10,10,10,10,10,10,10,10,1.41754385965
2020-03-13,,,,,,,,,10,10,10,20,20,20,20,20,20,1.2301885092
2020-03-14,,,,,,,,,10,10,10,30,30,30,30,30,30,1.19380782841
2020-03-15,,,,,,,,,10,10,10,40,40,40,40,40,40,1.15207814354
2020-03-16,,,,,,,,,10,10,10,50,50,50,50,50,50,1.10508346872
2020-03-17,,,,,,,,,10,10,10,60,60,60,60,60,60,1.053161856
2020-03-18,,,,,,,,,10,10,10,70,70,70,70,70,70,0.996872133294
2020-03-19,,,,,,,,,10,10,10,80,80,80,80,80,80,0.936977520805
2020-03-20,,,,,,,,,10,10,10,90,90,90,90,90,90,0.874462349159
2020-03-21,,,,,,,,,18,14,25,108,104,115,108,104,115,0.81056193986
2020-03-22,,,,,,,,,17,13,24,125,117,138,125,117,138,0.74676580263
2020-03-23,,,,,,,,,17,13,23,142,131,161,142,131,161,0.684756967892
2020-03-24,,,,,,,,,17,13,23,159,144,184,159,144,184,0.626269362863
2020-03-25,,,,,,,,,17,13,24,176,157,208,176,157,208,0.572874560684
2020-03-26,,,,,,,,,18,13,26,194,171,233,194,171,233,0.525745969778
2020-03-27,,,,,,,,,17,13,25,201,174,247,211,184,257,0.485480332264
2020-03-28,,,,,,,,,17,13,24,208,177,260,228,197,280,0.452053643574
2020-03-29,,,,,,,,,17,13,23,215,181,273,245,211,303,0.424931002026
2020-03-30,,,,,,,,,16,13,22,221,184,284,261,224,324,0.403271256174
2020-03-31,,,,,,,,,16,12,20,226,187,294,276,237,344,0.386134196648
