date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-13,,,,,,,,,50,40,60,50,40,60,50,40,60,1.4152970147
2020-02-14,,,,,,,,,50,40,60,100,80,120,100,80,120,1.41508110268
2020-02-15,,,,,,,,,50,40,60,150,120,180,150,120,180,1.4150332964
2020-02-16,,,,,,,,,50,40,60,200,160,240,200,160,240,1.41497490416
2020-02-17,,,,,,,,,50,40,60,250,200,300,250,200,300,1.41490358136
2020-02-18,,,,,,,,,50,40,60,300,240,360,300,240,360,1.41481646372
2020-02-19,,,,,,,,,50,40,60,350,280,420,350,280,420,1.41471005198
2020-02-20,,,,,,,,,50,40,60,400,320,480,400,320,480,1.41458007067
2020-02-21,,,,,,,,,50,40,60,450,360,540,450,360,540,1.41442129535
2020-02-22,,,,,,,,,120,95,147,570,455,687,570,455,687,1.41422734081
2020-02-23,,,,,,,,,119,95,147,689,551,833,689,551,833,1.41399040128
2020-02-24,,,,,,,,,124,98,152,813,650,985,813,650,985,1.41370093111
2020-02-25,,,,,,,,,133,106,164,946,756,1149,946,756,1149,1.4133472512
2020-02-26,,,,,,,,,152,121,189,1098,878,1337,1098,878,1337,1.41291506243
2020-02-27,,,,,,,,,182,145,227,1281,1023,1563,1281,1023,1563,1.41238684109
2020-02-28,,,,,,,,,205,163,256,1436,1146,1759,1486,1186,1819,1.41174108329
2020-02-29,,,,,,,,,224,177,280,1610,1284,1979,1710,1364,2099,1.41095135334
2020-03-01,,,,,,,,,244,193,307,1804,1438,2226,1954,1558,2406,1.40998507445
2020-03-02,,,,,,,,,268,212,352,2022,1610,2517,2222,1770,2757,1.40880197726
2020-03-03,,,,,,,,,298,234,403,2270,1804,2859,2520,2004,3159,1.40735209203
2020-03-04,,,,,,,,,329,258,458,2549,2022,3257,2849,2262,3617,1.40557313743
2020-03-05,,,,,,,,,359,280,514,2858,2263,3711,3208,2543,4131,1.40338713723
2020-03-06,,,,,,,,,391,304,575,3199,2528,4225,3599,2848,4705,1.40069612212
2020-03-07,,,,,,,,,424,329,643,3573,2817,4808,4023,3177,5348,1.39737693582
2020-03-08,1,1,,,,,,,461,356,717,3915,3077,5377,4484,3533,6064,1.39327562612
