date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-19,,,,,,,,,202,100,300,202,100,300,202,100,300,1.27769971196
2020-02-20,,,,,,,,,202,100,300,404,200,600,404,200,600,1.27763860775
2020-02-21,,,,,,,,,202,100,300,607,300,900,607,300,900,1.27762508011
2020-02-22,,,,,,,,,202,100,300,809,400,1200,809,400,1200,1.27760855791
2020-02-23,,,,,,,,,202,100,300,1011,500,1500,1011,500,1500,1.27758837837
2020-02-24,,,,,,,,,202,100,300,1213,600,1800,1213,600,1800,1.27756373211
2020-02-25,,,,,,,,,202,100,300,1415,700,2100,1415,700,2100,1.27753363071
2020-02-26,,,,,,,,,202,100,300,1618,800,2400,1618,800,2400,1.27749686718
2020-02-27,,,,,,,,,202,100,300,1820,900,2700,1820,900,2700,1.27745196763
2020-02-28,,,,,,,,,452,239,660,2272,1139,3360,2272,1139,3360,1.27739713244
2020-02-29,,,,,,,,,450,238,657,2722,1378,4017,2722,1378,4017,1.27733016434
2020-03-01,,,,,,,,,463,247,675,3185,1626,4692,3185,1626,4692,1.27724838072
2020-03-02,,,,,,,,,492,265,715,3677,1892,5406,3677,1892,5406,1.27714850675
2020-03-03,,,,,,,,,553,304,799,4230,2196,6205,4230,2196,6205,1.27702654497
2020-03-04,,,,,,,,,647,364,929,4876,2560,7133,4876,2560,7133,1.27687761633
2020-03-05,,,,,,,,,717,409,1025,5391,2869,7857,5593,2969,8157,1.2766957664
2020-03-06,,,,,,,,,771,445,1098,5959,3215,8654,6363,3415,9254,1.27647372917
2020-03-07,,,,,,,,,829,486,1176,6586,3601,9529,7192,3901,10429,1.276202639
2020-03-08,,,,,,,,,894,532,1261,7278,4034,10490,8087,4434,11690,1.27587167926
2020-03-09,,,,,,,,,975,590,1366,8051,4525,11556,9062,5025,13056,1.27546765328
2020-03-10,,,,,,,,,1057,650,1473,8905,5075,12728,10119,5675,14528,1.2749744595
2020-03-11,,,,,,,,,1136,709,1575,9839,5685,14002,11255,6385,16102,1.27437244778
2020-03-12,,,,,,,,,1216,770,1675,10853,6355,15377,12471,7155,17777,1.27363762661
2020-03-13,,,,,,,,,1299,836,1780,11950,7091,16857,13770,7991,19557,1.27274068137
2020-03-14,1,1,,,,,,,1390,907,1892,12888,7760,18088,15160,8899,21448,1.2716457494
2020-03-15,0,1,,,,,,,1485,984,2010,13924,8505,19441,16645,9884,23458,1.27030887864
2020-03-16,0,1,,,,,,,1583,1064,2129,15043,9323,20895,18229,10949,25587,1.26867607127
2020-03-17,1,2,,,,,,,1683,1147,2251,16235,10204,22431,19912,12097,27837,1.26668078592
2020-03-18,0,2,,,,,,,1786,1234,2403,17468,11135,24035,21698,13331,30240,1.26424075451
2020-03-19,2,4,,,,,,,1894,1326,2566,18715,12097,25673,23592,14658,32805,1.26125399701
2020-03-20,0,4,,,,,,,2005,1422,2733,20004,13110,27381,25596,16080,35538,1.25759407047
2020-03-21,0,4,,,,,,,2118,1521,2900,21351,14187,29183,27714,17602,38437,1.25310502191
2020-03-22,2,6,,,,,,,2233,1623,3064,22755,15324,31071,29947,19225,41500,1.24759746762
2020-03-23,1,7,,,,,,,2348,1690,3223,24209,16482,33033,32296,20916,44722,1.24084890856
2020-03-24,1,8,,,,,,,2463,1731,3423,25697,17623,35090,34759,22648,48145,1.23261358622
2020-03-25,8,16,,,,,,,2576,1772,3577,27216,18744,37193,37335,24420,51721,1.22264834725
2020-03-26,3,19,,,,,,,2685,1811,3732,28765,19847,39351,40020,26232,55452,1.21075763341
2020-03-27,8,27,,,,,,,2787,1850,3882,30336,20927,41557,42807,28083,59334,1.19684952966
2020-03-28,4,31,,,,,,,2882,1889,3990,31919,21980,43768,45689,29972,63324,1.18097969323
2020-03-29,16,47,,,,,,,2968,1926,4050,33497,22999,45925,48657,31899,67373,1.16335665355
